0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;1_Подчинен
5793;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1599                                                                                                                                                                            ;ГБОУ гимназия № 1599                                                                                                                                                                                                                                          ;109457, г. Москва, ул. Зеленодольская, д. 32, корп. 6                                                                                                                                                                                                         ;16893,51253;5004,623759;2129050;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 172-06-05                                                                                                                                                                                                                                               ;http://www.gym1599.ru                                                                                                                                                                                                                                         ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
7104;Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554                                                                                                                                                                           ;ГБОУ гимназия № 1554                                                                                                                                                                                                                                          ;127490, г. Москва, ул. Пестеля, д.5,9А                                                                                                                                                                                                                        ;7214,0945;21985,61763;2114116;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 203-17-90                                                                                                                                                                                                                                               ;http://www.gum1554.svao.mskobr.ru                                                                                                                                                                                                                             ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
5123;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1588                                                                                                                                                                            ;ГБОУ гимназия № 1588                                                                                                                                                                                                                                          ;121357 г.Москва, ул. Инициативная, д. 1                                                                                                                                                                                                                       ;-2357,987725;5518,240873;2119217;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;444-25-71                                                                                                                                                                                                                                                     ;http://gym1588.mskzapad.ru                                                                                                                                                                                                                                    ;Западное окружное управление образования                                                                                                                                                                                                                      
5516;Государственное бюджетное образовательное учреждение города Москвы Гимназия №1516                                                                                                                                                                             ;ГБОУ Гимназия № 1516                                                                                                                                                                                                                                          ;107589, г. Москва, ул. Хабаровская, д. 4а                                                                                                                                                                                                                     ;20909,4751;16696,68628;2114459;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;460-43-77                                                                                                                                                                                                                                                     ;http://www.gogi1516.ru/index/index.htm                                                                                                                                                                                                                        ;Восточное окружное управление образования                                                                                                                                                                                                                     
5995;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257                                                                                                                                                                            ;ГБОУ Гимназия № 1257                                                                                                                                                                                                                                          ;115093 г. Москва, ул. Павловская, дом 8-а                                                                                                                                                                                                                     ;8008,23355;5272,627027;3805382;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;952-63-70                                                                                                                                                                                                                                                     ;http://sch1257.ru                                                                                                                                                                                                                                             ;Южное окружное управление образования                                                                                                                                                                                                                         
6543;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика                                                                                                                                                      ;ГБОУ гимназия № 1562                                                                                                                                                                                                                                          ;109341, г.Москва, ул. Братиславская, дом 4                                                                                                                                                                                                                    ;15907,29703;-187,5742896;2704924;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;349-00-11                                                                                                                                                                                                                                                     ;http://gimn1562.uvuo.ru                                                                                                                                                                                                                                       ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6647;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1522                                                                                                                                                                            ;ГБОУ гимназия № 1522                                                                                                                                                                                                                                          ;123423, г. Москва, ул. Народного Ополчения, д. 16, корп. 4                                                                                                                                                                                                    ;-1020,081775;11784,68869;2114798;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(499) 191-25-94; (499) 191-65-04; (499) 946-24-31; (499) 191-93-89                                                                                                                                                                                            ";http://g1522.mskobr.ru                                                                                                                                                                                                                                        ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6667;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1532                                                                                                                                                                            ;ГБОУ гимназия № 1532                                                                                                                                                                                                                                          ;117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3                                                                                                                                                                                                          ;-420,4205;-4990,549553;2108292;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;338-76-55                                                                                                                                                                                                                                                     ;http://gimnazia-1532.narod2.ru/                                                                                                                                                                                                                               ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
7536;Государственное бюджетное образовательное учреждение города Москвы Измайловская гимназия №1508                                                                                                                                                                ;ГБОУ Измайловская гимназия №1508                                                                                                                                                                                                                              ;105043 Первомайская улица, 65                                                                                                                                                                                                                                 ;18641,60455;14149,00022;2115585;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;"(495) 465-58-22; (495) 465-08-43; (495) 465-38-76                                                                                                                                                                                                             ";http://gymv1508.mskobr.ru/                                                                                                                                                                                                                                    ;Восточное окружное управление образования                                                                                                                                                                                                                     
6662;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1507                                                                                                                                                                            ;ГБОУ гимназия № 1507                                                                                                                                                                                                                                          ;117321,  г. Москва, ул. Профсоюзная, дом 132, корп.9                                                                                                                                                                                                          ;554,265;-4078,263726;2800194;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;420-70-44                                                                                                                                                                                                                                                     ;http://www.gym1507.mosuzedu.ru                                                                                                                                                                                                                                ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
7108;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1577                                                                                                                                                                            ;ГБОУ гимназия № 1577                                                                                                                                                                                                                                          ;129337, г. Москва, Ярославское шоссе, владение 8, корп. 6                                                                                                                                                                                                     ;12022,28058;20685,95233;2124948;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 188-47-47                                                                                                                                                                                                                                               ;http://gym1577.svao.mskobr.ru                                                                                                                                                                                                                                 ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7537;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1512                                                                                                                                                                            ;ГБОУ гимназия № 1512                                                                                                                                                                                                                                          ;111538, г. Москва, ул. Косинская, д.24 а                                                                                                                                                                                                                      ;20873,1416;5758,096695;2122212;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;374-77-44                                                                                                                                                                                                                                                     ;http://gym1512.ru/                                                                                                                                                                                                                                            ;Восточное окружное управление образования                                                                                                                                                                                                                     
7105;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1565 ""Свиблово""                                                                                                                                                                 ";"ГБОУ гимназия № 1565 ""Свиблово""                                                                                                                                                                                                                               ";129323, г. Москва, ул. Седова, д. 4, корп. 1                                                                                                                                                                                                                  ;9015,534344;20696,33408;2305264;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(499) 656-60-81                                                                                                                                                                                                                                               ;http://edu1565.ru/                                                                                                                                                                                                                                            ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
