0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4202005.090100002 7482444.744199999);4734.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1736;ГБОУ прогимназия № 1736;115580 г.Москва, ул. М.Джалиля д.29,к.3;15689.974900000001;-5598.84560513;2122881.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;394-01-66;http://sch1736.edusite.ru/
2;POINT (4174351.213300001 7492511.867600001);5426.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1611;ГБОУ прогимназия № 1611;127591, г. Москва, ул 800-летия Москвы, дом 5, корпус 2;37.553308;55.881051;4865.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;"(499) 480-77-11; (499) 480-31-14";http://pgym1611.mskobr.ru
3;POINT (4157317.7258 7529537.014399998);6774.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1782;ГБОУ прогимназия № 1782;125310, г. Москва, ул. Барышиха, д. 42, корп. 1;-9544.59037815;20901.9782964;2119427.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;"(495) 794-89-32; (495) 794-89-37";http://1782-school.ucoz.ru
4;POINT (4197128.577599999 7511451.808300003);6909.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1642;ГБОУ прогимназия № 1642;111250, г.Москва, ул. Солдатская, д. 12а;12882.0280426;10744.9843743;4000247.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;362-69-66;http://www.progimnaziya1642.ru
5;POINT (4182560.8005999997 7489035.268399999);6962.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1644;ГБОУ прогимназия № 1644;117461, г.Москва, ул. Херсонская, д. 5, корп. 1;4680.321475;-1903.28273656;2108425.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;122-84-70;http://www.1644.ru/
6;POINT (4207510.468699999 7519935.3125);7267.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия  №1718;ГБОУ прогимназия №1718;105425, г. Москва, ул. Константина Федина, д.14;18715.9945;15537.0759943;2116253.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;163-12-46;http://pgym1718.mskobr.ru/
7;POINT (4195097.193999998 7517330.932599999);7273.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1752;ГБОУ прогимназия № 1752;107014, г. Москва, ул. Большая  Остроумовская,  дом 7;11727.7344;14048.7148021;2404752.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(495) 603-07-16;http://pgym1752.mskobr.ru
8;POINT (4177633.8805 7496207.961300001);6967.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1733;ГБОУ прогимназия № 1733;119331, Москва, ул. Крупской, д.10;1892.3635000000002;2140.59623112;2101150.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;432-67-92;http://1733.ru
9;POINT (4183537.9367999993 7509045.194200002);7585.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1755;ГБОУ прогимназия № 1755;121099 г. Москва, Новинский б-р,д.3,стр.2;5219.8357000000005;9374.92035318;2127735.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;(499) 795-12-98;http://www.PG1755.ru
10;POINT (4209060.514899999 7519945.575400002);7272.0;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1749;ГБОУ прогимназия № 1749;105215, г. Москва, улица 13-я Парковая, дом 29;19589.0779057;15546.6609535;2116177.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Прогимназия;468-22-46;http://pgym1749.vao.mskobr.ru
