0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4185018.0264 7478786.566699997);2815.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1820;ГБОУ начальная школа - детский сад № 1820;117534 г. Москва, ул. Кировоградская д.44-а;6077.7945;-7689.04354676;2107421.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;"(495) 386-09-73; (495) 387-01-76";http://www.dou1820.edusite.ru/
2;POINT (4210451.669500001 7498787.962800004);6910.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1643;ГБОУ начальная школа - детский сад № 1643;109507, г. Москва Самаркандский б-р, д. 11, корп. 2;20428.0492035;3641.70863521;2708964.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;376-41-86;http://gou1643.ru
3;POINT (4208207.607000001 7502572.316100001);6916.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1883;ГБОУ начальная школа - детский сад № 1883;109542, г. Москва Рязанский пр-т, д. 89, корп. 3;19151.2650666;5768.40491846;2128927.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;371-00-35;http://www.sch1883.ru
4;POINT (4183463.5623999983 7490969.9463);6966.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1676;ГБОУ начальная школа - детский сад № 1676;117209, г.Москва, ул. Перекопская, д.12, корп.1;5189.61032955;-811.07212506;2108419.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;122-70-74;http://www.school1676.mosuzedu.ru
5;POINT (4173163.842 7485010.820299998);6969.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1850;ГБОУ начальная школа - детский сад компенсирующего вида № 1850;117133, г. Москва, ул. Тёплый Стан, дом 12 б;-634.419525;-4177.23404197;2108098.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;339-47-33;http://gbou1850.ru
6;POINT (4212475.0319 7498831.320699997);6912.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1760;ГБОУ начальная школа - детский сад № 1760;109143, г. Москва, ул. Привольная, д. 17, корп. 2;21570.7672879;3671.60525796;2700390.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;705-80-14;http://www.ou1760.narod.ru
7;POINT (4198556.187399998 7489556.721900001);6914.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1772;ГБОУ начальная школа - детский сад № 1772;109651,  г. Москва, ул. Донецкая, д. 6;13725.378125;-1590.30836962;2129548.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;356-36-01;http://ds1772.uvuo.ru
8;POINT (4174350.550999999 7492512.053199999);7334.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1853;ГБОУ начальная школа - детский сад № 1853;124575, г.Москва, Зеленоград, корп.1005А;37.178861999999995;55.985827;2106475.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;(499) 731-77-26;http://s1853.zouo.ru/
9;POINT (4198737.9188 7488662.7016);6918.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1892;ГБОУ начальная школа - детский сад № 1892;109651, г. Москва Донецкая ул., д. 21;13829.724625;-2094.50102624;2129546.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;356-03-84;http://www.ds1892.uvuo.ru
10;POINT (4177510.3592999987 7496137.4309);6970.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1851;ГБОУ начальная школа - детский сад № 1851;119311, г.Москва, ул. Крупской, д. 12Б;1822.58748743;2100.80344098;68158.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад компенсирующего вида;131-85-91;http://www.gou1851.ucoz.ru/
