1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9095177/4к от 08.11.12, 9095177/4к1 от 08.11.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Скаковая ул., д.19, стр.1;Северный;Беговой;"Общество с ограниченной ответственностью ""РАМКИН И ПАРТНЕРЫ""";7707673821;9095177/4к от 08.11.12;08.дек
9095153/8к от 15.10.12, 9095153/8к1 от 15.10.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""";7704520601;9095153/8к от 15.10.12, 9095153/8к1 от 15.10.12;15.ноя
9095525/9к от 06.12.12, 9095525/9к1 от 06.12.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""";7704520601;9095525/9к от 06.12.12;15.янв
9095480/к от 22.11.12, 9095480/к1 от 22.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Ленинградский просп., вл.72, стр.4;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Сокол Эстейт""";7743753529;9095480/к от 22.11.12;21.дек
9031480 от 19.10.12, 9031480/1 от 19.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Открытое ш., вл.14Д;Восточный;Богородское;"Открытое акционерное общество ""СПЕЦТРАНС""";5000001331;9031480 от 19.10.12, 9031480/1 от 19.10.12;18.дек
9031536 от 19.10.12, 9031536/1 от 19.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пер. Фигурный, вл.1;Восточный;Преображенское;"Закрытое акционерное общество ""ПРОМЕТЕЙ""";7709133483;9031536 от 19.10.12, 9031536/1 от 19.10.12;19.дек
9004323/1 от 16.10.12, 9004323/3 от 16.10.12;Ст.9.6 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Вавилова, д.57, г. Москва, ул. Вавилова, д.57, стр.1;Юго-Западный;Академический;"Государственное бюджетное учреждение культуры города Москвы ""Государственный Дарвиновский музей""";7704012037;9004323/1 от 16.10.12;17.дек
9095138/1 от 17.10.12, 9095138/2 от 17.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Бескудниковский бульв., вл.34, корп.1, стр.3;Северный;Бескудниковский;"Общество с ограниченной ответственностью ""ИВА-92""";7713008598;9095138 от 17.10.12;17.дек
9095412 от 24.10.12, 9095412/2 от 24.10.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, Дубнинская ул., вл.52;Северный;Восточное Дегунино;"Закрытое акционерное общество ""Научное Объединение Разработчиков Аэрокосмических Комплексов и Систем""";7714840713;9095412 от 24.10.12;06.дек
9021932 от 29.10.12, 9021932/2 от 29.10.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, пр. Огородный, вл.2А;Северо-Восточный;Бутырский;"Общество с ограниченной ответственностью ""ДЕРАС""";7715503118;9021932 от 29.10.12, 9021932/2 от 29.10.12;03.дек
9031536/2 от 19.10.12, 9031536/3 от 19.10.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, пер. Фигурный, вл.1;Восточный;Преображенское;"Закрытое акционерное общество ""ПРОМЕТЕЙ""";7709133483;9031536/2 от 19.10.12, 9031536/3 от 19.10.12;19.дек
9095413 от 24.10.12, 9095413/1 от 24.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Дмитровское ш., вл.37;Северный;Тимирязевский;"Общество с ограниченной ответственностью ""Консультационно-организационное агентство ""СОДЕЙСТВИЕ""";7713117854;9095413 от 24.10.12;24.дек
9041616/7к1 от 17.10.12, 9041616/7к2 от 17.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Шоссейная, вл.40, корп.1;Юго-Восточный;Печатники;"Некоммерческое партнерство ""Автостоянка 40/1""";7722282678;9041616/7к1 от 17.10.12, 9041616/7к2 от 17.10.12;17.дек
9094832/1 от 11.10.12, 9094832/2 от 11.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Нарвская, вл.6, корп.2;Северный;Войковский;"Общество с ограниченной ответственностью ""Консалт""";7713619942;9094832/1 от 11.10.12, 9094832/2 от 11.10.12;11.дек
9095233/1 от 15.10.12, 9095233/2 от 15.10.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Дмитровское ш., вл.80, стр.1;Северный;Бескудниковский;"Закрытое акционерное общество ""Атлантис""";7707635015;9095233 от 15.10.12;15.дек
9066941 от 21.06.12, 9066941/1 от 03.07.12;Ст.6.12;правонарушения в области землепользования;г. Москва, просп. 60-летия Октября, вл.9, стр.2;Юго-Западный;Академический;"Общество с ограниченной ответственностью ""Научно-производственное объединение ""Промтехсоюз""";7703159252;9066941 от 21.06.12, 9066941/1 от 03.07.12;21.окт
9031085 от 16.07.12, 9031085/1 от 16.07.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, Открытое ш., д.10;Восточный;Богородское;"Государственное бюджетное учреждение города Москвы ""Автомобильные дороги ВАО""";7727656790;9031085 от 16.07.12, 9031085/1 от 16.07.12;16.окт
9031457 от 30.10.12, 9031457/2 от 30.10.12;Ст.9.9 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. 3-я Гражданская, д.52;Восточный;Богородское;"Общество с ограниченной ответственностью ""Кошкаров Андрей Валерьевич""";7718244870;9031457 от 30.10.12, 9031457/2 от 30.10.12;10.янв
9021892/3 от 14.11.12, 9021892/4 от 14.11.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Пришвина, вл.26;Северо-Восточный;Бибирево;"Общество с ограниченной ответственностью ""СЛАВЦВЕТ""";7702159147;9021892/2 от 14.11.12;14.янв
9095546/п от 15.11.12, 9095546/п1 от 15.11.12;Ст.6.5 п.1;правонарушения в области землепользования;г. Москва, ул. Усиевича, вл.3;Северный;Аэропорт;"Жилищно-строительный кооператив ""Советское искусство""";7714036887;9095546/п от 15.11.12;15.дек
9095598 от 14.11.12, 9095598/1 от 14.11.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Планетная, д.26;Северный;Аэропорт;"Общество с ограниченной ответственностью ""Торговый Дом ""АДЪЮТАНТ-М""""";7736221160;9095598 от 14.11.12;14.фев
9018650 от 14.11.12, 9018650/1 от 14.11.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, Последний пер., д.12;Центральный;Мещанский;"Общество с ограниченной ответственностью ""ДИАЛОГ-КОНСАЛТИНГ""";7702625905;9018650 от 14.11.12;14.фев
9095399/1 от 10.12.12, 9095399/2 от 10.12.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, ул. 2-я Магистральная, вл.18, стр.8;Северный;Хорошевский;"Закрытое акционерное общество ""Межрегиональное объединение ""ТЕХИНКОМ""";7712023392;9095399 от 10.12.12;28.дек
9095663 от 14.12.12, 9095663/1 от 14.12.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 3-я Подрезковская, вл.14, стр.2;Северный;Молжаниновский;"Общество с ограниченной ответственностью ""Магазин №66""";7712030400;9095663 от 14.12.12;14.мар
9095711 от 22.11.12, 9095711/1 от 22.11.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Большая Академическая, д.6, корп.1;Северный;Коптево;"Общество с ограниченной ответственностью ""МАКС-XXI""";7716528718;9095711 от 22.11.12, 9095711/1 от 22.11.12;22.фев
9095589 от 29.11.12, 9095589/1 от 29.11.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Ивана Сусанина, вл.1;Северный;Западное Дегунино;"Общество с ограниченной ответственностью ""МЖК ""КРАСНЫЙ СЕВЕРЯНИН""""";7711008151;9095589 от 29.11.12;29.янв
9004322/1 от 09.11.12, 9004322/2 от 09.11.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пос. Терехово, стр.1;Северо-Западный;Хорошево-Мневники;"Общество с ограниченной ответственностью ""Магазин Новохорошевский-2""";7734127780;9004322/1 от 09.11.12;09.янв
9067775 от 31.10.12, 9067775/1 от 31.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Болотниковская, вл.38;Юго-Западный;Зюзино;"Общество с ограниченной ответственностью ""ТОРОПИН М""";7726336540;9067775 от 31.10.12, 9067775/1 от 31.10.12;31.дек
9031457/1 от 31.10.12, 9031457/3 от 31.10.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. 3-я Гражданская, д.52;Восточный;Богородское;"Общество с ограниченной ответственностью ""ЭнергоПрогресс""";7710650729;9031457/1 от 31.10.12, 9031457/3 от 31.10.12;10.янв
9067935/1 от 31.10.12, 9067935/2 от 31.10.12;Ст.9.7 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Вавилова, д.60, корп.2;Юго-Западный;Гагаринский;"Региональная общественная организация содействия возрождению столицы ""Форум""";7736178941;9067935/1 от 31.10.12, 9067935/2 от 31.10.12;01.дек
9031535 от 30.10.12, 9031535/1 от 30.10.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Открытое ш., вл.2;Восточный;Богородское;"Общество с ограниченной ответственностью ""Компания ""Кассия""";7728167008;9031535 от 30.10.12, 9031535/1 от 30.10.12;29.дек
9021892 от 08.11.12, 9021892/2 от 08.11.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Белозерская ул., вл.12А;Северо-Восточный;Бибирево;"Общество с ограниченной ответственностью ""АСИФ""";7715017630;9021892 от 08.11.12;10.янв
9068506/2 от 12.11.12, 9068506/3 от 12.11.12;Ст.9.7 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Кедрова, д.4, корп.3;Юго-Западный;Академический;"Общество с ограниченной ответственностью ""Спацифилум""";7705359472;9068506/2 от 12.11.12, 9068506/3 от 12.11.12;12.фев
9095537 от 01.11.12, 9095537/1 от 01.11.12;Ст.6.12;правонарушения в области землепользования;г. Москва, бульв. Кронштадтский, вл.7;Северный;Головинский;"Общество с ограниченной ответственностью ""АНАСТАСИЯ и И""";7712094481;9095537 от 01.11.12;01.янв
9018599 от 08.11.12, 9018599/1 от 08.11.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, пер. Малый Сухаревский, вл.4;Центральный;Мещанский;"Общество с ограниченной ответственностью ""ЕВРОПАРУС""";7703590420;9018599 от 08.11.12;27.ноя
9018879 от 18.12.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Пятницкая ул., вл.25;Центральный;Замоскворечье;Индивидуальный предприниматель Кобель Кристина Валерьевна;7,72E+11;9018879 от 18.12.12;18.янв
9050029 от 17.02.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ш. Каширское, вл.25Б;Южный;Нагатино-Садовники;"Закрытое акционерное общество ""ДевятСилл""";7708009290;9050029 от 17.02.12;17.июн
9051025 от 06.07.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ш. Каширское, вл.25Б;Южный;Нагатино-Садовники;"Закрытое акционерное общество ""ДевятСилл""";7708009290;9051025 от 06.07.12;06.сен
9018833 от 18.12.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Новокузнецкая, д.43/16, стр.2;Центральный;Замоскворечье;"Общество с ограниченной ответственностью ""Люция""";7716713220;9018833 от 18.12.12;25.янв
9003164 от 21.02.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Гороховский, вл.12, стр.4;Центральный;Басманный;"Общество с ограниченной ответственностью  ""Стройинтерсервис""";7719102205;9003164 от 21.02.12;21.авг
9004345/1 от 02.11.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Лазо, д.7, г. Москва, ул. Лазо, д.7, стр.2;Восточный;Перово;"Государственное автономное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";7720048778;9004345/1 от 02.11.12;14.янв
9031342 от 18.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Новокосинская, вл.35/5;Восточный;Новокосино;"Общество с ограниченной ответственностью ""Фабрика № 4 по ремонту и пошиву обуви""";7719007583;9031342 от 18.09.12;25.окт
9004345 от 02.11.12;Ст.6.6 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Лазо, вл.7;Восточный;Перово;"Государственное автономное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";7720048778;9004345 от 02.11.12;14.янв
9017971/к от 03.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Большая Дмитровка, вл.7/5;Центральный;Тверской;"Общество с ограниченной ответственностью ""ЭЛЬДОРАДО ТРЕЙДИНГ ЛИМИТЕД""";7706010998;9017971/к от 03.09.12;17.окт
9003713 от 03.08.12;Ст.6.8 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. 1-я Останкинская, вл.7а;Северо-Восточный;Останкинский;"Государственное унитарное предприятие города Москвы ""Культурно-спортивный парковый комплекс ""Останкино""";7717054919;9003713 от 03.08.12;03.окт
9017806/к от 15.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Большая Дмитровка, вл.7/5, стр.1;Центральный;Тверской;"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""";7704520601;9017806/к от 15.08.12;28.сен
9017914 от 13.09.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Большой Строченовский, вл.25;Центральный;Замоскворечье;"Общество с ограниченной ответственностью ""Строченовский""";7705046790;9017914 от 13.09.12;13.ноя
9021711 от 15.10.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, Алтуфьевское ш., д.62В;Северо-Восточный;Алтуфьевский;"Общество с ограниченной ответственностью ""Спецавтоматикамонтаж""";7716138027;9021711 от 15.10.12;20.янв
9017381 от 19.06.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Большой Строченовский, вл.25;Центральный;Замоскворечье;"Общество с ограниченной ответственностью ""Строченовский""";7705046790;9017381 от 19.06.12;19.авг
9018614 от 22.11.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Большой Строченовский, вл.25;Центральный;Замоскворечье;"Общество с ограниченной ответственностью ""Строченовский""";7705046790;9018614 от 22.11.12;22.янв
9021008 от 22.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, пр. Анадырский, (у ж/д ст. ""Лосиноостровская"")";Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Садко трейдинг""";7731100885;9021008 от 03.07.12;03.авг
9021490 от 30.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, пр. Анадырский, (у ж/д ст. ""Лосиноостровская"")";Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Садко трейдинг""";7731100885;9021490 от 30.08.12;12.окт
9020362 от 12.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, у ж/д платформы ""Северянин""";Северо-Восточный;Ярославский;"Общество с ограниченной ответственностью ""М-97""";7717044879;9020362 от 12.03.12;12.июн
9020361 от 12.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пр. Анадырский, (у ж/д ст. Лосиноостровская);Северо-Восточный;Лосиноостровский;"Общество с ограниченной ответственностью ""Садко трейдинг""";7731100885;9020361 от 12.03.12;12.июн
9068726/3к от 07.12.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, бульв. Симферопольский, д.4А;Юго-Западный;Зюзино;Индивидуальный предприниматель Алоян Самвел Ильич;7,71E+11;9068726/3к от 07.12.12;07.мар
9017749/к от 01.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Камергерский, вл.3;Центральный;Тверской;"Общество с ограниченной ответственностью ""ЭКСПО ТРЭВЕЛ""";7710311814;9017749/к от 01.08.12;01.сен
9017807/4к от 16.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Большая Дмитровка, вл.7/5;Центральный;Тверской;"Общество с ограниченной ответственностью ""Фирма Сервис-ХХI век""";7710077032;9017807/4к от 16.08.12;15.окт
9004032 от 26.09.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Донецкая ул., вл.134, г. Москва, Донецкая ул., пересечение с ул. Перерва, вл 134;Юго-Восточный;Марьино;"Общество с ограниченной ответственностью Фирма ""Мегаполис-1""";7723117620;9004032 от 26.09.12;26.ноя
9017737/3к от 30.07.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пр. Минаевский, вл.7;Центральный;Тверской;"Общество с ограниченной ответственностью ""ТрансКомИнтекс""";7737127788;9017737/3к от 30.07.12;30.сен
9020391 от 23.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. Череповецкая, (ост. ""ул. Череповецкая, д.14"", от центра)";Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020391 от 23.03.12;23.июн
9020392 от 23.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. Череповецкая, (ост. ""ул. Новгородская"", от центра)";Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020392 от 23.03.12;23.июн
9020961 от 26.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Абрамцевская ул., вл.2;Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020961 от 04.07.12;03.сен
9020393 от 23.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Абрамцевская ул., вл.2;Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020393 от 23.03.12;23.июн
9020962 от 26.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. Череповецкая, (ост. ""ул. Череповецкая, д. 14"")";Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020962 от 04.07.12;03.сен
9020963 от 26.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. Череповецкая, (ост. ""ул. Новгородская, от центра"")";Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9020963 от 04.07.12;03.сен
9021565 от 19.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. Череповецкая, (ост. ""ул. Новгородская, от центра"")";Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью фирма ""Мария-сервис""";7731014587;9021565 от 19.09.12;03.ноя
9041923/к от 28.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Душинская, вл.14;Юго-Восточный;Лефортово;"Общество с ограниченной ответственностью ""Кумир-С""";7722073297;9041923/к от 28.11.12;09.янв
9051783 от 07.11.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Красного Маяка, Варшавское шоссе пересечение;Южный;Чертаново Центральное;"Общество с ограниченной ответственностью ""Торговый центр Пражский""";7726210339;9051783 от 07.11.12;07.янв
9004380/к от 12.11.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Большая Семеновская, д.20А;Восточный;Соколиная Гора;"Общество с ограниченной ответственностью ""МИФ НА САДОВОЙ""";7716117115;9004380/к от 12.11.12;12.фев
9003356/к от 14.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Авиационная, вл.79, подмостовое Строгинского моста пространство (береговая полоса Москва-реки);Северо-Западный;Щукино;"Общество с ограниченной ответственностью ""Гранд Марин Групп""";7734659287;9003356/к от 14.06.12;14.авг
9003924 от 28.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Авиационная, вл.79, береговая полоса Москва-реки, подмостовое пространство Строгинского моста;Северо-Западный;Щукино;"Общество с ограниченной ответственностью ""Гранд Марин Групп""";7734659287;9003924 от 28.08.12;28.сен
9021430 от 31.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Мира, вл.114Б;Северо-Восточный;Алексеевский;Индивидуальный предприниматель Асатурянц Тигран Рафаелович;7,72E+11;9021430 от 31.08.12;01.окт
9020620 от 13.04.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Мира, вл.114Б;Северо-Восточный;Алексеевский;Индивидуальный предприниматель Асатурянц Тигран Рафаелович;7,72E+11;9020620 от 13.04.12;16.июл
9101568/к1 от 02.02.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, г. Зеленоград, Промзона ЦИЭ, корп.А3;Зеленоград;Крюково;"Общество с ограниченной ответственностью ""Логистик-Сити""";7731196545;9101568/к1 от 02.02.12;02.май
9101764/2к1 от 12.05.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, г. Зеленоград, Промзона ЦИЭ, корп.А3;Зеленоград;Крюково;"Общество с ограниченной ответственностью ""Логистик-Сити""";7731196545;9101764/2к1 от 12.05.12;12.авг
9095422 от 19.11.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. 800-летия Москвы, вл.14;Северный;Восточное Дегунино;"Общество с ограниченной ответственностью ""ФЕНИКС-ДОК""";7721021930;9095422 от 19.11.12;19.янв
9076287/3к2 от 22.12.11;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, просп. Вернадского, с Ленинским проспектом (вблизи вл.158) пересечение;Западный;Тропарево-Никулино;"Общество с ограниченной ответственностью ""МАСТЕР-Сервис""";7729526122;9076287/3к2 от 22.12.11;22.мар
9093734/к2 от 03.02.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Михалковская, вл.63Б, стр.1;Северный;Коптево;"Общество с ограниченной ответственностью ""СТРОЙМАРКЕТ""";7743535337;9093734/к2 от 03.02.12;03.апр
9102007 от 15.10.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, г. Зеленоград, корп.1624Б;Зеленоград;Крюково;"Общество с ограниченной ответственностью ""ДИЛИЖАН""";7735060707;9102007 от 15.10.12;15.дек
9021246 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, Останкинский пр., (ост. ""ВВЦ-южн."", из центра)";Северо-Восточный;Останкинский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021246 от 20.08.12;20.ноя
9021245 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, пр. Лианозовский, (ост. ""пл. Лианозово"")";Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021245 от 20.08.12;20.ноя
9021247 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;"г. Москва, ул. 1-я Останкинская, (ост. ""ул. Хованская"")";Северо-Восточный;Останкинский;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021247 от 20.08.12;20.ноя
9021250 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пр. Шокальского, вл.43;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021250 от 20.08.12;20.ноя
9021249 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Полярная, вл.48;Северо-Восточный;Северное Медведково;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021249 от 20.08.12;20.ноя
9021242 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Абрамцевская ул., вл.24, ОТМ № 1;Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021242 от 20.08.12;20.ноя
9021243 от 20.08.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Абрамцевская ул., вл.24, ОТМ № 2;Северо-Восточный;Лианозово;"Общество с ограниченной ответственностью ""Люмакс-Линк""";7721191869;9021243 от 20.08.12;20.ноя
9017165/2к от 07.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Воздвиженка, вл.3;Центральный;Арбат;"Общество с ограниченной ответственностью ""Фирма ""Пеликан""";7704036253;9017165/2к от 07.06.12;07.сен
9017165/2к1 от 07.06.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Большой Николопесковский, вл.1;Центральный;Арбат;"Общество с ограниченной ответственностью ""Фирма ""Пеликан""";7704036253;9017165/2к1 от 07.06.12;07.сен
9003414/2к от 15.05.12;Ст.9.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Волков, д.4;Центральный;Пресненский;"Общество с ограниченной ответственностью  ""Арендное проектно-промышленно-строительное объединение""";7703066270;9003414/2к от 15.05.12;17.сен
9093857 от 05.03.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Куусинена, д.4, корп.2;Северный;Хорошевский;"Общество с ограниченной ответственностью ""ФОРВАРД-ТЕХНОСТРОЙ""";7721172930;9093857 от 05.03.12;05.июн
9094709 от 13.09.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Дмитровское ш., вл.102А;Северный;Восточное Дегунино;"Общество с ограниченной ответственностью ""Производственно-монтажный комбинат ""ПРОМОКОМ""";7713093378;9094709 от 13.09.12;13.ноя
9093791/к от 27.02.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, Дмитровское ш., вл.102А;Северный;Восточное Дегунино;"Общество с ограниченной ответственностью ""Производственно-монтажный комбинат ""ПРОМОКОМ""";7713093378;9093791/к от 27.02.12;27.авг
9094439 от 27.06.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Куусинена, д.4, корп.2;Северный;Хорошевский;"Общество с ограниченной ответственностью ""ФОРВАРД-ТЕХНОСТРОЙ""";7721172930;9094439 от 11.07.12;11.окт
9093791/к2 от 27.02.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, Дмитровское ш., вл.102А;Северный;Восточное Дегунино;"Общество с ограниченной ответственностью ""Производственно-монтажный комбинат ""ПРОМОКОМ""";7713093378;9093791/к2 от 27.02.12;27.июл
9004623 от 10.12.12;Ст.9.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Мантулинская, д.5, стр.20;Центральный;Пресненский;"Закрытое акционерное общество ""ЕВРОЛОТ""";7731215036;9004623 от 10.12.12;10.фев
9004623/к1 от 10.12.12;Ст.9.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Мантулинская, д.5, стр.21;Центральный;Пресненский;"Закрытое акционерное общество ""ЕВРОЛОТ""";7731215036;9004623/к1 от 10.12.12;10.фев
9018374/к от 06.11.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Большой Спасоглинищевский, вл.10, стр.1-3;Центральный;Басманный;"Местная религиозная организация ""Московская еврейская религиозная община""";7709122435;9018374/к от 06.11.12;20.янв
9018019/к от 26.09.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Покровка, вл.28;Центральный;Басманный;"Местная религиозная организация ""Московская еврейская религиозная община""";7709122435;9018019/к от 26.09.12;26.ноя
