1_Протокол;1_Статья;1_Категория нарушения;1_Адреса проверок;1_Административный округ;1_Район;1_Наименование нарушителя;1_ИНН;1_Предписание;1_Устранить до
9016835 от 01.03.12;Ст.9.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, пер. Старопименовский, д.6;Центральный;Тверской;"Общество с ограниченной ответственностью ""Декстэр-тур""";7734231170;9016835 от 01.03.12;01.июн
9003195/12к от 01.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пр. Сокольнического Круга, вл.11;Восточный;Сокольники;"Общество с ограниченной ответственностью ""КОНВЭНТ""";7708127286;9003195/12к от 01.03.12;02.июл
9076734 от 01.03.12;Ст.6.5 п.2;неисполнение законных требований контролирующего органа;г. Москва, ш. Очаковское, вл.40;Западный;Очаково-Матвеевское;"Общество с ограниченной ответственностью ""ПК Спецстальконструкция""";7730611848;9076734 от 01.03.12;01.июн
9050106 от 28.02.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пр. Канатчиковский, вл.13;Южный;Донской;"ООО "" Строительно - производственная компания "" ВЕЛИКОРОСС """;7704055915;9050106 от 28.02.12;27.авг
9016826 от 02.03.12;Ст.9.6 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, 1-й Коптельский пер., д.14, стр.1;Центральный;Красносельский;"Центральная окружная организация Московской городской организации Общероссийской общественной организации ""Всероссийское общество инвалидов""";7725122182;9016826 от 02.03.12;02.сен
9066254 от 01.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Варшавское ш., вл.166;Юго-Западный;Северное Бутово;"Общество с ограниченной ответственностью ""Старт-2""";7726022889;9066254 от 01.03.12;01.сен
9066202 от 02.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, метро Каховская, (западный вестибюль), г. Москва, ул. Каховка, вл.15, г. Москва, ул. Каховка, вл.27;Юго-Западный;Зюзино;"Закрытое акционерное общество ""Серж Компани""";7714096621;9066202 от 02.03.12;29.авг
9016826/1 от 02.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, 1-й Коптельский пер., д.14, стр.1;Центральный;Красносельский;"Центральная окружная организация Московской городской организации Общероссийской общественной организации ""Всероссийское общество инвалидов""";7725122182;9016826/1 от 02.03.12;
9040297/4к от 01.03.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Федора Полетаева, д.34;Юго-Восточный;Кузьминки;"Общество с ограниченной ответственностью ""ВОТУМ-7""";7725602622;9040297/4к от 01.03.12;01.июл
9020221 от 12.03.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, ул. Снежная, вл.16, корп.1;Северо-Восточный;Свиблово;"Общество с ограниченной ответственностью ""ЕВРОЮНИТ""";7701178644;9020221 от 12.03.12;12.авг
9003160/8к от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Ворошиловский парк, вл.27;Западный;Филевский Парк;"Общество со граниченной ответственностью ""ИНТЭС""";7710262130;9003160/8к от 12.03.12;13.июн
9093989 от 13.03.12;Ст.9.5 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственностью ""ДАХНА";7715856730;9093989 от 13.03.12;01.июн
9003246/6 от 13.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. 1-я Пугачевская, вл.31А;Восточный;Преображенское;"Общество с ограниченной ответственностью ""Производственное Объединение Щитэлектрокомплект""";7718622113;9003246/6 от 13.03.12;13.июл
9020378 от 12.03.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, ул. Полярная, вл.39Б;Северо-Восточный;Северное Медведково;"Открытое акционерное общество ""КАДОШ""";7715019725;9020378 от 12.03.12;12.май
9050421 от 13.03.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Дербеневская, д.10;Южный;Даниловский;"Общество с ограниченной ответственностью ""Торговое объединение Конверсия""";7729105396;9050421 от 13.03.12;13.сен
9076777 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Гришина, д.20;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве;7731139836;9076777 от 12.03.12;12.сен
9093697 от 13.03.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Дмитровское ш., вл.102, корп.2;Северный;Бескудниковский;"Открытое акционерное общество ""Ремонтно-строительное управление № 3""";7713085313;9093697 от 13.03.12;13.июн
9093697/2 от 13.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Дмитровское ш., вл.102, корп.2;Северный;Бескудниковский;"Открытое акционерное общество ""Ремонтно-строительное управление № 3""";7713085313;9093697/2 от 13.03.12;13.июн
9093868/4к1 от 07.03.12;Ст.9.9 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Усиевича, д.12;Северный;Аэропорт;"Общество с ограниченной ответственность ""Киноконцертный  Комплекс Баку""";7704245296;9093868/4к1 от 07.03.12;01.июн
9076893 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Молодогвардейская, вл.27;Западный;Кунцево;"Общество с ограниченной ответственностью ""Мелроз-ТК""";7728551260;9076893 от 12.03.12;12.июн
9050261 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, бульв. Ореховый, вл.43, напротив;Южный;Зябликово;"Потребительский автостояночный кооператив ""Алекс-Д""";7724209867;9050261 от 12.03.12;12.сен
9003125/5 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Красный Казанец, вл.18А;Восточный;Вешняки;"Закрытое акционерное общество ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЛИКО""";7719133482;9003125/5 от 12.03.12;12.июл
9076956 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Малая Филевская, вл.20, напротив;Западный;Фили-Давыдково;"Общество с ограниченной ответственностью ""Мелроз-ТК""";7728551260;9076956 от 12.03.12;12.июн
9003246/5 от 13.03.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, ул. 1-я Пугачевская, вл.31А;Восточный;Преображенское;"Открытое акционерное общество ""Восток Эко Транс""";7718561492;9003246/5 от 13.03.12;13.июл
9076800/1 от 12.03.12;Ст.9.5;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Лобачевского, д.66А;Западный;Проспект Вернадского;"Общество с ограниченной ответственностью ""МегаТрейд""";7729649950;9076800/1 от 12.03.12;13.июн
9003124/14 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, пл. Ганецкого, вл.1;Северный;Войковский;"Открытое акционерное общество ""Лотереи Москвы""";7715215381;9003124/14 от 12.03.12;07.июн
9040442 от 13.03.12;Ст.6.11;правонарушения в области землепользования;г. Москва, ул. Люблинская, пересечение с ул. Перерва;Юго-Восточный;Марьино;"Общество с ограниченной ответственностью ""Ка Центр""";7729510299;9040442 от 13.03.12;13.авг
9093854 от 13.03.12;Ст.6.7 п.1;правонарушения в области землепользования;г. Москва, Дмитровское ш., вл.102, корп.2;Северный;Бескудниковский;"Общество с ограниченной ответственностью ""Ковер-Блок""";7717529697;9093854 от 13.03.12;13.июн
9076771 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ш. Сколковское, д.26, корп.2;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве.;7731139836;9076771 от 12.03.12;12.сен
9066219 от 14.03.12;Ст.6.7 п.2;неисполнение законных требований контролирующего органа;г. Москва, ул. Обручева, вл.23, и по Старокалужскому шоссе;Юго-Западный;Обручевский;"Открытое акционерное общество ""Автокомбинат №12""";7728013537;9066219 от 14.03.12;15.авг
9003181 от 13.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, Профсоюзная ул., вл.138;Юго-Западный;Теплый Стан;"Гаражно-потребительский кооператив ""Мираж""";7728170748;9003181 от 13.03.12;13.июн
9101669/п1 от 13.03.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, г. Зеленоград, пр. № 5500, д.15, стр.1, 2;Зеленоград;Савелки;"Общество с ограниченной ответственностью ""Фирма Зеленоградстрой""";7735108412;9101669/п1 от 13.03.12;13.июн
9066222/1 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Каховка, вл.29А;Юго-Западный;Черемушки;"Общество с ограниченной ответственностью ""Фаст""";7727077753;9066222/1 от 12.03.12;12.июл
9066222 от 12.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Каховка, вл.29А;Юго-Западный;Черемушки;"Общество с ограниченной ответственностью ""Фаст""";7727077753;9066222 от 12.03.12;12.июл
9003123/6 от 12.03.12;Ст.6.12;правонарушения в области землепользования;"г. Москва, пр. Локомотивный, вл.3-5, (метро ""Петровско-Разумовская"")";Северный;Тимирязевский;"Общество с ограниченной ответственностью ""АФОН 2000""";7718184011;9003123/6 от 12.03.12;20.апр
9101669/2 от 13.03.12;Ст.6.9 п.2;правонарушения в области землепользования;г. Москва, г. Зеленоград, пр. 3-й Западный, д.11, стр.1,2,3,4,4А,5,6,7,9,10,11;Зеленоград;Силино;"Общество с ограниченной ответственностью ""Фирма Зеленоградстрой""";7735108412;9101669/2 от 13.03.12;13.июн
9020343 от 13.03.12;Ст.6.12;правонарушения в области землепользования;г. Москва, ул. Енисейская, вл.11;Северо-Восточный;Бабушкинский;"Общество с ограниченной ответственностью ""Кофе Хаус.Эспрессо и Капучино Бар""";7704207300;9020343 от 13.03.12;13.июл
9076768 от 12.03.12;Ст.9.4;правонарушения в области использования объектов нежилого фонда;г. Москва, Можайское ш., д.15;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве;7731139836;9076768 от 12.03.12;12.июн
9076775 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Толбухина, д.5, корп.2;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве;7731139836;9076775 от 12.03.12;12.сен
9076770 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ш. Сколковское, д.18;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве;7731139836;9076770 от 12.03.12;12.сен
9076774 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Маршала Неделина, д.34, корп.1;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве;7731139836;9076774 от 12.03.12;12.сен
9076778 от 12.03.12;Ст.9.8 п.1;правонарушения в области использования объектов нежилого фонда;г. Москва, ул. Багрицкого, д.61;Западный;Можайский;Муниципалитет внутригородского муниципального образования Можайское в городе Москве.;7731139836;9076778 от 12.03.12;12.сен
9030259 от 12.03.12;Ст.9.8 п.3;неисполнение законных требований контролирующего органа;г. Москва, ул. Новокосинская, д.47;Восточный;Новокосино;"Общество с ограниченной ответственностью ""Компания Ориент-Сервис""";7720221535;9030259 от 12.03.12;12.июл
