0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4164523.9989 7507412.490699999);644.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  с углубленным изучением иностранного языка № 1293;ГБОУ СОШ № 1293;121552 г.Москва, ул. Оршанская, д. 10, корп.1;-5506.6755;8456.57148992;2127078.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;140-34-89;http://schu1293.mskzapad.ru/
2;POINT (4173642.1499000005 7483172.487599999);6621.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1267;ГБОУ СОШ № 1267;117465, г.Москва, ул. Теплый Стан, дом 13, корп. 4;-363.90305;-5215.35372117;3000615.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;337-68-11;http://1267.mosuzedu.ru
3;POINT (4182245.7278999984 7491008.068899997);6634.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1385;ГБОУ СОШ № 1385;117209, г. Москва, улица Перекопская, дом 21;4501.03075;-790.30207343;2108482.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;331-80-11;http://www.school1385.ru
4;POINT (4161441.743999999 7539335.559199996);6717.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1387;ГБОУ СОШ № 1387;125466, г. Москва, улица Соколово - Мещерская, дом 27;-7215.1198;26394.7416853;3305424.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 401-99-98;http://school1387.ru
5;POINT (4174351.320799999 7492511.688000001);6802.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением экономики № 188;ГБОУ СОШ № 188;127473 г.Москва, 3-ий Самотечный пер., д.14;37.614073;55.779754;2111195.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;688-22-54;http://188school.ru
6;POINT (4187386.2760000005 7516536.533299997);7080.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1414;ГБОУ СОШ № 1414;127018, г. Москва, ул. Советской Армии, д. 9;7383.59346864;13592.6335937;2307676.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;689-02-98;http://schu1414.svao.mskobr.ru/
7;POINT (4194863.940699998 7535540.829700001);7083.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языков № 1955;ГБОУ СОШ № 1955;129345, г. Москва, улица Тайнинская, дом 15, корпус 3;11569.3885821;24275.3062684;2301409.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 185-18-42;http://schu1955.svao.mskobr.ru
8;POINT (4173048.8095999993 7518538.982799999);6707.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212;ГБОУ СОШ № 1212;123060, г. Москва, ул. Маршала Рыбалко, д. 14;-695.77760721;14712.6201806;2114863.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 728-40-02;http://www.ds1106.mskobr.ru
9;POINT (4166333.797600001 7529943.7146999985);6710.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286;ГБОУ СОШ № 1286;125480, г. Москва, ул. Героев Панфиловцев, д. 15;-4472.06125;21121.8996428;2136751.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 496-36-25; (495) 495-74-01";http://www.ds258.mskobr.ru
10;POINT (4157777.726300001 7527080.921400003);6720.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1944;ГБОУ СОШ № 1944;125368, г. Москва, ул. Барышиха, д. 17, корп. 1;-9288.8074;19522.3614598;3301182.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 754-08-11;http://www.dsovp2400.mskobr.ru
