"0_UID";"1_Название объекта";"1_Адрес";"0_Координата X";"0_Координата Y";"1_Наименование парка";"1_Имя WiFi сети";"1_Зона покрытия (метры)";"1_Условия доступа"
1288;"Wi-Fi точка №5";"Тихая улица, дом 23";15535,3691;2290,6416;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Люблино""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1289;"Wi-Fi точка №2";"Менжинского улица, дом 6";11451,7818;22218,7012;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Бабушкинский"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1290;"Wi-Fi точка №3";"Менжинского улица, дом 6";11524,9393;22230,7397;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Бабушкинский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1291;"Wi-Fi точка №4";"Менжинского улица, дом 6";11557,3508;22343,717;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Бабушкинский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1292;"Wi-Fi точка №5";"Менжинского улица, дом 6";11624,952;22431,6912;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Бабушкинский"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1293;"Wi-Fi точка №6";"Менжинского улица, дом 6";11686,9969;22451,1381;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Бабушкинский""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1294;"Wi-Fi точка №2";"Угличская улица, дом 13";4383,2917;25997,2233;"Государственное учреждение культуры города Москвы ""Лианозовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1295;"Wi-Fi точка №3";"Угличская улица, дом 13";4474,044;25902,7669;"Государственное учреждение культуры города Москвы ""Лианозовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1296;"Wi-Fi точка №4";"Уличская улица, дом 13";4576,8348;26063,8984;"Государственное учреждение культуры города Москвы ""Лианозовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1297;"Wi-Fi точка №5";"Угличская улица, дом 13";4644,436;26095,3839;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1298;"Wi-Fi точка №6";"Угличская улица, дом 13";4688,4892;26013,4952;"Государственное учреждение культуры города Москвы ""Лианозовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1299;"Wi-Fi точка №7";"Угличская улица, дом 13";4672,6141;25887,8179;"Государственное учреждение культуры города Москвы ""Лианозовский парк культуры и отдыха"" ";"Wi-Fi точка №";20;"открытая сеть"
1300;"Wi-Fi точка №8";"Угличская улица, дом 13";4568,1035;25809,7656;"Государственное учреждение культуры города Москвы ""Лианозовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1301;"Wi-Fi точка №2";"Лазо улица, дом 7";17229,6319;8090,386;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
1302;"Wi-Fi точка №3";"Лазо улица, дом 7";17372,5072;8081,3902;"Государственное учреждение культуры города Москвы ""Перовский парк культуры и отдыха"" ";"Moscow_Wi-Fi_Free";20;"открытая сеть"
