0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
573;25186241;77:06:0003005:25;ул Профсоюзная (г Москва, ул Профсоюзная, вл 22/10, корпус 1);1067; ;ЭКСПЛУАТАЦИИ ПРОГУЛОЧНОЙ ПЛОЩАДКИ БЕЗ ПРАВА ИЗМЕНЕНИЯ ФУНКЦИОНАЛЬНОГО НАЗНАЧЕНИЯ
574;25186571;77:06:0011002:29;ул Старокачаловская (г Москва, ул Старокачаловская, вл 22, корпус 1);7560; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
575;25270889;77:01:0001035:58;проезд Лубянский (г Москва, проезд Лубянский, вл 3/6, стр 6);1199; ;эксплуатации здания под административные цели
576;25305206;77:07:0004001:6;ул Академика Павлова (г Москва, ул Академика Павлова, вл 15);36335; ;СТРОИТЕЛЬСТВА И ПОСЛЕДУЮЩЕЙ ЭКСПЛУАТАЦИИ ЛЕЧЕБНО-РЕАБИЛИТАЦИОННОГО КОРПУСА С ПЕРЕХОДОМ К СУЩЕСТВУЮЩЕМУ ДОМУ-ИНТЕРНАТУ
577;25275372;77:05:0011007:59;ул Воронежская (г Москва, ул Воронежская, вл 28, корпус 2);6050; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
578;25170710;77:02:0018012:9;ул 1-я Останкинская (г Москва, ул 1-я Останкинская, вл 29);14539; ;эксплуатации здания школы
579;25275046;77:05:0001007:45;ул Лестева (г Москва, ул Лестева, вл 13);4726; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
580;25170479;77:01:0006028:7;ул Николоямская (г Москва, ул Николоямская, вл 33);10228; ;ЭКСПЛУАТАЦИИ МЕДИЦИНСКОГО УЧИЛИЩА
581;25171104;77:06:0006005:7;ул Профсоюзная (г Москва, ул Профсоюзная, вл 110, корпус 5);2674; ;эксплуатации здания под служебные цели
582;25185759;77:05:0007001:59;ул Днепропетровская (г Москва, ул Днепропетровская, вл 23 А);7849; ;эксплуатации существующего здания детского сада с прилегающим земельным участком
583;25184558;77:03:0006025:63;ул Саянская (г Москва, ул Саянская, вл 15В);8468; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА (БЕЗ ПРАВА ПЕРЕПРОФИЛИРОВАНИЯ) И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
584;25188977;77:10:0006003:47; (г Москва, 15-й микрорайон г Зеленограда, корпус 1547);10187; ;эксплуатации здания с целью организации учебно-воспитательного процесса детей
585;25275383;77:05:0011001:76;ул Маршала Захарова (г Москва, ул Маршала Захарова, вл 15);10365; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
586;25274440;77:04:0003005:40;ул Трофимова (г Москва, ул Трофимова, вл 30, корпус 1);8512; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
587;25229709;77:04:0004019:60;проезд Батайский (г. Москва, Батайский пр., вл. 47);14209; ;земельные участки, предназначенные для размещения объектов образования (1.2.7)
588;25170908;77:06:0002011:2;ул Шверника (г Москва, ул Шверника, вл 10, стр 1,2);10105; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
589;25184441;77:03:0005009:25;ул Парковая 3-я (г Москва, 3-я Парковая улица, вл 46, стр 1);5042; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
590;25183218;77:02:0014007:20;проезд Чукотский (г Москва, Чукотский проезд, вл 4, корпус 2);9604; ;эксплуатации здания детского сада
591;25185945;77:05:0009002:98;проезд Булатниковский (г Москва, проезд Булатниковский, вл 10А);10078; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
592;25185022;77:04:0002001:13;ул 3-я Карачаровская (г. Москва, ул. 3-я Карачаровская, вл. 3);3477; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
593;25497864;77:04:0002014:41;ул Новокузьминская 1-я (г Москва, ул 1-я Новокузьминская, вл 20, корпус 4);10800; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
594;25433226;77:05:0008007:124;ш Варшавское (г Москва, ш Варшавское, вл 172);12393;Аренда;эксплуатации зданий и строений дорожно-эксплуатационного комплекса по обслуживанию МКАД
