0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
1;25230443;77:05:0011001:92;ул Маршала Захарова (г Москва, ул Маршала Захарова, вл 8, корпус 1);19093; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2;25232993;77:09:0002024:30;ул Ивана Сусанина (г Москва, ул Ивана Сусанина, вл 4А);12630; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
3;25230126;77:05:0004007:63;ул Судостроительная (г Москва, ул Судостроительная, вл 11, корпус 2);9295; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
4;25227711;77:02:0014009:11;ул Вересковая (г Москва, ул Вересковая, вл 16а, стр 1);4341; ;эксплуатации здания детского сада
5;25227362;77:01:0006039:13;ул Иерусалимская (г Москва, ул Иерусалимская, вл 4, стр 1,3);2700;Аренда;эксплуатации поликлиники
6;25317549;77:02:0008008:55;ул Декабристов (г Москва, ул Декабристов, вл 34А);8742; ;эксплуатации здания детского сада
7;25273147;77:02:0023008:60;ул Маломосковская (г Москва, ул Маломосковская, вл 9а);4461; ;использования территории и эксплуатации здания дошкольного образовательного учреждения
8;25272488;77:02:0002012:66;ул Пришвина (г Москва, ул Пришвина, д 19а);8821; ;ИСПОЛЬЗОВАНИЯ ТЕРРИТОРИИ И ЭКСПЛУАТАЦИИ здания дошкольного учреждения
9;25226725;77:01:0003052:29;"пер Глинистый (адресные ориентиры: Глинистый переулок вл. 7, стр.1 ; вл.7-9, стр.2)";6466; ;эксплуатации зданий и сооружения под учебно-воспитательные цели и благоустройства территории
10;25231866;77:07:0012011:68;ул Веерная (г Москва, ул Веерная, вл 34, корпус 1);9171; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 582
11;25230541;77:05:0011004:90;проезд Борисовский (г Москва, проезд Борисовский, вл 3, корпус 3);8839; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО ДОМА-ИНТЕРНАТА №8 ДЛЯ УМСТВЕННО-ОТСТАЛЫХ ДЕТЕЙ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
12;25232951;77:09:0002023:29;ул Дегунинская (г Москва, ул Дегунинская, вл 2);18543; ;ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
13;25232950;77:09:0002023:24;ул Дегунинская (г Москва, ул Дегунинская, вл 24);9034; ;ЭКСПЛУАТАЦИИ ДЛЯ ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
14;25229503;77:04:0002019:35;проезд Саратовский 1-й (г Москва, проезд 1-й Саратовский, вл 5, стр 1);5565; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ № 1403
15;25226385;77:01:0001098:25;пер Дегтярный (г Москва, пер Дегтярный, вл 7, стр 1);4345; ;эксплуатации общеобразовательной школы
16;25229789;77:04:0004011:42;ул СУДАКОВА (г Москва, улица Судакова, д 29, стр 1);9179; ;ЭКСПЛУАТАЦИИ УЧЕБНОГО ЗАВЕДЕНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
17;25230368;77:05:0008002:86;ул Дорожная (г. Москва, ул. Дорожная, вл. 26, к. 2);8674; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
18;25230358;77:05:0005009:71;ул Ереванская (г Москва, ул Ереванская, вл 18, корпус 2);10485; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СТРОЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
19;25188755;77:10:0002005:30;мкр 9-Й (г Москва, 9-й микрорайон г Зеленограда, корпус 907А);9435; ;эксплуатации здания с целью организации учебно-воспитательного процесса детей
20;25188753;77:10:0002005:13;мкр 9-Й (г Москва, 9-й микрорайон г Зеленограда, корпус 922А);10316; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
21;25185227;77:04:0004001:40;ул 1-я Текстильщиков (г Москва, ул 1-я Текстильщиков, вл 9 А, стр 1);5711; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА № 884
22;25184643;77:03:0006020:24;проезд Саперный (г Москва, проезд Саперный, вл 6-А);9200; ;ЭКСПЛУАТАЦИИ ЗДАНИЙ ДЕТСКОГО САНАТОРИЯ
23;25184612;77:03:0006016:21;пр-кт Федеративный (г Москва, пр-кт Федеративный, вл 11/10, стр 1, 2);10754; ;ЭКСПЛУАТАЦИИ УЧЕБНО-ПРОИЗВОДСТВЕННОГО КОМБИНАТА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
24;25232134;77:08:0004003:16;ул Туристская (г Москва, ул Туристская, вл 7, корпус 2);9573; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 561
25;25232147;77:08:0002005:43;пер Ангелов (г Москва, пер Ангелов, вл 9, корп 2, стр 1);433;Аренда;ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА №142
26;25230475;77:05:0011009:82;ул Ясеневая (г Москва, ул Ясеневая, вл 34, корпус 3);9433; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
27;25215712;77:08:0007007:9;ш ВОЛОКОЛАМСКОЕ (г Москва, ш Волоколамское, вл 63);71259; ;ЭКСПЛУАТАЦИИ БОЛЬНИЧНОГО КОМПЛЕКСА
28;25230476;77:05:0010003:82;ул Бирюлевская (г Москва, ул Бирюлевская, вл 28);16348; ;ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ КОЛЛЕДЖА
29;25229824;77:04:0004002:13;ул Маршала Чуйкова (г Москва, ул Маршала Чуйкова, вл 24);4254; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ НАРКОЛОГИЧЕСКОГО ДИСПАНСЕРА
30;25171480;77:10:0002006:3;мкр 8-Й (г Москва, 8-й микрорайон г Зеленограда, корпус 844);17944; ;эксплуатации здания и сооружений с целью организации учебно-воспитательного процесса детей
31;25170767;77:03:0005009:7;б-р Сиреневый (г Москва, Сиреневый бульвар, вл 15, стр 1);341; ;отделения связи
32;25171080;77:08:0004008:7;ул Штурвальная (г Москва, ул Штурвальная, вл 7, корпус 2);17899; ;земельные участки, предназначенные для размещения объектов образования, физической культуры и спорта (1.2.7)
33;25186421;77:06:0004008:14;кв-л Новые Черемушки 32а (адресные ориентиры: квартал 32-А, корпус 14 Новых Черемушек);14827; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
34;25170744;77:02:0010001:2;ул Стартовая (г Москва, ул Стартовая, вл 29);9574; ;эксплуатации зданий детского сада
35;25187065;77:07:0007001:86;наб Тараса Шевченко (г. Москва, наб. Тараса Шевченко, вл. 29);5700; ;земельные участки, предназначенные для размещения объектов культуры, искусства (1.2.7)
36;25170794;77:05:0010008:2;ул ДОЛЬСКАЯ (г Москва, ул Дольская, вл 1);941236; ;ИСПОЛЬЗОВАНИЯ ЗЕМЕЛЬ МУЗЕЯ-ЗАПОВЕДНИКА
37;25207449;77:01:0001050:113;ул Остоженка (г Москва, ул Остоженка, вл 16/1-1А, стр 1,4,5, вл 18, стр 1);2200; ;проектирования, реконструкции и реставрации зданий Мультимедийного комплекса актуальных искусств
38;25170982;77:08:0008004:9;ул Маршала Катукова (г Москва, ул Маршала Катукова, вл 2, корпус 2);8751; ;ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА № 1197
39;25170586;77:02:0022014:5;проезд Мурманский (г Москва, проезд Мурманский, вл 10);2498; ;использования территории и эксплуатации здания колледжа для обучения студентов
40;25170277;77:01:0005004:8;пер 7-й Ростовский (г. Москва, 7-й Ростовский переулок, вл. 16);3101; ;эксплуатации здания в учебно-воспитательных целях
41;25170250;77:01:0004040:9;проезд Шмитовский (г Москва, проезд Шмитовский, вл 26, стр 1);10151; ;ЭКСПЛУАТАЦИИ МЕДИЦИНСКОГО УЧИЛИЩА
42;25229476;77:04:0001018:92;пр-кт Волгоградский (г. Москва, Волгоградский проспект, вл. 27);1496; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
43;25209881;77:07:0006004:104;пер 2-й Мосфильмовский (г Москва, пер 2-й Мосфильмовский, вл 8, стр 1);8263; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ УПРАВЛЕНИЯ
44;25209220;77:05:0005009:195;ул Каспийская (г Москва, ул Каспийская, вл 10А);8190; ;эксплуатации существующего здания центра детского творчества с прилегающей территорией
45;25209213;77:05:0003005:111;ул Артековская (г Москва, ул Артековская, вл 3);11217; ;эксплуатации здания и строения школы с прилегающей территорией
46;25209210;77:05:0005009:188;б-р Кавказский (г Москва, б-р Кавказский, вл 25Г);186;Аренда;эксплуатации газорегуляторного пункта № 354
47;25229291;77:03:0006024:13;ул Молостовых (г Москва, ул Молостовых, вл 10-В);9200; ;эксплуатации земельных участков общеобразовательных школ.
48;25228969;77:03:0005010:21;ул Парковая 5-я (г Москва, ул 5-я Парковая, вл 58, стр 1);8741; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
49;25215690;77:08:0007003:1;ш Волоколамское (г. Москва, Волоколамское шоссе, вл. 80, корп. 1);1023;Аренда;ЭКСПЛУАТАЦИИ ПРЕДПРИЯТИЙ ТРАНСПОРТА
50;25215040;77:03:0002020:9;ул Краснобогатырская (г Москва, ул Краснобогатырская, вл 13, стр 1);1600; ;"ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОД ОУВД МО ""БОГОРОДСКОЕ"""
51;25215403;77:06:0002014:1;ул Шверника (г Москва, ул Шверника, вл 16а);3619; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
52;25679219;77:07:04003:053;Ярцевская улица, вл. 11, корп. 4;0; ;ЭКСПЛУАТАЦИИ МИТИНСКОГО РЕГУЛИРУЮЩЕГО ВОДОПРОВОДНОГО УЗЛА
53;25184281;77:03:0005014:50;ул 7-я Парковая (г Москва, ул 7-я Парковая, вл 1А);8352; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
54;25187709;77:08:0005002:69;проезд Цветочный (г Москва, проезд Цветочный, вл 2);2521; ;ЭКСПЛУАТАЦИИ ВЕТЕРИНАРИИ
55;25214951;77:03:0001008:7;б-р Маршала Рокоссовского (г Москва, б-р Маршала Рокоссовского, вл 34/2);9701; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
56;25233358;77:10:0004003:38;мкр 5-Й (г Москва, 5-й микрорайон г Зеленограда);554;Аренда;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ НАСОСНОЙ СТАНЦИИ
57;25233352;77:09:0005001:57;ул Верещагина (г Москва, ул Верещагина, вл 7/34);4284; ;ИСПОЛЬЗОВАНИЯ ЗДАНИЙ И ТЕРРИТОРИИ В ЦЕЛЯХ ЗДРАВООХРАНЕНИЯ
58;25233005;77:09:0002013:38;ул Клязьминская (г Москва, ул Клязьминская, вл 7А);8045; ;ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
59;25215653;77:08:0006009:5;ш Волоколамское (г. Москва, Волоколамское шоссе, вл. 88, корп. 2);5150; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 734
60;25215636;77:08:0006003:9;ул Долгова (г. Москва, ул. Долгова, вл. 14А);7373; ;объекты размещения учреждений дошкольного воспитания (1.2.17)
61;25271773;77:01:0003055:50;пр-кт Мира (г Москва, пр-кт Мира, вл 71, стр 3);950; ;эксплуатации школы
62;25260715;77:08:0010007:3;ул Генерала Глаголева (г Москва, ул Генерала Глаголева, вл 6, корпус 4);4246; ;ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
63;25271751;77:01:0003053:23;ул Большая Переяславская (г Москва, ул Большая Переяславская, вл 8А, стр 1);4710; ;эксплуатации зданий и сооружений под учебно-воспитательные цели и благоустройства территории
64;25275981;77:06:0005009:88;ул Перекопская (г Москва, ул Перекопская, вл 9);1271; ;эксплуатации здания историко-культурного назначения
65;25271147;77:01:0001065:16;ул Большая Никитская (г Москва, ул Большая Никитская, вл 46);6464; ;реставрации и последующей эксплуатации концертного зала
66;25275946;77:06:0007005:80;ул Генерала Тюленева (г Москва, ул Генерала Тюленева, вл 5, корпус 2);8228; ;эксплуатация имущественного комплекса детского сада без права изменения функционального назначения.
67;25260271;77:07:0002003:1;проезд Береговой (г Москва, Береговой проезд, вл 2, корпус 2);380;Аренда;эксплуатации существующих зданий и сооружений и для выполнения основной производственной деятельности
68;25260235;77:06:0012014:7;ул Изюмская;1122; ;ЭКСПЛУАТАЦИИ части индивидуального жилого дома
69;25257851;77:08:0003001:1004;ул Вилиса Лациса (г. Москва, ул. Вилиса Лациса, вл. 4);24976; ;земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
70;25252999;77:01:0002010:142;ул Большая Ордынка (г Москва, ул Большая Ордынка, вл 29/10, стр 2);453; ;эксплуатации здания под административные цели
71;25227599;77:02:0006001:51;проезд Ясный (г Москва, проезд Ясный, вл 7А);7225; ;эксплуатации здания детского сада
72;25227262;77:02:0001008:23;ул Псковская (г Москва, ул Псковская, вл 12, корпус 3);16280; ;эксплуатации здания школы
73;25227236;77:02:0002003:46;ул Корнейчука (г. Москва, ул. Корнейчука, вл. 22А);9858; ;эксплуатации здания детского сада
74;25226012;77:01:0001051:67;пер 1-й Обыденский (г Москва, пер 1-й Обыденский, вл 3/6);412; ;эксплуатации зданий историко-культурного назначения
75;25230301;77:05:0005008:12;б-р Кавказский (г Москва, б-р Кавказский, вл 37, корпус 2);16008; ;эксплуатации здания школы с прилегающей территорией
76;25227575;77:02:0003005:37;ш Алтуфьевское (г Москва, ш Алтуфьевское, вл 60б);18326; ;эксплуатации здания школы
77;25186071;77:05:0012003:81;ул Алма-Атинская (г Москва, ул Алма-Атинская, вл 8, корпус 2);7706; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА
78;25170431;77:01:0001071:7;ул Большая Бронная (г Москва, ул Большая Бронная, вл 3, стр 1);1757; ;эксплуатации здания в лечебно-профилактических целях и благоустройства прилегающей территории
79;25185445;77:05:0004003:95;ш Варшавское (г Москва, ш Варшавское, вл 49, корпус 2);5389; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
80;25216010;77:10:0004006:7;пл Центральная (г. Москва, Зеленоград, Центральная площадь, дом 1);22800; ;земельные участки, предназначенные для размещения объектов культуры (1.2.7)
81;25186065;77:06:0003008:39;ул Вавилова (г Москва, ул Вавилова, вл 71, стр 2);74; ;эксплуатации здания хранилища рентгеновских пленок
82;25185421;77:05:0003001:19;проезд Нагорный (г Москва, проезд Нагорный, вл 12Г, стр 1, 5, 6, 7, 15);8181; ;эксплуатации зданий и сооружений существующей дорожно-транспортной базы
83;25183932;77:03:0002016:67;ул Новосибирская (г Москва, ул Новосибирская, вл 8А);20100; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
84;25183625;77:02:0022006:71;ул Аргуновская (г Москва, ул Аргуновская, вл 12, корпус 3);9269; ;эксплуатации здания детского сада
85;25187028;77:07:0004003:66;ул Бобруйская (г Москва, ул Бобруйская, вл 7, стр 1);7414; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНЫЕ ЦЕЛИ
86;25187024;77:07:0004003:57;ул Партизанская (г Москва, ул Партизанская, вл 39);15629; ;ЭКСПЛУАТАЦИИ ШКОЛЫ
87;25187023;77:07:0004003:41;ул Партизанская (г Москва, ул Партизанская, вл 23);5408; ;"ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДОМА КУЛЬТУРЫ ""ЗОДЧИЕ"""
88;25185723;77:05:0005008:80;ул Бакинская (г Москва, ул Бакинская, вл 31, стр 1, 2, 3);16727; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЙ И СООРУЖЕНИЙ СТАНЦИИ ПЕРЕЛИВАНИЯ КРОВИ
89;25230951;77:06:0005017:22;б-р Чонгарский;9710; ;ЭКСПЛУАТАЦИИ УЧИЛИЩА
90;25304993;77:04:0004015:3;ул Белореченская (г Москва, ул Белореченская, вл 11);23078; ;ЭКСПЛУАТАЦИИ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
91;25304982;77:04:0004007:8;ул Юных Ленинцев (г Москва, улица Юных Ленинцев, дом 26А);4457; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
92;25304979;77:04:0004005:4;ул Чугунные Ворота (г Москва, ул Чугунные Ворота, д 11);12176; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
93;25304657;77:02:0001007:6;ул Абрамцевская (г Москва, ул Абрамцевская, вл 15а);17579; ;эксплуатации здания школы
94;25304376;77:01:0005002:8;пер 1-й Неопалимовский (г Москва, пер Неопалимовский 1-й, вл 10, стр 10);5030; ;эксплуатации здания в учебно-воспитательных целях
95;25305717;77:09:0003023:4;проезд Дмитровский (г Москва, проезд Дмитровский, вл 1Б);400;Аренда;эксплуатации диспетчерского пункта конечной станции городского пассажирского транспорта
96;25277824;77:09:0003014:44;ул Новопетровская (г Москва, ул Новопетровская, вл 5Б);3283; ;осуществления образовательной деятельности
97;25274769;77:04:0004011:33;ул Судакова (г Москва, ул Судакова, д 16/47);3634; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
98;25188668;77:09:0004003:20;проезд Большой Коптевский (г Москва, проезд Большой Коптевский, вл 5);9698; ;эксплуатации общеобразовательной специальной школы
99;25183951;77:03:0001004:28;ул 1-я Гражданская (г Москва, ул 1-я Гражданская, вл 105, стр 1);3269; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
100;25183005;77:02:0004008:20;проезд Шокальского (г Москва, проезд Шокальского, д 18а);8553; ;ЭКСПЛУАТАЦИИ здания дошкольного учреждения
101;25182686;77:02:0002011:72;ул Коненкова (г Москва, ул Коненкова, д 23а);9454; ;использования территории и ЭКСПЛУАТАЦИИ здания дошкольного учреждения
102;25186406;77:06:0007007:13;ул Академика Варги (г Москва, ул Академика Варги, вл 28А);5712; ;эксплуатации имущественного комплекса яслей-сада без права изменения функционального назначения
103;25231960;77:07:0015008:58;ул Приречная (г Москва, ул Приречная, вл 7);9161; ;земельные участки, предназначенные для размещения объектов образования (1.2.7)
104;25188825;77:09:0005013:61;проезд Боткинский 2-й (г Москва, проезд Боткинский 2-й, вл 3);19990; ;ЭКСПЛУАТАЦИИ ЗДАНИЙ МЕДИЦИНСКОГО УЧРЕЖДЕНИЯ
105;25188799;77:09:0005013:89;ул Поликарпова (г Москва, ул Поликарпова, вл 3а);8673; ;осуществления учебно-воспитательной деятельности
106;25230598;77:05:0012001:86;б-р Ореховый (г Москва, б-р Ореховый, вл 39, корпус 3);9239; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
107;25209498;77:06:0001002:105;ул Фотиевой (г Москва, ул Фотиевой, вл 16, корпус 2);7161; ;эксплуатации имущественного комплекса Дворца творчества (бассейн) без права изменения функционального назначения
108;25210395;77:09:0001008:100;ул Клинская (г Москва, ул Клинская, вл 13);7606; ;эксплуатации детских яслей-сада
109;25210083;77:07:0015005:185;ул Чоботовская (г Москва, ул Чоботовская, вл 7);10508; ;ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
110;25210081;77:07:0015005:170;ул Шолохова (г Москва, ул Шолохова, вл 9);26530; ;ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
111;25210059;77:08:0002011:265;ул Дубравная (г Москва, ул Дубравная, вл 41, корпус 3);15771; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 1900
112;25210058;77:08:0002011:262;ул Барышиха (г Москва, ул Барышиха, вл 29, корпус 1);15547; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ № 1964
113;25210029;77:08:0002011:209;ул Барышиха (г Москва, ул Барышиха, вл 33, корпус 1, стр 1);293;Аренда;ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 177
114;25225868;77:01:0001025:23;пер Большой Трехсвятительский (г Москва, пер Большой Трехсвятительский, 1-3/12);2035; ;эксплуатации зданий историко-культурного назначения
115;25718189;77:04:04007:018;улица Чистова, вл. 23 А;5962; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
116;25275068;77:05:0004006:63;ул САДОВНИКИ (г Москва, ул Садовники, вл 13, стр 3);8946; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
117;25274145;77:04:0001002:16;ул Сторожевая (г Москва, ул Сторожевая, вл 38 А);4963; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
118;25274143;77:03:0008001:60;ул Западная (г. Москва, ул. Западная, вл. 3А, соор. 1);480;Аренда;ЭКСПЛУАТАЦИИ ГАЗОУБЕЖИЩА
119;25270976;77:01:0001049:31;пер Пречистенский (г Москва, пер Пречистенский, вл 7А);2195; ;эксплуатации здания под образовательное учреждение и благоустройства территории
120;25270951;77:01:0001067:14;пер Вспольный (г Москва, пер Вспольный, вл 6, стр 3);1035; ;эксплуатации общеобразовательной школы
121;25271907;77:01:0005001:97;б-р Новинский (г Москва, б-р Новинский, вл 7, стр 3);1200; ;эксплуатации зданий историко-культурного назначения
122;25271282;77:01:0002024:15;пер Ватин Б. (г Москва, пер Ватин Б., вл 8/3А, стр 1);450;Аренда;эксплуатации административного здания
123;25304830;77:02:0018011:9;пр-кт Мира (г Москва, пр-кт Мира, вл 123, стр 1);30387; ;использования территории и эксплуатации здания школы-интерната
124;25302766;77:08:0002020:1001;пер Уваровский (г. Москва, Уваровский пер., вл. 8);17210,15; ;земельные участки, предназначенные для размещения объектов образования (1.2.7)
125;25318184;77:02:0023012:13;ул Староалексеевская (г Москва, ул Староалексеевская, вл 11);10837; ;использования территории и эксплуатации здания школы
126;25209526;77:05:0008005:133;ул Газопровод (г. Москва, ул. Газопровод, вл. 11);4304; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ПОЛИКЛИНИКИ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
127;25188484;77:09:0004005:81;ул Усиевича (г Москва, ул Усиевича, вл 31А);8004; ;эксплуатации общеобразовательной школы
128;25188478;77:09:0004004:99;пер Балтийский 2-й (г Москва, 2-й Балтийский переулок, вл 3);4900; ;осуществления учебно-воспитательной деятельности
129;25185280;77:04:0004023:37;б-р Мячковский (г. Москва, Мячковский бульвар, вл. 10, корп. 3);8465; ;эксплуатации здания крытого катка с искусственным ледовым покрытием и прилегающей территории
130;25185015;77:04:0003001:10;ул Кожуховская 5-я (г Москва, 5-я Кожуховская улица, вл 26);10821; ;эксплуатации существующих зданий
131;25184989;77:04:0002010:90;ул Сормовская (г Москва, ул Сормовская, вл 5);9254; ;эксплуатации здания детского сада
132;25185302;77:04:0004004:41;б-р Есенинский (г Москва, б-р Есенинский, вл 9, корпус 2);13000; ;ЭКСПЛУАТАЦИИ ПОМЕЩЕНИЙ В ЗДАНИИ ПОД СПОРТИВНУЮ ШКОЛУ
133;25184987;77:04:0003008:57;ул Гурьянова (г Москва, ул Гурьянова, вл 59);9395; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ - НАЧАЛЬНОЙ ШКОЛЫ
134;25188473;77:09:0003020:49;ул Новая Ипатовка (г Москва, ул Новая Ипатовка, вл 4);36824; ;эксплуатации госпиталя.
135;25230285;77:05:0005007:81;б-р Кавказский (г Москва, б-р Кавказский, вл 48);4853; ;эксплуатации зданий и сооружений отдела внутренних дел
136;25228506;77:03:0005002:65;б-р Сиреневый (г Москва, б-р Сиреневый, вл 9);8949; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
137;25187817;77:08:0008005:44;ул Маршала Катукова (г Москва, ул Маршала Катукова, вл 4, корпус 2);9183; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА №1196
138;25187517;77:08:0002004:18;ул Барышиха (г Москва, ул Барышиха, вл 50, стр 1);413;Аренда;ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 136.
139;25214941;77:01:0006039:5;пр-кт Волгоградский (г Москва, пр-кт Волгоградский, вл 11, корпус 2);5981; ;эксплуатации здания под учебно-воспитательную деятельность без права коммерческого использования
140;25226180;77:01:0001090:20;пер Пушкарев (г Москва, пер Пушкарев, вл 4, стр 1);2113; ;эксплуатации зданий и сооружений под учебно-воспитательные цели и благоустройства территории
141;25215975;77:08:0010009:5;ул ДЕМЬЯНА БЕДНОГО (г Москва, ул Демьяна Бедного, вл 21);9495; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1201
