0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
6926;"Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования ""Жемчужина""                                                                                                                         ";"ГБОУ ЦТР и ГО ""Жемчужина""                                                                                                                                                                                                                                     ";109125, г. Москва  2-й Саратовский проезд, дом 4                                                                                                                                                                                                              ;15042,825;5204,251319;2130046;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;"(499) 796-14-01; (499) 796-14-20; (499) 796-14-21                                                                                                                                                                                                             ";http://pearl-edu.com                                                                                                                                                                                                                                          ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
7122;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества ""Свиблово""                                                                                                                                                       ";"ГБОУ ЦДТ ""Свиблово""                                                                                                                                                                                                                                           ";129343, г.Москва, ул. Амундсена, д.14, корп.1                                                                                                                                                                                                                 ;9980,34767;20931,44386;2306682;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр детского творчества                                                                                                                                                                                                                                     ;"(499) 760-01-15; (499) 760-01-16; (499) 760-01-17; (499) 181-70-75                                                                                                                                                                                            ";http://www.centrsviblovo.ru                                                                                                                                                                                                                                   ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7125;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества ""Бабушкинский""                                                                                                                                                   ";"ГБОУ ЦДТ ""Бабушкинский""                                                                                                                                                                                                                                       ";129345, г.Москва, улица Осташковская, дом 7 кор. 6                                                                                                                                                                                                            ;11227,06025;23370,33;2124988;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр детского творчества                                                                                                                                                                                                                                     ;"(499) 185-49-69; (499) 185-07-27; (499) 185-49-80; (499) 185-00-60; (499) 185-47-75                                                                                                                                                                           ";                                                                                                                                                                                                                                                              ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
171;"Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр ""Отрадное""                                                                                                                                                          ";"ГБОУ ДЮЦ ""Отрадное""                                                                                                                                                                                                                                           ";127566, г. Москва, Северный бульвар, д. 17а                                                                                                                                                                                                                   ;7355,587675;22592,4696;2114023;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;404-08-88                                                                                                                                                                                                                                                     ;http://dutc.nline.ru                                                                                                                                                                                                                                          ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
8654;Государственное бюджетное образовательное учреждение города Москвы  центр эстетического воспитания детей                                                                                                                                                      ;ГБОУ ЦЭВД                                                                                                                                                                                                                                                     ;125008, г. Москва, ул. Михалковская, д. 18А                                                                                                                                                                                                                   ;2080,218075;19213,46459;2103097;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр эстетического воспитания детей                                                                                                                                                                                                                          ;(499) 154-81-66                                                                                                                                                                                                                                               ;http://cevsao.ru                                                                                                                                                                                                                                              ;Северное окружное управление образования                                                                                                                                                                                                                      
8655;"Государственное бюджетное образовательное учреждение города Москвы  детско-юношеский центр ""Дегунино""                                                                                                                                                         ";"ГБОУ ДЮЦ ""Дегунино""                                                                                                                                                                                                                                           ";127474, г. Москва, ул. Дубнинская, д. 21                                                                                                                                                                                                                      ;4274,06385;21736,34886;2109709;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;488-32-47                                                                                                                                                                                                                                                     ;http://www.degunino.dop.mskobr.ru                                                                                                                                                                                                                             ;Северное окружное управление образования                                                                                                                                                                                                                      
8477;"Государственное бюджетное образовательное учреждение Московский городской дворец творчества детей и молодежи ""Марьино""                                                                                                                                        ";"ГБОУ ГДТДМ ""Марьино""                                                                                                                                                                                                                                          ";109651, г. Москва, ул. Подольская, дом 5                                                                                                                                                                                                                      ;13603,3151;-1489,089902;2129797;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Дворец                                                                                                                                                                                                                                                        ;(499) 356-37-01                                                                                                                                                                                                                                               ;http://kidsworld.ru/work/udod/uao/1670                                                                                                                                                                                                                        ;Городское подчинение: Управление воспитания и дополнительного образования                                                                                                                                                                                     
875;"Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей ""Источник""                                                                                                                                         ";"ГБОУ ЦДОД ""Источник""                                                                                                                                                                                                                                          ";121614, г.Москва, Осенний бульвар, д. 16, корп. 5                                                                                                                                                                                                             ;-5408,458086;10498,04092;2126879;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр дополнительного образование детей                                                                                                                                                                                                                       ;412-57-16                                                                                                                                                                                                                                                     ;http://cdod-istochnik.mskzapad.ru                                                                                                                                                                                                                             ;Западное окружное управление образования                                                                                                                                                                                                                      
8653;Государственное бюджетное образовательное учреждение города Москвы дом детского творчества                                                                                                                                                                    ;ГБОУ ДДТ                                                                                                                                                                                                                                                      ;125183, г. Москва, 3-й Новомихалковский проезд, д. 24                                                                                                                                                                                                         ;2175,8833;19399,68008;2108749;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Дом детского творчества                                                                                                                                                                                                                                       ;154-00-41                                                                                                                                                                                                                                                     ;http://ddtsao.narod.ru                                                                                                                                                                                                                                        ;Северное окружное управление образования                                                                                                                                                                                                                      
8481;"Государственное бюджетное образовательное учреждение Московский городской центр детского творчества ""Культура и Образование""                                                                                                                                  ";"ГБОУ ГЦДТ ""Культура и Образование""                                                                                                                                                                                                                            ";109125, г. Москва, Волгоградский проспект, дом 109, к. 6                                                                                                                                                                                                      ;16497,2;4711,330693;2128984;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;919-32-33                                                                                                                                                                                                                                                     ;http://www.ku-obr.ru/                                                                                                                                                                                                                                         ;Городское подчинение: Управление воспитания и дополнительного образования                                                                                                                                                                                     
8658;"Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр ""Войковский""                                                                                                                                                        ";"ГБОУ ДЮЦ ""Войковский""                                                                                                                                                                                                                                         ";125171, г. Москва, Ленинградское шоссе, дом 10                                                                                                                                                                                                                ;170,7988927;16985,15805;2112220;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Образовательное учреждение дополнительного образования детей                                                                                                                                                                                                  ;Центр                                                                                                                                                                                                                                                         ;"(499) 159-99-88; (499) 150-00-32; (499) 150-59-03; (499) 150-59-17; (499) 159-95-44                                                                                                                                                                           ";http://duc-voykovskiy.my1.ru                                                                                                                                                                                                                                  ;Северное окружное управление образования                                                                                                                                                                                                                      
2544;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1263                                                                                                        ;ГБОУ СОШ № 1263                                                                                                                                                                                                                                               ;119071 г. Москва, Ленинский пр., д.18 А                                                                                                                                                                                                                       ;5966,17674;5685,120368;2103077;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа с углубленным изучением отдельных предметов                                                                                                                                                                                 ;"(495) 952-11-30; (495) 954-47-04; (495) 954-49-07; (495) 952-27-00                                                                                                                                                                                            ";http://sch1263.ru/                                                                                                                                                                                                                                            ;Южное окружное управление образования                                                                                                                                                                                                                         
8232;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1948                                                                                                                                                ;ГБОУ ЦРР - детский сад № 1948                                                                                                                                                                                                                                 ;105062 г. Москва, Подсосенский пер., д.26, стр.6                                                                                                                                                                                                              ;9670,9385;9851,984069;2120376;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Центр развития ребенка – детский сад                                                                                                                                                                                                                          ;917-70-01                                                                                                                                                                                                                                                     ;http://crrds1948.mskobr.ru                                                                                                                                                                                                                                    ;Центральное окружное управление образования                                                                                                                                                                                                                   
