0_Код;Название;Адрес;Число парковочных мест;Время работы;Стоимость
292;Парковка №136 (Зона 1007);Лубянский проезд,23;17;Круглосуточно;50 рублей в час
293;Парковка №137 (Зона 1007);Хитровский переулок,11;3;Круглосуточно;50 рублей в час
294;Парковка №1 (Зона 1008);Солянка улица,15;5;Круглосуточно;50 рублей в час
295;Парковка №2 (Зона 1008);Солянка улица,13/3с1;3;Круглосуточно;50 рублей в час
296;Парковка №3 (Зона 1008);Солянка улица,11;4;Круглосуточно;50 рублей в час
297;Парковка №5 (Зона 1008);Солянка улица,9;2;Круглосуточно;50 рублей в час
298;Парковка №6 (Зона 1008);Солянка улица,7;6;Круглосуточно;50 рублей в час
299;Парковка №7 (Зона 1008);Устьильинский проезд,2/14;5;Круглосуточно;50 рублей в час
300;Парковка №8 (Зона 1008);Подколокольный переулок,4с5;2;Круглосуточно;50 рублей в час
301;Парковка №9 (Зона 1008);Подколокольный переулок,6;3;Круглосуточно;50 рублей в час
302;Парковка №10 (Зона 1008);Подколокольный переулок,10/2;2;Круглосуточно;50 рублей в час
303;Парковка №11 (Зона 1008);Подколокольный переулок,12;7;Круглосуточно;50 рублей в час
304;Парковка №12 (Зона 1008);Подколокольный переулок,16;8;Круглосуточно;50 рублей в час
305;Парковка №14 (Зона 1008);Певческий переулок,1/2с1;7;Круглосуточно;50 рублей в час
306;Парковка №63 (Зона 1005);Большой Кисельный переулок,16;2;Круглосуточно;50 рублей в час
307;Парковка №64 (Зона 1005);Неглинная улица,14;22;Круглосуточно;50 рублей в час
308;Парковка №65 (Зона 1005);Неглинная улица,12;12;Круглосуточно;50 рублей в час
309;Парковка №66 (Зона 1005);Неглинная улица,9/10;18;Круглосуточно;50 рублей в час
310;Парковка №67 (Зона 1005);Неглинная улица,8/1;13;Круглосуточно;50 рублей в час
311;Парковка №68 (Зона 1005);Пушечная улица,11;9;Круглосуточно;50 рублей в час
312;Парковка №6 (Зона 1006);Бобров переулок,21к2;2;Круглосуточно;50 рублей в час
313;Парковка №1 (Зона 1006);Бобров переулок,8;6;Круглосуточно;50 рублей в час
314;Парковка №2 (Зона 1006);Бобров переулок,4;5;Круглосуточно;50 рублей в час
315;Парковка №3 (Зона 1006);Бобров переулок,6с1;3;Круглосуточно;50 рублей в час
316;Парковка №7 (Зона 1006);Бобров переулок,4;3;Круглосуточно;50 рублей в час
317;Парковка №8 (Зона 1006);Бобров переулок,20/2;3;Круглосуточно;50 рублей в час
318;Парковка №9 (Зона 1006);Бобров переулок,6/1;8;Круглосуточно;50 рублей в час
319;Парковка №4 (Зона 1006);Фролов переулок,2;3;Круглосуточно;50 рублей в час
320;Парковка №5 (Зона 1006);Фролов переулок,2;4;Круглосуточно;50 рублей в час
321;Парковка №12 (Зона 1006);Милютинский переулок,9с1;5;Круглосуточно;50 рублей в час
322;Парковка №13 (Зона 1006);Милютинский переулок,14;7;Круглосуточно;50 рублей в час
323;Парковка №14 (Зона 1006);Милютинский переулок,10с1;3;Круглосуточно;50 рублей в час
324;Парковка №16 (Зона 1006);Милютинский переулок,6;6;Круглосуточно;50 рублей в час
325;Парковка №17 (Зона 1006);Милютинский переулок,16с1;4;Круглосуточно;50 рублей в час
326;Парковка №18 (Зона 1006);Милютинский переулок,16;5;Круглосуточно;50 рублей в час
327;Парковка №20 (Зона 1006);Бобров переулок,20/2;6;Круглосуточно;50 рублей в час
328;Парковка №21 (Зона 1006);Бобров переулок,21к2;5;Круглосуточно;50 рублей в час
329;Парковка №1 (Зона 1007);Большой Златоустинский переулок,6;5;Круглосуточно;50 рублей в час
330;Парковка №3 (Зона 1007);Банковский переулок,24;9;Круглосуточно;50 рублей в час
331;Парковка №5 (Зона 1007);Банковский переулок,22с2;5;Круглосуточно;50 рублей в час
332;Парковка №6 (Зона 1007);Большой Златоустинский переулок,7;2;Круглосуточно;50 рублей в час
333;Парковка №9 (Зона 1007);Большой Златоустинский переулок,7;8;Круглосуточно;50 рублей в час
334;Парковка №10 (Зона 1007);Большой Златоустинский переулок,6;3;Круглосуточно;50 рублей в час
335;Парковка №12 (Зона 1007);Большой Златоустинский переулок,4;5;Круглосуточно;50 рублей в час
336;Парковка №13 (Зона 1007);Большой Златоустинский переулок,3;4;Круглосуточно;50 рублей в час
337;Парковка №14 (Зона 1007);Большой Златоустинский переулок,10;4;Круглосуточно;50 рублей в час
338;Парковка №15 (Зона 1007);Малый Златоустинский переулок,2;10;Круглосуточно;50 рублей в час
339;Парковка №17 (Зона 1007);Малый Златоустинский переулок,4;4;Круглосуточно;50 рублей в час
340;Парковка №19 (Зона 1007);Малый Златоустинский переулок,8с1;4;Круглосуточно;50 рублей в час
341;Парковка №20 (Зона 1007);Малый Златоустинский переулок,8с2;7;Круглосуточно;50 рублей в час
342;Парковка №21 (Зона 1007);Малый Златоустинский переулок,10с1;4;Круглосуточно;50 рублей в час
343;Парковка №22 (Зона 1007);Девяткин переулок,4;11;Круглосуточно;50 рублей в час
344;Парковка №23 (Зона 1007);Девяткин переулок,2/2;8;Круглосуточно;50 рублей в час
345;Парковка №24 (Зона 1007);Сверчков переулок,9/1;8;Круглосуточно;50 рублей в час
346;Парковка №25 (Зона 1007);Сверчков переулок,11;8;Круглосуточно;50 рублей в час
347;Парковка №26 (Зона 1007);Сверчков переулок,9/1;2;Круглосуточно;50 рублей в час
348;Парковка №27 (Зона 1007);Сверчков переулок,4;2;Круглосуточно;50 рублей в час
349;Парковка №28 (Зона 1007);Сверчков переулок,3/2с1;6;Круглосуточно;50 рублей в час
350;Парковка №29 (Зона 1007);Сверчков переулок,5;6;Круглосуточно;50 рублей в час
351;Парковка №30 (Зона 1007);Сверчков переулок,5;7;Круглосуточно;50 рублей в час
352;Парковка №31 (Зона 1007);Покровка улица,12;5;Круглосуточно;50 рублей в час
353;Парковка №32 (Зона 1007);Покровка улица,10;3;Круглосуточно;50 рублей в час
354;Парковка №33 (Зона 1007);Покровка улица,10;5;Круглосуточно;50 рублей в час
355;Парковка №34 (Зона 1007);Покровка улица,8;8;Круглосуточно;50 рублей в час
356;Парковка №35 (Зона 1007);Покровка улица,6;8;Круглосуточно;50 рублей в час
357;Парковка №36 (Зона 1007);Покровка улица,2;7;Круглосуточно;50 рублей в час
358;Парковка №37 (Зона 1007);Колпачный переулок,13;8;Круглосуточно;50 рублей в час
359;Парковка №38 (Зона 1007);Колпачный переулок,12;19;Круглосуточно;50 рублей в час
360;Парковка №40 (Зона 1007);Колпачный переулок,6с4;11;Круглосуточно;50 рублей в час
361;Парковка №41 (Зона 1007);Колпачный переулок,5;4;Круглосуточно;50 рублей в час
362;Парковка №42 (Зона 1007);Колпачный переулок,3;8;Круглосуточно;50 рублей в час
363;Парковка №43 (Зона 1007);Колпачный переулок,4;4;Круглосуточно;50 рублей в час
364;Парковка №44 (Зона 1007);Колпачный переулок,12/13;5;Круглосуточно;50 рублей в час
365;Парковка №46 (Зона 1007);Армянский переулок,1;4;Круглосуточно;50 рублей в час
366;Парковка №47 (Зона 1007);Армянский переулок,3;2;Круглосуточно;50 рублей в час
367;Парковка №48 (Зона 1007);Армянский переулок,3/5;6;Круглосуточно;50 рублей в час
368;Парковка №49 (Зона 1007);Армянский переулок,7;8;Круглосуточно;50 рублей в час
369;Парковка №50 (Зона 1007);Армянский переулок,4;4;Круглосуточно;50 рублей в час
370;Парковка №52 (Зона 1007);Армянский переулок,9/1;6;Круглосуточно;50 рублей в час
371;Парковка №53 (Зона 1007);Армянский переулок,4с1;3;Круглосуточно;50 рублей в час
372;Парковка №54 (Зона 1007);Кривоколенный переулок,6;6;Круглосуточно;50 рублей в час
373;Парковка №58 (Зона 1007);Кривоколенный переулок,3;5;Круглосуточно;50 рублей в час
374;Парковка №59 (Зона 1007);Кривоколенный переулок,5;8;Круглосуточно;50 рублей в час
375;Парковка №61 (Зона 1007);Кривоколенный переулок,10;5;Круглосуточно;50 рублей в час
376;Парковка №62 (Зона 1007);Кривоколенный переулок,10с2;6;Круглосуточно;50 рублей в час
377;Парковка №63 (Зона 1007);Кривоколенный переулок,7/24;11;Круглосуточно;50 рублей в час
378;Парковка №64 (Зона 1007);Кривоколенный переулок,14;14;Круглосуточно;50 рублей в час
379;Парковка №65 (Зона 1007);Кривоколенный переулок,9;3;Круглосуточно;50 рублей в час
380;Парковка №66 (Зона 1007);Кривоколенный переулок,11;2;Круглосуточно;50 рублей в час
381;Парковка №67 (Зона 1007);Кривоколенный переулок,16;7;Круглосуточно;50 рублей в час
382;Парковка №68 (Зона 1007);Кривоколенный переулок,11/13;5;Круглосуточно;50 рублей в час
383;Парковка №69 (Зона 1007);Архангельский переулок,2;15;Круглосуточно;50 рублей в час
384;Парковка №70 (Зона 1007);Архангельский переулок,16;3;Круглосуточно;50 рублей в час
385;Парковка №71 (Зона 1007);Архангельский переулок,11/16;4;Круглосуточно;50 рублей в час
386;Парковка №72 (Зона 1007);Архангельский переулок,9;3;Круглосуточно;50 рублей в час
387;Парковка №73 (Зона 1007);Архангельский переулок,7с1;4;Круглосуточно;50 рублей в час
388;Парковка №75 (Зона 1007);Архангельский переулок,3;10;Круглосуточно;50 рублей в час
389;Парковка №77 (Зона 1007);Архангельский переулок,4;3;Круглосуточно;50 рублей в час
390;Парковка №78 (Зона 1007);Забелина улица,4;5;Круглосуточно;50 рублей в час
391;Парковка №79 (Зона 1007);Забелина улица,10с1;3;Круглосуточно;50 рублей в час
392;Парковка №80 (Зона 1007);Забелина улица,3;4;Круглосуточно;50 рублей в час
393;Парковка №81 (Зона 1007);Забелина улица,9;15;Круглосуточно;50 рублей в час
394;Парковка №82 (Зона 1007);Малый Ивановский переулок,2;13;Круглосуточно;50 рублей в час
395;Парковка №83 (Зона 1007);Малый Ивановский переулок,6;4;Круглосуточно;50 рублей в час
396;Парковка №84 (Зона 1007);Малый Ивановский переулок,11/6с2;7;Круглосуточно;50 рублей в час
397;Парковка №85 (Зона 1007);Хохловский переулок,7;9;Круглосуточно;50 рублей в час
398;Парковка №86 (Зона 1007);Хохловский переулок,1;6;Круглосуточно;50 рублей в час
399;Парковка №87 (Зона 1007);Хохловский переулок,9а;16;Круглосуточно;50 рублей в час
400;Парковка №88 (Зона 1007);Хохловский переулок,13;8;Круглосуточно;50 рублей в час
401;Парковка №89 (Зона 1007);Хохловский переулок,15;8;Круглосуточно;50 рублей в час
402;Парковка №90 (Зона 1007);Хохловский переулок,18;6;Круглосуточно;50 рублей в час
403;Парковка №91 (Зона 1007);Хохловский переулок,20;3;Круглосуточно;50 рублей в час
404;Парковка №92 (Зона 1007);Хохловский переулок,20/6;3;Круглосуточно;50 рублей в час
405;Парковка №93 (Зона 1007);Подколокольный переулок,11а;15;Круглосуточно;50 рублей в час
406;Парковка №94 (Зона 1007);Подколокольный переулок,13/5;9;Круглосуточно;50 рублей в час
407;Парковка №95 (Зона 1007);Подкопаевский переулок,6;11;Круглосуточно;50 рублей в час
408;Парковка №96 (Зона 1007);Подкопаевский переулок,4;7;Круглосуточно;50 рублей в час
409;Парковка №97 (Зона 1007);Малый Трехсвятительский переулок,1;11;Круглосуточно;50 рублей в час
410;Парковка №98 (Зона 1007);Малый Трехсвятительский переулок,2;8;Круглосуточно;50 рублей в час
411;Парковка №99 (Зона 1007);Малый Трехсвятительский переулок,14с6;9;Круглосуточно;50 рублей в час
412;Парковка №100 (Зона 1007);Большой Трехсвятительский переулок,6;13;Круглосуточно;50 рублей в час
413;Парковка №101 (Зона 1007);Большой Трехсвятительский переулок,3;19;Круглосуточно;50 рублей в час
414;Парковка №102 (Зона 1007);Большой Трехсвятительский переулок,1;3;Круглосуточно;50 рублей в час
415;Парковка №103 (Зона 1007);Большой Трехсвятительский переулок,1;15;Круглосуточно;50 рублей в час
416;Парковка №104 (Зона 1007);Большой Трехсвятительский переулок,1;9;Круглосуточно;50 рублей в час
417;Парковка №105 (Зона 1007);Большой Спасоглинищевский переулок,12;7;Круглосуточно;50 рублей в час
418;Парковка №107 (Зона 1007);Большой Спасоглинищевский переулок,5;12;Круглосуточно;50 рублей в час
419;Парковка №108 (Зона 1007);Большой Спасоглинищевский переулок,6;9;Круглосуточно;50 рублей в час
420;Парковка №110 (Зона 1007);Большой Спасоглинищевский переулок,2;3;Круглосуточно;50 рублей в час
421;Парковка №111 (Зона 1007);Большой Спасоглинищевский переулок,4/2;4;Круглосуточно;50 рублей в час
422;Парковка №112 (Зона 1007);Старосадский переулок,9;10;Круглосуточно;50 рублей в час
423;Парковка №113 (Зона 1007);Старосадский переулок,9с2;7;Круглосуточно;50 рублей в час
424;Парковка №114 (Зона 1007);Петроверигский переулок,6/12;4;Круглосуточно;50 рублей в час
425;Парковка №115 (Зона 1007);Петроверигский переулок,10/1с3;5;Круглосуточно;50 рублей в час
426;Парковка №116 (Зона 1007);Петроверигский переулок,10/1с3;5;Круглосуточно;50 рублей в час
427;Парковка №117 (Зона 1007);Петроверигский переулок,10/1с3;5;Круглосуточно;50 рублей в час
428;Парковка №118 (Зона 1007);Петроверигский переулок,10/1с1;5;Круглосуточно;50 рублей в час
429;Парковка №119 (Зона 1007);Архангельский переулок,5;5;Круглосуточно;50 рублей в час
430;Парковка №121 (Зона 1007);Потаповский переулок,12;8;Круглосуточно;50 рублей в час
431;Парковка №122 (Зона 1007);Армянский переулок,6;17;Круглосуточно;50 рублей в час
432;Парковка №123 (Зона 1007);Лучников переулок,7;3;Круглосуточно;50 рублей в час
433;Парковка №124 (Зона 1007);Лучников переулок,7;2;Круглосуточно;50 рублей в час
434;Парковка №125 (Зона 1007);Лучников переулок,4;11;Круглосуточно;50 рублей в час
435;Парковка №42 (Зона 2004);Успенский переулок,15/29;8;Круглосуточно;50 рублей в час
436;Парковка №43 (Зона 2004);Успенский переулок,16с1;2;Круглосуточно;50 рублей в час
437;Парковка №45 (Зона 2004);Успенский переулок,16с2;7;Круглосуточно;50 рублей в час
438;Парковка №46 (Зона 2004);Успенский переулок,10с1;10;Круглосуточно;50 рублей в час
439;Парковка №47 (Зона 2004);Лихов переулок,7;9;Круглосуточно;50 рублей в час
440;Парковка №49 (Зона 2004);Лихов переулок,4с6;9;Круглосуточно;50 рублей в час
441;Парковка №50 (Зона 2004);Театральная площадь,1;18;Круглосуточно;50 рублей в час
442;Парковка №51 (Зона 2004);Театральная площадь,1;18;Круглосуточно;50 рублей в час
443;Парковка №15 (Зона 1008);Певческий переулок,4;5;Круглосуточно;50 рублей в час
444;Парковка №16 (Зона 1008);Певческий переулок,1/2;5;Круглосуточно;50 рублей в час
445;Парковка №17 (Зона 1008);Петропавловский переулок,4;16;Круглосуточно;50 рублей в час
446;Парковка №18 (Зона 1008);Петропавловский переулок,1;13;Круглосуточно;50 рублей в час
447;Парковка №19 (Зона 1008);Петропавловский переулок,3;6;Круглосуточно;50 рублей в час
448;Парковка №21 (Зона 1008);Китайгородский проезд,5;10;Круглосуточно;50 рублей в час
449;Парковка №22 (Зона 1008);Китайгородский проезд,7;31;Круглосуточно;50 рублей в час
450;Парковка №23 (Зона 1008);Китайгородский проезд,7;5;Круглосуточно;50 рублей в час
451;Парковка №24 (Зона 1008);Китайгородский проезд,9/5;19;Круглосуточно;50 рублей в час
452;Парковка №1 (Зона 2004);Первый Колобовский переулок,10с1;4;Круглосуточно;50 рублей в час
453;Парковка №2 (Зона 2004);Первый Колобовский переулок,10с1;3;Круглосуточно;50 рублей в час
454;Парковка №3 (Зона 2004);Первый Колобовский переулок,8;4;Круглосуточно;50 рублей в час
455;Парковка №4 (Зона 2004);Первый Колобовский переулок,6с3;3;Круглосуточно;50 рублей в час
456;Парковка №5 (Зона 2004);Первый Колобовский переулок,2;3;Круглосуточно;50 рублей в час
457;Парковка №6 (Зона 2004);Второй Колобовский переулок,12;9;Круглосуточно;50 рублей в час
458;Парковка №7 (Зона 2004);Третий Колобовский переулок,17/1;6;Круглосуточно;50 рублей в час
459;Парковка №8 (Зона 2004);Третий Колобовский переулок,17/1;3;Круглосуточно;50 рублей в час
460;Парковка №9 (Зона 2004);Большой Каретный переулок,10а;3;Круглосуточно;50 рублей в час
461;Парковка №12 (Зона 2004);Большой Каретный переулок,4с1;3;Круглосуточно;50 рублей в час
462;Парковка №13 (Зона 2004);Большой Каретный переулок,2;7;Круглосуточно;50 рублей в час
463;Парковка №14 (Зона 2004);Страстной бульвар,15/29с1;5;Круглосуточно;50 рублей в час
464;Парковка №15 (Зона 2004);Страстной бульвар,13;3;Круглосуточно;50 рублей в час
465;Парковка №16 (Зона 2004);Страстной бульвар,13;3;Круглосуточно;50 рублей в час
466;Парковка №17 (Зона 2004);Страстной бульвар,11с1;5;Круглосуточно;50 рублей в час
467;Парковка №18 (Зона 2004);Петровский бульвар,19/2с2;10;Круглосуточно;50 рублей в час
468;Парковка №19 (Зона 2004);Петровский бульвар,21;5;Круглосуточно;50 рублей в час
469;Парковка №22 (Зона 2004);Петровский бульвар,23;3;Круглосуточно;50 рублей в час
470;Парковка №23 (Зона 2004);Петровский бульвар,15с1;7;Круглосуточно;50 рублей в час
471;Парковка №24 (Зона 2004);Петровский бульвар,13;2;Круглосуточно;50 рублей в час
472;Парковка №25 (Зона 2004);Петровский бульвар,7;4;Круглосуточно;50 рублей в час
473;Парковка №26 (Зона 2004);Средний Каретный переулок,6/9;3;Круглосуточно;50 рублей в час
474;Парковка №27 (Зона 2004);Средний Каретный переулок,11;7;Круглосуточно;50 рублей в час
475;Парковка №28 (Зона 2004);Средний Каретный переулок,4;3;Круглосуточно;50 рублей в час
476;Парковка №29 (Зона 2004);Средний Каретный переулок,7;6;Круглосуточно;50 рублей в час
477;Парковка №30 (Зона 2004);Средний Каретный переулок,3;6;Круглосуточно;50 рублей в час
478;Парковка №31 (Зона 2004);Малый Каретный переулок,9;4;Круглосуточно;50 рублей в час
479;Парковка №33 (Зона 2004);Малый Каретный переулок,7;6;Круглосуточно;50 рублей в час
480;Парковка №34 (Зона 2004);Малый Каретный переулок,11с1;9;Круглосуточно;50 рублей в час
481;Парковка №35 (Зона 2004);Каретный Ряд улица,4с2;37;Круглосуточно;50 рублей в час
482;Парковка №37 (Зона 2004);Каретный Ряд улица,4с4;9;Круглосуточно;50 рублей в час
483;Парковка №38 (Зона 2004);Каретный Ряд улица,2/1;4;Круглосуточно;50 рублей в час
484;Парковка №39 (Зона 2004);Каретный Ряд улица,3с2;9;Круглосуточно;50 рублей в час
485;Парковка №41 (Зона 2004);Каретный Ряд улица,5/10с2;6;Круглосуточно;50 рублей в час
