0_OBJECTID;0_UID;0_Название_объекта;0_Подпись;Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;Направление;Услуга/скорость;0_MODDATE;0_MODUSER;0_SHAPE_WGS_84;0_SHAPE_WGS_84___Pseudo_Mercator
132;225;Комплекс фото-видеофиксации нарушений ПДД;Боровское ш. напротив д.6, в центр;Боровское ш. напротив д.6, в центр;37.402228;55.658207999999995;;;;;;в центр;Выделенная полоса;;;POINT (55.65820806541517 37.402227931782704);POINT (4163596.9679000042 7490673.267600007)
133;226;Комплекс фото-видеофиксации нарушений ПДД;ул.Бакунинская д.15 стр.1, в центр;ул.Бакунинская д.15 стр.1, в центр;37.682217;55.774392;;;;;;в центр;проезд грузового тр.;;;POINT (55.77439206407588 37.68221693351001);POINT (4194765.201000005 7513633.966600008)
134;227;Комплекс фото-видеофиксации нарушений ПДД;наб. Академика Туполева  д.15, в центр;наб. Академика Туполева  д.15, в центр;37.679306;55.759353;;;;;;в центр;проезд грузового тр.;;;POINT (55.7593530648347 37.67930593205202);POINT (4194441.149800003 7510658.054100007)
135;228;Комплекс фото-видеофиксации нарушений ПДД;ул. Волочаевская, д.36А, в центр;ул. Волочаевская, д.36А, в центр;37.678816999999995;55.753043999999996;;;;;;в центр;проезд грузового тр.;;;POINT (55.75304406564066 37.67881693143216);POINT (4194386.714500003 7509409.973000005)
136;229;Комплекс фото-видеофиксации нарушений ПДД;ул. Золоторожский Вал, д.4 стр. 4, в центр;ул. Золоторожский Вал, д.4 стр. 4, в центр;37.691178;55.755058;;;;;;в центр;проезд грузового тр.;;;POINT (55.755058065754106 37.691177932099656);POINT (4195762.7348000035 7509808.371700004)
137;230;Комплекс фото-видеофиксации нарушений ПДД;ул. Новорогожская, напротив дома 27, в центр;ул. Новорогожская, напротив дома 27, в центр;37.694635999999996;55.737986;;;;;;в центр;проезд грузового тр.;;;POINT (55.73798606691625 37.69463593120885);POINT (4196147.677500002 7506431.932100005)
138;231;Комплекс фото-видеофиксации нарушений ПДД;Звенигородское ш. д.25, стр. 3, в центр;Звенигородское ш. д.25, стр. 3, в центр;37.545342;55.765172;;;;;;в центр;проезд грузового тр.;;;POINT (55.76517206199157 37.54534193532755);POINT (4179528.345900003 7511809.379300006)
139;232;Комплекс фото-видеофиксации нарушений ПДД;Стрельбищенский пер., д.27, в центр;Стрельбищенский пер., д.27, в центр;37.540772;55.764672;;;;;;в центр;проезд грузового тр.;;;POINT (55.764672061959075 37.540771935084344);POINT (4179019.6158000045 7511710.444400005)
140;233;Комплекс фото-видеофиксации нарушений ПДД;Автозаводская ул., д.2, из центра;Автозаводская ул., д.2, из центра;37.663686;55.710139;;;;;;из центра;проезд грузового тр.;;;POINT (55.710139067107264 37.663685929772015);POINT (4192702.3391000032 7500927.618800007)
141;234;Комплекс фото-видеофиксации нарушений ПДД;1-й Кожуховский переулок напротив д.5/7, в центр;1-й Кожуховский переулок напротив д.5/7, в центр;37.660492;55.705996999999996;;;;;;в центр;проезд грузового тр.;;;POINT (55.70599706713145 37.66049193025344);POINT (4192346.7847000025 7500109.235100009)
142;235;Комплекс фото-видеофиксации нарушений ПДД;Автозаводская ул., д.17, в центр;Автозаводская ул., д.17, в центр;37.654241999999996;55.704878;;;;;;в центр;проезд грузового тр.;;;POINT (55.70487806723519 37.65424193041029);POINT (4191651.0379000045 7499888.156000003)
143;236;Комплекс фото-видеофиксации нарушений ПДД;Алтуфьевское ш. д.28, из центра;Алтуфьевское ш. д.28, из центра;37.584497;55.865364;;;;;;из центра;Выделенная полоса;;;POINT (55.86536405797038 37.58449693926208);POINT (4183887.0610000044 7531660.001900002)
144;237;Комплекс фото-видеофиксации нарушений ПДД;Щёлковское ш. д.23, в центр;Щёлковское ш. д.23, в центр;37.772932999999995;55.808032999999995;;;;;;в центр;Выделенная полоса;;;POINT (55.80803306389649 37.77293293326921);POINT (4204863.659900002 7520294.996800005)
145;238;Комплекс фото-видеофиксации нарушений ПДД;Щёлковское ш. д.24, из центра;Щёлковское ш. д.24, из центра;37.774983;55.808169;;;;;;из центра;Выделенная полоса;;;POINT (55.80816906372674 37.77498293366336);POINT (4205091.864900004 7520321.936900005)
146;239;Комплекс фото-видеофиксации нарушений ПДД;Щёлковское ш. д.25/15, в центр;Щёлковское ш. д.25/15, в центр;37.776958;55.809089;;;;;;в центр;Выделенная полоса;;;POINT (55.80908906447177 37.776957932816096);POINT (4205311.720800005 7520504.181600004)
147;240;Комплекс фото-видеофиксации нарушений ПДД;Дмитровское ш. д.98, стр.1, из центра;Дмитровское ш. д.98, стр.1, из центра;37.546094;55.879241;;;;;;из центра;Выделенная полоса;;;POINT (55.87924105651938 37.54609394020471);POINT (4179612.0587000027 7534413.4287000075)
148;241;Комплекс фото-видеофиксации нарушений ПДД;Дмитровское ш. д.111, в центр;Дмитровское ш. д.111, в центр;37.543411;55.882486;;;;;;в центр;Выделенная полоса;;;POINT (55.882486055882474 37.543410941945645);POINT (4179313.3887000047 7535057.432400003)
149;242;Комплекс фото-видеофиксации нарушений ПДД;Щёлковское ш. д.79 к1, в центр;Щёлковское ш. д.79 к1, в центр;37.806867;55.810603;;;;;;в центр;Выделенная полоса;;;POINT (55.810603064870975 37.80686693326401);POINT (4208641.175500002 7520804.102200009)
150;243;Комплекс фото-видеофиксации нарушений ПДД;Щёлковское ш. д.90, из центра;Щёлковское ш. д.90, из центра;37.821508;55.812047;;;;;;из центра;Выделенная полоса;;;POINT (55.81204706424594 37.82150793268277);POINT (4210271.004100002 7521090.166600004)
151;100;Комплекс фото-видеофиксации нарушений ПДД;Бутырская ул., д.17;Бутырская ул., д.17;37.58425;55.7984;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.7984000615896 37.58424993579661);POINT (4183859.5647000037 7518387.042300008)
152;101;Комплекс фото-видеофиксации нарушений ПДД;Варшавское ш., д.150;Варшавское ш., д.150;37.60276667;55.59751667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.59751673936214 37.6027665925412);POINT (4185920.8295000046 7478706.318000004)
153;102;Комплекс фото-видеофиксации нарушений ПДД;Варшавское ш., д.152;Варшавское ш., д.152;37.60145;55.59358333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.593583405586664 37.60144992554105);POINT (4185774.2588000037 7477931.393000007)
154;103;Комплекс фото-видеофиксации нарушений ПДД;Велозаводская ул., д.6;Велозаводская ул., д.6;37.66543333;55.711949999999995;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.711950067351154 37.66543326259411);POINT (4192896.851300005 7501285.466700003)
155;104;Комплекс фото-видеофиксации нарушений ПДД;Волгоградский пр-т, д.32;Волгоградский пр-т, д.32;37.69316667;55.72301667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.72301673455849 37.69316659732281);POINT (4195984.112000003 7503472.565500006)
156;105;Комплекс фото-видеофиксации нарушений ПДД;Волгоградский пр-т, д.32;Волгоградский пр-т, д.32;37.69316667;55.72301667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.72301673455849 37.69316659732281);POINT (4195984.112000003 7503472.565500006)
157;106;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское шоссе, д.116;Волоколамское шоссе, д.116;37.4134;55.82916667;;;;;;В область;IP VPN / 4 Мбит;;;POINT (55.82916672347933 37.41339994120475);POINT (4164840.630300004 7524482.4765000045)
158;107;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское шоссе, д.98;Волоколамское шоссе, д.98;37.4305;55.82544444;;;;;;В центр;IP VPN / 4 Мбит;;;POINT (55.82544450114479 37.43049994037323);POINT (4166744.1935000047 7523744.780400008)
159;108;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское шоссе, д.98;Волоколамское шоссе, д.98;37.43005;55.82531667;;;;;;В область;IP VPN / 4 Мбит;;;POINT (55.825316724083656 37.43004994011143);POINT (4166694.099700004 7523719.457900003)
160;109;Комплекс фото-видеофиксации нарушений ПДД;Дмитровское ш., д.21;Дмитровское ш., д.21;37.57256667;55.82375;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.8237500596844 37.57256660531483);POINT (4182558.982300002 7523408.9875000045)
161;110;Комплекс фото-видеофиксации нарушений ПДД;Дмитровское ш., д.61к1;Дмитровское ш., д.61к1;37.56756667;55.84701667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.84701672490702 37.56756660669796);POINT (4182002.3850000054 7528021.096200004)
162;111;Комплекс фото-видеофиксации нарушений ПДД;Каширское шоссе, Борисовские пруды ул., д.2Б;Каширское шоссе, Борисовские пруды ул., д.2Б;37.703649999999996;55.632549999999995;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.63255007212273 37.70364992501039);POINT (4197151.110700004 7485611.833200008)
163;112;Комплекс фото-видеофиксации нарушений ПДД;Косыгина ул., д.30С3;Косыгина ул., д.30С3;37.537600000000005;55.71326667;;;;;;к Мичуринскому проспекту;IP VPN / 4 Мбит;;;POINT (55.713266732151766 37.53759993171384);POINT (4178666.5100000054 7501545.645900004)
164;113;Комплекс фото-видеофиксации нарушений ПДД;Косыгина ул., д.30С3;Косыгина ул., д.30С3;37.53895;55.71041667;;;;;;от Мичуринского проспекта;IP VPN / 4 Мбит;;;POINT (55.710416731874325 37.538949932499214);POINT (4178816.791400004 7500982.483400002)
165;114;Комплекс фото-видеофиксации нарушений ПДД;Краснопрудная ул., д.26;Краснопрудная ул., д.26;37.66785;55.78028333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.78028339676384 37.66784993372764);POINT (4193165.8739000037 7514800.054700002)
166;115;Комплекс фото-видеофиксации нарушений ПДД;Кутузовский пр-т, д. 43;Кутузовский пр-т, д. 43;37.52926667;55.73866667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.73866673017035 37.52926660038624);POINT (4177738.847800005 7506566.523000002)
167;116;Комплекс фото-видеофиксации нарушений ПДД;Обручева 16к1;Обручева 16к1;37.51475;55.65958333;;;;;;к Ленинскому проспекту;IP VPN / 4 Мбит;;;POINT (55.65958340053688 37.51474992959943);POINT (4176122.859400004 7490944.667300008)
168;117;Комплекс фото-видеофиксации нарушений ПДД;Лобачевского ул., д.22;Лобачевского ул., д.22;37.50273333;55.667849999999994;;;;;;к Ленинскому проспекту;IP VPN / 4 Мбит;;;POINT (55.66785006643433 37.50273326306183);POINT (4174785.170200005 7492576.158400007)
169;118;Комплекс фото-видеофиксации нарушений ПДД;Лобачевского ул., д.27 ИСПР ССЫЛКА;Лобачевского ул., д.27 ИСПР ССЫЛКА;37.48193333;55.67975;;;;;;к Вернадского проспекту;IP VPN / 4 Мбит;;;POINT (55.679750066175316 37.48193326493481);POINT (4172469.725000005 7494925.321600005)
170;119;Комплекс фото-видеофиксации нарушений ПДД;Ломоносовский проспект, д.3К1;Ломоносовский проспект, д.3К1;37.549749999999996;55.68538333;;;;;;от Ленинского проспекта;IP VPN / 4 Мбит;;;POINT (55.685383399857905 37.5497499315958);POINT (4180019.0418000035 7496037.639800005)
171;120;Комплекс фото-видеофиксации нарушений ПДД;Университетский проспект между Мичуринским проспектом и Менделеевской улицей;Университетский проспект между Мичуринским проспектом и Менделеевской улицей;37.53133333;55.708600000000004;;;;;;к Менделевской улице;IP VPN / 4 Мбит;;;POINT (55.70860006497093 37.5313332663255);POINT (4177968.9080000035 7500623.529900007)
172;121;Комплекс фото-видеофиксации нарушений ПДД;Люблинская ул., д.171К1;Люблинская ул., д.171К1;37.74506667;55.64783333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.647833405566246 37.745066593081226);POINT (4201761.593100004 7488626.306800008)
173;122;Комплекс фото-видеофиксации нарушений ПДД;Маршала Жукова проспект, Живописный мост, ДИТ;Маршала Жукова проспект, Живописный мост, ДИТ;37.4472;55.77803333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.778033392489924 37.44719993861029);POINT (4168603.2288000025 7514354.684200004)
174;123;Комплекс фото-видеофиксации нарушений ПДД;Мира пр-т, д.184К1;Мира пр-т, д.184К1;37.64911667;55.82883333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.82883339374425 37.64911660333651);POINT (4191080.4891000018 7524416.412000008)
175;124;Комплекс фото-видеофиксации нарушений ПДД;Мневники ул., д.12;Мневники ул., д.12;37.49001667;55.77311667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.77311672829873 37.49001660410197);POINT (4173369.5582000017 7513381.559000008)
176;125;Комплекс фото-видеофиксации нарушений ПДД;Нижегородская ул., д.25;Нижегородская ул., д.25;37.693400000000004;55.73701667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.737016733107595 37.69339993112459);POINT (4196010.086600002 7506240.265000008)
177;126;Комплекс фото-видеофиксации нарушений ПДД;Нижние Мневники, рядом с д.13с5 в поселке Терехово;Нижние Мневники, рядом с д.13с5 в поселке Терехово;37.45135;55.75076667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.75076672819008 37.45134993603399);POINT (4169065.204400003 7508959.507100008)
178;127;Комплекс фото-видеофиксации нарушений ПДД;Нижние Мневники, рядом с д.13с5 в поселке Терехово;Нижние Мневники, рядом с д.13с5 в поселке Терехово;37.45135;55.75076667;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.75076672819008 37.45134993603399);POINT (4169065.204400003 7508959.507100008)
179;128;Комплекс фото-видеофиксации нарушений ПДД;Новослободская ул., д.55, с.1;Новослободская ул., д.55, с.1;37.59351667;55.78718333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.787183395009826 37.59351660233138);POINT (4184891.125300005 7516166.015000008)
180;129;Комплекс фото-видеофиксации нарушений ПДД;Новослободская ул., д.55, с.1;Новослободская ул., д.55, с.1;37.59351667;55.78718333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.787183395009826 37.59351660233138);POINT (4184891.125300005 7516166.015000008)
181;130;Комплекс фото-видеофиксации нарушений ПДД;Новоспасская ул., рядом с д.15 по 3-ему (вариантов нет) пер.;Новоспасская ул., рядом с д.15 по 3-ему (вариантов нет) пер.;37.66195;55.72913333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.729133399041764 37.6619499318922);POINT (4192509.088700004 7504681.664200008)
182;131;Комплекс фото-видеофиксации нарушений ПДД;Панфиловский проспект, дом Мебели;Панфиловский проспект, дом Мебели;37.19446667;56.00048333;;;;;;к Ленинградскому шоссе;IP VPN / 4 Мбит;;;POINT (56.00048337613414 37.194466621205486);POINT (4140469.0846000053 7558511.883200005)
183;132;Комплекс фото-видеофиксации нарушений ПДД;Панфиловский проспект, корп. 1101;Панфиловский проспект, корп. 1101;37.195049999999995;56.00156667;;;;;;от Ленинградского шоссе;IP VPN / 4 Мбит;;;POINT (56.00156671024193 37.195049954811644);POINT (4140534.0210000053 7558727.550100006)
184;133;Комплекс фото-видеофиксации нарушений ПДД;Панфиловский проспект, остановка Октябрьская. (улица Калинина);Панфиловский проспект, остановка Октябрьская. (улица Калинина);37.18331667;55.98803333;;;;;;к Ленинградскому шоссе;IP VPN / 4 Мбит;;;POINT (55.98803337683347 37.183316620507895);POINT (4139227.8722000048 7556033.8086000085)
185;134;Комплекс фото-видеофиксации нарушений ПДД;Центральный проспект;Центральный проспект;37.21151667;55.99703333;;;;;;к Панфиловскому проспекту;IP VPN / 4 Мбит;;;POINT (55.99703337741984 37.21151662104355);POINT (4142367.0819000043 7557825.1081000045)
186;135;Комплекс фото-видеофиксации нарушений ПДД;Профсоюзная ул., д. 98К1;Профсоюзная ул., д. 98К1;37.52788333;55.64518333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.645183401363404 37.527883261324014);POINT (4177584.855200004 7488103.537600003)
187;136;Комплекс фото-видеофиксации нарушений ПДД;Варшавское ш., д.116;Варшавское ш., д.116;37.61943333;55.64165;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.641650069928566 37.61943325968795);POINT (4187776.154400002 7487406.568500005)
188;137;Комплекс фото-видеофиксации нарушений ПДД;Варшавское ш., д.125С37;Варшавское ш., д.125С37;37.61953333;55.63128333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.631283404173686 37.6195332601454);POINT (4187787.286400005 7485362.0493000075)
189;138;Комплекс фото-видеофиксации нарушений ПДД;Серпуховская площадь;Серпуховская площадь;37.62396667;55.72945;;;;;;внутр. Садовое;IP VPN / 4 Мбит;;;POINT (55.72945006586062 37.62396659788781);POINT (4188280.8033000045 7504744.265800007)
190;139;Комплекс фото-видеофиксации нарушений ПДД;Мосфильмовская ул., д.11К1;Мосфильмовская ул., д.11К1;37.52165;55.71891667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.71891673103768 37.521649933314194);POINT (4176890.964300003 7502662.212000005)
191;140;Комплекс фото-видеофиксации нарушений ПДД;ТТК, Въезд из области с Волгоградского пр. Въезд на Остаповский путепровод;ТТК, Въезд из области с Волгоградского пр. Въезд на Остаповский путепровод;37.70346667;55.71938333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.71938340029419 37.70346659592887);POINT (4197130.702600002 7502754.443500005)
192;141;Комплекс фото-видеофиксации нарушений ПДД;Университетский проспект между Мичуринским проспектом и Менделеевской улицей;Университетский проспект между Мичуринским проспектом и Менделеевской улицей;37.52222222;55.7145;;;;;;к Мичуринскому проспекту;IP VPN / 4 Мбит;;;POINT (55.7145000646664 37.522222154760286);POINT (4176954.663700003 7501789.3662000075)
193;142;Комплекс фото-видеофиксации нарушений ПДД;Фрунзенская набережная, д.38/1;Фрунзенская набережная, д.38/1;37.58386667;55.720749999999995;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.72075006505649 37.583866598613746);POINT (4183816.891800005 7503024.554500006)
194;143;Комплекс фото-видеофиксации нарушений ПДД;Рязанский проспект, д.73;Рязанский проспект, д.73;37.79086667;55.71783333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.717833402271566 37.79086659597081);POINT (4206860.026100002 7502448.109500006)
195;144;Комплекс фото-видеофиксации нарушений ПДД;Центральный проспект, корп. 405;Центральный проспект, корп. 405;37.21151667;55.99703333;;;;;;от Панфиловского проспекта;IP VPN / 4 Мбит;;;POINT (55.99703337741984 37.21151662104355);POINT (4142367.0819000043 7557825.1081000045)
196;145;Комплекс фото-видеофиксации нарушений ПДД;Пр-т Вернадского, д. 59;Пр-т Вернадского, д. 59;37.49801667;55.67188333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.671883399519366 37.49801659757711);POINT (4174260.113400005 7493372.293300003)
197;146;Комплекс фото-видеофиксации нарушений ПДД;Пр-т Вернадского, д. 59;Пр-т Вернадского, д. 59;37.49801667;55.67188333;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.671883399519366 37.49801659757711);POINT (4174260.113400005 7493372.293300003)
198;147;Комплекс фото-видеофиксации нарушений ПДД;Красная Пресня ул., 24;Красная Пресня ул., 24;37.5691;55.76178333;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.76178339590617 37.56909993476819);POINT (4182173.0743000023 7511138.889500007)
199;148;Комплекс фото-видеофиксации нарушений ПДД;Энтузиастов ш., д.10/2;Энтузиастов ш., д.10/2;37.70127778;55.74836111;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.74836117700142 37.70127770880532);POINT (4196887.036800005 7508483.708600007)
200;149;Комплекс фото-видеофиксации нарушений ПДД;Энтузиастов ш., д.10/2;Энтузиастов ш., д.10/2;37.70127778;55.74836111;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.74836117700142 37.70127770880532);POINT (4196887.036800005 7508483.708600007)
201;150;Комплекс фото-видеофиксации нарушений ПДД;Энтузиастов шоссе, д.56;Энтузиастов шоссе, д.56;37.77223333;55.76215;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.76215006633079 37.77223326424051);POINT (4204785.773100004 7511211.437000006)
202;151;Комплекс фото-видеофиксации нарушений ПДД;Каширское шоссе, д.100;Каширское шоссе, д.100;37.7156;55.61405;;;;;;в область;IP VPN / 4 Мбит;;;POINT (55.61405007297477 37.71559992397751);POINT (4198481.378500003 7481964.479400009)
203;152;Комплекс фото-видеофиксации нарушений ПДД;Боровское ш. 2к 42 ( в замен Севастопольского 20а) 3-я опора от остановки, 4-я от светофорного объекта;Боровское ш. 2к 42 ( в замен Севастопольского 20а) 3-я опора от остановки, 4-я от светофорного объекта;37.41515;55.66056667;;;;;;в центр;IP VPN / 4 Мбит;;;POINT (55.6605667325555 37.41514993124342);POINT (4165035.4383000024 7491138.717500009)
204;153;Комплекс фото-видеофиксации нарушений ПДД;1-я Магистральная,17 стр 1;1-я Магистральная,17 стр 1;37.52427778;55.76855556;;;;;;из центра;IP VPN / 4 Мбит;;;POINT (55.76855561773334 37.52427771303107);POINT (4177183.487400003 7512478.916100003)
205;154;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш., МГТ №85, в центр;Волоколамское ш., МГТ №85, в центр;37.480886;55.811493999999996;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.81149405851713 37.480885938907996);POINT (4172353.1372000054 7520980.6118000075)
206;155;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое ш., д. 32, из центра;Пятницкое ш., д. 32, из центра;37.365072;55.851597;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.851597054468996 37.36507194256172);POINT (4159460.782100003 7528929.371800005)
207;156;Комплекс фото-видеофиксации нарушений ПДД;Мира пр-т, д. 105, в центр;Мира пр-т, д. 105, в центр;37.638135999999996;55.814885999999994;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.8148860611206 37.63813593596832);POINT (4189858.1268000044 7521652.618800007)
208;157;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое ш., д. 16, из центра;Пятницкое ш., д. 16, из центра;37.383992;55.842605999999996;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.84260605539487 37.38399194197056);POINT (4161566.9468000047 7527146.565200008)
209;158;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш. д28, из центра;Волоколамское ш. д28, из центра;37.481178;55.811828;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.811828059273026 37.48117793808771);POINT (4172385.642400004 7521046.779800005)
210;159;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш., д. 80, из центра;Волоколамское ш., д. 80, из центра;37.460761;55.817018999999995;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.81701905836129 37.46076093937703);POINT (4170112.8325000033 7522075.227800004)
211;160;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш., д. 90, к.1, стр. 3 из центра;Волоколамское ш., д. 90, к.1, стр. 3 из центра;37.436288999999995;55.824064;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.82406405724567 37.436288940083955);POINT (4167388.622000005 7523471.212300003)
212;161;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое ш., д. 6, из центра;Пятницкое ш., д. 6, из центра;37.38775;55.836769;;;;;;из центра;Скорость;;;POINT (55.83676905556256 37.387749941553714);POINT (4161985.285400003 7525989.379300006)
213;162;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое ш., д. 31, в центр;Пятницкое ш., д. 31, в центр;37.363949999999996;55.851814;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.85181405407529 37.36394994228027);POINT (4159335.8816000037 7528972.405300006)
214;163;Комплекс фото-видеофиксации нарушений ПДД;Мира пр-т, дублер, пересечение с улицей Космонавтов, в центр;Мира пр-т, дублер, пересечение с улицей Космонавтов, в центр;37.641403;55.821431;;;;;;в центр;Выделенная полоса;;;POINT (55.821431061021634 37.641402936180114);POINT (4190221.8076000027 7522949.447800003)
215;164;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш., д. 49, в центр;Волоколамское ш., д. 49, в центр;37.464636;55.815552999999994;;;;;;в центр;Выделенная полоса;;;POINT (55.81555305821504 37.46463593913608);POINT (4170544.195500005 7521784.767900005)
216;165;Комплекс фото-видеофиксации нарушений ПДД;Мира пр-т, д. 176, из центра;Мира пр-т, д. 176, из центра;37.644736;55.823510999999996;;;;;;из центра;Выделенная полоса;;;POINT (55.82351106129799 37.64473593651416);POINT (4190592.835500002 7523361.625600003)
217;166;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш. напротив д.22к2, в центр;Волоколамское ш. напротив д.22к2, в центр;37.487786;55.810539;;;;;;в центр;Выделенная полоса;;;POINT (55.81053905838159 37.4877859390295);POINT (4173121.241700005 7520791.422400005)
218;167;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш., д. 67, стр. 1, в центр;Волоколамское ш., д. 67, стр. 1, в центр;37.445069;55.821414;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.821414056831195 37.44506893982196);POINT (4168366.0071000047 7522946.078300007)
219;168;Комплекс фото-видеофиксации нарушений ПДД;Волоколамское ш. Панфиловский мост через окр.ж/д в область, МГТ №72, из центра;Волоколамское ш. Панфиловский мост через окр.ж/д в область, МГТ №72, из центра;37.487825;55.810289;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.81028905862026 37.48782493848922);POINT (4173125.5831000023 7520741.897200003)
220;169;Комплекс фото-видеофиксации нарушений ПДД;Мира пр-т, д. 184, корп. 1, выезд из тоннеля, из центра;Мира пр-т, д. 184, корп. 1, выезд из тоннеля, из центра;37.649727999999996;55.828733;;;;;;из центра;скорость;;;POINT (55.82873306100779 37.64972793743009);POINT (4191148.542500004 7524396.526600003)
221;170;Комплекс фото-видеофиксации нарушений ПДД;Пятницкое ш., д. 19, к.1, в центр;Пятницкое ш., д. 19, к.1, в центр;37.377519;55.845119;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.84511905515344 37.37751894344294);POINT (4160846.375900004 7527644.821200006)
222;171;Комплекс фото-видеофиксации нарушений ПДД;Озерная ул., напротив д.44, в центр;Озерная ул., напротив д.44, в центр;37.446522;55.667119;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.66711906567937 37.44652193065804);POINT (4168527.7533000037 7492431.875800006)
223;172;Комплекс фото-видеофиксации нарушений ПДД;Озерная ул., напротив д.35, МГТ №320, из центра;Озерная ул., напротив д.35, МГТ №320, из центра;37.452802999999996;55.668022;;;;;;из центра;Выделенная полоса;;;POINT (55.66802206590895 37.45280293136165);POINT (4169226.951100003 7492610.107500002)
224;173;Комплекс фото-видеофиксации нарушений ПДД;Боровское ш., напротив д.19 по ул. Богданова, в центр;Боровское ш., напротив д.19 по ул. Богданова, в центр;37.392666999999996;55.654166999999994;;;;;;в центр;Выделенная полоса;;;POINT (55.654167065062076 37.39266693224509);POINT (4162532.6423000023 7489875.898000002)
225;174;Комплекс фото-видеофиксации нарушений ПДД;Боровское ш., д.39, в центр;Боровское ш., д.39, в центр;37.356881;55.641785999999996;;;;;;в центр;Выделенная полоса+скорость;;;POINT (55.641786065942874 37.356880931324596);POINT (4158548.9629000053 7487433.393300004)
226;175;Комплекс фото-видеофиксации нарушений ПДД;Боровское ш., напротив д.3 по Боровскому пр-ду, из центра;Боровское ш., напротив д.3 по Боровскому пр-ду, из центра;37.392742;55.654005999999995;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.65400606552664 37.392741931689855);POINT (4162540.991200004 7489844.131300002)
227;176;Комплекс фото-видеофиксации нарушений ПДД;Боровское ш., напротив д.25, из центра;Боровское ш., напротив д.25, из центра;37.365868999999996;55.646339;;;;;;из центра;Выделенная полоса+скорость;;;POINT (55.64633906566859 37.36586893147506);POINT (4159549.502500005 7488331.512400009)
