"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Площадь (га)";"1_Телефон";"1_Типы захоронений";"1_Статус кладбища";"0_POINT_X";"0_POINT_Y"
24.00000000000;"Владыкинское кладбище";"Владыкинское кладбище";"Ул. Стационная, вл. 8а";37.59138600000;55.84511100000;0.00000000000;"";"";"";"";1.44320000000;"977-80-90";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4184653.94089999980;7527643.23550000040
25.00000000000;"Вороново кладбище";"Вороново кладбище";"Поселение Вороновское, с. Вороново";37.15155900000;55.31496500000;0.00000000000;"";"";"";"";1.70000000000;"232-40-21";"";"Закрытое";4135692.62080000010;7423235.93939999960
26.00000000000;"Ворсино кладбище";"Ворсино кладбище";"Поселение Вороновское, д. Ворсино";37.24186500000;55.34233500000;0.00000000000;"";"";"";"";0.30000000000;"232-40-21";"";"Закрытое";4145745.43890000000;7428591.86149999960
27.00000000000;"Востряковское (Центральное) кладбище";"Востряковское (Центральное) кладбище";"Ул. Озерная, д. 47";37.44373900000;55.65932700000;0.00000000000;"";"";"";"";57.05590000000;"437-47-00";"Захоронение урной в землю";"Закрытое";4168217.95129999980;7490894.08320000020
28.00000000000;"Востряковское (Северное) кладбище";"Востряковское (Северное) кладбище";"Ул. Озерная, д. 47";37.44423200000;55.66410600000;0.00000000000;"";"";"";"";25.85440000000;"437-47-00";"Захоронение урной в землю";"Закрытое";4168272.83179999980;7491837.20799999960
29.00000000000;"Головинское кладбище";"Головинское кладбище";"Головинское ш., д. 13а";37.50095700000;55.84014100000;0.00000000000;"";"";"";"";15.00000000000;"450-59-27";"Захоронение урной в землю, захоронение урной в саркофаг";"Закрытое";4174587.43080000020;7526657.85800000000
30.00000000000;"Гольяновское кладбище";"Гольяновское кладбище";"Ул. Курганская, д. 11";37.81326500000;55.83104200000;0.00000000000;"";"";"";"";1.97370000000;"791-05-39";"Открытый колумбарий";"Закрытое";4209353.39769999960;7524854.17140000030
31.00000000000;"Губцево кладбище";"Губцево кладбище";"Поселение Первомайское, д. Губцево";37.25737800000;55.51151900000;0.00000000000;"";"";"";"";8.10000000000;"952-47-37, 952-29-63";"";"Закрытое";4147472.33910000000;7461781.19029999990
32.00000000000;"Даниловское (Центральное) кладбище";"Даниловское (Центральное) кладбище";"4-й Рощинский пр., д. 30";37.60886300000;55.70431200000;0.00000000000;"";"";"";"";20.27440000000;"952-29-63";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4186599.47069999990;7499776.33459999970
33.00000000000;"Даниловское (мусульманское) кладбище";"Даниловское (мусульманское) кладбище";"2-й Рощинский пр., д. 10";37.60221100000;55.70476100000;0.00000000000;"";"";"";"";4.05710000000;"952-29-63";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4185858.97349999980;7499865.04059999990
