0_OBJECTID;0_UIDNFTN; 1_Наименование;1_Адрес;0_X;0_Y;1_Режим работы;0_Товары; 0_QUANTITY
33;20;Ярмарка выходного дня;ул. Маршала Федоренко, дом 14 корп. 3;-559,5003;24023,1797;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
34;19;Ярмарка выходного дня;Дмитровское шоссе, дом 131 корп. 1;2709,2793;24681,9405;Пятница, суббота, воскресенье с 8.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
35;32;Ярмарка выходного дня;Лианозовский пр., владение 2А;3481,6388;25728,8182;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;60
36;30;Ярмарка выходного дня;ул. Лескова, дом 14;6648,9589;25652,7629;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;60
37;39;Ярмарка выходного дня;9-я Северная линия, дом 21;3394,9316;29969,8461;Пятница, суббота, воскресенье с 10.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;15
38;122;Ярмарка выходного дня;Зеленоград, корп. 1104;-19345,3019;36541,8402;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;15
39;69;Ярмарка выходного дня;Бирюлёвская ул., дом 17;10455,6163;-7947,9444;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
40;81;Ярмарка выходного дня;Домодедовская ул., дом 15;13359,7053;-6479,7903;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;60
41;80;Ярмарка выходного дня;Домодедовская ул., владение 12 корп. 1;13082,338;-5947,6279;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
42;89;Ярмарка выходного дня;Профсоюзная ул., владение 91 стр. 1;1776,0561;-3005,4054;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
43;95;Ярмарка выходного дня;Ленинский просп., дом 125 корп. 2;-1026,6819;-2404,2961;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
44;96;Ярмарка выходного дня;Новочерёмушкинская ул., дом 53А;4506,0165;527,1586;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
45;90;Ярмарка выходного дня;Нагорный бульв., дом 8;6088,3075;575,5113;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;35
46;94;Ярмарка выходного дня;Профсоюзная ул., дом 128 корп. 2;1075,9045;-4073,8137;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
47;82;Ярмарка выходного дня;Пролетарский просп., владение 24;10051,3285;-3826,7975;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
48;83;Ярмарка выходного дня;мкр. Северное Чертаново, корп. 806;6080,6264;-3485,1015;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;20
49;75;Ярмарка выходного дня;Кантемировская ул., дом 14;10737,4505;-3187,6507;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;40
50;66;Ярмарка выходного дня;1-й Капотнинский пр., дом 12 стр. 1;18524,9102;-3278,5324;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;10
51;106;Ярмарка выходного дня;Новопеределкинская ул., дом 12А;-8311,3106;-2842,7936;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;20
52;105;Ярмарка выходного дня;ул. Богданова, дом 52;-6467,0602;-1940,0856;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;35
53;76;Ярмарка выходного дня;Чонгарский бульв., владение 7;7188,5723;-1733,8751;Пятница, суббота, воскресенье с 9.00 до 20.00;Сельскохозяйственная продукция, продовольственные товары;30
54;111;Ярмарка выходного дня;ул. Мичуринский Проспект, Олимпийская Деревня, дом 3;-1950,0204;1027,8918;Пятница, суббота, воскресенье с 9.00 до 19.00;Сельскохозяйственная продукция, продовольственные товары;60
