0_UIDNFTN;1_Название;0_LABEL;1_Адрес;0_X;0_Y;0_BUI_NO_BTI;0_CAD_NO;0_STREET_BTI;0_HOUSE_BTI;0_HADD_BTI;1_Административный округ;1_Количество машино-мест;1_Дата начала строительства;1_Дата окончания;0_POINT_X;0_POINT_Y
131.00000000000;Гараж емкостью 200 машиноместа;Гараж емкостью 200 машиноместа;Севастопольский пр-д, вл. 7, корп. 6;37.60734800000;55.68990000000;0;;;;;ЮАО;200.00000000000;мар.13;дек.13;4186430.82170000020;7496929.58469999950
133.00000000000;Гараж емкостью 90 машиноместа;Гараж емкостью 90 машиноместа;Энтузиастов ш., вл. 13;37.71389100000;55.75135100000;0;;;;;ЮВАО;90.00000000000;фев.13;ноя.13;4198291.13430000000;7509075.08880000000
134.00000000000;Гараж емкостью 175 машиноместа;Гараж емкостью 175 машиноместа;2-й Южнопортовый пр,   вл. 27.;37.68812300000;55.70323600000;0;;;;;ЮВАО;175.00000000000;сен.12;ноя.13;4195422.65340000020;7499563.76040000000
135.00000000000;Гараж емкостью 100 машиноместа;Гараж емкостью 100 машиноместа;Юных Ленинцев ул., вл. 73;37.77012000000;55.69929500000;0;;;;;ЮВАО;100.00000000000;мар.13;дек.13;4204550.51759999990;7498785.22630000020
136.00000000000;Гараж емкостью 453 машиноместа;Гараж емкостью 453 машиноместа;Цимлянская ул., вл. 7;37.76790000000;55.66818900000;0;;;;;ЮВАО;453.00000000000;мар.13;дек.13;4204303.38810000010;7492643.07100000050
137.00000000000;Гараж емкостью 400 машиноместа;Гараж емкостью 400 машиноместа;Новохохловская  ул. вл. 18.;37.71478300000;55.72556500000;0;;;;;ЮВАО;400.00000000000;окт.12;ноя.13;4198390.43109999970;7503976.27869999970
139.00000000000;Гараж емкостью 120 машиноместа;Гараж емкостью 120 машиноместа;Золоторожский Вал, вл. 22 (р-н Лефортово);37.68458500000;55.75067900000;0;;;;;ЮВАО;120.00000000000;мар.13;дек.13;4195028.80540000000;7508942.16750000040
140.00000000000;Гараж емкостью 215 машиноместа;Гараж емкостью 215 машиноместа;Абрамцевская  ул., вл. 29, корп. 1;37.57496700000;55.90623300000;0;;;;;СВАО;215.00000000000;мар.13;окт.13;4182826.18660000010;7539771.90940000020
141.00000000000;Гараж емкостью 275 машиноместа;Гараж емкостью 275 машиноместа;Алтуфьевское ш. вл. 34А;37.58615600000;55.86832100000;0;;;;;СВАО;275.00000000000;мар.13;ноя.13;4184071.74000000020;7532246.63709999990
142.00000000000;Гараж емкостью 99 машиноместа;Гараж емкостью 99 машиноместа;Новоалексеевская ул., вл. 11;37.64587000000;55.80972000000;0;;;;;СВАО;99.00000000000;мар.13;окт.13;4190719.07170000020;7520629.17960000040
