0_OBJECTID;0_UIDNFTN;Название;0_LABEL;Адрес;0_X;0_Y;0_ZRENIE;0_OPORNO_DVIG
173;82;Управление социальной защиты населения района Восточное Дегунино города Москвы САО;УСЗН района Восточное Дегунино города Москвы САО. Керамический пр-д, д. 57, к. 1;Москва, Керамический пр-д, д. 57, к. 1;4250,665287;23567,25027; Приспособлен;Частично приспособлено
174;83;Управление социальной защиты населения района Гольяново ВАО г.Москвы;УСЗН района Гольяново ВАО г.Москвы. Щелковское ш., д.27;Москва, Щелковское ш., д.27;17551,1797;15958,91299;Не приспособлен;Частично приспособлено
175;84;Управление социальной защиты населения Дмитровского района города Москвы Северный административный округ;УСЗН Дмитровского района города Москвы Северный административный окру127411, Дмитровское шоссе, д.115, корп.1;Москва, 127411, Дмитровское шоссе, д.115, корп.1;2699,667125;24204,44261;Частично приспособлено;Полностью приспособлено
176;85;Управление социальной защиты населения  Донского района города Москвы ЮАО;УСЗН  Донского района города Москвы ЮАО. Загородное шоссе, д.4 к.2;Москва, Загородное шоссе, д.4 к.2;6896,454043;3103,357557;частично приспособлен;частично приспособлен
177;86;УСЗН района Западное Дегунино;УСЗН района Западное Дегунино. ул. Дегунинская, д.1, кор. 1;ул. Дегунинская, д.1, кор. 1;2634,4878;21830,70819;не приспособлено;частично приспособлено
178;87;Управление социальной защиты населения района Ивановское города Москвы ВАО;УСЗН района Ивановское города Москвы ВАО. 111555, Свободный проспект, дом 19;111555, г.Москва, Свободный проспект, дом 19;20267,31723;10266,4729; Приспособлено;Приспособлено
179;88;Управление социальной защиты населения района Коньково города Москвы ЮЗАО ;УСЗН района Коньково города Москвы ЮЗАО . ул. Профсоюзная, д.111, кор. 1;Москва, ул. Профсоюзная, д.111, кор. 1;1452,59335;-3894,271527;полностью приспособлен;полностью приспособлен
180;89;Управление социальной защиты населения района Коптево Северный административный округ;УСЗН района Коптево Северный административный округ. ул. Космонавта Волкова, 27 ;г. Москва, ул. Космонавта Волкова, 27 ;1631,20575;16638,06183;Частично приспособлено;Частично приспособлено
181;90;УСЗН района Крылатское, г. Москвы;УСЗН района Крылатское, г. Москвы. 121609,Рублевское шоссе, д. 36, корп. 1;121609,г. Москва, Рублевское шоссе, д. 36, корп. 1;-5143,5334;9126,123612;не приспособлено;Частично приспособлено
182;182;Государственное казенное учреждение города Москвы Детский дом-интернат для умственно отсталых детей №8 Департамента социальной защиты населения города Москвы;ГКУ города Москвы Детский дом-интернат для умственно отсталых детей №8 Департамента социальной защиты населения города Москвы. Борисовский проезд, д.3, корп.3;г. Москва, Борисовский проезд, д.3, корп.3;13618,11205;-4478,648177;Частично приспособлен;Частично приспособлен
183;183;Государственное бюджетное учреждение города Москвы пансионат «Никольский парк»;ГБУ города Москвы пансионат «Никольский парк». 124482, Зеленоград, Никольский проезд, д. 5;124482, г. Москва, Зеленоград, Никольский проезд, д. 5;-15639,13455;36286,43977;Не приспособлен;Частично приспособлен
184;185;ГБУ ПВТ №1;ГБУ ПВТ №1. ул. Правобережная , дом 4;Москва, ул. Правобережная , дом 4;-2803,13375;23483,1737;Не приспособлен;Частично приспособлен
185;186;ГБУ пансионат для ветеранов труда № 9;ГБУ пансионат для ветеранов труда № 9. ул.Вилиса Лациса д.2;Москва, ул.Вилиса Лациса д.2;-4123,256619;22234,80942;частично приспособлен;частично приспособлен
186;187;ГБУ города Москвы Пансионат для ветеранов труда №29 Департамента социальной защиты населения города Москвы;ГБУ города Москвы Пансионат для ветеранов труда №29 Департамента социальной защиты населения города Москвы. 119501, ул. Нежинская, дом 2;119501, г. Москва, ул. Нежинская, дом 2;-1530,8285;5629,479204;частично приспособлен;приспособлен
187;188;ГБУ СРЦ ВВ и ВС;ГБУ СРЦ ВВ и ВС. Олимпийский проспект, дом 7, корп.1;Москва, Олимпийский проспект, дом 7, корп.1;7680,469275;13225,0524;не приспособлен;приспособлен
188;190;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда №19 Департамента социальной защиты населения города Москвы;ГБУ города Москвы Пансионат для ветеранов труда №19 Департамента социальной защиты населения города Москвы. 105484, ул. Парковая 16-я, д.16;105484, г. Москва, ул. Парковая 16-я, д.16;20796,60733;14962,34347;Частично приспособлен;Частично приспособлен
