1_Номер;0_name;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Количество квартир;0_moddate;0_moduser
153;Маломосковская 21 к.1                                                                                                                                                                                                                                         ;Маломосковская 21 к.1                                                                                                                                                                                                                                         ;Маломосковская 21 к.1                                                                                                                                                                                                                                         ;9503,884325;16322,12789;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;189;12:00:00 AM;                                                                                                    
1;Шоссейная 14 к.3                                                                                                                                                                                                                                              ;Шоссейная 14 к.3                                                                                                                                                                                                                                              ;Шоссейная 14 к.3                                                                                                                                                                                                                                              ;14153,70592;2394,900707;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;109;12:00:00 AM;                                                                                                    
2;Перервинский бульвар 9                                                                                                                                                                                                                                        ;Перервинский бульвар 9                                                                                                                                                                                                                                        ;Перервинский бульвар 9                                                                                                                                                                                                                                        ;16840,66725;-509,9667064;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;191;12:00:00 AM;                                                                                                    
3;9-я ул. Соколиной горы д. 5                                                                                                                                                                                                                                   ;9-я ул. Соколиной горы д. 5                                                                                                                                                                                                                                   ;9-я ул. Соколиной горы д. 5                                                                                                                                                                                                                                   ;14626,76311;11746,54494;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;107;24.01.2013;opens\dgpgf_pshenicin                                                                               
4;Верхние Поля 40 к.1                                                                                                                                                                                                                                           ;Верхние Поля 40 к.1                                                                                                                                                                                                                                           ;Верхние Поля 40 к.1                                                                                                                                                                                                                                           ;17448,8141;-75,73518347;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;256;12:00:00 AM;                                                                                                    
5;Верхние Поля 45 к.4                                                                                                                                                                                                                                           ;Верхние Поля 45 к.4                                                                                                                                                                                                                                           ;Верхние Поля 45 к.4                                                                                                                                                                                                                                           ;17582,653;114,7968398;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;264;12:00:00 AM;                                                                                                    
6;Марьинский парк 27 к.1                                                                                                                                                                                                                                        ;Марьинский парк 27 к.1                                                                                                                                                                                                                                        ;Марьинский парк 27 к.1                                                                                                                                                                                                                                        ;17892,83905;-82,11116358;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;82;12:00:00 AM;                                                                                                    
7;Высокая 7                                                                                                                                                                                                                                                     ;Высокая 7                                                                                                                                                                                                                                                     ;Высокая 7                                                                                                                                                                                                                                                     ;9862,282825;1448,082253;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;310;12:00:00 AM;                                                                                                    
8;Строгинский бульвар 4                                                                                                                                                                                                                                         ;Строгинский бульвар 4                                                                                                                                                                                                                                         ;Строгинский бульвар 4                                                                                                                                                                                                                                         ;-6360,135025;15283,33612;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;168;12:00:00 AM;                                                                                                    
9;Строгинский бульвар 26 к.4                                                                                                                                                                                                                                    ;Строгинский бульвар 26 к.4                                                                                                                                                                                                                                    ;Строгинский бульвар 26 к.4                                                                                                                                                                                                                                    ;-6021,822055;15015,82643;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;108;12:00:00 AM;                                                                                                    
10;Свободы 75 к.3                                                                                                                                                                                                                                                ;Свободы 75 к.3                                                                                                                                                                                                                                                ;Свободы 75 к.3                                                                                                                                                                                                                                                ;-3455,471683;21599,00061;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;57;12:00:00 AM;                                                                                                    
11;Фестивальная 47                                                                                                                                                                                                                                               ;Фестивальная 47                                                                                                                                                                                                                                               ;Фестивальная 47                                                                                                                                                                                                                                               ;-775,60155;21329,5867;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;42;12:00:00 AM;                                                                                                    
12;Ясный проезд 14 к.1                                                                                                                                                                                                                                           ;Ясный проезд 14 к.1                                                                                                                                                                                                                                           ;Ясный проезд 14 к.1                                                                                                                                                                                                                                           ;8062,367;23215,5394;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;250;12:00:00 AM;                                                                                                    
13;проезд Нансена 6 к.3                                                                                                                                                                                                                                          ;проезд Нансена 6 к.3                                                                                                                                                                                                                                          ;проезд Нансена 6 к.3                                                                                                                                                                                                                                          ;9775,677825;20436,83173;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;156;12:00:00 AM;                                                                                                    
14;Полярная 11 к.2                                                                                                                                                                                                                                               ;Полярная 11 к.2                                                                                                                                                                                                                                               ;Полярная 11 к.2                                                                                                                                                                                                                                               ;8372,507833;23159,18322;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;109;12:00:00 AM;                                                                                                    
15;Полярная 15 к.3                                                                                                                                                                                                                                               ;Полярная 15 к.3                                                                                                                                                                                                                                               ;Полярная 15 к.3                                                                                                                                                                                                                                               ;8485,311168;23262,28919;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;156;12:00:00 AM;                                                                                                    
16;13-я Парковая 26                                                                                                                                                                                                                                              ;13-я Парковая 26                                                                                                                                                                                                                                              ;13-я Парковая 26                                                                                                                                                                                                                                              ;19767,6539;15341,81779;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;338;12:00:00 AM;                                                                                                    
17;1-я Прядильная 10                                                                                                                                                                                                                                             ;1-я Прядильная 10                                                                                                                                                                                                                                             ;1-я Прядильная 10                                                                                                                                                                                                                                             ;17625,68075;14190,04546;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;122;12:00:00 AM;                                                                                                    
18;Новогиреевская 24 к.1                                                                                                                                                                                                                                         ;Новогиреевская 24 к.1                                                                                                                                                                                                                                         ;Новогиреевская 24 к.1                                                                                                                                                                                                                                         ;18659,59995;10061,66142;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;128;12:00:00 AM;                                                                                                    
19;Марьинский парк 23 кор.1                                                                                                                                                                                                                                      ;Марьинский парк 23 кор.1                                                                                                                                                                                                                                      ;Марьинский парк 23 кор.1                                                                                                                                                                                                                                      ;17854,97133;-231,8616748;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;96;12:00:00 AM;                                                                                                    
20;Марьинский парк 23 кор.3                                                                                                                                                                                                                                      ;Марьинский парк 23 кор.3                                                                                                                                                                                                                                      ;Марьинский парк 23 кор.3                                                                                                                                                                                                                                      ;17776,35517;-180,509844;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;119;12:00:00 AM;                                                                                                    
23;Краснодарская 78                                                                                                                                                                                                                                              ;Краснодарская 78                                                                                                                                                                                                                                              ;Краснодарская 78                                                                                                                                                                                                                                              ;17917,00099;18,89639076;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;119;12:00:00 AM;                                                                                                    
24;Перерва 74                                                                                                                                                                                                                                                    ;Перерва 74                                                                                                                                                                                                                                                    ;Перерва 74                                                                                                                                                                                                                                                    ;17596,48173;283,5464817;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;384;12:00:00 AM;                                                                                                    
