1_Тип сооружения;1_Адрес расположения
Тоннель пешеходный;г.Москва, Ярославское шоссе , дом 12, соор. 1
Тоннель пешеходный;г.Москва, Ярославское шоссе, дом 24, соор. 2
Тоннель пешеходный;г.Москва, Ярославское шоссе , дом 26, соор. 1
Тоннель пешеходный;г.Москва, Ярославское шоссе, дом 38А, соор. 1
Тоннель пешеходный;г.Москва, Ярославское шоссе, дом 114, соор. 3
Тоннель пешеходный;г.Москва, Ярославское шоссе, дом 124, соор. 1
Тоннель пешеходный;г.Москва, Ярославское шоссе, дом 136, соор. 1
Тоннель пешеходный;г.Москва, Ярославское шоссе, дом 142, соор. 6
Тоннель пешеходный;г.Москва, Рублевское шоссе, дом 105, соор. 1
Тоннель пешеходный;г.Москва, Рублевское шоссе, дом 107, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 132, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Тарусская улица, дом 14, кор.1, соор. 1
Тоннель пешеходный;г.Москва, Автозаводская улица, дом 24, соор. 1
Тоннель пешеходный;г.Москва, Беговая улица, вл. 22, соор. 1
Тоннель пешеходный;г.Москва, Лужнецкая эстакада
Тоннель пешеходный;г.Москва, 5-й Донской проезд, дом 23, соор. 1
Тоннель пешеходный;г.Москва, Верхняя Красносельская улица, дом 15Б, соор. 2
Тоннель пешеходный;г.Москва, Большая Тульская улица, дом 44, соор. 1
Тоннель пешеходный;г.Москва, 5-й Донской проезд , дом 15, соор.1
Тоннель пешеходный;г.Москва, Автозаводская улица, дом 14, соор. 1
Тоннель пешеходный;г.Москва, Автозаводская улица, дом 18, кор. 1, соор. 1
Тоннель пешеходный;ТТК, 1-й Красносельский переулок, дом 9
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 30, соор. 1
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 39, соор. 1
Тоннель пешеходный;г.Москва, улица Киевская, дом 27, соор. 1
Тоннель пешеходный;г.Москва, Новолужнецкий проезд, дом 5А, соор. 2
Тоннель пешеходный;г.Москва, под Лужнецкой эстакадой
Тоннель пешеходный;г.Москва, улица Нижняя Масловка, вл. 10, соор. 1
Тоннель пешеходный;г.Москва, Вятская улица, дом 6, соор. 1
Тоннель пешеходный;г.Москва, Новая Башиловка улица, вл. 10, соор 1
Тоннель пешеходный;г.Москва, улица Новая Башиловка, дом 16, соор 1
Тоннель пешеходный;г.Москва, улица Новая Башиловка, дом 4, соор. 2
Тоннель пешеходный;г.Москва, Новолужнецкий проезд, дом 11А, соор 1
Тоннель пешеходный;г.Москва, Беговая улица, вл. 4, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 78, соор. 1
Тоннель пешеходный;г.Москва, 2-я Рыбинская улица, дом 12, соор. 1
Тоннель пешеходный;г.Москва, улица Сущевский вал, дом 10, соор. 1
Тоннель пешеходный;г.Москва, Спартаковская площадь, дом 16, соор. 1
Тоннель пешеходный;г.Москва, Ленинградский проспект, дом 36, соор.12
Тоннель пешеходный;г.Москва, Беговая улица, вл.28, соор. 1
Тоннель пешеходный;г.Москва ТТК, улица Сущевский Вал, дом 56, соор. 1
Тоннель пешеходный;г.Москва, улица Сущевский Вал, дом 18, соор. 1
Тоннель пешеходный;г.Москва, улица Подвойского, дом дом 26А, соор. 1
Тоннель пешеходный;г.Москва, улица Сущевский Вал, дом 26, соор. 1
Тоннель пешеходный;г.Москва, 2-й Красногвардейский проезд, дом 12, соор. 1
Тоннель пешеходный;г.Москва, 2-й Красногвардейский проезд ТТК
Тоннель пешеходный;г.Москва, Шереметьевская улица, дом 2, соор. 2 
Тоннель пешеходный;г.Москва, МКАД 102км., соор.2
Тоннель пешеходный;г.Москва, МКАД 102км., соор.1
Тоннель пешеходный;г.Москва, МКАД 106км., вл. 4А, соор.1
Тоннель пешеходный;г.Москва, МКАД 109км., вл. 2, соор. 1
Тоннель пешеходный;г.Москва, МКАД 1км., вл. 2, соор. 1
Тоннель пешеходный;г.Москва, МКАД 3км., вл. 6, соор. 1
Тоннель пешеходный;г.Москва, МКАД 7км., вл. 2, соор. 1
Тоннель пешеходный;г.Москва, МКАД, 8 км., соор. 2
Тоннель пешеходный;г.Москва, МКАД, 33-й км., дом 18, соор. 1
Фонтан;г.Москва, Большая Садовая улица, дом 16, Сад Аквариум
Фонтан;г.Москва, Площадь Революции
"Фонтан ""Гейзер и Навес""";г.Москва, Манежная площадь
Фонтан;г.Москва, 2-я Песчаная улица, сквер
"Фонтан ""Главная аллея""";г.Москва, Поклонная гора, парк Победы
Фонтан;г.Москва, Украинский бульвар, дом 3 - 13, литера б
Фонтан;г.Москва, Украинский бульвар, дом 3 - 13, литера в
"Фонтан ""Девушка с кувшином""";г.Москва, ЦПКиО им. А.М.Горького
Фонтан;г.Москва, Зеленоград, Парк Победы
"Фонтан ""Каскад-1""";г.Москва, Манежная площадь
Фонтан;г.Москва, проспект Мира, Большой Крестовский путепровод 
"Фонтан ""Купола""";г.Москва, Манежная площадь
Фонтан;г.Москва, Нескучный сад, между Екатерининским прудом и р.Москва
Фонтан;г.Москва, Южнобутовская улица, Детский парк
Фонтан;г.Москва, Волгоградский проспект, владение 119-121, площадь Славы
Фонтан;г.Москва, Тверской бульвар, Большая Бронная улица, дом 29
Фонтан;г.Москва, Калужская площадь, памятник В.И.Ленину
Фонтан;г.Москва, Украинский бульвар, дом 3 - 13, литера а
Фонтан;г.Москва, площадь Европы, вл. 1
Фонтан;г.Москва, улица Арбат, дом 26/2, театр Вахтангова
Фонтан;г.Москва, Украинский бульвар, дом 3 - 13, литера г
Фонтан;г.Москва, Пушкинская площадь, дом 2
"Фонтан ""Река Неглинная""";г.Москва, Манежная площадь
Фонтан;г.Москва, Болотная площадь
"Фонтан ""Розарий""";г.Москва, ЦПКиО им. А.М.Горького
Фонтан;г.Москва, площадь Никитские Ворота, Малая Никитская улица, дом 2/1
"Фонтан ""Свето-музыкальный""";г.Москва, ЦПКиО им.М.Горького
"Фонтан ""№2 Северный Кутузовская развязка ТТК""";г.Москва, Кутузовская развязка, ТТК
"Фонтан ""Сегментный""";г.Москва, Поклонная гора, парк Победы
Фонтан;г.Москва, Тверская площадь, Столешников переулок, дом 2
Фонтан;г.Москва, Фонтанная площадь, ПКиО Сокольники
Фонтан;г.Москва, Театральная площадь
Фонтан;г.Москва, Цветной Бульвар, дом 20, соор. 2
"Фонтан ""Часы Мира""";г.Москва, Манежная площадь
Фонтан;г.Москва, Чистопрудный Бульвар, дом 12
"Фонтан ""№1 Южный Кутузовская развязка ТТК""";г.Москва, Кутузовская развязка, ТТК
Фонтан;г.Москва, Зеленоград, площадь Юности
