1_Тип сооружения;1_Адрес расположения
Тоннель пешеходный;г.Москва, Каширский проезд, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Бутырская улица, дом 9, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 124, соор. 1
Тоннель пешеходный;г.Москва, Дмитровское шоссе, вл. 80, соор. 2
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 30, соор. 2
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 64, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, улица Воздвиженка, дом 20, соор. 2
Тоннель пешеходный;г.Москва, Ленинградское шоссе, вл. 62, соор. 1
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 86, соор. 1
Тоннель пешеходный;г.Москва, Колодезный переулок, дом 14, соор. 1
Тоннель пешеходный;г.Москва, проспект Андропова, дом 40, соор. 1
Тоннель пешеходный;г.Москва, шоссе Энтузиастов, дом 30, соор. 1
Тоннель пешеходный;г.Москва, Дмитровское шоссе, дом 42, соор. 1
Тоннель пешеходный;г.Москва, Комсомольская пл., 2, соор. 1
Тоннель пешеходный;г.Москва, Комсомольский проспект, дом 49, соор. 1
Тоннель пешеходный;г.Москва, Новолужнецкий проезд, дом 5А, соор. 1
Тоннель пешеходный; г.Москва, 1-й Красногвардейский проезд, дом 12А, соор. 1
Тоннель пешеходный;г.Москва, Краснопресненская набережная, дом 12А, соор. 2
Тоннель пешеходный;г.Москва, Краснопрудная улица, дом 38, соор. 1
Тоннель пешеходный;г.Москва, Гончарный проезд, дом 6, соор. 1
Тоннель пешеходный;г.Москва, улица Садовая-Черногрязская, дом 4, соор. 1а
Тоннель пешеходный;г.Москва, улица Новая Басманная дом 2, соор. 1а
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 142, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 76, соор. 1
Тоннель пешеходный;г.Москва, Кременчугская улица, дом 34, кор. 2, соор. 1
Тоннель пешеходный;г.Москва, 3-й Крутицкий переулок, дом. 15, соор. 1
Тоннель пешеходный;г.Москва, Зубовский бульвар, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Можайское шоссе, дом 48, соор. 5
Тоннель пешеходный;г.Москва, Садовая-Кудринская улица, дом 2/62, соор. 1
Тоннель пешеходный;г.Москва, улица Земляной Вал, дом 24, соор. 2
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 16, соор. 1
Тоннель пешеходный;г.Москва, улица Новый Арбат, дом 30, соор. 1
Тоннель пешеходный;г.Москва, улица Куусинена, вл. 8А, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 87, соор. 1
Тоннель пешеходный;г.Москва, Ленинградское шоссе 25км, деревня Новодмитровка, у дома 196/2
Тоннель пешеходный;г.Москва, Ленинградское шоссе 27км, деревня Молжаниновка, у дома 256
Тоннель пешеходный;г.Москва, Ленинградское шоссе 29км, деревня Черкизово,у дома 354
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 137, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 30, соор. 3
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 117, соор. 1
Тоннель пешеходный;г.Москва, Ленинский проспект, дом 123, соор. 1
Тоннель пешеходный;1-я Тверская-Ямская улица, дом 36, соор. 1
Тоннель пешеходный;г.Москва, Севастопольский проспект, дом 54Б, соор. 1
Тоннель пешеходный;г.Москва, Липецкая улица, дом 22, соор. 1
Тоннель пешеходный;г.Москва, Липецкая улица, дом 46, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Садовая-Самотечная улица, дом 6, соор. 3
Тоннель пешеходный;г.Москва, улица Лобачика, дом 14, соор. 1
Тоннель пешеходный;г.Москва, Большая Черкизовская улица, дом 30, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 20, соор. 1
Тоннель пешеходный;г.Москва, Люблинская улица, дом. 84, соор. 1
Тоннель пешеходный;г.Москва, улица Земляной Вал, дом 42, соор. 1
Тоннель пешеходный;г.Москва, Новослободская улица, дом 3, соор. 1
Тоннель пешеходный;г.Москва, Рязанский проспект, дом. 46, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 92, соор. 1
Тоннель пешеходный;г.Москва, Большая Садовая улица, дом 2, соор. 1
Тоннель пешеходный;г.Москва, улица Красная Пресня, дом 22, соор. 1
Тоннель пешеходный;г.Москва, Малая Тульская улица, дом 57, соор. 1
Тоннель пешеходный;г.Москва, проспект Мира, дом 122, соор. 1
Тоннель пешеходный;г.Москва, Велозаводская улица, соор. б/н
Тоннель пешеходный;г.Москва, улица Сайкина, соор. б/н
Тоннель пешеходный;г.Москва, Манежная площадь дом. 1, соор. 1
Тоннель пешеходный;г.Москва, Мантулинская улица, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Марксистская улица, дом 16, соор. 1
Тоннель пешеходный;г.Москва, Марксистская улица, дом 22, соор. 1А
Тоннель пешеходный;г.Москва, Марксистская улица, дом 34, соор. 1А
Тоннель пешеходный;г.Москва, Марксистская улица, дом 38, соор. 1
Тоннель пешеходный;г.Москва, Волгоградский проспект, дом 1, соор.1
Тоннель пешеходный;г.Москва, Братиславская улица, домовладение 14,  соор. 1
Тоннель пешеходный;г.Москва, Братиславская улица, домовладение 13, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Международное шлссе, вл. 28, соор. 1
Тоннель пешеходный;г.Москва, Рублевское шоссе, дом 4, соор. 1
Тоннель пешеходный;г.Москва, Варшавское шоссе, дом 39, соор. 1
Тоннель пешеходный;г.Москва, Малая Филевская улица, дом 38, соор. 1
Тоннель пешеходный;г.Москва, Преображенская площадь, дом 12, соор.1
Тоннель пешеходный;г.Москва, Театральный проезд, дом 2, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 57, кор. 1, соор. 3
Тоннель пешеходный;г.Москва, Смоленская-Сенная площадь, дом 32, соор. 1А
Тоннель пешеходный;г.Москва, улица Миклухо-Маклая, дом 6, соор. 1
Тоннель пешеходный;г.Москва, Тверская улица, дом 22, соор. 1
Тоннель пешеходный;г.Москва, Кутузовский проспект, дом 46, соор. 1
Тоннель пешеходный;г.Москва, МКАД, 67 км, вл. 2, соор. 2
Тоннель пешеходный;г.Москва, Пятницкое шоссе, дом 36, соор. 1
Тоннель пешеходный;г.Москва, Пятницкое шоссе, дом 16, соор. 1
Тоннель пешеходный;г.Москва, Каширское шоссе, дом 42, кор. 1, соор. 1
Тоннель пешеходный;г.Москва, Ленинградское шоссе, вл. 112, соор. 1
Тоннель пешеходный;г.Москва, улица Варварка, дом 6, соор. 2
Тоннель пешеходный;г.Москва, Варварка улица, дом 6, соор. 3
Тоннель пешеходный;г.Москва, Комсомольская площадь, дом 6, соор. 1
Тоннель пешеходный;г.Москва, Тверская улица, дом 8, соор. 1
Тоннель пешеходный;г.Москва, Волоколамское шоссе, дом 80А, соор. 1
Тоннель пешеходный;г.Москва, проспект Академика Сахарова, дом 12, соор. 1
Тоннель пешеходный;г.Москва, Калужская площадь, дом 1, соор. 1
