0_uidnftn;1_Наименование;0_label;1_Трасса маршрута;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_moddate;0_moduser;1_Сторона фиксации;1_Административный округ;0_shape_leng
114;Маршрут №1 по 6СБ;Маршрут №1 по 6СБ;ул. Большая Садовая - ул. Садовая-Кудринская - Новинский бул. - разворот над Новоарбатским тоннелем - Новинский бул. - ул. Садовая-Кудринская - ул. Большая Садовая;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,043156153
115;Маршрут №2 по 6СБ;Маршрут №2 по 6СБ;Смоленская пл. - Смоленская-Сенная пл. - Смоленский бул. - ул. Зубовская (разворот) - Смоленский бул. - Смоленская-Сенная пл. - Смоленская пл.обе стороны;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,037638092
116;Маршрут №3 по 6СБ;Маршрут №3 по 6СБ;Зубовский бул. - разворот под Крымской эстакадой - Новокрымский пр-д - Зубовский бул.;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,025982289
117;Маршрут №92 по ЦАО;Маршрут №92 по ЦАО;ул. Крымский Вал - Мароновский пер. -Якиманский пер. - ул. Большая Якиманка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,017273656
118;Маршрут №4 по 6СБ;Маршрут №4 по 6СБ;ул. Валовая - ул. Зацепский Вал - Малый Краснохолмский мост - разворот под Большим Краснохолмским мостом - ул. Зацепский Вал - ул. Валовая;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,044273882
119;Маршрут №5 по 6СБ;Маршрут №5 по 6СБ;ЦАО ул. Земляной Вал - разворот в районе дома №9 — ул. Земляной Вал;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,024665135
120;Маршрут №6 по 6СБ;Маршрут №6 по 6СБ;ул. Садовая-Черногрязская - ул. Каланчевская - Орликов пер. - ул. Садовая-Черногрязская;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,030099063
121;Маршрут №7 по 6СБ;Маршрут №7 по 6СБ;ул. Садовая-Спасская - Большая Сухаревская пл. - ул. Садовая-Спасская;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЦАО;0,049043572
122;Маршрут №8 по 6СБ;Маршрут №8 по 6СБ;ул. Садовая-Самотечная - ул. Садовая-Каретная - разворот над Маяковским тоннелем - ул. Садовая-Каретная - ул. Садовая-Самотечная;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,04450493
123;Маршрут №1 по 902 Экспресс;Маршрут №1 по 902 Экеспресс;Бережковская наб. - Воробьевское шоссе - Бережковская наб.;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,088529727
124;Маршрут №2 по 902 Экспресс ЗАО;Маршрут №2 по 902 Экспресс ЗАО;ул. Косыгина - разворот в районе Мичуринского пр-та - ул. Косыгина;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,021177663
125;Маршрут №3 по 902 Экспресс ЗАО;Маршрут №3 по 902 Экспресс ЗАО;Мичуринский пр-т (от Ломоносовского пр-та) - разворот в районе дома №30А - Мичуринский пр-т (до Ломоносовского пр-та);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,029884837
126;Маршрут №4 по 902 Экспресс ЗАО;Маршрут №4 по 902 Экспресс ЗАО;Мичуринский пр-т (от дома №34) - разворот в районе дома №44 - Мичуринский пр-т (до дома №27к1);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,01761892
127;Маршрут №5 по 902 Экспресс ЗАО;Маршрут №5 по 902 Экспресс ЗАО;Мичуринский пр-т (от дома №44) - разворот на ул. Лобачевского - Мичуринский пр-т (до дома №44);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,034350455
128;Маршрут №6 по 902 Экспресс ЗАО;Маршрут №6 по 902 Экспресс ЗАО;Мичуринский пр-т (от ул. Лобачевского) - разворот в районе дома №3к1 - Мичуринский пр-т (до улицы Лобачевского);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,031963604
129;Маршрут №7 по 902 Экспресс ЗАО;Маршрут №7 по 902 Экспресс ЗАО;Мичуринский пр-т (от владения 76А) - разворот на пр-де Олимпийской Деревни - Мичуринский пр-т (до дома №3к1);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,017380414
130;Маршрут №8 по 902 Экспресс ЗАО;Маршрут №8 по 902 Экспресс ЗАО;Мичуринский пр-т (от ул. Никулинская) - ул. Озерная - разворот на МКАД - ул. Озерная - Мичуринский пр-т (до ул. Никулинская);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,041224325
131;Маршрут №9 по 902 Экспресс ЗАО;Маршрут №9 по 902 Экспресс ЗАО;Боровское шоссе - разворот на ул. Богданова - Боровское шоссе;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,066792799
132;Маршрут №10 по 902 Экспресс ЗАО;Маршрут №10 по 902 Экспресс ЗАО;Боровское шоссе (от ул. Богданова) - разворот на ул. Приречная - Боровское шоссе;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,050846237
133;Маршрут №11 по 902 Экпресс ЗАО;Маршрут №11 по 902 Экпресс ЗАО;Боровское шоссе (от ул. Приречная) - разворот на ул. Шолохова - Боровское шоссе (до ул. Приречная);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,042513405
134;Маршрут №1 по 903 Экспресс СВАО;Маршрут №1 по 903 Экспресс СВАО;пр-т Мира от м. Рижская до м. ВДНХ;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,063140659
135;Маршрут №2 по 903 Экспресс СВАО;Маршрут №2 по 903 Экспресс СВАО;пр-т Мира от м. ВДНХ до ул. Хозяйственная;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,034048503
136;Маршрут №3 по 903 Экспресс СВАО;Маршрут №3 по 903 Экспресс СВАО;пр-т Мира от ул. Хозяйственная - до пр. Серебрякова;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,045805578
137;Маршрут №4 по 903 Экспресс СВАО;Маршрут №4 по 903 Экспресс СВАО;Ярославское ш. - разворот у Ярославское ш. 55А - Ярославское ш.;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,049287052
138;Маршрут №5 по 903 Экспресс;Маршрут №5 по 903 Экспресс;Ярославское ш. - разворот у Ярославское ш. 144 - Ярославское ш.;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,053489365
139;Маршрут №1 по 904 Экспресс СЗАО;Маршрут №1 по 904 Экспресс СЗАО;Волоколамское шоссе (от 1-го Волоколамского путепровода) - разворот на ул. Свободы - Волоколамское шоссе (до 1-го Волоколамского путепровода);0;0;0;;;;;12:00:00 AM;;Правая сторона;СЗАО;0,094553301
140;Маршрут №2 по 904 Экспресс СЗАО;Маршрут №2 по 904 Экспресс СЗАО;СЗАО Волоколамское ш.;0;0;0;;;;;12:00:00 AM;;Обе стороны;СЗАО;0,056093175
141;Маршрут №3 по 903 Экспресс;Маршрут №3 по 903 Экспресс;Ярославское ш. - разворот у Ярославское ш. 55А - Ярославское ш.;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,054302585
142;Маршрут №4 по 903 Экспресс СЗАО;Маршрут №4 по 903 Экспресс СЗАО;Пятницкое шоссе (от 1-го Митинского переулка) - разворот на ул. Барышиха - Пятницкое шоссе (до 1-го Митинского переулка);0;0;0;;;;;12:00:00 AM;;Обе стороны;СЗАО;0,039507895
143;Маршрут №5 по 904 Экспресс СЗАО;Маршрут №5 по 904 Экспресс СЗАО;Пятницкое ш. от 1-й Митинской ул. до ул. Барышиха;0;0;0;;;;;12:00:00 AM;;Правая сторона;СЗАО;0,069123981
144;Маршрут №1 по ВАО;Маршрут №1 по ВАО;Щелковское шоссе (от Окружного пр-да) - разворот на ул. 3-я Парковая - Щелковское шоссе (до Окружного пр-да);0;0;0;;;;;12:00:00 AM;;Обе стороны;ВАО;0,075794041
145;Маршрут №2 по ВАО;Маршрут №2 по ВАО;Щелковское шоссе (от ул. 3-я Парковая) - разворот на ул. 13-я Парковая - Щелковское шоссе (до ул. 3-я Парковая);0;0;0;;;;;12:00:00 AM;;Обе стороны;ВАО;0,059690541
146;Маршрут №3 по ВАО;Маршрут №3 по ВАО;Щелковское шоссе - разворот на МКАД;0;0;0;;;;;12:00:00 AM;;Обе стороны;ВАО;0,065682883
147;Маршрут №1 по САО;Маршрут №1 по САО;Ленинградский пр-т - ул. Правды - ул. Бутырский Вал;0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,045295054
148;Маршрут №2 по САО;Маршрут №2 по САО;ул. Нижняя Масловка (от ул. Бутырская до ул. Верхняя Масловка);0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,03960484
149;Маршрут №3 по САО;Маршрут №3 по САО;ул. Фестивальная (от Ленинградского пр-та до ул. Смольная );0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,033046444
150;Маршрут №4 по САО;Маршрут №4 по САО;Головинское ш. - Кронштадский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,04524616
151;Маршрут №5 по САО;Маршрут №5 по САО;ул. Фестивальная (от Ленинградского пр-та до ул. Смольная );0;0;0;;;;;12:00:00 AM;;Обе стороны;САО;0,02614471
152;Маршрут №6 по САО;Маршрут №6 по САО;ул. Авиаконструктора Сухого - ул. Авиаконструктора Микояна - Ходынский бул. - Ленинградский пр-т;0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,023314825
153;Маршрут №7 по САО;Маршрут №7 по САО;ул. Авиаконструктора Сухого - Ходынский бул. - ул. Авиаконструктора Микояна;0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,021865026
154;Маршрут №8 по ЦАО;Маршрут №8 по ЦАО;Ходынский бульвар;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,02974911
155;Маршрут №9 по САО;Маршрут №9 по САО;ул. Поликарпова - Беговой проезд - ул. Беговая;0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,013679945
156;Маршрут №10 по САО;Маршрут №10 по САО;Хорошевское шоссе - 1-й Хорошевский проезд;0;0;0;;;;;12:00:00 AM;;Нечетная сторона;САО;0,022256901
157;Маршрут №11 по САО;Маршрут №11 по САО;Хорошевское шоссе-ул. Зорге-ул. Куусинена;0;0;0;;;;;12:00:00 AM;;Правая сторона;САО;0,022610959
158;Маршрут №12 по САО;Маршрут №12 по САО;ул. Викторенко - пр. Аэропорта;0;0;0;;;;;12:00:00 AM;;Обе стороны;САО;0,02244298
159;Маршрут №13 по САО;Маршрут №13 по САО;ул. Бутырская;0;0;0;;;;;12:00:00 AM;;Обе стороны;САО;0,031517709
160;Маршруи №14 по САО;Маршруи №14 по САО;Дмитровское шоссе - разворот на Красностуденческий пер.;0;0;0;;;;;12:00:00 AM;;Обе стороны;САО;0,03536932
161;Маршрут №1 по ЗАО;Маршрут №1 по ЗАО;Большая Дорогомиловская ул - 2-й Брянский пер - Брянская ул - ул. Можайский Вал;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,039733245
162;Маршрут №2 по ЗАО;Маршрут №2 по ЗАО;ул. Киевская;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,008881939
163;Маршрут №3 по ЗАО;Маршрут №3 по ЗАО;Вернадского пр-т (от м. Юго-Западная до Ленинского пр-та);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,046264027
164;Маршрут №4 по ЗАО;Маршрут №4 по ЗАО;Вернадского пр-т (ул. Коштоянца до м. Проспект Вернадского);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,047953581
165;Маршрут №5 по ЗАО;Маршрут №5 по ЗАО;Проспект Вернадского - разворот на Университетском пр;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,092127521
166;Маршрут №6 по ЗАО;Маршрут №6 по ЗАО;Кастанаевская ул - ул. Олеко Дундича;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗАО;0,130311009
167;Маршрут №7 по ЗАО;Маршрут №7 по ЗАО;ул. Барклая (от ул. Неверовского до ул. Сеславинская);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,027277892
168;Маршрут №8 по ЗАО;Маршрут №8 по ЗАО;Багратионовский проезд - Промышленный проезд;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗАО;0,030143903
169;Маршрут №9 по ЗАО;Маршрут №9 по ЗАО;ул. Большая Дорогомиловская - ул. Можайский Вал - ул. Платоновская - ул. Студенческая - ул. Дунаевского - Кутузовский пр-т;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗАО;0,02984258
170;Маршрут №10 по ЗАО;Маршрут №10 по ЗАО;Рублевское шоссе - разворот у м. Кунцевская и ул. Ивана Франко;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗАО;0,014954895
171;Маршрут №11 по ЗАО;Маршрут №11 по ЗАО;ул Ярцевская (от ул. Оршанская до ул. Ельницкая);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,010396946
172;Маршрут №12 по ЗАО;Маршрут №12 по ЗАО;ул Покрышкина - ул. Академика Анохина - ул. Костоянца;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗАО;0,038041166
173;Маршрут №13 по ЗАО;Маршрут №13 по ЗАО;ул. Тропаревская - ул. Академика Анохина;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЗАО;0,035172316
174;Маршрут №14 по ЗАО;Маршрут №14 по ЗАО;просп. Вернадского - ул. 26-ти Бакинских Комиссаров;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗАО;0,032464216
175;Маршрут №1 по СВАО;Маршрут №1 по СВАО;ул. Сущевский Вал;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,042966622
176;Маршрут №2 по СВАО;Маршрут №2 по СВАО;ул. Сущевский Вал;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,065992743
177;Маршрут №3 по СВАО;Маршрут №3 по СВАО;Алтуфьевское ш. от Вологодского пр. до ул. Илимская;0;0;0;;;;;12:00:00 AM;;Обе стороны;СВАО;0,045172746
178;Маршрут №1 по СЗАО;Маршрут №1 по СЗАО;ул. Маршала Василиевского;0;0;0;;;;;12:00:00 AM;;Обе стороны;СЗАО;0,032766559
179;Маршрут №2 по СЗАО;Маршрут №2 по СЗАО;ул. Маршала Бирюзова - ул. Народного Ополчения - ул. Алабяна - ул. Маршала Бирюзова;0;0;0;;;;;12:00:00 AM;;Правая сторона;СЗАО;0,063845195
180;Маршрут №3 по СЗАО;Маршрут №3 по СЗАО;ул. Свободы - ул. Долгова - Большая Набережная ул.;0;0;0;;;;;12:00:00 AM;;Обе стороны;СЗАО;0,011373053
181;Маршрут №4 по СЗАО;Маршрут №4 по СЗАО;бул. Яна Райниса - разворот - ул. Героев Панфиловцев - разворот - бул. Яна Райниса;0;0;0;;;;;12:00:00 AM;;Правая сторона;СЗАО;0,057688952
182;Маршрут №5 по СЗАО;Маршрут №5 по СЗАО;Планерная ул. - Алешкинский проезд;0;0;0;;;;;12:00:00 AM;;Обе стороны;СЗАО;0,036358741
183;Маршрут №6 по СЗАО;Маршрут №6 по СЗАО;ул. Митинская - ул. Дубравная - ул. Митинская - ул. Дубравная;0;0;0;;;;;12:00:00 AM;;Правая сторона;СЗАО;0,057216579
184;Маршрут №7 по СЗАО;Маршрут №7 по СЗАО;Строгинский бул. - ул. Таллинская - разворот - ул. Таллинска - Строгинский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;СЗАО;0,038934677
185;Маршрут №1 по ЮВАО;Маршрут №1 по ЮВАО;МКАД между ул. Энергетиков и ул. Верхние поля;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮВАО;0,064225314
186;Маршрут №1 по ЮЗАО;Маршрут №1 по ЮЗАО;Профсоюзная ул. - разворот на ул. Обручева;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,05828062
187;Маршрут №2 по ЮЗАО;Маршрут №2 по ЮЗАО;ул. Профсоюзная от м. Профсоюзная до м. Академическая;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,034514475
188;Маршрут №3 по ЮЗАО;Маршрут №3 по ЮЗАО;60-летия Октября от м. Академическая до ул. ак. Зелинского;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,032338964
189;Маршрут №4 по ЮЗАО;Маршрут №4 по ЮЗАО;ул. Гарибальди - Профсоюзная ул.;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,052758232
190;Маршрут №5 по ЮЗАО;Маршрут №5 по ЮЗАО;Нахимовский пр-т (около м. Профсоюзная);0;0;0;;;;;12:00:00 AM;;Обе стороны;ЮЗАО;0,031917487
207;Маршрут №6 по ЗелАО;Маршрут №6 по ЗелАО;Панфиловский пр-т от ул. Андреевка до ул. Каменка;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗелАО;0,026155428
208;Маршрут №7 по ЗелАО;Маршрут №7 по ЗелАО;Панфиловский пр-т от филаретовской улицы до болдовского ручья;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗелАО;0,023657492
209;Маршрут №8 по ЗелАО;Маршрут №8 по ЗелАО;Панфиловский проспект;0;0;0;;;;;12:00:00 AM;;Обе стороны;ЗелАО;0,010751894
