0_uidnftn;1_Наименование;0_label;1_Трасса маршрута;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_moddate;0_moduser;1_Сторона фиксации;1_Административный округ;0_shape_leng
81;Маршрут №60 по ЦАО;Маршрут №60 по ЦАО;ул. Фадеева - ул. Чаянова - ул. Александра Невского - Миусская пл.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,007786472
82;Маршрут №63 по ЦАО;Маршрут №63 по ЦАО;ул. Рождественка - Звонарский пер. - Неглинная ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,008415171
83;Маршрут №64 по ЦАО;Маршрут №64 по ЦАО;"Комсомольский пр-т от Новолужницкого пр. до 3-й Фрунзенской ул.
обе стороны ";0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,036744951
84;Маршрут №65 по ЦАО;Маршрут №65 по ЦАО;Комсомольский пр-т от ул. Тимура Фрунзе до 3-й Фрунзенской ул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,036161814
85;Маршрут №66 по ЦАО;Маршрут №66 по ЦАО;Комсомольский пр. от ул. Льва Толстого до Зубовского бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,007299999
86;Маршрут №67 по ЦАО;Маршрут №67 по ЦАО;ул. Пречистенка - ул. Остоженка - Зубовский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,028331302
53;Маршрут №32 по ЦАО;Маршрут №32 по ЦАО;Девяткин пер. - Сверчков пер. - Армянский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,004427887
54;Маршрут №33 по ЦАО;Маршрут №33 по ЦАО;Архангельский пер. - Сверчков пер. - Армянский пер. - Кривоколенный пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,013611048
55;Маршрут №34 по ЦАО;Маршрут №34 по ЦАО;Большой Козловский пер. - ул. Мясницкая - Малый Харитоновский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,01225553
56;Маршрут №35 по ЦАО;Маршрут №35 по ЦАО;ул. Макаренко - ул. Чаплыгина - Лялин пер. - Барашевский пер. - Подсосенский пер. - Казарменный пер. - Покровский бул.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,02096049
57;Маршрут №36 по ЦАО;Маршрут №36 по ЦАО;Большой Харитоновский пер. - ул. Жуковского - ул. Макаренко - Чистопрудный бул. - Большой Харитоновский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,013532545
58;Маршрут №37 по ЦАО;Маршрут №37 по ЦАО;Большой Харитоньевский пер. - Садовая-Черногрязская ул.- Фурманный пер. - ул. Чаплыгина - Большой Харитоньевский пер.;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,018543293
59;Маршрут №38 по ЦАО;Маршрут №38 по ЦАО;1-й Спасоналивковский пер. - ул. Большая Полянка -ул. Житная - ул. Большая Якиманка;0;0;0;;;;;12:00:00 AM;;Правая сторона;ЦАО;0,023258636
