"0_ID";"1_Наименование отдела ЗАГС";"0_Почтовый индекс";"1_Адрес отдела ЗАГС";"1_Телефон отдела ЗАГС";"0_Признак действующего отдела ЗАГС";"0_Запись на бракосочетание на ПГУ";"0_Сокращенное технологическое обозначение";"1_ФИО Руководителя";"1_Телефон руководителя";"1_Телефон Архива"
"230";"Солнцевский отдел ЗАГС Управления ЗАГС Москвы";"119619";"город Москва, Боровский проезд, дом 2";"(495) 435-06-84;(495) 435-00-68;(495) 435-02-43";"1";"1";"Солнцевский отдел ЗАГС";"Подставкина Лариса Тимофеевна";"(495) 435-08-09";"(495) 435-00-68"
"240";"Таганский отдел ЗАГС Управления ЗАГС Москвы";"109147";"город Москва, Таганская улица, дом 44";"(495) 912-95-44;(495) 912-72-64;(495) 912-72-92";"1";"1";"Таганский отдел ЗАГС";"Лазарева Ольга Викторовна";"(495) 912-95-44";"(495) 912-72-64"
"250";"Тверской отдел ЗАГС Управления ЗАГС Москвы";"125047";"город Москва, 3-я Тверская-Ямская улица, дом 52";"(499) 251-82-33;(499) 251-90-00;(499) 251-55-33";"1";"1";"Тверской отдел ЗАГС";"Потамошнева Светлана Петровна";"(499) 251-90-00";"(499) 251-82-33"
"350";"Троицкий отдел ЗАГС Управления ЗАГС Москвы";"142190";"город Москва, город Троицк, Центральная улица, дом 28";"(495) 851-04-80";"1";"0";"Троицкий отдел ЗАГС";"Кочегурова Людмила Павловна";"(495) 851-04-80";"(495) 851-04-80"
"260";"Тушинский отдел ЗАГС Управления ЗАГС Москвы";"125364";"город Москва, Химкинский бульвар, дом 14, корпус 1";"(499) 493-25-81;(499) 497-42-15;(499) 497-40-41";"1";"1";"Тушинский отдел ЗАГС";"Вершинина Марина Владимировна";"(499) 493-25-81";"(499) 493-25-95"
"1";"Управление ЗАГС Москвы";"119019";"город Москва, улица Новый Арбат, дом 21";"(495) 697-52-46";"1";"0";"Управление ЗАГС Москвы";"Муравьева Ирина Николаевна";"(495) 697-52-46";
"320";"Ухтомский отдел ЗАГС Управления ЗАГС Москвы";"111675";"город Москва, Лухмановская улица, дом 15, корпус 3";"(499) 797-70-90;(499) 797-70-60";"1";"0";"Ухтомский отдел ЗАГС";"Жарова Светлана Николаевна";"(499) 797-70-90";"(499) 797-72-10"
"270";"Хамовнический отдел ЗАГС Управления ЗАГС Москвы";"119121";"город Москва, 1-й Вражский переулок, дом 4";"(499) 255-88-32;(499) 255-88-05;(499) 255-82-00;(499) 248-12-02";"1";"1";"Хамовнический отдел ЗАГС";"Агафонова Hаталья Анатольевна";"(499) 255-82-00";"(499) 255-88-05"
"280";"Хорошевский отдел ЗАГС Управления ЗАГС Москвы";"123154";"город Москва, улица Народного Ополчения, дом 23, корпус 2";"(499) 199-95-75;(499) 199-26-88;(495) 947-67-60";"1";"1";"Хорошевский отдел ЗАГС";"Старостина Елена Владимировна";"(499) 199-95-75";"(495) 947-67-60"
"290";"Царицынский отдел ЗАГС Управления ЗАГС Москвы";"115477";"город Москва, Кантемировская улица, дом 9";"(495) 321-05-45;(499) 320-66-16;(499) 320-73-00";"1";"1";"Царицынский отдел ЗАГС";"Забелина Юлия Валерьевна";"(495) 321-05-45";"(499) 320-73-00"
"300";"Черемушкинский отдел ЗАГС Управления ЗАГС Москвы";"117437";"город Москва, улица Миклухо-Маклая, дом 20";"(495) 330-04-44;(495) 335-00-11;(495) 330-76-01";"1";"1";"Черемушкинский отдел ЗАГС";"Мишина Ирина Сергеевна";"(495) 330-04-44";"(495) 330-72-55"
"310";"Чертановский отдел ЗАГС Управления ЗАГС Москвы";"117452";"город Москва, Ялтинская улица, дом 1А";"(499) 619-85-41;(499) 619-66-62;(499) 619-66-59;(499) 619-60-46;(499) 619-67-67";"1";"1";"Чертановский отдел ЗАГС";"Сахарова Людмила Павловна";"(499) 610-99-12";"(499) 619-66-62"
