0_Номер;Наименование организации;Сумма задолженности на дату представления, руб.;Примечание
51;"Открытое акционерное общество ""Новый мир""";9717889.91;
52;"Общество с ограниченной ответственностью ""Информационно-консалтинговая группа ИНФИНТРАСТ""";9461108.79;
53;"Открытое акционерное общество ""Научно-исследовательский, проектный и конмтрукторский институт драгоценных металлов и алмазов ""ГИНАЛМАЗЗОЛОТО""";9420130.81;
54;"Общество с ограниченной ответственностью ""АТРИС ЛТД""";9398421.84;
55;"Общество с ограниченной ответственностью ""ФинЛенд""";9364809.88;
56;"Открытое акционерное общество ""Кунцевская трикотажная фабрика""";8794153.28;
57;"Общество с ограниченной ответственностью ФИРМА ""СЕЛЕНА""";8690153.59;
58;"Закрытое акционерное общество ""Московская мебельная фирма ""Мосмебель""";8629789.67;
59;"Общество с ограниченной ответственностью ""Маэстротур""";8544206.07;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
60;"Общество с ограниченной ответственностью ""Оборудование и машины""";7924915.28;
61;"Открытое акционерное общество ""Инвестиционно-Строительная Компания""";7910017.44;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
62;"Общество с ограниченной ответственностью ""Проектно-строительная компания ТАК""";7686913.77;
63;"Общество с ограниченной ответственностью ""ТРЭЙДИНГ-ЛЮКС""";7480345.27;
64;"Компания с ограниченной ответственностью ""ЛАНАРИКО КОНСАЛТИНГ ЛИМИТЕД""";7428450.02;
65;"Закрытое акционерное общество ""ИНФОСЕТЬ""";7244742.44;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
66;"Закрытое акционерное общество ""Мосфундаментстрой-6""";7004174.85;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
67;"Региональная общественная организация инвалидов ""РОБИН""";6917515.10;
68;"Общество с ограниченной ответственностью ""Городской Семейный Клуб Монолит""";6822704.43;
69;"Федеральное государственное унитарное предприятие ""Государственный научно-исследовательский институт биосинтеза белковых веществ""";6616576.81;
70;"Открытое акционерное общество ""Недвижимость ИЦ ЕЭС""";6596907.15;
71;"Закрытое акционерное общество ""Си Эс-Трейдинг""";6458718.69;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
72;"Открытое акционерное общество ""Строительная механизация №6""";6377369.31;
73;"Общество с ограниченной ответственностью Фирма ""АРКТУР-СТРОЙ""";6236540.00;
74;"Государственное предприятие ГОСТИНИЦА ""АРЕНА""";6126255.53;
75;"Общество с ограниченной ответственностью ""СтройКонцептРелиз""";6024307.93;
76;"Общество с ограниченной ответственностью ""КЛОНДАЙК -1"" COMPANY LIMITED ""KLONDIKE-1""";5951824.44;
77;"Открытое акционерное общество ""ЗАВОД СТРОИТЕЛЬНОЙ ОСНАСТКИ И МЕТАЛЛОИЗДЕЛИЙ ""СОМИЗ""";5902951.02;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
78;"Общество с ограниченной ответственностью ""БЕЛЭСКО""";5821901.58;
79;"Закрытое акционерное общество ""ТЕХНОЛОГИИ  ИНДУСТРИИ""(ТЕХИНД)";5761357.44;
80;"Закрытое акционерное общество ""Южное Бутово""";5736826.08;
81;"Общество с ограниченной ответственностью ""ИС Девелопмент""";5736170.53;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
82;"Закрытое акционерное общество ""Жилищно-эксплуатационное предприятие ""Импульс-Жилстрой""";5619799.34;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
83;"Закрытое акционерное общество ""2-й таксомоторный парк""";5535014.81;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
84;"Закрытое акционерное общество ""Техноткани""";5343924.43;
85;"Общество с ограниченной ответственностью ""РАШН ТЭЙЛС ГРУП""";5005512.47;
86;"Общество с ограниченной ответственностью ""АСТАРТА""";4915334.39;
87;"Общество с ограниченной ответственностью ""ИгелСнаб""";4874852.84;
88;"Некоммерческое партнерство ""Филипповская школа""";4850622.05;
89;"Открытое акционерное общество""ИЗДАТЕЛЬСТВО ""ФИЗКУЛЬТУРА И СПОРТ""";4780437.33;
90;"Общество с ограниченной ответственностью ""Склад Инвест""";4673169.62;
91;"Открытое акционерное общество ""РУССКИЙ КАРАВАЙ""";4619737.17;
92;"Закрытое акционерное общество ""КОМПАНИЯ ТИ-НЭТВОРК"" (T-NETWORK CO)";4488600.48;
93;"Закрытое акционерное общество ""Омикрон""";4391126.25;
94;"Общество с ограниченной ответственностью ""ТЕХНОПРЕД""";4309380.63;
95;"Общество с ограниченной ответственностью ""ОЛИС""";4275943.87;
96;"Открытое акционерное общество ""Московский электромеханический ремонтный завод""";4170408.42;*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности 
97;"Общество с ограниченной ответственностью ""МЕХАНИЧЕСКИЙ ЗАВОД""";4139128.40;
98;"Закрытое акционерное общество ""РАЙЗИНГ""";3803463.40;
99;"Открытое акционерное общество ""МОСГАЗСЕТЬСТРОЙ""";3784178.02;
100;"Общество с ограниченной ответственностью ""Фирма АРЧИБАЛЬД""";3416622.32;
