0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4200528.375300001 7482104.6391);2867.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1632;ГБОУ начальная школа - детский сад № 1632;115573 г. Москва, Ореховый б-р, д. 33;14854.775000000001;-5793.82863908;2122867.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;394-18-09;http://sch1632.edusite.ru/
2;POINT (4193534.567400001 7476369.973200001);128.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1625;ГБОУ начальная школа - детский сад № 1625;115548, г.Москва, Лебедянская ул., д.12, корп.2;10903.9345355;-9045.62545679;2122831.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;329-86-76;http://www.dou1625.edusite.ru
3;POINT (4178185.162700001 7495446.742600001);6961.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1620;ГБОУ начальная школа-детский сад № 1620;119261, г.Москва, Ленинский проспект, дом 82/2, корпус 1;2204.045906;1711.53033989;12009.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;138-51-63;http://gou1620.ru
4;POINT (4182671.1000000015 7493287.887999997);6963.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1649;ГБОУ начальная школа - детский сад № 1649;117418, Москва, улица Цюрупы, 8а;4740.185;495.98943677;2113459.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;124-03-77;http://www.1649.ru
5;POINT (4172287.6011999995 7484403.527500004);6965.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1657;ГБОУ начальная школа - детский сад № 1657;117133, г.Москва, улица Теплый Стан, дом 21 Б;-1130.325025;-4520.01740223;;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;337-61-11;http://school1657.mosuzedu.ru
6;POINT (4210667.341600001 7512758.255099997);7264.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад №1886;ГБОУ начальная школа - детский сад №1886;111531, г. Москва, ш. Энтузиастов, д.94 А;20513.07975;11509.0695282;2122396.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;300-20-91;http://www.scholl1886.edusite.ru
7;POINT (4192914.113499999 7536471.7623);8096.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1856;ГБОУ начальная школа-детский сад № 1856;129224, г. Москва, ул. Широкая, д. 13, корп.3;10472.0608138;24794.7394741;2114189.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;(499) 479-12-61;http://nshcds1856.mskobr.ru
8;POINT (4181362.2787000015 7490330.978699997);6964.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1655;ГБОУ начальная школа - детский сад № 1655;117246, г.Москва, ул. Херсонская, д.36;4001.87081091;-1172.78893762;2113457.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;331-73-11;http://www.gou1655.ru
9;POINT (4164844.1033999994 7488744.6630000025);848.0;"Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1 """"Сказка""""";"ГБОУ начальная школа-детский сад № 1 """"Сказка""""";119620 г. Москва, ул. 50-летия Октября, д.3б;-5339.33100553;-2066.15313638;2118586.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;"(495) 435-72-42; (495) 435-72-33; (495) 435-84-37";http://  nschds1.mskzapad.ru
10;POINT (4163681.5625 7510635.078199998);852.0;Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1674;ГБОУ начальная школа-детский сад № 1674;121609 г. Москва, ул. Осенняя, д.6;-5979.41386041;10271.134488;2126958.0;;;;;Бюджетное;Образовательное учреждение для детей дошкольного и младшего школьного возраста;Начальная школа – детский сад;415-93-74;http://osen1674.ru/
