0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4196734.449900001 7494419.749499999);2410.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 514;ГБОУ СОШ № 514;115142 г. Москва, Коломенская наб. д.16;12687.3205;1149.90013949;2124460.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;(499) 615-76-18;http://sch514.edusite.ru
2;POINT (4186935.7159 7489801.048699997);2423.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (греческим) компонентом образования № 551;ГБОУ СОШ № 551;113556 г.Москва, Чонгарский б-р, д.12;7153.805025;-1467.89630174;2112704.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;"(499) 610-56-98; (499) 619-37-19";http://sch551.edusite.ru/
3;POINT (4199347.2294000015 7484445.745800003);4852.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа города Москвы с этнокультурным (русским) компонентом образования № 996;ГБОУ СОШ № 996;115563 г.Москва, Борисовский проезд, д. 13;14181.9596;-4473.90014299;2123176.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;390-07-09;http://www.sch996.edusite.ru
4;POINT (4190623.963399999 7474801.640699998);4891.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским)компонентом образования № 667;ГБОУ СОШ № 667;117403 г. Москва Востряковский проезд, 13а;9257.02965;-9935.93956838;3900833.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;(495) 383-36-66;http://sch667.edusite.ru/
5;POINT (4174351.1691000015 7492511.431599997);6581.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным корейским компонентом образования № 1086;ГБОУ СОШ № 1086;117279, г.Москва, ул.Введенского, д.32-А;37.528345;55.635168;68139.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;420-23-66;http://koreanschool1086.mosuzedu.ru
6;POINT (4174351.3707000017 7492511.865999997);7060.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом образования № 1316;ГБОУ СОШ № 1316;127221, г. Москва, улица Молодцова, дом 4, строение 1;37.642347;55.880204;15052.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;"(495) 477-00-72; (495) 477-31-10; (495) 477-45-41";http://www.schn1316.svao.mskobr.ru
7;POINT (4174351.3621000014 7492511.639300004);6868.0;Государственное бюджетное образовательное учреждение города Москвы средняя  общеобразовательная  школа с этнокультурным (национальным) компонентом образования №1650;ГБОУ СОШ №1650;109240 г.Москва, ул.Солянка, д.14 А;37.637355;55.752337;2130805.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;"(495) 623-74-93; (495) 625-12-02; (495) 623-13-95";http://schoolofelia.com/
8;POINT (4193494.3828999996 7494182.640699998);2455.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 838;ГБОУ СОШ № 838;115487 г. Москва, ул. Новинки,дом 8;10856.548175;1011.31462358;3801854.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;(499) 618-13-03;http://sch838.edusite.ru/
9;POINT (4191515.0150999986 7483358.8488000035);2467.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 868;ГБОУ СОШ № 868;115516 г. Москва, ул. Севанская, дом №13 корп.2;9751.282125;-5099.62968265;3800004.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;325-28-66;http://sch868.edusite.ru/
10;POINT (4192940.8444 7477903.685800001);5409.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 877;ГБОУ СОШ № 877;115404 Москва, Бирюлевская, 23 к.1;10565.554;-8179.59995681;3800010.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;(495) 327-19-41;http://sch877.edusite.ru/
