0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Организационно-правовая форма;1_Управляющая компания;1_Юридический адрес управляющей компании;1_Вид рынка;1_Режим работы;0_moddate;0_moduser
4;Ленинградский                                                                                                                                                                                                                                                 ;Ленинградский                                                                                                                                                                                                                                                 ;Ул. Часовая, вл.11/3, стр.1                                                                                                                                                                                                                                   ;37,530561;55,807098;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;Аэропорт                                                                                                                                                                                                                                                      ;ЗАО                                                                                                                                                                                                                                                           ;«Калужская Управляющая Компания»                                                                                                                                                                                                                              ;107031 г. Москва, ул. Кузнецкий мост, д.7                                                                                                                                                                                                                     ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00 до 20-00 час.                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
5;Слободка                                                                                                                                                                                                                                                      ;Слободка                                                                                                                                                                                                                                                      ;Коровинское шоссе, вл.17-19                                                                                                                                                                                                                                   ;37,530503;55,870956;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;Западное Дегунино                                                                                                                                                                                                                                             ;ООО                                                                                                                                                                                                                                                           ;«Парэкс -Бизнес»                                                                                                                                                                                                                                              ;127434 г.Москва, Дмитровское шоссе, д.7, корп.2                                                                                                                                                                                                               ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
6;Коптевский                                                                                                                                                                                                                                                    ;Коптевский                                                                                                                                                                                                                                                    ;Ул. Коптевская, вл.24                                                                                                                                                                                                                                         ;37,520849;55,833379;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;Коптево                                                                                                                                                                                                                                                       ;ОАО                                                                                                                                                                                                                                                           ;«Коптевский рынок»                                                                                                                                                                                                                                            ;125239 г.Москва, ул. Коптевская, д. 24                                                                                                                                                                                                                        ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с8-00-20-00 час.                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
7;РООП ТИАС                                                                                                                                                                                                                                                     ;РООП ТИАС                                                                                                                                                                                                                                                     ;Локомотивный проезд, напротив вл.3-5                                                                                                                                                                                                                          ;37,575895;55,838626;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;Тимирязевский                                                                                                                                                                                                                                                 ;Ассоциация                                                                                                                                                                                                                                                    ;Региональная общественная организация предпринимателей «Тиас»                                                                                                                                                                                                 ;127238 г.Москва, Дмитровское ш., д.40, корп.1                                                                                                                                                                                                                 ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ; 9-00-18-00 час.                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
8;Ярославский                                                                                                                                                                                                                                                   ;Ярославский                                                                                                                                                                                                                                                   ;Проспект Мира, вл.122, корп.1                                                                                                                                                                                                                                 ;37,639988;55,812377;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;Ярославский                                                                                                                                                                                                                                                   ;ООО                                                                                                                                                                                                                                                           ;«Дмитровсельхозагро»                                                                                                                                                                                                                                          ;141800 Московская обл., Дмитровский район, г. Дмитров, ул. Космонавтов, д.1а                                                                                                                                                                                  ;Специализированный (продовольственный)                                                                                                                                                                                                                        ;с 8-00-20-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
9;Лионозово                                                                                                                                                                                                                                                     ;Лионозово                                                                                                                                                                                                                                                     ;Лианозовский пр., вл. 1                                                                                                                                                                                                                                       ;37,554895;55,897085;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;Лианозово                                                                                                                                                                                                                                                     ;ООО                                                                                                                                                                                                                                                           ;"""Автохозяйство Лианозово""                                                                                                                                                                                                                                     ";Москва ул. Илимская,д.1                                                                                                                                                                                                                                       ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 7-00 до 19-00 час.                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
10;Северный                                                                                                                                                                                                                                                      ;Северный                                                                                                                                                                                                                                                      ;Ул. Летчика Бабушкина, вл.30, стр.1                                                                                                                                                                                                                           ;37,677674;55,870308;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;Лосиноостровский                                                                                                                                                                                                                                              ;ОАО                                                                                                                                                                                                                                                           ;«Северный рынок»                                                                                                                                                                                                                                              ;129281 г. Москва, ул. Летчика Бабушкина, д.30, стр. 1                                                                                                                                                                                                         ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00 до 20-00 час.                                                                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
11;Выхино                                                                                                                                                                                                                                                        ;Выхино                                                                                                                                                                                                                                                        ;Ул. Красный Казанец, вл.20                                                                                                                                                                                                                                    ;37,819614;55,715907;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;Вешняки                                                                                                                                                                                                                                                       ;ОАО                                                                                                                                                                                                                                                           ;«Рынок «Выхино»                                                                                                                                                                                                                                               ;111538 г.Москва, ул. Вешняковская, д.43                                                                                                                                                                                                                       ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
12;Анжелика и компания                                                                                                                                                                                                                                           ;Анжелика и компания                                                                                                                                                                                                                                           ;Пересечение Сиреневого бульвара и 15-й Парковой ул.                                                                                                                                                                                                           ;37,805977;55,759069;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;Восточное Измайлово                                                                                                                                                                                                                                           ;ООО                                                                                                                                                                                                                                                           ;«АНЖЕЛИКА КОМПАНИ А»                                                                                                                                                                                                                                          ;111299, Москва, ул Мартеновская, д.3, стр.4                                                                                                                                                                                                                   ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 9-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
13;Новокосинский ТЦ                                                                                                                                                                                                                                              ;Новокосинский ТЦ                                                                                                                                                                                                                                              ;Ул. Суздальская, вл. 25 А                                                                                                                                                                                                                                     ;37,878476;55,747694;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;Новокосино                                                                                                                                                                                                                                                    ;ООО                                                                                                                                                                                                                                                           ;«Крона-Маркет»                                                                                                                                                                                                                                                ;111141 г. Москва, ул. Кусковская, д. 31 А                                                                                                                                                                                                                     ;Универсальный                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
14;Преображенский                                                                                                                                                                                                                                                ;Преображенский                                                                                                                                                                                                                                                ;Ул. Преображенский Вал, вл. 17                                                                                                                                                                                                                                ;37,719225;55,793208;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ВАО                                                                                                                                                                                                                                                           ;Преображенское                                                                                                                                                                                                                                                ;Государственное унитарное предприятие                                                                                                                                                                                                                         ;«Преображенский рынок»                                                                                                                                                                                                                                        ;107061 г.Москва, ул. Преображенский Вал, д.17                                                                                                                                                                                                                 ;Специализированный (сельскохозяйственный)                                                                                                                                                                                                                     ;с 8-00-19-00 час.                                                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
