0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4163564.2293 7500397.0898);5329.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Родничок""";"ГБОУ ЦППРиК ""Родничок""";121353 Сколковское шоссе, д.32, корп.1;-6053.80838912;4505.90422344;320102.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;735-34-60;http://rodnichok.mskzapad.ru
2;POINT (4206690.8455 7487177.595200002);5484.0;"Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции ""Солнечный луч""";"ГБОУ ЦППРиК ""Солнечный луч""";109429, г. Москва, Капотня, 1-й квартал, д, 15;18331.08185;-2916.31967629;2129288.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;(495) 657-46-32;-
3;POINT (4170768.0524000004 7503633.950199999);4851.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Давыдково""";"ГБОУ ЦППРиК ""Давыдково""";121352 г.Москва, Славянский бульвар, д. 11, корпус 3;-1984.857675;6325.59858911;2127015.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;445-07-49;http://davidkovo.mskzapad.ru
4;POINT (4174350.938000001 7492511.752300002);6769.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Строгино""";"ГБОУ ЦППРиК ""Строгино""";123181, г. Москва, ул. Кулакова д. 2, к. 2;37.397745;55.816069;12135.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(495) 942-99-36; (495) 757-13-53";http://cpprik.mskobr.ru
5;POINT (4210378.264600001 7498928.0907000005);6929.0;"Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции ""Преодоление""";"ГБОУ ЦППРиК ""Преодоление""";109507, г. Москва, Самаркандский б-р, д. 11, к.3;20386.2222808;3720.49374392;2128787.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;377-96-70;http://psicentre.ru
6;POINT (4176240.9679000005 7480853.1822);6954.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Ясенево""";"ГБОУ ЦППРИК ""Ясенево""";117574, г. Москва, Новоясеневский пр-т, д. 12, корп. 4;1107.2205000000001;-6525.31013756;2108109.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;423-48-89;http://center-yasenevo.mosuzedu.ru/
7;POINT (4139122.0733000003 7554946.384400003);7519.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Логотон""";"ГБОУ ЦППРиК ""Логотон""";124575, г. Москва, Зеленоград, корп. 929-а;-19715.5664057;35178.1459583;2117078.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 732-61-11; (499) 732-13-55";http://logoton.pc.mskobr.ru/
8;POINT (4212371.762800001 7495741.359899998);5490.0;"Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции ""Радуга жизни""";"ГБОУ ЦППРиК ""Радуга жизни""";109431,  Москва, улица Привольная, дом 56;21520.9647;1929.4352723;270140.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 742-13-80; (499) 742-10-60; (499) 742-19-71; (499) 742-14-81";http://raduga.uvuo.ru
9;POINT (4179992.1481 7546102.6536);7140.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Ирида""";"ГБОУ ЦППРиК ""Ирида""";127204, г. Москва, линия  Северная 7-ая , д. 13, стр. 1;3205.11870201;30182.0514033;2131250.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 975-69-81; (499) 975-69-87; (499) 975-69-89";
10;POINT (4199648.735800002 7515147.6592999995);7544.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Восточный""";"ГБОУ ЦППР и К ""Восточный""";105318, г.Москва ул.Щербаковская д.20-24;14296.386625;12828.5267386;30011.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;(499) 369-73-13;http://www.cpprik.ru
11;POINT (4158101.8323 7515942.113700002);889.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Рублево""";"ГБОУ ЦППРиК ""Рублево""";121500, г.Москва, ул. Василия Ботылева, д. 31;-9119.785;13262.2768609;2128180.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;(499) 727-18-55;http://rublevo.mskzapad.ru
12;POINT (4179521.287300002 7507729.978799999);888.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Благо""";"ГБОУ ЦППРиК ""Благо""";121151 г.Москва, Кутузовский проспект, д. 24;2954.6133;8632.51414398;72044.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 243-64-83; (499) 243-50-27; (499) 243-04-23";http://blago.mskzapad.ru
13;POINT (4214259.720899999 7505959.276799999);7546.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Детская личность""";"ГБОУ ЦППРиК ""Детская личность""";111673 Новокосинская улица, д. 12б;22558.149425;7692.22380719;2400662.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;702-83-11;http://www.detlich.ru
14;POINT (4206206.0348000005 7520141.527999997);7545.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Исток""";"ГБОУ ЦППРиК "" Исток """;105423 3-я Парковая улица, д. 50А;17980.758025;15649.9090978;2116171.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 165-42-21; (499) 165-57-27; (499) 166-68-58";http://istokhelp.ru
15;POINT (4192589.351300001 7504626.664899997);6930.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Крестьянская застава""";"ГБОУ ЦППРиК ""Крестьянская застава""";109044, г. Москва, Крутицкий вал, д. 24;10331.32765;6896.06163553;2124261.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 178-45-01; (499) 178-25-17";http://gou-cpprk.ru
