0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4158953.0813000016 7524701.915299997);9323.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1564;ГБОУ лицей № 1564;125222, г. Москва, улица Рословка, дом 8;-8630.07070345;18184.7915746;3302769.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(495) 505-97-60;http://schu1918.mskobr.ru
2;POINT (4191976.7283999994 7493520.0418);9316.0;Государственное бюджетное образовательное учреждение города Москвы лицей №507;ГБОУ лицей № 507;115446 г. Москва, Садовники д.13;9999.672275;635.60816523;2124461.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;"(499) 618-26-60; (499) 618-25-94";http://dou2678.ucoz.ru/
3;POINT (4188012.5777000003 7491794.070600003);9310.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 """"Полюс""""";"ГБОУ ЦО № 504 """"Полюс""""";110594 г. Москва, Варшавское ш., д. 67;7760.79325;-342.42113439;2107280.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(495) 389-15-27;http://sch543.edusite.ru/
4;POINT (4194665.498399999 7494313.844899997);2547.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1523;ГБОУ лицей № 1523;115142 г. Москва, Кленовый б-р, д. 21;11518.2234;1086.978314;2124471.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(499) 614-50-94;http://l1523.ru/
5;POINT (4175989.033500001 7500757.728299998);4886.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1586;ГБОУ лицей № 1586;119330 г.Москва, ул.Дружбы, д. 8;962.5331;4704.76078293;2116784.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;"(499) 147-45-81; (499) 143-16-20";http://lyc1586.mskzapad.ru
6;POINT (4187031.4990000017 7487384.782700002);5508.0;Государственное бюджетное образовательное учреждение города Москвы Лицей № 1580 при МГТУ имени Н.Э.Баумана;ГОУ лицей № 1580;117639 г. Москва, Балаклавский  проспект д. 6А;7210.167175;-2831.44774107;2112705.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(499) 619-48-40;http://www.1580.ru
7;POINT (4205910.5205999985 7507462.134099998);4049.0;Государственное бюджетное образовательное учреждение Московский  культурологический лицей № 1310;ГБОУ МКЛ № 1310;111141 г. Москва, ул. Перовская, д. 44а;17843.275175;8516.71924918;2122202.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;770-25-24;http://lyceum.ru/
8;POINT (4180740.0610000007 7498511.6516999975);6436.0;"Государственное бюджетное образовательное учреждение города Москвы лицей """"Вторая школа""""";"ГБОУ лицей """"Вторая школа""""";119333, город Москва, улица Фотиевой, дом 18;3646.35925;3440.28562489;2101140.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;137-69-31;http://www.sch2.ru
9;POINT (4205266.542100001 7491481.8364999965);6541.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1547;ГБОУ лицей № 1547;109469, г. Москва, ул. Белореченская, д. 47, корп. 1;17515.747325;-490.7012663;2705191.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;346-30-01;http://licey1547.msm.ru/
10;POINT (4198868.421799999 7533414.394100003);7109.0;Государственное бюджетное образовательное учреждение города Москвы лицей информационных технологий № 1537;ГБОУ лицей № 1537;129347, г. Москва, ул. Проходчиков, д.9;13824.24615;23088.8204293;2124996.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(499) 182-19-44;http://www.lyc1537.svao.mskobr.ru
11;POINT (4190385.7278999984 7533480.556599997);7110.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1568;ГБОУ лицей № 1568;127221, г. Москва, проезд Шокальского, дом 7, корпус 2;9054.35602213;23113.5337539;2305627.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;656-88-13;http://fml1586.ru
12;POINT (4187661.705499999 7506249.567500003);6864.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1548;ГБОУ лицей № 1548;119180 г.Москва, Бродников пер., д.3;7548.62415;7804.3733915;2102953.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(499) 238-02-07;http://www.лицей1548.рф
13;POINT (4185239.2190000005 7514726.505199999);6865.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1574;ГБОУ лицей № 1574;125047 г. Москва, 1-я Миусская ул., д.4;6175.070075;12572.8373017;4303568.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(499) 972-32-28;http://lycc1574.mskobr.ru
14;POINT (4192657.5577000007 7509325.303300001);6866.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1581;ГБОУ лицей № 1581;105120 г.Москва, Б.Полуярославский пер., д.7/4;10363.6251;9541.59795834;2130804.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;"(495) 916-18-86; (495) 916-38-73";http://1581mgtu.ru/
15;POINT (4194426.2414 7509178.126999997);7592.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1303;ГБОУ лицей № 1303;111033, г. Москва, Таможенный пр., д. 4;11361.4732335;9461.21053305;2120348.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;(495) 362-34-40;http://1303.ru/
16;POINT (4181136.7969999984 7515215.588799998);7595.0;Государственное бюджетное образовательное учреждение города Москвы лицей №1550;ГБОУ лицей №1550;125284 г. Москва, ул. Беговая, д. 19;3862.4568000000004;12845.3385009;2117641.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;945-86-00;http://liceum1550.ru/
17;POINT (4178986.704500001 7531416.680200003);5460.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1594;ГБОУ лицей № 1594;127486, г.Москва,  Дегунинская улица, дом 2;2645.4002;21946.9179525;2108734.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;"(495) 489-90-87; (495) 487-20-04";http://lyceum1594.ru
18;POINT (4168560.0683000013 7530091.363899998);6654.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1571;ГБОУ лицей № 1571;125481, г. Москва, ул. Фомичевой, д. 1, корп. 1;-3219.60075;21203.6250333;0.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;"(495) 492-35-11; (495) 492-35-71";http://1571.ru
19;POINT (4211135.6752 7523569.237099998);7540.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1598;ГБОУ лицей № 1598;107589, г.Москва, ул. Хабаровская, д. 18А;20748.316275;17588.3637054;2114490.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;"(495) 466-34-14; (495) 466-34-52";http://1598.me
20;POINT (4174351.215300001 7492511.552000001);7594.0;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 """"Воробьевы горы""""";"ГБОУ лицей № 1525 """"Воробьевы горы""""";119334, г. Москва, ул. Косыгина, дом 17;37.554359999999996;55.703095;2113106.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;939-86-70;http://licey1525.ru/
21;POINT (4174351.1964000016 7492511.3728);6670.0;Государственное бюджетное образовательное учреждение города Москвы лицей № 1561;ГБОУ лицей № 1561;117463, г.Москва, Новоясеневский проспект, д.38, корп.2;37.543701999999996;55.60198;17106.0;;;;;Бюджетное;Общеобразовательное учреждение;Лицей;425-94-88;http://liceum1561.ru/
