Key	Code	Name	Id
49	826	КОМИТЕТ ГОРОДА МОСКВЫ ПО ОБЕСПЕЧЕНИЮ РЕАЛИЗАЦИИ ИНВЕСТИЦИОННЫХ ПРОЕКТОВ В СТРОИТЕЛЬСТВЕ И КОНТРОЛЮ В ОБЛАСТИ ДОЛЕВОГО СТРОИТЕЛЬСТВА	35fc7e2ddaf94a24bef32337bb4757e3
4959	777	Валютно-финансовое управление города Москвы	7db4198a7ccd409097cb253f93504e0d
70159836	588	Государственная инспекция города Москвы по надзору за техническим состоянием самоходных машин и других видов техники	d2d35c316f094f37a62426077eecfe0c
69	991	ПРЕФЕКТУРА ЮЖНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ	65c6a1fecbfa4d398ce526845359341e
70159799	307	Федеральная служба по тарифам	8691bffee845415ebc702684d2c87e49
70159777	179	Управление федеральной службы по надзору в сфере связи по Москве и Московской области	160376c981bb427980c127724bc5ddbb
55	836	КОМИТЕТ ГОСУДАРСТВЕННОГО СТРОИТЕЛЬНОГО НАДЗОРА ГОРОДА МОСКВЫ	130350d134894cc9af6e27c552574de8
70159808	330	Государственная Дума Федерального Собрания Российской Федерации	53c2ec12bfe249ba84c0289479838088
36	809	ДЕПАРТАМЕНТ ТОРГОВЛИ И УСЛУГ ГОРОДА МОСКВЫ	be7f44b384d4438eb85a28f521bdc90e
4964	022	Министерство энергетики Российской Федерации	efaad88cbb0f4d5da2052980350fb6da
9	162	ДЕПАРТАМЕНТ НАУКИ, ПРОМЫШЛЕННОЙ ПОЛИТИКИ И ПРЕДПРИНИМАТЕЛЬСТВА ГОРОДА МОСКВЫ	2c85dde3c30f46d6b63329ce4f24da2d
24	773	ГЛАВНОЕ КОНТРОЛЬНОЕ УПРАВЛЕНИЕ ГОРОДА МОСКВЫ	cecdd55c897248ba8bcb2ab7cbedefff
27	788	ОБЪЕДИНЕНИЕ АДМИНИСТРАТИВНО-ТЕХНИЧЕСКИХ ИНСПЕКЦИЙ ГОРОДА МОСКВЫ	ba6cf1fe10e64127b4f42afbdfaf0dbb
70159779	184	Служба внешней разведки Российской Федерации	d5f8d70e896e4f108b152bc7761ed4d0
70159856	820	УПРАВЛЕНИЕ ГОРОДА МОСКВЫ ПО ОБЕСПЕЧЕНИЮ РЕАЛИЗАЦИИ ИНВЕСТИЦИОННЫХ ПРОЕКТОВ, КОНТРОЛЮ (НАДЗОРУ) В ОБЛАСТИ ДОЛЕВОГО СТРОИТЕЛЬСТВА	88b20c5799ed4a689cd32c533786d795
52	830	ДЕПАРТАМЕНТ КУЛЬТУРНОГО НАСЛЕДИЯ ГОРОДА МОСКВЫ	03a719e257d04e199ba62d7a4ebe64d6
70159896	983	УПРАВЛЕНИЕ КУЛЬТУРЫ ЮГО-ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ	773f26bdf3ac41c8a2562da84ecfca98
70159767	161	Федеральная антимонопольная служба	81253d6cb85c453b87bd2e19ada5d81d
6	139	ДЕПАРТАМЕНТ НАУКИ И ПРОМЫШЛЕННОЙ ПОЛИТИКИ ГОРОДА МОСКВЫ	5c1917358c854eff95c32e785c7c3321
70159904	999	Остатки прошлых лет (неразрешенные)	15533db3374647e49c772ecba9befec0
35	808	КОНТРОЛЬНЫЙ КОМИТЕТ ГОРОДА МОСКВЫ	6d5b62589b544710b7102ee81316b9c7
70159852	796	Мосгосторгинспекция	51114b2d8560436cbdf12f6330589250
70159873	924	УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ	c220065d49cc4157816e3066304b9303
8	154	ГЛАВНОЕ АРХИВНОЕ УПРАВЛЕНИЕ ГОРОДА МОСКВЫ	15e1fb0b615d46e5bcd9319d59e9960f
70159858	831	Государственная земельная инспекция города Москвы	ab39f1f3036347d0956732af653bf3d2
40	813	ДЕПАРТАМЕНТ СРЕДСТВ МАССОВОЙ ИНФОРМАЦИИ И РЕКЛАМЫ ГОРОДА МОСКВЫ	e194e98ee0464496b8d432e56d044739
54	833	КОМИТЕТ ВЕТЕРИНАРИИ ГОРОДА МОСКВЫ	99657e0cf8ac4d35a96833057d593a0a
4973	597	Федеральное государственное учреждение культуры "Государственный Эрмитаж"	bdb1861b1fd2471a9d8a338799dd9818
70159905	509	ДЕПАРТАМЕНТ РАЗВИТИЯ НОВЫХ ТЕРРИТОРИЙ ГОРОДА МОСКВЫ	6b9ea5b32d12438597bc33f691c3b445
26	781	РЕГИОНАЛЬНАЯ ЭНЕРГЕТИЧЕСКАЯ КОМИССИЯ ГОРОДА МОСКВЫ	2ad42a69ea9046ad80c733fd020fde89
70159900	993	УПРАВЛЕНИЕ КУЛЬТУРЫ ЮЖНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ	edd8fcf6c7464cb3ab8c343189410ff7
70159784	192	Федеральная миграционная служба	32ffb87a92ed40898d7837696a462d86
70159747	100	Федеральное казначейство	38330b8674094c9fac79397aa809c874
4977	409	Федеральное государственное учреждение "Государственный академический Большой театр России"	421b71a96bdb47378e193cf18ed6744d
70159857	829	Московский городской фонд обязательного медицинского страхования	88d934b57d5844d89bc73d075acf759a
70159757	141	Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека	f3341df2ae564ddfaed73df9d6adf99a
