Key	Code	Name	Id
60002466	05З0189	Выполнение работ по техническому аудиту работоспособности имущества автоматизированной системы управления «Информационное обеспечение деятельности ЕИРЦ» при передаче в собственность города Москвы	fd17b87405f54f7aae97063223ed10b5
1104	03Д0200	Организационно-техническое обеспечение деятельности системы образования	fad435fd8f4040b393be06376096b549
60001425	5051900	Единовременное пособие беременной жене военнослужащего, проходящего военную службу по призыву, а также ежемесячное пособие на ребенка военнослужащего, проходящего военную службу по призыву	759c986b3c2b4ed6b9c1064a8fb0173d
217	09Б0700	Реализация комплекса мер, направленных на развитие материально-технической базы театров города Москвы	892f5d5847094004b1970686e3e8a184
60000899	0920000	Реализация государственных функций, связанных с общегосударственным управлением	f3238eb72fe84b299c5706af22689921
60001420	5050502	Выплата единовременного пособия при всех формах устройства детей, лишенных родительского попечения, в семью	5367c1905d444df9ba7f06ca3b1cfd1a
60001078	31Б0104	Законопроектные и правовые экспертно-аналитические работы, систематизация законодательства города Москвы, издание текстов законов города Москвы и комментариев к ним	345fbefe7ca3489eaade06d39f079ac6
218	05В0190	Энергосберегающие мероприятия	7763c246f8f447e8a85606dcc3e08b79
60001298	4360000	Мероприятия в области образования	264dc0ff9d054212970e06e61974635e
219	01Б0200	Возмещение затрат ГУП «Мосгортранс» в связи с оказанием услуг по перевозке пассажиров без оплаты проезда в дни массовых городских мероприятий	3a202949e87a4f57bcca06f39ef41dd8
220	02А0482	Приобретение оборудования государственными  учреждениями	6c1f97eb4da048469fcf0700b8c12e5d
60000730	02Б1077	Укрепление материально-технической базы в части строительства стационарных учреждений здравоохранения в рамках реализации Программы модернизации здравоохранения города Москвы	54e7834ee2b34bbab3ef073b0733b1e8
221	02Ж0382	Приобретение оборудования государственными учреждениями	a36d6ff922244c0989020743def95919
5	0100000	Развитие транспортной системы	88fbb2540d6444789cad074576045d24
222	09Ж0500	Учет, мониторинг и ремонт современной монументальной скульптуры	a80468beef7649758d330745cf359b55
223	09Д0201	Мероприятия проекта «Открытая сцена» (в части негосударственных концертных организаций и коллективов)	c5c8cbacbadf43b09890074750c241fd
60002445	17А1400	Реализация комплекса работ по ремонту объектов внутренних войск МВД России	a4917ce815b1488c90c2075ac2e78888
1128	03А1000	Реализация механизмов обеспечения доступности дошкольного образования для детей с ограниченными возможностями здоровья, в том числе компенсация части родительской платы	db644ffdae4d44fc923607669edd112c
224	02А1100	Проведение мероприятий по совершенствованию внутрибольничной системы обращения с медицинскими отходами	24340377686c4913bebc07759edaf953
225	04А0103	Выплаты малообеспеченным семьям, имеющим среднедушевой доход ниже величины прожиточного минимума	959f2e1a7a3144ce9f410780e8512c4c
29	06Ж0000	Развитие единой светоцветовой среды города Москвы	36478f6aee2f46f495d307b4a6364acc
1049	03А1200	Сохранение и укрепление здоровья детей, формирование у них культуры здорового образа жизни	68f9a72732174f6c8ed507bdd78f389c
60001920	14Е0110	Содействие повышению уровня финансовой грамотности педагогов и методистов московских школ, преподавателей колледжей и ВУЗов и руководителей образовательных учреждений	b664872907ed4e8da46107ed45476d16
60001881	02В0872	Укрепление материально-технической базы в части приобретения оборудования в рамках Программы модернизации здравоохранения города Москвы	3f59ab727ed2440b85ce07ee1f0c038c
60000977	13Б0581	Оказание государственными учреждениями города Москвы государственных услуг, выполнение работ, финансовое обеспечение деятельности казенных учреждений	13c8116f195c48e095ec07fbe977f3c8
60001076	3060300	Реализация мероприятий по обеспечению безопасности населения на метрополитене в рамках Комплексной программы обеспечения безопасности населения на транспорте	860b62e249104b0caaaf083bb658ade7
1007	09Е0200	Совершенствование структуры сети, специализация клубов	b522d5c4f0ea45e1b33308720e2c313f
1014	09И0200	Организация повышения квалификации и переподготовки кадров по профессии отрасли культуры и образования в сфере культуры и искусства	53e5565b06cc4ccca0cf0892926e4afc
60001100	31К2099	Иные расходы по функционированию органов исполнительной власти города Москвы	c5bde10002504b7eb31508afc95b21f6
941	02В0900	Медицинские услуги, предоставляемые детям специализированными стационарами города Москвы	99e68028ee184243b4260926d6ea7d02
60001094	31К2001	Мэр Москвы	d22fb7a56b9a42fead7c092c18fd62a6
1239	33Б0000	Непрограммные мероприятия в части предоставления межбюджетных трансфертов бюджетам муниципальных образований Московской области	3898ea8508014b038140097a8e780126
