Key	Code	Name	ResponsibleFOIV_Id	ResponsibleForInput_Id	Subprogram_Id	ActionType	ActionShortType	Goals	Effects	Indicators_Depends	StartDate	EndDate	State_Id	ExtVolume	ExtStartDate	ExtEndDate	ExtResult	FullName	StatusName	Id	Executor_Id	FOIVName	Executor	FinancingVal	ord	SubprogramName
550	06А0390	Строительство отводящего коллектора ПС 220 кВ "Ново-Измайлово"	1	 	129	2	2	 	Невозможность выдачи мощности и электрической энергии потребителю	 	20120101000000	20161231000000	 	 	 	 	 	cda81506a7f040e6b7614ba5d6bfed02	 	550
551	06А0405	Строительство отводящего коллектора ПС 220 кВ "Новая"	1	 	129	2	2	 	Невозможность выдачи мощности и электрической энергии потребителю	 	20120101000000	20161231000000	 	 	 	 	 	e472bffc18ee4fa8a2d84d8a81be264f	 	551
552	06А0360	Строительство объектов электроснабжения ядра ММДЦ "Москва-Сити" наземная часть	1	 	129	2	2	 	Обеспечение бесперебойного энергоснабжения строящихся объектов ММДЦ «Москва-Сити», в  том числе подключения Центрального ядра по постоянной схеме. 	 	20120101000000	20161231000000	 	 	 	 	 	8755dcc5f0b34712b26850cf5c5c6de1	 	552
553	06А0470	Приобретение средств вычислительной и оргтехники, оборудования системы связи и безопасности	1	 	129	2	2	 	Увеличение риска осуществления противоправных действий сторонних лиц, террористических актов. 	 	20120101000000	20161231000000	 	 	 	 	 	83ff3d4f2d384828844751620f539b84	 	553
554	06А0520	Программа в области энергосбережения и повышения энергетической эффективности ОАО "Энергокомплекс", в т.ч. 	1	 	129	2	2	 	Дефицит мощности в районе застройки «Щербинка»	 	20120101000000	20161231000000	 	 	 	 	 	fc2c1921a85f466fa62255945aad7c74	 	554
555	06А0900	Прочее (автоматизация, телемеханика, связь, АИИС КУЭ, реконструкция и строительство зданий, сооружений, оборудование не входящее в сметы строек)	1	 	129	2	2	 	Возможность возникновения перебоев с электроснабжением потребителей	 	20120101000000	20161231000000	 	 	 	 	 	0dc6f769bef049b8b7855a45bbde259f	 	555
556	06А0620	ПС 220 кВ «Золотаревская» («Хамовники») с заходами КЛ 220 кВ «ТЭЦ-20-Золотаревская» - 1 ПК	1	 	129	2	2	 	Дефицит мощности в районе  «Басманный»	 	20120101000000	20161231000000	 	 	 	 	 	6c01f4396b4245fbbf2e5bd8ef161de6	 	556
557	06А0760	Прокладка КЛ 1 кВ от ТП 21724 до ввода в жилой д.17 стр.1 по адресу: Капотня	1	 	129	2	2	 	Не подключение новых потребителей к городской электрической сети.	 	20120101000000	20161231000000	 	 	 	 	 	a5ddc62d693742a197725da3905dcd9e	 	557
558	06А0740	Прокладка КЛ 1 кВ от  ТП 21724  до ввода в жилой д.14 по адресу: Капотня	1	 	129	2	2	 	Ограничения технологической возможности присоединения новых потребителей 	 	20120101000000	20161231000000	 	 	 	 	 	1efab87a36c1413d9b8f66a3bbafe99e	 	558
559	06А0750	Прокладка КЛ 1 кВ от ТП 21724 до ввода в жилой  д.7 по адресу: Капотня	1	 	129	2	2	 	Не подключение новых потребителей к городской электрической сети.	 	20120101000000	20161231000000	 	 	 	 	 	1b5a7cb123c747cab5fd696404f2da9b	 	559
