Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/8511,Домбровицкий,Максим,Петрович, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,"МКА ""Легис групп""",
77/8512,Буентуев,Эдуард,Георгиевич, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,кабинет,
77/8513,Миронов,Андрей,Александрович, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,кабинет,
77/8514,Шалаев,Александр,Геннадьевич, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,"КА ""Формула права"" г.М",
77/8515,Капырин,Антон,Валерьевич, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,"МКА ""Легис групп""",
77/8516,Сушилкина,Альбина,Константиновна, №1 от 25.01.2007,№30-а от 13.02.2007,,,,, №2551 от 25.09.2009, №296-а от 07.10.2009,,,Афанасьева,№28-а от 19.02.2008 ,прекращен ст.,"МКА ""Легис групп""",
77/8517,Мануйлова,Галина,Вячеславовна, №1 от 25.01.2007,№30-а от 13.02.2007, №7 от 19.07.2010, №185-а от 27.07.2010,,,,,,,,,приост.ст.,"АБ ""Право""г.М",
77/8518,Казаков,Петр,Иосифович, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,МРКА,
77/8519,Чертищева,Юлия,Петровна, №1 от 25.01.2007,№30-а от 13.02.2007, №1 от 30.01.2008, №27-а от 15.02.2008,,,,,,,,,приост.ст.,"НП ""Коллегия""Адвокаты Столицы""",
77/8520,Савенкова,Ольга,Анатольевна, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,МЮЦ,
77/8521,Грачев,Игорь,Петрович, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,кабинет,
77/8522,Насимов,Геннадий,Асафович, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,МГКА,
77/8523,Ившин,Александр,Валентинович, №1 от 25.01.2007,№30-а от 13.02.2007,,,,,,,,,,,,кабинет,
