Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/1,Мирзоев,Гасан,Борисович,№ от 08.11.1993,№1109-а от 10.09.2002,№72 от 18.03.2003 ,№39-а от 01.04.2003          ,№1370 от 23.11.2003 ,№01-а от 08.01.2004 ,,,,,,,,приост.ст.,
77/2,Игонин,Владимир,Сергеевич,№ от 14.04.1998,№1121-а от 10.09.2002,,,,,,,,,,,,МЮЦ,
77/3,Клен,Николай,Наумович,№ от 01.07.1982,№4754-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/4,Резник,Генри,Маркович,№ от 03.09.1985,№5128-а от 26.09.2002,,,,,,,,,,,,"АБ ""Рез., Гаг., Абуш.и парт.""",
77/5,Залманов,Валерий,Яковлевич,№ от 30.05.1995,№3506-а от 23.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/6,Фомичев,Михаил,Юрьевич,№ от 27.02.1995,№839-а от 09.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/7,Кривошеев,Сергей,Алексеевич,№ от 15.06.1995,№4944-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/8,Каплунова,Эсфирь,Самуиловна,№ от 13.06.1947,№5169-а от 26.09.2002,,,,,№225 от 29.04.2005 ,№94-а от 08.05.2003 ,,,,,прекращен ст.,,
77/9,Яхнис,Израиль,Шаевич,№ от 31.07.1947,№753-а от 06.09.2002,,,,,№20 от 03.11.2003 ,№340-а от 24.11.2003 ,,,,,прекращен ст.,,
77/10,Поляков,Игорь,Алексеевич,№ от 27.02.1995,№3839-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/11,Мочалова,Надежда,Ивановна,№ от 12.11.1948,№4296-а от 24.09.2002,,,,,№8 от 16.08.2005 ,№168-а от 29.08.2005 ,,,,,прекр.ст.,МГКА,
77/12,Шульруфер,Меер,Шмульевич,№ от 17.06.1949,№779-а от 06.09.2002,,,,,,,,,,,,"МКА ""Каганер и партнеры""",
77/13,Падва,Генрих,Павлович,№ от 07.12.1971,№4226-а от 24.09.2002,,,,,,,,,,,,"АБ ""Падва и партнеры""",
77/14,Осокина,Раиса,Петровна,№ от 13.01.1950,№4331-а от 24.09.2002,,,,,№988 от 02.06.2004 ,№127-а от 10.06.2004 ,,,,,прекращен ст.,,СКА прав.пом.в/с
77/15,Тихомирова,Любовь,Александровна,№ от 27.01.1950,№4438-а от 24.09.2002,,,,,№3 от 25.02.2004 ,№61-а от 18.03.2004 ,,,,,прекращен ст.,,
77/16,Тихонова,Евгения,Варфоломеевна,№ от 29.07.1952,№4438-а от 24.09.2002,,,,,№1 от 30.01.2008 ,№25-а от 15.02.2008 ,,,,,прекр.ст.,МГКА,
77/17,Шафир,Мотя,Фателевич,№ от 16.09.1952,№4352-а от 24.09.2002,,,,,№1533 от 27.05.2010 ,№145-а от 04.06.2010 ,,,,,прекр.ст.,МГКА,
77/18,Владимирова,Зинаида,Васильевна,№ от 27.02.1953,№4332-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/19,Седова-Шмелева,Лидия,Михайловна,№ от 09.03.1954,№1633-а от 12.09.2002,,,,,№4 от 25.03.2004 ,№83-а от 07.04.2004 ,,,,,прекращен ст.,,
77/20,Воскресенский,Георгий,Алексеевич,№ от 05.07.1955,№5129-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/21,Гриншпун,Семен,Григорьевич,№ от 27.03.1956,№647-а от 05.09.2002,,,,,№1533 от 27.05.2010 ,№144-а от 04.06.2010 ,,,,,прекращен ст.,МГКА,
77/22,Финкельс,Марина,Ильинична,№ от 05.06.1956,№687-а от 05.09.2002,,,,,№5 от 20.05.2009 ,№188-а от 04.06.2009 ,,,,,прекращен ст.,МГКА,
77/23,Челяпов,Юрий,Леонидович,№ от 04.09.1956,№744-а от 06.09.2002,,,,,№20 от 03.11.2003 ,№340-а от 24.11.2003 ,,,,,прекращен ст.,,Межотраслевая КА
77/24,Моссаковский,Вольдемар,Владиславович,№ от 23.10.1956,№4296-а от 24.09.2002,,,,,№5 от 24.05.2007 ,№102-а от 06.06.2007 ,,,,,,МГКА,
77/25,Сухарева,Цицилия,Израилевна,№ от 27.11.1956,№1365-а от 11.09.2002,,,,,№10 от 12.08.2004 ,№255-а от 07.08.2004 ,,,,,прекращен ст.,МГКА,
77/26,Витюгов,Арнольд,Дмитриевич,№ от 19.03.1957,№4332-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/27,Еронина,Наталья,Александровна,№ от 02.07.1957,№1393-а от 11.09.2002,,,,,,,,,,,,"КА ""Прав.политика""",
77/28,Стескович,Свира,Михайловна,№ от 02.07.1957,№4325-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/29,Газер,Марианна,Михайловна,№ от 24.12.1957,№347-а от 16.08.2002,,,,,№6 от 14.06.2006 ,№129-а от 22.06.2006 ,,,,,прекращен ст.,МГКА,
77/30,Нейштадт,Майя,Теодоровна,№ от 13.11.1959,№4330-а от 24.09.2002,,,,,№11 от 20.11.2007 ,№213-а от 06.12.2007 ,,,,,прекр.ст.,МГКА,1-я ГКА
77/31,Семенов,Александр,Павлович,№ от 31.03.1961,№1630-а от 12.09.2002,,,,,,,,,,,прекращен ст.,,ГКА
77/32,Бобылева,Валентина,Сергеевна,№ от 23.02.1994,№262-а от 08.08.2002,,,,,№106 от 16.07.2009 ,№252-а от 10.08.2009 ,,,,,прекращен ст.,"Межд.КА ""Москва""",
77/33,Осипов,Валерий,Валериевич,№ от 23.02.2000,№5565-а от 15.10.2002,,,,,,,,,,,,кабинет,"КА ""МКА №27"""
77/34,Яковлева,Маргарита,Владимировна,№ от 17.08.2000,№5566-а от 15.10.2002,,,,,,,,,,,,кабинет,
77/35,Кузин,Виктор,Александрович,№ от 16.01.1995,№5567-а от 15.10.2002,,,,,,,,,,,,кабинет,
77/36,Коршунов,Александр,Федорович,№ от 16.01.1995,№5568-а от 15.10.2002,,,,,,,,,,,,кабинет,
77/37,Джиенбаев,Сергей,Нуржанович,№ от 20.06.2002 ,№5191-а от 26.09.2002,,,,,№1 от 27.01.2011 ,№22-а от 07.02.2011 ,,,,,,"КА ""Коллеги""",
77/38,Сидорова,Татьяна,Александровна,№ от 13.10.1992,№5560-а от 15.10.2002,,,,,,,,,,,,"МКА ""Единство""",
77/39,Хациев,Ломан,Ибрагимович,№ от 19.10.2000,№5493-а от 27.09.2002,,,,,№10 от 12.08.2004 ,№254-а от 07.09.2004 ,,,,,прекращен ст.,"АБ ""Эффект""",
77/40,Козлов,Вадим,Вадимович,№ от 27.10.1996,№4239-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/41,Иванова,Вера,Леонидовна,№ от 16.12.1996,№4237-а от 24.09.2002,,,,,,,,,,,,"АБ ""Паритет""","МКА ""Закон и человек"""
77/42,Лопато,Анатолий,Георгиевич,№ от 21.07.1997,№4236-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/43,Привалова,Марина,Александровна,№ от 24.04.2002,№4240-а от 24.09.2002,,,,,,,,,,,,"МКА ""Межрегион""",
77/44,Калашников,Анатолий,Иванович,№ от 16.11.2000,№3339-а от 23.09.2002,,,,,,,,,,,,МЮЦ,
77/45,Краева,Наталия,Венедиктовна,№ от 25.06.2002,№5334-а от 27.09.2002,№294 от 29.05.2003 ,№171-а от 16.06.2003     ,№2 от 03.02.2004 ,№38-а от 04.03.2004 ,,,,,,,,,
77/46,Иванов,Виталий,Юрьевич,№ от 04.03.2002,№4238-а от 24.09.2002,,,,,,,,,,,,"АБ ""Паритет""",
77/47,Дворянов,Сергей,Владимирович,№ от 30.05.2002,№5222-а от 26.09.2002,,,,,,,,,,,,Мос.спец КА,
77/48,Воронов,Игорь,Федорович,№ от 16.11.2000,№5346-а от 27.09.2002,,,,,№68 от 24.05.2007,№106-а от 07.06.2007,,,,,прекр.ст.,Западная КА,
77/49,Торбенко,Дмитрий,Владимирович,№ от 20.06.2002,№5218-а от 26.09.2002,,,,,,,,,,,,"МКА ""Право Вест""",
77/50,Абдуллин,Расиль,Васимович,№ от 22.12.1994,№3827-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/51,Дмитренко,Николай,Александрович,№ от 03.03.1993,№269-а от 08.08.2002,,,,,№3 от 18.03.2009 ,№105-а от 31.03.2009 ,,,,,прекр.ст.,"КА ""Доверие""",
77/52,Вафин,Равиль,Джагфарович,№ от 24.11.1993,№288-а от 12.08.2002,,,,,,,,,,,,2-я МКА,
77/53,Борисов,Денис,Юрьевич,№ от 15.01.1994,№101-а от 02.08.2002,,,,,,,,,,,,кабинет,АБ Борисова
77/54,Панкратова,Людмила,Васильевна,№ от 21.12.1994,№105-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/55,Румянцев,Владимир,Николаевич,№ от 15.01.1994,№108-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/56,Решетилова,Ирина,Васильевна,№ от 01.09.1994,№109-а от 02.08.2002,,,,,,,,,,,,"КА ""Межд.парт-во""",
77/57,Сергиенко,Ирина,Юрьевна,№ от 15.01.1994,№113-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/58,Кучмин,Вячеслав,Тихонович,№ от 15.01.1994,№118-а от 02.08.2002,,,,,№ 12 от 11.12.2012,№ 6939 от 20.12.2012,,,,,,"МКА ""Адв.парт-во""",
77/59,Зиновьев,Виктор,Александрович,№ от 15.01.1994,№132-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/60,Бицаев,Владимир,Маркович,№ от 02.11.1994,№130-а от 02.08.2002,,,,,,,,,,,,"КА ""Адв.парт-во""",
77/61,Кравцев,Владимир,Иванович,№ от 07.12.1994,№116-а от 02.08.2002,№11 от 20.11.2006 ,№230-а от 29.11.2006       ,,,№2032 от 20.07.2009 ,№242-а от 28.07.2009 ,,,,,прекращен ст.,"МКА ""Адв. парт-во""",
77/62,Орлова,Лада,Алексеевна,№ от 01.09.1994,№122-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/63,Лукирская,Анна,Витальевна,№ от 01.09.1994,№121-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/64,Жучков,Анатолий,Гаврилович,№ от 15.01.1994,№142-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/65,Живова,Татьяна,Геннадьевна,№ от 01.09.1994,№143-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",МЮЦ
77/66,Аблин,Евгений,Львович,№ от 05.02.1994,№280-а от 12.08.2002,,,,,,,,,,,,СПОКА,Межрег.КА
77/67,Павлов,Алексей,Борисович,№ от 09.06.1994,№286-а от 12.08.2002,,,,,,,,,,,,"АБ ""Технология права""",
77/68,Ключник,Людмила,Анатольевна,№ от 09.06.1994,№308-а от 12.08.2002,,,,,№3 от 23.03.2006 ,№72-а от 06.04.2006 ,,,,,прекр.ст.,"АБ ""Технология права""",
77/69,Рыбникова,Мария,Владимировна,№ от 16.11.1995,№107-а от 12.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/70,Васильева,Татьяна,Леонидовна,№ от 16.11.1995,№128-а от 12.08.2002,,,,,№7 от 24.07.2012,№3842 от 02.08.2012,,,,,,"МКА ""Адв.парт-во""",
77/71,Волобоева,Людмила,Юрьевна,№ от 27.01.1995,№114-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/72,Вострикова,Наталья,Валентиновна,№ от 16.11.1995,№133-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/73,Малафеев,Евгений,Борисович,№ от 27.12.1995,№136-а от 02.08.2002,,,,,№190 от 21.12.2011,№9-а от 18.01.2012,,,,,,"МКА ""Адв.парт-во""",
77/74,Бородина,Татьяна,Андреевна,№ от 10.02.1995,№127-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/75,Живов,Игорь,Вячеславович,№ от 29.06.1995,№138-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/76,Соловьев,Игорь,Викторович,№ от 31.05.1995,№295-а от 12.08.2002,,,,,№ 150 от 29.09.2011,№ 199-а от 17.10.2011,,,,,,2-я МКА,
77/77,Данилова,Ирина,Мечиславовна,№ от 30.08.1995,№261-а от 08.08.2002,,,,,,,,,,,,"Межд.КА ""Москва""",
77/78,Смилянец,Виктор,Петрович,№ от 22.02.1995,№264-а от 08.08.2002,,,,,,,,,,,,"Межд.КА ""Москва""",
77/79,Громаков,Андрей,Владимирович,№ от 15.03.1996,№103-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/80,Карцев,Горольд,Николаевич,№ от 06.06.1996,№97-а от 02.08.2002,,,,,№6 от 21.06.2005 ,№141-а от 15.07.2005 ,,,,,прекр.ст.,"МКА ""Адв. парт-во""",кабинет
77/81,Похмелкин,Андрей,Валерьевич,№ от 15.08.1996,№110-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/82,Волков,Валентин,Гаврилович,№ от 14.11.1996,№115-а от 02.08.2002,№13 от 08.12.2005 ,№02 от 12.01.2006     ,,,№9 от 30.09.2008,№51-а от 15.10.2008 ,,,,,прекр.ст.,"МКА ""Адв.парт-во""",
77/83,Кица,Алексей,Николаевич,№ от 29.05.1996,№301-а от 12.08.2002,,,,,,,,,,,,"КА ""Лефортовская""",
77/84,Иванов,Александр,Борисович,№ от 19.02.1996,№282-а от 12.08.2002,,,,,,,,,,,,кабинет,
77/85,Гарькавый,Александр,Викторович,№ от 31.07.1996,№271-а от 08.08.2002,,,,,,,,,,,,Межд.КА,кабинет
77/86,Красноруцкий,Валерий,Александрович,№ от 24.04.1996,№282-а от 08.08.2002,,,,,,,,,,,,кабинет,
77/87,Сагайдак,Валентин,Николаевич,№ от 24.03.1997,№100-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""","МГАБ ""ЮрГруппа сопр-я бизнеса"""
77/88,Данилина,Татьяна,Алексеевна,№ от 02.10.1997,№140-а от 02.08.2002,,,,,№14 от 26.12.2005 ,№05-а от 12.01.2006 ,,,,,прекр.ст.,"МКА ""Адв.парт-во""",
77/89,Макарова,Ольга,Александровна,№ от 25.07.1997,№305-а от 12.08.2002,,,,,№5 от 19.05.2011,№103-а от 02.06.2011,,,,,,МРКА,
77/90,Вальчук,Елена,Львовна,№ от 12.03.1998,№129-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/91,Королев,Евгений,Олегович,№ от 24.06.1998,№304-а от 12.08.2002,,,,,,,,,,,,"МКА ""Королев, Терновский и партнеры""",
77/92,Бацылева,Татьяна,Викторовна,№ от 16.12.1998,№287-а от 12.08.2002,,,,,,,,,,,,2-я МКА,кабинет
77/93,Токметова,Светлана,Леонидовна,№ от 25.02.1998,№267-а от 08.08.2002,,,,,,,,,,,,"МКА ""Эгида""",
77/94,Курсеков,Вячеслав,Викторович,№ от 17.06.1999,№102-а от 02.08.2002,,,,,,,,,,,,кабинет,
77/95,Шарипова,Тагдима,Закуановна,№ от 05.03.1999,№96-а от 02.08.2002,№7 от 12.07.2006 ,№155-а от 21.07.2006        ,,,,,,,,,приост.ст.,"МКА ""Адв.парт-во""",
77/96,Каверзин,Марк,Юрьевич,№ от 30.06.1999,№291-а от 12.08.2002,,,,,,,,,,,,2-я МКА,
77/97,Данилова,Елена,Юрьевна,№ от 27.10.1999,№298-а от 12.08.2002,,,,,,,,,,,,"МКА ""Королев, Терн-й и парт.""",
77/98,Ильичев,Владимир,Александрович,№ от 30.06.1999,№289-а от 12.08.2002,,,,,,,,,,,,"МКА ""Единство""",МГКА
77/99,Качнов,Александр,Михайлович,№ от 20.10.1999,№307-а от 12.08.2002,,,,,,,,,,,,кабинет,
77/100,Пешин,Леонид,Арсентьевич,№ от 29.09.1999,№266-а от 08.08.2002,,,,,№10 от 12.08.2004 ,№255-а от 07.09.2004 ,,,,,,Международная КА,
77/101,Шарудило,Владимир,Александрович,№ от 17.02.2000,№93-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/102,Кашеварова,Ольга,Анатольевна,№ от 17.02.2000,№95-а от 02.08.2002,,,,,№2034 от 20.07.2009 ,№241-а от 28.07.2009 ,,,,,прекращен ст.,"МКА ""Адв.парт-во""",
77/103,Антонов,Олег,Алексеевич,№ от 22.03.2000,№131-а от 02.08.2002,№12 от 20.12.2006 ,№257-а от 29.12.2006        ,,,,,,,,,,"МКА ""Адв.парт-во""",
77/104,Гуров,Сергей,Александрович,№ от 25.10.2000,№117-а от 02.08.2002,,,,,,,,,,,,"МКА ""Максимум""",
77/105,Печеновский,Владимир,Иванович,№ от 12.10.2000,№104-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/106,Куликов,Юрий,Васильевич,№ от 13.01.2000,№119-а от 02.08.2002,№523 от 06.04.2005 ,№79-а от 19.04.2005 ,,,,,,,,,приост.ст.,"МКА ""Адв.парт-во""",
77/107,Виноградова,Татьяна,Александровна,№ от 13.01.2000,№126-а от 02.08.2002,,,,,№1 от 25.01.2007 ,№20-а от 07.02.2007 ,,,,,прекр.ст.,"МКА ""Адв.парт-во""",
77/108,Боровский,Михаил,Владимирович,№ от 12.10.2000,№125-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/109,Кудряшов,Дмитрий,Александрович,№ от 24.02.2000,№302-а от 12.08.2002,,,,,,,,,,,,МКА им.ген.-майора юстиции Кудряшова,
77/110,Попова,Надежда,Константиновна,№ от 26.07.2000,№303-а от 12.08.2002,,,,,№7 от 16.06.2006 ,№199-а от 29.06.2004 ,,,,,прекращен ст.,,
77/111,Калинина,Ирина,Александровна,№ от 19.01.2000,№300-а от 12.08.2002,,,,,,,,,,,,"КА ""Лефортовская""",
77/112,Чочуа,Георгий,Гигантьевич,№ от 19.01.2000,№283-а от 12.08.2002,,,,,,,,,,,,СПОКА,
77/113,Павлов,Андрей,Алексеевич,№ от 26.04.2000,№309-а от 12.08.2008,,,,,№1 от 27.01.2011 ,№22-а от 07.02.2011 ,,,,,,"АБ ""Технология права""",
77/114,Денисюк,Анна,Григорьевна,№ от 26.04.2000,№268-а от 08.08.2002,,,,,,,,,,,,"Межд.КА ""Москва""",
77/115,Адамчевский,Виктор,Эдуардович,№ от 26.04.2000,№270-а от 08.08.2002,,,,,,,,,,,,"МКА ""Единство""",
77/116,Ковбасюк,Сергей,Владимирович,№ от 20.06.2001,№98-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв. парт-во""",
77/117,Поминов,Алексей,Николаевич,№ от 04.10.2001,№106-а от 02.08.2002,,,,,№1 от 01.02.2010,№22-а от 11.02.2010 ,,,,,прекращен ст.,"АБ ""Серков и партнеры""",
77/118,Бурлакова,Римма,Бахшиевна,№ от 22.03.2001,№94-а от 02.08.2002,,,,,№5 от 21.05.2008 ,№106-а от 02.06.2008 ,,,,,прекр.ст.,"МКА ""Адв.парт-во""",
77/119,Печникова,Наталья,Леонидовна,№ от 20.03.2001,№112-а от 02.08.2002,,,,,№2114 от 22.12.2004 ,№17-а от 17.01.2005 ,,,,,прекращен ст.,"МКА ""Адв.парт-во""",
77/120,Мартынов,Евгений,Николаевич,№ от 22.02.2001,№120-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/121,Серков,Алексей,Владимирович,№ от 20.06.2001,№141-а от 02.08.2002,,,,,,,,,,,,"АБ ""Серков и партнеры""",
77/122,Дуганова,Елена,Валентиновна,№ от 08.02.2001,№139-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/123,Янковенко,Анатолий,Васильевич,№ от 20.06.2001,№124-а от 02.08.2002,,,,,,,,,,,приост.ст.,"МКА ""Адв.парт-во""",
77/124,Соболева,Светлана,Борисовна,№ от 04.10.2001,№134-а от 02.08.2002,,,,,,,,,,,,"МКА ""Адв.парт-во""",
77/125,Разумова,Лилиана,Александровна,№ от 26.09.2001,№294-а от 12.08.2002,,,,,№9 от 15.09.2005 ,№198-а от 04.10.2005 ,,,,,прекращен ст.,2-я МКА,
77/126,Мелик-Осипов,Аркадий,Григорьевич,№ от 25.04.2001,№293-а от 12.08.2002,,,,,,,,,,,,2-я МКА,
77/127,Гринченко,Александр,Владимирович,№ от 20.07.2001,№299-а от 12.08.2002,,,,,,,,,,,,"КА ""Лефортовская""",
77/128,Малинина,Надежда,Михайловна,№ от 20.09.2001,№281-а от 12.08.2002,,,,,,,,,,,,СПОКА,
77/129,Абакумова,Ольга,Владимировна,№ от 26.12.2001,№273-а от 12.08.2002,,,,,,,,,,,,"МКА ""Единство""",
77/130,Жихарева,Татьяна,Вячеславовна,№ от 25.04.2001,№274-а от 12.08.2002,№5 от 20.05.2009 ,№196-а от 08.06.2009 ,,,№497 от 24.02.2010,№53-а от 01.03.2010 ,,,,,прекращен. ст.,"МКА ""Единство""",
77/131,Сивцова,Любовь,Игоревна,№ от 28.03.2001,№278-а от 12.08.2002,,,,,,,,,,,,МРКА,
77/132,Кретинина,Татьяна,Михайловна,№ от 25.04.2001,№290-а от 12.08.2002,,,,,,,,,,,,"МКА ""Единство""",
77/133,Шилкова,Ольга,Анатольевна,№ от 26.12.2001,№292-па от 12.08.2002,,,,,,,,,,,,"МКА ""Единство""",
77/134,Чистяков,Борис,Михайлович,№ от 24.10.2001,№306-а от 12.08.2002,,,,,,,,,,,,"АБ ""Техн-гия права""",
77/135,Смирнов,Леонид,Владимирович,№ от 28.03.2001,№263-а от 08.08.2002,,,,,№7 от 16.06.2004 ,№199-а от 29.06.2004 ,,,,,прекращен ст.,,
77/136,Арупов,Рашит,Арупович,№ от 27.02.1979,№590-а от 04.09.2002,,,,,,,,,,,,МГКА,кабинет
77/137,Жук,Полина,Федоровна,№ от 07.01.1966,№653-а от 05.09.2002,,,,,№7 от 19.07.2010 ,№190-а от 27.07.2010 ,,,,,прекращен ст.,МГКА,
77/138,Епихин,Валерий,Васильевич,№ от 28.01.1969,№592-а от 04.09.2009,,,,,,,,,,,,2-е АБ,
77/139,Воронов,Анатолий,Афанасьевич,№ от 01.08.1972,№632-а от 05.09.2002,,,,,№12 от 28.11.2005 ,№251-а от 12.12.2005 ,,,,,прекращен ст.,МГКА,Межтеррит.КА
77/140,Горчакова,Татьяна,Владимировна,№ от 19.07.1977,№589-а от 04.09.2002,№2 от 17.02.2011,№57-а от 21.03.2011 ,,,,,,,,,,МГКА,
77/141,Рагимова,Майя,Васильевна,№ от 11.01.1983,№641-а от 05.09.2002,,,,,№7 от 29.07.2008 ,№7-а от 12.08.2008 ,,,,,прекр.ст.,МГКА,
77/142,Орешкин,Сергей,Иванович,№ от 28.02.1984,№689-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/143,Полякевич,Георгий,Владимирович,№ от 26.02.1985,№593-а от 04.09.2002,,,,,,,,,,,,"КА ""1-я КА""",
77/144,Шкирова,Татьяна,Александровна,№ от 18.11.1986,№652-а от 05.09.2002 , №12 от 21.12.2011,№7-а от 16.01.2012,,,,,,,,,,МГКА,"КА ""Красновский и партнеры"""
77/145,Козин,Алексей,Евгеньевич,№ от 28.02.1986,№642-а от 05.09.2002,,,,,,,,,,,,МГКА,"МКА ""Козин, Петренко и партнеры"""
77/146,Гуров,Александр,Николаевич,№ от 24.02.1987,№585-а от 04.09.2002,,,,,,,,,,,,"МКА ""Нов.правовой центр""",
77/147,Артеменко,Лариса,Николаевна,№ от 30.05.1989,№659-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/148,Головин,Александр,Алексеевич,№ от 12.06.1990,№645-а от 05.09.2002,,,,,,,,,,,,"МКА ""Каганер и партнеры""",
77/149,Ларина,Виолетта,Федоровна,№ от 11.12.1990,№587-а от 04.09.2002,,,,,,,,,,,,МГКА,
77/150,Никонова,Наталья,Владимировна,№ от 29.05.1990,№643-а от 05.09.2002,№6 от 14.06.2006 ,№128-а от 22.06.2006     ,,,,,,,,,приост.ст.,МГКА,"АБ ""Юс Ауреум"""
77/151,Петров,Игорь,Викторович,№ от 07.08.1990,№598-а от 04.02.2002,,,,,№3 от 18.03.2009 ,№105-а от 31.03.2009 ,,,,,прекр.ст,МГКА,
77/152,Рачикова,Ольга,Николаевна,№ от 09.10.1990,№586-а от 04.09.2002,,,,,,,,,,,,"МКА ""Егорова и Рачикова""",
77/153,Коновалова,Татьяна,Владимировна,№ от 17.09.1991,№640-а от 05.09.2002,,,,,№7 от 29.07.2008 ,№7-а от 12.08.2009 ,,,,,прекр.ст.,МГКА,
77/154,Осетров,Александр,Николаевич,№ от 12.11.1991,№683-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/155,Герасимова,Валентина,Андреевна,№ от 26.02.1991,№648-а от 05.09.2002,,,,,№498 от 24.02.2010 ,№61-а от 02.03.2010 ,,,,,прекр.ст.,МГКА,
77/156,Вертелева,Светлана,Евгеньевна,№ от 26.05.1992,№630-а от 05.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/157,Кожемякин,Борис,Аркадьевич,№ от 24.03.1992,№636-а от 05.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/158,Никитин,Анатолий,Евгеньевич,№ от 18.08.1992,№651-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/159,Куцая,Екатерина,Марковна,№ от 01.06.1993 ,№638-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/160,Андрианова,Елена,Ростиславовна,№ от 07.06.1994,№644-а от 05.09.2002,,,,,,,,,,,,"КА ""Центр-я КА г.М""",
77/161,Плевако,Ирина,Анатольевна,№ от 31.05.1994,№595-а от 04.09.2002,,,,,,,,,,,,МГКА,
77/162,Евсеев,Николай,Петрович,№ от 02.11.1994,№637-а от 05.09.2002,,,,,№525 от 06.04.2005 ,№80-а от 19.04.2005 ,,,,,прекр.ст.,МГКА,
77/163,Оганесян,Владислав,Рафаелович,№ от 20.06.1995,№688-а от 05.09.2002,,,,,,,,,,,,МГКА,кабинет
77/164,Володичева,Анна,Владимировна,№ от 30.05.1995,№631-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/165,Верязова,Татьяна,Владимировна,№ от 26.03.1996,№629-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/166,Марков,Матвей,Эдуардович,№ от 25.03.1997,№684-а от 05.09.2002,,,,,,,,,,,,МГКА,кабинет
77/167,Голованов,Владимир,Юрьевич,№ от 22.04.1997,№646-а от 05.09.2002,,,,,,,,,,,,МГКА,
77/168,Крассов,Олег,Игоревич,№ от 11.03.1997,№540-а от 03.09.2002,,,,,№4 от 25.03.2004 ,№86 от 07.04.2004 ,,,,,прекращен ст.,,
