key	code	regname	value
1121	6	Басманный район 	0.16
1121	8	Район Замоскворечье 	0.21
1121	5	Красносельский район 	0.54
1121	4	Мещанский район 	0.45
1121	2	Пресненский район 	0.32
1121	7	Таганский район 	0.14
1121	3	Тверской район 	0.35
1121	1	Район Хамовники 	0.12
1121	10	Район Якиманка 	0.15
1121	22	Район Аэропорт 	0.24
1121	24	Район Беговой 	0.52
1121	12	Бескудниковский район 	0.40
1121	20	Войковский район 	0.43
1121	18	Головинский район 	0.49
1121	11	Район Восточное Дегунино 	0.51
1121	14	Район Западное Дегунино 	0.56
1121	13	Дмитровский район 	0.58
1121	19	Район Коптево 	0.84
1121	17	Район Левобережный 	0.46
1121	27	Молжаниновский район 	1.05
1121	25	Савёловский район 	0.35
1121	21	Район Сокол 	0.26
1121	26	Тимирязевский район 	0.54
1121	16	Район Ховрино 	0.44
1121	23	Хорошёвский район 	0.91
1121	42	Алексеевский район 	0.29
1121	30	Алтуфьевский район 	0.34
1121	35	Бабушкинский район 	0.38
1121	29	Район Бибирево 	0.76
1121	38	Бутырский район 	0.56
1121	28	Район Лианозово 	0.46
1121	36	Лосиноостровский район 	0.41
1121	39	Район Марфино 	0.44
1121	40	Район Марьина роща 	0.18
1121	33	Район Северное Медведково 	0.52
1121	32	Район Южное Медведково 	0.42
1121	43	Останкинский район 	0.75
1121	31	Район Отрадное 	0.61
1121	41	Район Ростокино 	0.76
1121	34	Район Свиблово 	0.74
1121	44	Район Северный 	0.16
1121	37	Ярославский район 	0.36
1121	54	Район Богородское 	0.42
1121	49	Район Вешняки 	0.12
1121	61	Район Восточный 	0.51
1121	56	Район Гольяново 	0.39
1121	47	Район Ивановское 	0.33
1121	59	Район Восточное Измайлово 	0.36
1121	58	Район Измайлово 	0.53
1121	57	Район Северное Измайлово 	0.33
1121	51	Район Косино-Ухтомский 	0.35
1121	55	Район Метрогородок 	0.20
1121	46	Район Новогиреево 	0.36
1121	50	Район Новокосино 	0.76
1121	45	Район Перово 	0.26
1121	53	Район Преображенское 	0.36
1121	60	Район Соколиная гора 	0.22
1121	52	Район Сокольники 	0.13
1121	68	Район Выхино-Жулебино 	0.22
1121	62	Район Капотня 	0.24
1121	67	Район Кузьминки 	0.22
1121	71	Район Лефортово 	0.13
1121	64	Район Люблино 	0.26
1121	63	Район Марьино 	0.22
1121	74	Район Некрасовка 	0.35
1121	70	Нижегородский район 	0.13
1121	65	Район Печатники 	0.30
1121	69	Рязанский район 	0.38
1121	66	Район Текстильщики 	0.25
1121	72	Южнопортовый район 	0.19
1121	80	Район Бирюлёво Восточное 	0.38
1121	79	Район Бирюлёво Западное 	0.51
1121	78	Район Братеево 	0.30
1121	91	Даниловский район 	0.36
1121	90	Донской район 	0.58
1121	77	Район Зябликово 	0.22
1121	82	Район Москворечье-Сабурово 	0.37
1121	83	Район Нагатино-Садовники 	0.74
1121	84	Район Нагатинский затон 	0.42
1121	88	Нагорный район 	0.36
1121	75	Район Орехово-Борисово Северное 	0.29
1121	76	Район Орехово-Борисово Южное 	0.67
1121	81	Район Царицыно 	0.39
1121	85	Район Чертаново Северное 	0.36
1121	86	Район Чертаново Центральное 	0.21
1121	87	Район Чертаново Южное 	0.43
1121	101	Академический район 	0.12
1121	104	Район Северное Бутово 	0.71
1121	105	Район Южное Бутово 	0.55
1121	98	Гагаринский район 	0.29
1121	99	Район Зюзино	0.50
1121	96	Район Коньково 	0.60
1121	102	Район Котловка 	0.34
1121	97	Ломоносовский район 	0.72
1121	103	Обручевский район 	0.45
1121	95	Район Тёплый Стан 	0.69
1121	100	Район Черёмушки 	0.23
1121	94	Район Ясенево 	0.75
1121	122	Район Внуково 	0.78
1121	116	Район Дорогомилово 	0.67
1121	106	Район Крылатское 	0.27
1121	107	Район Кунцево 	0.47
1121	108	Можайский район 	0.64
1121	121	Район Ново-Переделкино 	0.95
1121	112	Район Очаково-Матвеевское 	0.74
1121	119	Район Проспект Вернадского 	0.97
1121	114	Район Раменки 	0.29
1121	120	Район Солнцево 	1.11
1121	113	Район Тропарёво-Никулино 	0.89
1121	111	Район Филёвский парк 	0.34
1121	109	Район Фили-Давыдково 	0.59
1121	130	Район Куркино 	0.21
1121	129	Район Митино 	0.75
1121	125	Район Покровское-Стрешнево 	0.17
1121	128	Район Строгино 	0.40
1121	93	Район Северное Тушино 	0.31
1121	92	Район Южное Тушино 	0.24
1121	127	Район Хорошёво-Мневники 	0.46
1121	126	Район Щукино 	0.41
1121	131	Район Крюково 	0.18
1121	132	Район Матушкино 	0.10
1121	134	Район Савёлки 	0.10
1121	135	Район Силино 	0.10
1121	137	Район Старое Крюково 	0.10
