№ строки	Наименование организации	Название проекта	Год предоставления финансовой поддержки	Сумма субсидии, руб.
21	ОАО "НИИМЭ и Микрон"	«Создание серийного производства микросхем»	2011	60 062 246,44
22	ООО "НИИЭМИ"	«Организация участка серийного выпуска лицевых частей противогазов»	2011	15 000 000
23	ОАО «СкайКомпьютинг»	Выход на РИИ ММВБ	2012	5000000,0
24	ОАО «Мультисистема»	Выход на РИИ ММВБ	2012	5000000,0
25	ООО "СФТ-Трейдинг"	Социально-финансовое Товарищество по созданию центра детского творчества и развития	2012	10000000,0
26	ООО "ЭКСПО Наука Интерактив"	ЦМИТ на базе средней школы в г.Зеленограде (ЦМИТ FAB TOY)	2012	9404420,0
27	ООО "Центр инновационных разработок ВАО"	ООО "Центр инновационных разработок ВАО"	2012	10000000,0
28	ООО "ДиректФинанс"	ООО "ДиректФинанс"	2012	10000000,0
29	ООО "Управляющая компания Биотехнологического бинес-инкубатора МГУ имени М.В.Ломоносова"	ЦМИТ при ГБУК ГОРОДА МОСКВЫ "ГОСУДАРСТВЕННЫЙ ДАРВИНОВСКИЙ МУЗЕЙ"	2012	6202680,0
30	ООО "Нейроботикс"	ООО "Нейроботикс"	2012	9600000,0
31	ООО "ЭкоЛитАльянс"	Проект содания центра эко-технического творчества	2012	10000000,0
32	ООО "Аргон"	Проект создания и функционирования центра детского инновационного творчества на территории спортивного комплекса "Лужники" 	2012	10000000,0
33	ООО "Маусвилль"	ООО "Маусвилль"	2012	10000000,0
34	ООО "Станкин - Аддитивные тенологии"	ООО "Станкин - Аддитивные тенологии"	2012	9600000,0
35	ООО "Центр финансового и экономического контроля и анализа"	Проект центра творчества молодежи	2012	10000000,0
36	ООО "Кнокет"	ЦМИТ	2012	10000000,0
37	ООО "АйИндустри"	ЦМИТ	2012	8121600,0
38	ООО "Смарт-Арт"	ЦМИТ	2012	9830000,0
39	ООО "ИнтерСтрой"	ЦМИТ	2012	10000000,0
40	ООО "Типография графика"	ООО "Типография графика"	2012	10000000,0
41	ООО "Мовиком"	ООО "Мовиком"	2012	6813120,0
42	ООО "Центр прототипирования Высшей школы экономики"	Центр прототипирования на базе НИУ Высшей школы экономики	2012	9964000,0
43	ООО "ВебКонсалт"	ЦМИТ "ТАФИ"	2012	9333000,0
44	ООО "Центр быстрого прототипирования и промышленного дизайна МГТУ "МАМИ"	Центр быстрого прототипирования и промышленного дизайна МГТУ "МАМИ"	2012	2224446,0
45	ООО "Техноспарк-Инвест"	ООО "Техноспарк-Инвест"	2012	7536000,0
46	ОАО «ММЗ «Знамя»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	3 791 902
47	ОАО «ГЗ «Пульсар»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	2 524 578
48	ОАО «МПО «Металлист»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	26400,0
49	ЗАО «Эпиэл»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	4 924 632
50	ОАО «Царицыно»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	9 515 815
51	ОАО «Полимербыт»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	581 385
52	ОАО «Царицыно»	Приобретение не бывшего ранее в эксплуатации производственного оборудования	2012	28 400
