№ строки	Название
1	Северо-восточный административный округ
2	Восточный административный округ
3	Западный административный округ
4	Зеленоградский административный округ
5	Северо-Западный административный округ
6	Юго-Восточный административный округ
7	Юго-Восточный административный округ
8	Центральный административный округ
9	Южный административный округ
10	Юго-Западный административный округ
11	Северный административный округ
12	Троицкий административный округ
13	Новомосковский административный округ
