№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
20	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1353	124498, г. Москва, Зеленоград Березовая аллея  д.8А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 735-45-31	http://s1353.zouo.ru
21	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1220	129075, г. Москва, Аргуновская ул., д. 12, корп. 2, стр. 1, 2, 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 683-09-08	http://schu1220.svao.mskobr.ru
22	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением  иностранных языков № 1258	115035 г. Москва, ул. Садовническая, д.68	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	951-60-47	http://sch1258.ru/
23	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением естественных наук № 1376	119634 г. Москва, улица Лукинская , дом № 12, корпус 1.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 737-08-89	http://www.школа1376.рф
24	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1375	115533 г. Москва, Нагатинская наб., д.24	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 618-99-10	http://dou2233.edusite.ru
25	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов естественнонаучного цикла № 1388	127006 г.Москва, Долгоруковская ул., д.26а, стр.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 978-42-44; (499) 978-27-67; (499) 978-96-28	http:/www.shkola182.ru/
26	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением изобразительного искусства № 1188	129346, г.Москва, ул. 1-я Напрудная, д.13	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 475-89-46; (495) 475-64-08; (499) 760-49-34	http://1188.ru/
27	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1297	129110 г. Москва, Глинистый пер., д. 7, стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	631-21-14	http://school1297.ru/
28	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1248	121352 г.Москва, ул. Давыдковская, д. 2, корпус 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	445-25-50	http://www.dskv1148.mskzapad.ru
29	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики и информатики № 7	119331, г. Москва, улица Крупской, дом 17	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	138-38-09	http://www.7thschool.ru
30	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1208	109443, г. Москва, ул. Зеленодольская, дом 33, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 172-78-49	http://school1208.ucoz.ru/
31	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языка № 1308	119602 г.Москва, ул.Академика Анохина, д. 2, корпус 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	430-63-03	http://schu1308.mskzapad.ru
32	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1228	111024, г. Москва, Авиамоторная ул, д.42	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 673-10-64	http://1228.msk.ru
33	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1256	109338, город Москва, улица Полбина, дом 38	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	353-71-90	http://sch1256.uvuo.ru/
34	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  с углубленным изучением английского языка № 1319	109469, г. Москва, Мячковский бульвар, дом 21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 658-61-35	http://schuvu1319.mskobr.ru
35	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1264	119313, г.Москва, Ленинский проспект, д. 93 а, 93 б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	132-37-77	http://www.school1264.ru
36	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1266	119334, г. Москва, Ленинский проспект, дом 43А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	135-32-90	http://school1266.edusite.ru
37	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1280	117218, г. Москва, Кржижановского ул., д. 30	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	129-78-55	http://www.s1280.ru
