№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
28	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА БЕЛ	Абонемент	144.0
29	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА БЕЛ	Разовый	5771.0
30	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОЛОМЕНСКОЕ	Абонемент	38.0
31	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БЕГОВАЯ	Разовый	2610.0
32	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗДРАВНИЦА	Разовый	245.0
33	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НИЖНИЕ КОТЛЫ	Разовый	1399.0
34	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НЕМЧИНОВКА	Разовый	220.0
35	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РАБОЧИЙ ПОС	Разовый	647.0
36	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БИРЮЛЕВО ТОВ	Разовый	795.0
37	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТУЧКОВО	Разовый	842.0
38	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НОВОГИРЕЕВО	Разовый	1490.0
39	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПОДОЛЬСК	Разовый	2299.0
40	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РЖЕВСКАЯ	Абонемент	6.0
41	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА КАЛАНЧЕВСКАЯ	Разовый	1901.0
42	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧУХЛИНКА	Абонемент	55.0
43	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БАЛАШИХА	Разовый	191.0
44	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЭЛЕКТРОГОРСК	Разовый	103.0
45	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА ЯРОСЛАВ	Разовый	8808.0
46	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВОРОНОК	Разовый	1263.0
47	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА ЯРОСЛАВ	Абонемент	661.0
48	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ИВАНТЕЕВКА	Абонемент	28.0
49	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТИМИРЯЗЕВСКАЯ	Разовый	2058.0
50	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТИМИРЯЗЕВСКАЯ	Абонемент	118.0
51	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СТРОИТЕЛЬ	Разовый	376.0
52	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	АБРАМЦЕВО	Разовый	64.0
53	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МАМОНТОВСКАЯ	Разовый	459.0
54	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОНИНО	Абонемент	81.0
55	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФРЯЗИНО ПАСС	Разовый	474.0
