№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
5845	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ШАХОВСКАЯ	Разовый	104.0
5846	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	НЕМЧИНОВКА	Разовый	136.0
5847	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	СЕЛЯТИНО	Разовый	249.0
5848	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	СЕЛЯТИНО	Абонемент	19.0
5849	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	БЕКАСОВО 1	Абонемент	1.0
5850	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	АЛАБИНО	Абонемент	1.0
5851	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЗАПРУДНАЯ	Абонемент	2.0
5852	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПУШКИНО	Абонемент	218.0
5853	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ВОРОНОК	Абонемент	104.0
5854	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	МАМОНТОВСКАЯ	Абонемент	15.0
5855	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КЛЯЗЬМА	Разовый	258.0
5856	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	БУЖАНИНОВО	Разовый	67.0
5857	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	МОНИНО	Абонемент	68.0
5858	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПЕРЛОВСКАЯ	Абонемент	111.0
5859	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ХОТЬКОВО	Абонемент	37.0
5860	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ИВАНТЕЕВКА	Разовый	302.0
5861	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЧЕЛЮСКИНСКАЯ	Абонемент	4.0
5862	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЗАГОРЯНСКАЯ	Абонемент	7.0
5863	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ФАБРИКА 1 МАЯ	Абонемент	7.0
5864	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	МАЛЕНКОВСКАЯ	Разовый	374.0
5865	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ОКРУЖНАЯ	Абонемент	3.0
5866	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	СОФРИНО	Разовый	450.0
5867	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ФРЯЗИНО ТОВ	Разовый	158.0
5868	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	СЕМХОЗ	Разовый	63.0
5869	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ИВАНТЕЕВКА 2	Разовый	555.0
5870	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	АРСАКИ	Разовый	60.0
5871	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЗЕЛЕНОГРАДСКАЯ	Разовый	263.0
5872	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	БРОННИЦЫ	Абонемент	6.0
5873	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	МОСКВА КАЗ	Разовый	5757.0
5874	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЦЕМГИГАНТ	Абонемент	5.0
5875	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ДОМОДЕДОВО	Разовый	1261.0
5876	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ДОМОДЕДОВО	Абонемент	127.0
5877	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	РАБОЧИЙ ПОС	Разовый	545.0
5878	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КОЛОМЕНСКОЕ	Абонемент	8.0
5879	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ОТРАДНОЕ	Разовый	408.0
5880	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	СЕТУНЬ	Разовый	696.0
5881	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЖИЛЕВО	Абонемент	2.0
5882	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЖИЛЕВО	Разовый	92.0
5883	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КАШИРА	Разовый	325.0
5884	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЛЮБЕРЦЫ 2	Разовый	45.0
5885	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	УЗУНОВО	Разовый	162.0
5886	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	УЗУНОВО	Абонемент	1.0
5887	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ШАТУРА	Абонемент	3.0
5888	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ВЕШНЯКИ	Абонемент	6.0
5889	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЭЛЕКТРОЗАВОДСКАЯ	Абонемент	59.0
5890	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КУЧИНО	Разовый	515.0
5891	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КОРЕНЕВО	Абонемент	14.0
5892	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КРАТОВО	Разовый	264.0
5893	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	НОГИНСК	Абонемент	23.0
5894	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЧУХЛИНКА	Разовый	695.0
5895	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	УСАД	Разовый	72.0
5896	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	УСАД	Абонемент	1.0
5897	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ХОРОШЕВО	Разовый	62.0
5898	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПЕСКИ	Абонемент	2.0
5899	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЕЛЬНЯ	Разовый	22.0
5900	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПОЧИНОК	Разовый	12.0
5901	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	УГРА	Разовый	5.0
5902	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	САДОВАЯ	Разовый	19.0
5903	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	УНЕЧА	Разовый	70.0
5904	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	МИХАЙЛОВ	Разовый	52.0
5905	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	СЕЛЬЦО	Абонемент	5.0
5906	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	БРЯНСК- ЛЬГОВСКИЙ	Разовый	316.0
5907	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПОЛОТНЯНЫЙ ЗАВОД	Разовый	27.0
5908	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЛЬГОВ- КИЕВСКИЙ	Разовый	96.0
5909	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ГЛУШКОВО	Разовый	9.0
5910	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	БРЯНСК- ОРЛОВСКИЙ	Разовый	458.0
5911	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КОНЫШЕВКА	Разовый	15.0
5912	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	МАЛОЯРОСЛАВЕЦ	Абонемент	2.0
5913	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КОМАРИЧИ	Разовый	84.0
5914	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПЛАВСК	Разовый	21.0
5915	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ВОЛОВО	Разовый	5.0
5916	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	РОДИНКА	Разовый	26.0
5917	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ПОДРЕЗКОВО	Разовый	81.0
5918	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КУВШИНОВО	Разовый	1.0
5919	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ОЛЕНИНО	Разовый	15.0
5920	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	РЕШЕТНИКОВО	Разовый	48.0
5921	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	РЕШЕТНИКОВО	Абонемент	2.0
5922	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	БЕЖЕЦК	Разовый	27.0
5923	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	КРЮКОВО	Абонемент	107.0
5924	ОАО "ЦППК"	2013-01-07T00:00:00.000+03:00	ЛЕВОБЕРЕЖНАЯ	Абонемент	7.0
5925	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА КАЛАНЧЕВСКАЯ	Разовый	1629.0
5926	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА КУР	Разовый	9789.0
5927	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛЮБЛИНО Д	Абонемент	28.0
5928	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА ТОВ КУР	Разовый	89.0
5929	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	РЖЕВСКАЯ	Абонемент	4.0
5930	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЧЕХОВ	Разовый	797.0
5931	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МАШИНОСТРОИТЕЛЬ	Разовый	240.0
5932	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПОКРОВ	Разовый	144.0
5933	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СЕРП И МОЛОТ	Абонемент	122.0
5934	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ФРЯЗЕВО	Разовый	1244.0
5935	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	САЛТЫКОВСКАЯ	Разовый	259.0
5936	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ФРЯЗЕВО	Абонемент	217.0
5937	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КУЧИНО	Разовый	612.0
5938	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДРЕЗНА	Разовый	165.0
5939	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БАЛАШИХА	Абонемент	42.0
5940	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БЫКОВО	Абонемент	240.0
5941	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СОВХОЗ	Абонемент	20.0
5942	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	РАДУГА	Разовый	51.0
5943	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КОСИНО	Разовый	466.0
5944	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛЮБЕРЦЫ 1	Разовый	2254.0
5945	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КРАТОВО	Разовый	313.0
5946	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПЛ 42 КМ	Абонемент	5.0
5947	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КОНОБЕЕВО	Абонемент	21.0
5948	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КОНОБЕЕВО	Разовый	297.0
5949	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ГЖЕЛЬ	Разовый	222.0
5950	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ШЕВЛЯГИНО	Разовый	24.0
5951	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ОТДЫХ	Разовый	1168.0
5952	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ФРЕЗЕР	Разовый	104.0
5953	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА ПАВ	Разовый	3181.0
5954	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ФАУСТОВО	Абонемент	18.0
5955	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЖИЛЕВО	Абонемент	2.0
5956	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДОМОДЕДОВО	Абонемент	388.0
5957	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БИРЮЛЕВО ТОВ	Разовый	605.0
5958	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЕЛЬЯМИНОВО	Разовый	106.0
5959	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ОДИНЦОВО	Разовый	2368.0
5960	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МАЛЫЕ ВЯЗЕМЫ	Разовый	273.0
5961	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПЕТЕЛИНО	Абонемент	12.0
5962	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КУНЦЕВО 1	Абонемент	49.0
5963	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТУЧКОВО	Абонемент	106.0
5964	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПЕРХУШКОВО	Разовый	389.0
5965	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТРЕХГОРКА	Разовый	271.0
5966	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПЕРЕДЕЛКИНО	Абонемент	130.0
5967	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МИИТОВСКАЯ	Абонемент	28.0
5968	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ШАХОВСКАЯ	Разовый	133.0
5969	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	АЛАБИНО	Абонемент	7.0
5970	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЗОСИМОВА ПУСТ	Разовый	58.0
5971	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ИСТРА	Абонемент	261.0
5972	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ХЛЕБНИКОВО	Абонемент	31.0
5973	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТУРИСТ	Разовый	293.0
5974	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КЛЯЗЬМА	Разовый	325.0
5975	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ХОТЬКОВО	Абонемент	120.0
5976	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	РАДОНЕЖ	Абонемент	3.0
5977	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БОЛШЕВО	Абонемент	386.0
5978	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	АШУКИНСКАЯ	Абонемент	42.0
5979	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЗЕЛЕНЫЙ БОР	Разовый	92.0
5980	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КАЛИСТОВО	Разовый	89.0
5981	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БЕСКУДНИКОВО	Разовый	546.0
5982	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВОДНИКИ	Абонемент	141.0
5983	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДУБНА	Разовый	79.0
5984	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ИКША	Абонемент	27.0
5985	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БОЛЬШ ВОЛГА	Разовый	158.0
5986	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	НЕКРАСОВСКАЯ	Разовый	56.0
5987	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	РОДИНКА	Разовый	28.0
5988	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЯЗЬМА	Разовый	314.0
5989	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БАЛАБАНОВО	Разовый	332.0
5990	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СМОЛЕНСК	Разовый	293.0
5991	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СМОЛЕНСК	Абонемент	1.0
5992	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЖУКОВКА	Разовый	111.0
5993	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТУЛА 1 КУР	Разовый	542.0
5994	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МЦЕНСК	Разовый	15.0
5995	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КАЛУГА 2	Разовый	81.0
5996	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КУСТАРЕВКА	Разовый	18.0
5997	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЖДАНКА	Разовый	15.0
5998	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	АЛЕКСИН	Разовый	3.0
5999	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛАЗАРЕВО	Разовый	20.0
6000	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЕНЕВ	Разовый	17.0
6001	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЕЛЬНЯ	Разовый	31.0
6002	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ОВРАЖКИ	Разовый	46.0
6003	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ОСТАШКОВ	Разовый	55.0
6004	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДОРОШИХА	Разовый	35.0
6005	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КОНАКОВО ГРЭС	Абонемент	6.0
6006	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	АЛАБУШЕВО	Абонемент	4.0
6007	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛЕВОБЕРЕЖНАЯ	Абонемент	29.0
6008	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПОДРЕЗКОВО	Разовый	105.0
6009	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЗЕМЦЫ	Разовый	83.0
6010	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СПИРОВО	Разовый	439.0
6011	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПРОЛЕТАРСКАЯ	Разовый	45.0
6012	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПРОЛЕТАРСКАЯ	Абонемент	2.0
6013	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПОДОЛЬСК	Абонемент	561.0
6014	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА КАЛАНЧЕВСКАЯ	Абонемент	58.0
6015	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛЮБЛИНО Д	Разовый	165.0
6016	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПЕРЕРВА	Абонемент	28.0
6017	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВОРЕЧЬЕ	Абонемент	37.0
6018	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	РЖЕВСКАЯ	Разовый	96.0
6019	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЭЛЕКТРОГОРСК	Разовый	87.0
6020	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	НИКОЛЬСКОЕ	Разовый	307.0
6021	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЭЛЕКТРОСТАЛЬ	Разовый	113.0
6022	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПАВЛ ПОСАД	Разовый	1159.0
6023	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЭЛЕКТРОУГЛИ	Разовый	486.0
6024	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЗАРЯ	Разовый	459.0
6025	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА КАЗ	Разовый	6330.0
6026	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЫХИНО	Абонемент	354.0
6027	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЫХИНО	Разовый	3466.0
6028	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ФАБРИЧНАЯ	Разовый	1264.0
6029	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КРАТОВО	Абонемент	33.0
6030	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЗОЛОТОВО	Абонемент	1.0
6031	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ХРИПАНЬ	Абонемент	2.0
6032	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ХРИПАНЬ	Разовый	45.0
6033	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	АВСЮНИНО	Абонемент	12.0
6034	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ШЕВЛЯГИНО	Абонемент	5.0
6035	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ИГНАТЬЕВО	Абонемент	5.0
6036	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БЕЛООЗЕРСКАЯ	Абонемент	78.0
6037	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЕШНЯКИ	Разовый	387.0
6038	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЦЕМГИГАНТ	Абонемент	23.0
6039	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КОЛОМЕНСКОЕ	Разовый	804.0
6040	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДОМОДЕДОВО	Разовый	1417.0
6041	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ШУГАРОВО	Абонемент	3.0
6042	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТЕСНА	Абонемент	5.0
6043	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЗИЛ	Разовый	56.0
6044	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	АВИАЦИОННАЯ	Абонемент	18.0
6045	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БИРЮЛЕВО ТОВ	Абонемент	85.0
6046	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА Т ПАВЕЛ	Разовый	60.0
6047	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЕЛЬЯМИНОВО	Абонемент	1.0
6048	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛЕНИНСКАЯ	Разовый	102.0
6049	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ВЗЛЕТНАЯ	Разовый	242.0
6050	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА БЕЛ	Абонемент	113.0
6051	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КУБИНКА 1	Разовый	787.0
6052	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БЕГОВАЯ	Разовый	1866.0
6053	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ГОЛИЦИНО	Разовый	1410.0
6054	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЖАВОРОНКИ	Разовый	769.0
6055	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДОРОХОВО	Разовый	215.0
6056	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПИОНЕРСКАЯ	Абонемент	84.0
6057	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	НЕМЧИНОВКА	Абонемент	10.0
6058	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА КИЕВ	Абонемент	183.0
6059	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СОЛНЕЧНАЯ	Разовый	335.0
6060	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДМИТРОВСКАЯ	Абонемент	68.0
6061	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДЕДОВСК	Разовый	1104.0
6062	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДАЧНАЯ	Разовый	26.0
6063	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛЕСНОЙ ГОРОДОК	Абонемент	54.0
6064	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СЕЛЯТИНО	Абонемент	79.0
6065	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ИСТРА	Разовый	1114.0
6066	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	НОВОИЕРУСАЛИМСКАЯ	Разовый	310.0
6067	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	РУМЯНЦЕВО	Абонемент	7.0
6068	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МАНИХИНО 1	Разовый	157.0
6069	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	НОВОПЕТРОВСКАЯ	Разовый	170.0
6070	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ДОЛГОПРУДНАЯ	Разовый	732.0
6071	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	КАТУАР	Абонемент	74.0
6072	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТРУДОВАЯ	Разовый	196.0
6073	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	НОВОДАЧНАЯ	Разовый	108.0
6074	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПЕРЛОВСКАЯ	Разовый	1161.0
6075	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БАХЧИВАНДЖИ	Разовый	453.0
6076	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛОСЬ	Разовый	1219.0
6077	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МЫТИЩИ	Разовый	2513.0
6078	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПУШКИНО	Разовый	1962.0
6079	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ТАРАСОВСКАЯ	Абонемент	37.0
6080	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЧЕЛЮСКИНСКАЯ	Разовый	235.0
6081	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЧЕЛЮСКИНСКАЯ	Абонемент	19.0
6082	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ЛОСИНООСТРОВСК	Разовый	1720.0
6083	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОНИНО	Абонемент	288.0
6084	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МАЛЕНКОВСКАЯ	Разовый	380.0
6085	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	МОСКВА ЯРОСЛАВ	Абонемент	723.0
6086	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	СЕМХОЗ	Абонемент	2.0
6087	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ШЕРЕМЕТЬЕВСКАЯ	Разовый	200.0
6088	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БОЛЬШ ВОЛГА	Абонемент	5.0
6089	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	ПОЧЕП	Разовый	48.0
6090	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	САДОВАЯ	Абонемент	1.0
6091	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	БАЛАБАНОВО	Абонемент	21.0
6092	ОАО "ЦППК"	2013-01-08T00:00:00.000+03:00	УНЕЧА	Разовый	79.0
