№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное научное учреждение города Москвы "Научно-исследовательский институт дошкольного образования имени А.В.Запорожца"	117036, г. Москва, ул. Профсоюзная, дом 5/9	Бюджетное	Структура управления образования	Центр (структуры управления образования)	129-29-17	http://cddz.educom.ru
2	Государственное бюджетное образовательное учреждение города Москвы Центр развития творчества детей и юношества "Технорама на Юго-Востоке"	109377, г. Москва, 12-я Новокузьминская улица, дом 6, корпус 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 379-63-47; (495) 379-69-34; (495) 379-92-30	http://tehnorama.nmcuv.org
3	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1607	117342, г. Москва, ул. Островитянова, д. 41А	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	336-42-33	http://gou1607.ru
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики № 2007	117042, г. Москва, ул. Горчакова, д. 9, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	716-29-35	http://www.fmsh2007.ru
5	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Солнцево"	119619, г. Москва, ул. Богданова, д. 56	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	433-33-69	http://cdt-solncevo.mskzapad.ru
6	Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи "Интеллект"	109052 Рязанский проспект, д. 2, стр. 24	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(495) 789-49-67	http://www.intellect-dt.ru
