№ строки	Название	Адрес	Руководитель МФЦ	Телефон	График работы служб в МФЦ	Услуги в МФЦ	Дополнительные услуги в МФЦ	Дата открытия
24	МФЦ района Тропарёво-Никулино	просп. Вернадского, д. 97, корп. 3	Орловский Игорь Константинович	(499) 940-98-01	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	13.03.2012
25	МФЦ района Фили-Давыдково	Кременчугская ул., д. 9	Хрол Людмила Леонидовна	(499) 940-96-78	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет	08.10.2012
26	МФЦ района Филёвский Парк	Новозаводская ул., д. 25, корп. 1	Есина Ольга Викторовна	(499) 940-34-20	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	22.10.2012
27	МФЦ района Можайский	ул. Маршала Неделина, д. 40	Сапожникова Анастасия Сергеевна	(499) 940-32-50	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	29.10.2012
28	МФЦ района Кунцево	ул. Маршала Неделина, д. 40	Мейер Виктор Викторович	(499) 940-18-30	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	29.10.2012
29	МФЦ района Хорошево-Мнёвники	просп. Маршала Жукова, д. 35, корп. 1	Беркут Виктория Николаевна	(499) 940-99-06	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;нотариальные и юридические услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	04.06.2012
30	межрайонный МФЦ районов Матушкино и Савёлки	г. Зеленоград, корп. 337	Ещенко Оксана Александровна	(499) 940-15-55	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	31.10.2011
31	МФЦ района Текстильщики	Волжский бульвар, квартал 95, корп.2	Зацепина Ольга Владимировна	(499) 940 32 30	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет	03.12.2012
32	МФЦ района Ломоносовский	ул.Гарибальди, д.6, корп.1	Лыщенко Иван Иванович	(499) 940 00 41	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, оплата госпошлин и коммунальных услуг через платоматы	10.12.2012
33	МФЦ района Гагаринский	ул.Вавилова, д.81а	Миронов Кирилл Владимирович	(499) 940 19 18	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	17.12.2012
34	МФЦ района Бескудниковский	ул.Дубнинская, д.40а, корп.1		(495) 531 31 00	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
35	МФЦ района Крылатское	ул.Крылатские Холмы, д.30, корп.9	Лисовский Игорь Викторович	(499) 940 09 19	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги; доступ к сети Интернет	24.12.2012
36	МФЦ района Крюково	Зеленоград, корп.2019	Восьмерик Юрий Иванович	(499) 940 15 78	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
37	МФЦ района Таганский	Рогожский вал, д.13, корп.2	Глущенко Сергей Валентинович	(499) 940 47 57	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
38	МФЦ райлона Восточный	ул. 9 Мая, д.12		(499) 940 97 69	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
