№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
1721	Овощи, фрукты на Мичуринский пр-т., вл. 13	Мичуринский просп. 13	ЗАО	Раменки	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	815-000533	07.10.2011 0:00:00
1722	Прохладительные напитки, мороженное	Ленинградский просп. 75 к. 1А	САО	Сокол	Лоток	с 1 апреля по 1 ноября	01.06.2012 0:00:00	31.05.2015 0:00:00		
1723	Мега	ул. Усиевича 2	САО	Аэропорт	Павильон	с 1 января по 31 декабря	26.09.2011 0:00:00	26.09.2014 0:00:00	200-000399	26.09.2011 0:00:00
1724	кафе на ул.Флотская, вл.25-Б	Флотская ул. 25Б	САО	Головинский	Павильон	с 1 января по 31 декабря	19.08.2011 0:00:00	19.08.2014 0:00:00	200-000201	19.08.2011 0:00:00
1725	Мороженое на Ленинский проспект вл.110	Ленинский просп. 110 к. 1	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	11.03.2012 0:00:00	10.03.2015 0:00:00	800-000051	24.11.2011 0:00:00
1726	Ёлочный базар на ул. Тёплый Стан д.10	ул. Тёплый Стан 10	ЮЗАО	Тёплый Стан	Бахчевой развал	с 1 августа по 1 ноября	20.12.2011 0:00:00	31.12.2014 0:00:00		
1727	ЗОЛОТОЙ ВЕК XXI	ул. Олеко Дундича 27	ЗАО	Филевский парк	Ролл-бар	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1728	Бахчевые культуры на ул.Удальцова ,89	ул. Удальцова 89	ЗАО	Раменки	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	04.11.2014 0:00:00		
1729	Печать на ул. Маршала Бирюзова, вл. 30	ул. Маршала Бирюзова 30	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	14.09.2011 0:00:00	14.09.2014 0:00:00	900-002076	27.09.2011 0:00:00
1730	ДИЛИНГ-СИТИ	Филёвский бульв. 11А	ЗАО	Филевский парк	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000386	23.09.2011 0:00:00
1731	Ели, сосны, лапник на ул.Удальцова ,89	ул. Удальцова 89	ЗАО	Раменки	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2014 0:00:00		
1732	БРПИ	Филёвский бульв. 11А	ЗАО	Филевский парк	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000396	22.11.2011 0:00:00
1733	Продукты питания на Ул.Удальцова, д.89А	ул. Удальцова 89А	ЗАО	Раменки	Павильон	с 1 января по 31 декабря	01.01.2012 0:00:00	31.12.2014 0:00:00	815-00865	31.05.2012 0:00:00
1734	табак на Тёплый Стан ул.,  вл. 23	ул. Тёплый Стан 23	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004884	26.01.2012 0:00:00
1735	Бобринев Ю.В.	Веерная ул. 16 к. 2	ЗАО	Очаково-Матвеевское	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	820-000326	07.10.2011 0:00:00
1736	печать на Тёплый Стан ул.,  вл. 23	ул. Тёплый Стан 23	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004989	01.12.2012 0:00:00
1737	ЮПИТЕР-ТК	Минская ул. 14 к. 1	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000436	12.04.2012 0:00:00
1738	Бахчевой развал, ул. 26 Бакинских комиссаров, вл.7, к.6	ул. 26-ти Бакинских Комиссаров 7 к. 6	ЗАО	Тропарево-Никулино	Бахчевой развал	с 1 августа по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1739	Печать, ул. 26 Бакинских комиссаров, вл. 7, корп.6	ул. 26-ти Бакинских Комиссаров 7 к. 6	ЗАО	Тропарево-Никулино	Киоск	с 1 января по 31 декабря	11.03.2012 0:00:00	11.03.2015 0:00:00		
1740	печать на Тёплый Стан ул.,  вл. 10	ул. Тёплый Стан 10	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1741	ЭКСТАТОРГ	Филёвский бульв. 1 с. 1	ЗАО	Филевский парк	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000390	16.11.2011 0:00:00
1742	Бахчевые культуры, ул. 26 Бакинских комиссаров,вл.2	ул. 26-ти Бакинских Комиссаров 2 к. 1	ЗАО	Тропарево-Никулино	Бахчевой развал	с 1 августа по 1 ноября	27.07.2012 0:00:00	26.07.2014 0:00:00		
1743	Центр Пресса	ул. Раменки 6 к. 1	ЗАО	Раменки	Киоск	с 1 января по 31 декабря	01.01.2012 0:00:00	31.12.2014 0:00:00	815-000646	31.05.2012 0:00:00
1744	Центропечать	4-й Войковский пр. 3	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000731	05.06.2012 0:00:00
1745	Прохладительные напитки;  на ул. Академика Виноградова 12	ул. Академика Виноградова 12	ЮЗАО	Тёплый Стан	Лоток	с 1 августа по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1746	Кондитерские, выпечные изделия; Прохладительные напитки;  на ул. Академика Виноградова 12	ул. Академика Виноградова 12	ЮЗАО	Тёплый Стан	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1747	Печать на Ул.Раменки, д.6	ул. Раменки 6 к. 1	ЗАО	Раменки	Киоск	с 1 января по 31 декабря	01.01.2012 0:00:00	31.12.2014 0:00:00	815-000632	14.05.2012 0:00:00
1748	Цветы на Ул. 26-ти Бакинских комиссаров, вл. 2	ул. 26-ти Бакинских Комиссаров 2 к. 1	ЗАО	Тропарево-Никулино	Модульный объект	с 1 августа по 1 ноября	13.10.2011 0:00:00	12.10.2014 0:00:00	817-000491	07.11.2011 0:00:00
1749	Ели, сосны, лапник;  на Петрозаводская ул. 11 к. 1	Петрозаводская ул. 11 к. 1	САО	Ховрино	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2015 0:00:00	200-001012	04.12.2012 0:00:00
1750	Кафе;  на ул. Академика Виноградова 12	ул. Академика Виноградова 12	ЮЗАО	Тёплый Стан	Лоток	с 1 августа по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1751	Мороженое на ул. Народного Ополчения, вл. 49	ул. Народного Ополчения 49 к. 1	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	03.10.2011 0:00:00	03.10.2014 0:00:00	900-002218	12.10.2011 0:00:00
1752	Печать на ул. Народного Ополчения, вл. 49	ул. Народного Ополчения 49 к. 1	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	28.09.2011 0:00:00	28.09.2014 0:00:00	900-002254	18.10.2011 0:00:00
1753	Ул. Маршала Федоренко, д. 2, корп. 1 ООО Милконс	ул. Маршала Федоренко 2 к. 1	САО	Западное Дегунино	Лоток	с 1 августа по 1 ноября	01.01.2011 0:00:00	31.01.2014 0:00:00		
1754	Бахчевой развал на просп. Маршала Жукова 14 к. 1	просп. Маршала Жукова 14 к. 1	СЗАО	Хорошево-Мневники	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2014 0:00:00		
1755	Общественное питание Территория Парка Победы на Поклонной горе Аллея Ветеранов войны и труда	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1756	Общественное питание Территория Парка Победы на Поклонной горе Аллея Ветеранов войны и труда	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1757	Общественное питание Территория Парка Победы на Поклонной горе Аллея Ветеранов войны и труда	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1758	Мороженое на Мневники, вл.9	ул. Мнёвники 9	СЗАО	Хорошево-Мневники	Модульный объект	с 1 января по 31 декабря	13.09.2011 0:00:00	13.09.2014 0:00:00	900-002060	27.09.2011 0:00:00
1759	МК Сервис	Зеленоградская ул. 17	САО	Ховрино	Модульный объект	с 1 января по 31 декабря	22.09.2011 0:00:00	21.09.2014 0:00:00	200-000933	12.09.2011 0:00:00
1760	общественное питание на ул. Флотская, вл. 50	Флотская ул. 50	САО	Головинский	Павильон	с 1 января по 31 декабря	26.09.2011 0:00:00	26.09.2014 0:00:00	200-000300	26.09.2011 0:00:00
1761	Вечерняя Москва	1-й Новоподмосковный пер. 4	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000447	18.11.2011 0:00:00
1762	сувениры на Тёплый Стан ул.,  вл.1	ул. Тёплый Стан 1	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000114	18.06.2012 0:00:00
1763	Центропечать	Старопетровский пр. 4	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000728	05.06.2012 0:00:00
1764	ЛОТЕРЕИ МОСКВЫ	Физкультурный пр.	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000438	11.03.2012 0:00:00
1765	хлеб на Тёплый Стан ул.,  вл.1А	ул. Тёплый Стан 1А	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004397	16.08.2011 0:00:00
1766	театральные билеты на Тёплый Стан ул.,  вл.1	ул. Тёплый Стан 1	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1767	печать на Тёплый Стан ул., вл. 3/1 напротив	ул. Тёплый Стан 3 к. 1	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1768	Общественное питания Территория Парка Победы нпа Поклонной горе Аллея Юных героев	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1769	ЭСКИМО-ФИЛИ	Новозаводская ул. 23/8 к. 1	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000417	20.02.2012 0:00:00
1770	Центропечать	Нарвская ул. 4	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00		
1771	продтовары на Академика Арцимовича ул., вл.6	ул. Академика Арцимовича 6	ЮЗАО	Коньково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-005780	08.10.2012 0:00:00
1772	Концерн Вечерняя Москва	Онежская ул. 49	САО	Ховрино	Модульный объект	с 1 января по 31 декабря	19.10.2011 0:00:00	18.10.2014 0:00:00	200-000718	05.06.2012 0:00:00
1773	Концерн Вечерняя Москва	Флотская ул.	САО	Ховрино	Модульный объект	с 1 января по 31 декабря	30.05.2012 0:00:00	29.05.2014 0:00:00	200-000679	30.05.2012 0:00:00
1774	ТОРГ-ЭЛИТ	Большая Филёвская ул. 8 к. 1	ЗАО	Филевский парк	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000392	22.11.2011 0:00:00
1775	Лагуна Койл	Флотская ул. 19/45	САО	Ховрино	Модульный объект	с 1 января по 31 декабря	01.09.2011 0:00:00	31.08.2014 0:00:00	200-000534	01.09.2011 0:00:00
1776	Нурушов Р.Н.	Онежская ул. 49	САО	Ховрино	Павильон	с 1 января по 31 декабря	23.09.2011 0:00:00	22.09.2014 0:00:00	200-000365	23.09.2011 0:00:00
1777	Общественное питание Территория Парка Победы на Поклонной горе Аллея Ветеранов войны и труда	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1778	Печать на Фестивальная ул. д.44	Фестивальная ул. 44	САО	Головинский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	200-000910	06.07.2012 0:00:00
1779	Пионер	Флотская ул. 19/43	САО	Ховрино	Модульный объект	с 1 января по 31 декабря	08.09.2011 0:00:00	07.09.2014 0:00:00	200-000229	08.09.2011 0:00:00
1780	Хозтовары ООО "Фирма "Пакс"	Ангарская ул. 1 к. 3	САО	Западное Дегунино	Павильон	с 1 января по 31 декабря	13.10.2011 0:00:00	13.10.2014 0:00:00	200-000225	13.10.2011 0:00:00
1781	Кафе на Кронштадтский б-р., вл.47	Кронштадтский бульв. 47	САО	Головинский	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	200-001036	26.10.2012 0:00:00
1782	Ариа-Аиф	ул. Адмирала Лазарева 64	ЮЗАО	Южное Бутово	Модульный объект	с 1 января по 31 декабря	03.04.2012 0:00:00	03.04.2015 0:00:00	700-004929	03.04.2012 0:00:00
1783	Центропечать	2-й Новоподмосковный пер. 3	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000797	05.06.2012 0:00:00
1784	Овощи, фрукты на Ломоносовский проспект, д. 31	Ломоносовский просп. 31 к. 4	ЗАО	Раменки	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	815-000544	07.10.2011 0:00:00
1785	Мороженое на Кронштадтский б-р, д.7А, Эскимо-Фили	Кронштадтский бульв. 7А	САО	Головинский	Лоток	с 1 апреля по 1 ноября	22.05.2012 0:00:00	22.05.2015 0:00:00	200-000868	22.05.2012 0:00:00
1786	печать на Академика Бакулева ул., вл.14	ул. Академика Бакулева 14	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004388	22.08.2011 0:00:00
1787	ЭСКИМО-ФИЛИ	Минская ул. 14 к. 1	ЗАО	Филевский парк	Киоск	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000414	20.02.2012 0:00:00
1788	Лоток на ул. Маршала Вершинина. вл. 10	ул. Маршала Вершинина 10	СЗАО	Щукино	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1789	мороженое на Тёплый Стан ул.,  вл. 10-А	ул. Тёплый Стан 10	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000358	01.06.2012 0:00:00
1790	Печать ул. 26 Бакинских комиссаров, вл.7/6	ул. 26-ти Бакинских Комиссаров 7 к. 6	ЗАО	Тропарево-Никулино	Модульный объект	с 1 января по 31 декабря	01.04.2012 0:00:00	31.12.2014 0:00:00	817-000524	10.02.2012 0:00:00
1791	Овощи - фрукты на ул.Удальцова ,89	ул. Удальцова 89	ЗАО	Раменки	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1792	мороженное на ул.26-ти бакинских комиссаров, вл.7	ул. 26-ти Бакинских Комиссаров 7 к. 6	ЗАО	Тропарево-Никулино	Модульный объект	с 1 января по 31 декабря	21.10.2011 0:00:00	20.10.2014 0:00:00	817-000495	07.11.2011 0:00:00
1793	театральные билеты на Академика Бакулева ул., вл.14	ул. Академика Бакулева 14	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004390	19.08.2011 0:00:00
1794	Овощи, фрукты на Ул. 26-ти Бакинских комиссаров, вл. 7	ул. 26-ти Бакинских Комиссаров 7 к. 6	ЗАО	Тропарево-Никулино	Модульный объект	с 1 января по 31 декабря	04.10.2011 0:00:00	03.10.2014 0:00:00	817-000458	14.10.2011 0:00:00
1795	Цветы на ул. Тёплый Стан 12 к. 4	ул. Тёплый Стан 12 к. 4	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00		
1796	Арина-Айс	ул. Тёплый Стан 23	ЮЗАО	Тёплый Стан	Киоск	с 1 января по 31 декабря	01.09.2012 0:00:00	01.02.2015 0:00:00	700-000025	16.04.2012 0:00:00
1797	Печать на Фестивальная ул. 47	Фестивальная ул. 47	САО	Ховрино	Лоток	с 1 января по 31 декабря	22.11.2011 0:00:00	21.11.2014 0:00:00		
1798	Елочный базар на Сеславинская, 42	Сеславинская ул. 42	ЗАО	Филевский парк	Елочный базар	с 20 декабря по 31 декабря	01.04.2012 0:00:00	01.11.2015 0:00:00		
1799	Продукты питания на Ул.Раменки, 5	ул. Раменки 5Б	ЗАО	Раменки	Павильон	с 1 января по 31 декабря	01.01.2012 0:00:00	31.12.2014 0:00:00		
1800	Продукты ООО "ЧУС ЛТД"	ул. Маршала Федоренко 2 к. 1	САО	Западное Дегунино	Павильон	с 1 января по 31 декабря	23.09.2011 0:00:00	23.09.2014 0:00:00	200-000226	23.09.2011 0:00:00
1801	Аллот Сервис	1-я Радиаторская ул. 9	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000872	04.07.2012 0:00:00
1802	Мороженое на ул. Маршала Бирюзова, вл. 12	ул. Маршала Бирюзова 12	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	28.12.2011 0:00:00	28.12.2014 0:00:00	900-002402	11.01.2012 0:00:00
1803	Овощи-фрукты на Ул. Маршала Федоренко вл. 2	ул. Маршала Федоренко 2 к. 2	САО	Западное Дегунино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1804	Овощи - фрукты на ул.Раменки 25	ул. Раменки 25	ЗАО	Раменки	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1805	ДИЛИНГ-СИТИ	Филёвский бульв. 1	ЗАО	Филевский парк	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	818-000404	13.10.2011 0:00:00
1806	Павильон на просп. Маршала Жукова, вл.14, к.1	просп. Маршала Жукова 14 к. 1	СЗАО	Хорошево-Мневники	Павильон	с 1 января по 31 декабря	16.05.2012 0:00:00	16.05.2015 0:00:00	900-002536	29.05.2012 0:00:00
1807	Случай	1-я Радиаторская ул. 9	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000874	03.07.2012 0:00:00
1808	Рыба на Ул. Коштоянца  вл.1/83	ул. Коштоянца 1/83	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	16.11.2011 0:00:00	15.11.2014 0:00:00	814-000357	25.11.2011 0:00:00
1809	Овощи-фрукты на просп. Маршала Жукова 14 к. 1	просп. Маршала Жукова 14 к. 1	СЗАО	Хорошево-Мневники	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1810	Мороженое на ул. Народного Ополчения, вл. 48	ул. Народного Ополчения 48 к. 1	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	28.12.2011 0:00:00	28.12.2014 0:00:00	900-002403	11.01.2012 0:00:00
1811	Печать на ул. Народного Ополчения, вл.48	ул. Народного Ополчения 48 к. 1	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	28.09.2011 0:00:00	28.09.2014 0:00:00	900-002262	18.10.2011 0:00:00
1812	Овощи - фрукты на ул.Раменки 5Б	ул. Раменки 5Б	ЗАО	Раменки	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1813	Фея Е	1-я Радиаторская ул. 9	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000873	03.07.2012 0:00:00
1814	Общественное питание Территория Парка Победы на Поклонной горе Аллея партизан	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1815	печать на Тёплый Стан ул.,  вл.1	ул. Тёплый Стан 1	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004787	08.12.2011 0:00:00
1816	Общественное питание Территория Парка Победы на Поклонной горе Аллея танкистов	пл. Победы	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1817	печать на Профсоюзная ул., 156	Профсоюзная ул. 156 к. 1	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1818	Общественное питание на Территории Парка Победы на Поклонной горе За колоннадой музея	Поклонная ул.	ЗАО	Дорогомилово	Киоск	с 1 апреля по 1 ноября	22.08.2012 0:00:00	11.09.2015 0:00:00		
1819	Хлеб на Мичуринский проспект, д. 21	Мичуринский просп. 21	ЗАО	Раменки	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	31.12.2014 0:00:00	815-000581	22.11.2011 0:00:00
1820	Лагуна Койл	Фестивальная ул. 69	САО	Ховрино	Модульный объект	с 1 января по 31 декабря	01.09.2011 0:00:00	31.08.2014 0:00:00	200-000532	01.09.2011 0:00:00
1821	Цветы на Проспект Вернадского,вл.  18	просп. Вернадского 18	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	30.09.2011 0:00:00	29.09.2014 0:00:00	814-000346	07.10.2011 0:00:00
1822	Овощи - фрукты на Мичуринский пр-т,21-3	Мичуринский просп. 21 к. 3	ЗАО	Раменки	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1823	Мобильные телефоны на проспект Вернадского, 18, стр.1	просп. Вернадского 18	ЗАО	Проспект Вернадского	Павильон	с 1 января по 31 декабря	30.05.2012 0:00:00	29.05.2015 0:00:00	800-000002	05.06.2012 0:00:00
1824	Общественное питание на Проспект Вернадского, вл. 18/1	просп. Вернадского 18	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	28.09.2011 0:00:00	27.09.2014 0:00:00	814-000347	07.10.2011 0:00:00
1825	Мороженое на Проспект Вернадского, вл.  18/1	просп. Вернадского 18	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	12.10.2011 0:00:00	11.10.2014 0:00:00	814-000353	01.11.2011 0:00:00
1826	Антохин	ул. Тёплый Стан 1	ЮЗАО	Тёплый Стан	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1827	ГИСС	1-й Новоподмосковный пер. 2/1	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000452	03.11.2011 0:00:00
1828	Овощи - фрукты на Мичуринский пр-т,25	Мичуринский просп. 25 к. 1	ЗАО	Раменки	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
1829	овощи, фрукты на ул. Фестивальная, вл. 50	Фестивальная ул.	САО	Головинский	Модульный объект	с 1 января по 31 декабря	22.08.2011 0:00:00	22.08.2014 0:00:00	200-000198	22.08.2011 0:00:00
1830	Максим и К	3-й Новоподмосковный пер. 7	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000562	23.09.2011 0:00:00
1831	мороженое на Островитянова ул., вл.18	ул. Островитянова 18	ЮЗАО	Тёплый Стан	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000254	01.06.2012 0:00:00
1832	Лоток Атлас	ул. Зои и Александра Космодемьянских 11-15 с. 1А	САО	Войковский	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.04.2015 0:00:00		
1833	Ели, сосны, лапник на Мичуринский просп., д.8/29	Мичуринский просп. 8/29	ЗАО	Раменки	Елочный базар	с 20 декабря по 31 декабря	20.12.2012 0:00:00	31.12.2014 0:00:00		
1834	Фирма Гротис	ул. Зои и Александра Космодемьянских 14/10	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000940	15.06.2012 0:00:00
1835	табак на Обручева ул., вл.3, к.1	ул. Обручева 3 к. 1	ЮЗАО	Обручевский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1836	Елочный базар Космодемьянских 11/15	ул. Зои и Александра Космодемьянских 11-15 с. 1А	САО	Войковский	Елочный базар	с 20 декабря по 31 декабря	20.12.2011 0:00:00	20.12.2014 0:00:00		
1837	Лагуна Койл	ул. Зои и Александра Космодемьянских 14/10	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000538	01.09.2011 0:00:00
1838	овощи, фрукты на Ул. Новая вл. 10	Новая ул. 10	САО	Западное Дегунино	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1839	Кафе ИП Лопарева Т.М.	Новая ул. 10	САО	Западное Дегунино	Модульный объект	с 1 января по 31 декабря	02.08.2011 0:00:00	02.08.2014 0:00:00	200-000013	02.08.2011 0:00:00
1840	Овощи, фрукты на Ул. Кравченко, вл. 7-11	ул. Кравченко 11	ЗАО	Проспект Вернадского	Модульный объект	с 1 января по 31 декабря	23.09.2011 0:00:00	22.09.2014 0:00:00	814-000345	07.10.2011 0:00:00
1841	промтовары на Островитянова ул., вл.21	ул. Островитянова 21	ЮЗАО	Коньково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
1842	Бизнес Финанс	ул. Зои и Александра Космодемьянских 14/10	САО	Войковский	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000806	20.06.2012 0:00:00
1843	Овощи-фрукты на Кронштадтском д.47	Кронштадтский бульв. 47	САО	Головинский	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1844	металлоремонт на ул.Минская, вл.7	Минская ул. 7	ЗАО	Фили-Давыдково	Модульный объект	с 1 января по 31 декабря	26.09.2011 0:00:00	25.09.2014 0:00:00	819-000359	26.09.2011 0:00:00
1845	Мороженое на 5-й Войковский, вл. 5	5-й Войковский пр. 5	СЗАО	Покровское-Стрешнево	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2015 0:00:00		
1846	Цветы России	Ленинградское шоссе 46	САО	Войковский	Павильон	с 1 января по 31 декабря	01.07.2011 0:00:00	30.06.2014 0:00:00	200-000450	23.09.2011 0:00:00
1847	Прохладительные напитки на 5-й Войкоский пр., вл.5	5-й Войковский пр. 5	СЗАО	Покровское-Стрешнево	Лоток	с 1 апреля по 1 ноября	01.01.2012 0:00:00	01.01.2015 0:00:00		
1848	Печать на ул. Генерала Берзарина, д. 16	ул. Берзарина 16	СЗАО	Щукино	Модульный объект	с 1 января по 31 декабря	14.09.2011 0:00:00	14.09.2014 0:00:00	900-002077	27.09.2011 0:00:00
