№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
14	Фаворит	пос.Внуково, Центральная ул. 2	ЗАО	Внуково	Сезонное кафе отдельностоящее	с 1 апреля по 1 ноября	19.01.2012 0:00:00	18.01.2015 0:00:00	800-000148	04.07.2012 0:00:00
15	гастрономия на Зеленоград, Район Крюково, у корп.1420	Зеленоград  к. 1420 с. 1	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01473	19.12.2011 0:00:00
16	печать на Зеленоград, Район Крюково,у корп.1420, пл.10	Зеленоград  к. 1420	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01332	19.10.2011 0:00:00
17	Хлеб на Зеленоград, Район Старое Крюково,У поликлиники № 201в составе торговой зоны № 9	Зеленоград  к. 911	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	28.05.2012 0:00:00	28.05.2015 0:00:00	1000-001521	31.05.2012 0:00:00
18	печать на Зеленоград, Район Крюково, у корп.1501 пл.8,64	Зеленоград  к. 1501	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01237	20.09.2011 0:00:00
19	печать на Зеленоград, Район Крюково, у корп.1624,  пл.6	Зеленоград  к. 1624	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01234	20.09.2011 0:00:00
20	печать на Зеленоград, Район Крюково, у корп.1606, пл.8,5	Зеленоград  к. 1606	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01224	19.09.2011 0:00:00
21	молоко на Зеленоград, Район Крюково, у корп.1562	Зеленоград  к. 1562	ЗелАО	Крюково	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01470	15.12.2011 0:00:00
22	Зеленоград, Район Крюково, между корп. 1621 и 1624 пл.5кв.м	Зеленоград  к. 1621	ЗелАО	Крюково	Автоцистерна	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001558	14.06.2012 0:00:00
23	Мороженое, соки, воды на Зеленоград, Район Крюково, У корп.1421 в составе торговой зоны № 13, пл.3 кв.м	Зеленоград  к. 1420	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01271	21.09.2011 0:00:00
24	Рыба на Зеленоград, Район Крюково, У корп.1421 в составе торговой зоны № 13, пл.12 кв.м	Зеленоград  к. 1420	ЗелАО	Крюково	Модульный объект	с 1 января по 31 декабря	08.08.2011 0:00:00	08.08.2014 0:00:00	1000-01280	22.09.2011 0:00:00
