№ строки	Наименование организации	Сумма задолженности на дату представления, руб.	Примечание
53	Открытое акционерное общество "Комплект"	8835992,90	
54	Закрытое акционерное общество "Московская мебельная фирма "Мосмебель"	8629789,67	
55	Открытое акционерное общество "Инвестиционно-Строительная Компания" 	8476733,70	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
56	Общество с ограниченной ответственностью ФИРМА "СЕЛЕНА"	8317884,88	
57	Закрытое акционерное общество "Флейнер-Сити"	8144642,02	
58	Закрытое акционерное общество "Мосфундаментстрой-6" 	8064976,79	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
59	Общество с ограниченной ответственностью "Оборудование и машины"	7667863,96	
60	Открытое акционерное общество "Кунцевская трикотажная фабрика"	7601512,53	
61	Компания с ограниченной ответственностью "ЛАНАРИКО КОНСАЛТИНГ ЛИМИТЕД"	7428450,02	
62	Общество с ограниченной ответственностью "Маэстротур" 	7404636,46	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
63	Общество с ограниченной ответственностью "ТРЭЙДИНГ-ЛЮКС"	6990873,65	
64	Общество с ограниченной ответственностью "ЭКОЛОГИЯ. ТЕХНОЛОГИЯ. ОБРАЗОВАНИЕ-С"	6928552,28	
65	Открытое акционерное общество "Недвижимость ИЦ ЕЭС"	6897964,06	
66	Общество с ограниченной ответственностью "ОЛТЭР"	6897171,97	
67	Закрытое акционерное общество "2-й таксомоторный парк" 	6648790,72	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
68	Региональная общественная организация инвалидов "РОБИН"	6533982,99	
69	Общество с ограниченной ответственностью "Проектно-строительная компания ТАК"	6412639,80	
70	Открытое акционерное общество "Строительная механизация №6" 	6336253,26	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
71	Закрытое акционерное общество "Южное Бутово"	6304977,35	
72	Государственное предприятие ГОСТИНИЦА "АРЕНА"	6058139,25	
73	Общество с ограниченной ответственностью "КЛОНДАЙК -1" COMPANY LIMITED "KLONDIKE-1"	6055492,56	
74	Закрытое акционерное общество "ИНФОСЕТЬ" 	6018888,43	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
75	Общество с ограниченной ответственностью "Городской Семейный Клуб Монолит"	5925394,70	
76	Общество с ограниченной ответственностью Фирма "АРКТУР-СТРОЙ"	5859383,25	
77	Общество с ограниченной ответственностью "ИС Девелопмент" 	5658183,53	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
78	Общество с ограниченной ответственностью "БЕЛЭСКО"	5428588,07	
79	Закрытое акционерное общество "Техноткани"	5343924,43	
80	Закрытое акционерное общество "ТЕХНОЛОГИИ  ИНДУСТРИИ"(ТЕХИНД)	5263671,57	
81	Общество с ограниченной ответственностью "Евроспортфинанс"	5118036,94	
82	Некоммерческое партнерство "Филипповская школа"	5111167,24	
83	Общество с ограниченной ответственностью "ИгелСнаб"	5048448,87	
84	Общество с ограниченной ответственностью "РАШН ТЭЙЛС ГРУП"	5005512,47	
85	Открытое акционерное общество "ЗАВОД СТРОИТЕЛЬНОЙ ОСНАСТКИ И МЕТАЛЛОИЗДЕЛИЙ "СОМИЗ" 	4995698,11	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
86	Закрытое акционерное общество "Жилищно-эксплуатационное предприятие "Импульс-Жилстрой" 	4757449,93	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
87	Закрытое акционерное общество "Си Эс-Трейдинг" 	4751391,11	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
88	Открытое акционерное общество "РУССКИЙ КАРАВАЙ"	4619737,17	
89	Открытое акционерное общество "Московский электромеханический ремонтный завод" 	4578225,20	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
90	Общество с ограниченной ответственностью "Фирма "РИЭЛ"	4555324,34	
91	Общество с ограниченной ответственностью "СтройКонцептРелиз"	4507820,14	
92	Закрытое акционерное общество "КОМПАНИЯ ТИ-НЭТВОРК" (T-NETWORK CO)	4488600,48	
93	Общество с ограниченной ответственностью "МЕХАНИЧЕСКИЙ ЗАВОД"	4435554,61	
94	Открытое акционерное общество "ИЗДАТЕЛЬСТВО "ФИЗКУЛЬТУРА И СПОРТ"	4355935,87	
95	Общество с ограниченной ответственностью "АСТАРТА"	4324088,92	
96	Общество с ограниченной ответственностью "ТЕХНОПРЕД"	4309380,63	
97	Общество с ограниченной ответственностью "ОЛИС"	4275943,87	
98	Закрытое акционерное общество "Омикрон"	4231197,52	
99	Общество с ограниченной ответственностью "УМ и АТ-1"	3735510,19	
100	Закрытое акционерное общество "РАЙЗИНГ"	3503698,19	
