№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
492	Сезонное кафе	ул. Арбат 25/36	ЦАО	Арбат	40.0	СИННАБОН	МЕГАГРУПП
493	Сезонное кафе	ул. Арбат 19	ЦАО	Арбат	65.0	Кофеин - Территория кофе	Кофе Интернешнл Групп
494	Сезонное кафе	Кутузовский просп. 2/1 с. 1	ЗАО	Дорогомилово	531.84	БИФ - БАР ДЖУНИОР	РЕСТОРАННЫЙ СИНДИКАТ
495	Сезонное кафе	Зелёный просп. 22	ВАО	Новогиреево	30.0	ШОКОЛАДНИЦА	Галерея - АЛЕКС
496	Сезонное кафе	шоссе Энтузиастов 20	ЮВАО	Лефортово	40.0	-	МОНА
497	Сезонное кафе	ул. Арбат 13	ЦАО	Арбат	44.0	Дабл Кофе	ДАБЛ КОФЕ
498	Сезонное кафе	Новинский бульв. 8	ЦАО	Арбат	100.0	ЗАФФЕРАНО	СКОНТИ - 13
499	Сезонное кафе	Новинский бульв. 8	ЦАО	Арбат	80.0	ЗЭД - КАФЕ	СКОНТИ-33
500	Сезонное кафе	ул. Арбат 9 с. 2	ЦАО	Арбат	80.0	РЕСТОРАННЫЙ СИНДИКАТ	РЕСТОРАННЫЙ СИНДИКАТ
501	Сезонное кафе	ул. Арбат 9 с. 1	ЦАО	Арбат	32.0	Прайм-Стар	ЭКСАЛАН
502	Сезонное кафе	ул. Арбат 9 с. 1	ЦАО	Арбат	35.0	СЛАВУТИЧ	Славутич
503	Сезонное кафе	ул. Новый Арбат 21	ЦАО	Арбат	40.0	-	СК "АЛЬЯНС-ТЕХНО "
504	Сезонное кафе	Зелёный просп. 54А	ВАО	Новогиреево	115.0	ПЯТЫЙ ПОЛЮС	АВЕРТЕКС
505	Сезонное кафе	Зелёный просп. 81	ВАО	Новогиреево	50.0	СЛОТ КАФЕ	СЛОТ КАФЕ
506	Сезонное кафе	Новинский бульв. 7	ЦАО	Арбат	75.0	Хлеб насущный	Тверская
507	Сезонное кафе	ул. Арбат 4 с. 1	ЦАО	Арбат	44.0	Браво "Коста Кофе"	БРАВА
508	Сезонное кафе	ул. Арбат 4 с. 1	ЦАО	Арбат	44.0	КАФЕ "МУ-МУ"	ФАСТЛЕНД
509	Сезонное кафе	ул. Новый Арбат 19	ЦАО	Арбат	110.0	ВЕСНА"	АНТУРИУМ
510	Сезонное кафе	ул. Новый Арбат 21	ЦАО	Арбат	670.0	ЛАНДЫШ	ЛАНДЫШ
511	Сезонное кафе	Зелёный просп. 79А	ВАО	Новогиреево	80.0	Торкомс	ТОРКОМС
512	Сезонное кафе	ул. Барклая 8	ЗАО	Филевский парк	75.0	Посейдон+ кафе "Рома"	Посейдон+
513	Сезонное кафе	Таганская пл. 86/1 с. 1	ЦАО	Таганский	40.0	БЕДУИН	ОСКАР-МОТОР
514	Сезонное кафе	Лаврушинский пер. 15 с. 1	ЦАО	Якиманка	70.0	Артиссимо	Артиссимо
515	Сезонное кафе	Пятницкая ул. 27 с. 1	ЦАО	Замоскворечье	50.0	ГРАБЛИ	МУЗА
516	Сезонное кафе	Пятницкая ул. 25 с. 1	ЦАО	Замоскворечье	50.0	БКУ	БКУ
517	Сезонное кафе	Пожарский пер. 15	ЦАО	Хамовники	100.0	кафе астерия "Ароми"	Ароми
518	Сезонное кафе	Лаврушинский пер. 10 с. 1	ЦАО	Якиманка	186.0	Классика	КЛАССИКА
519	Сезонное кафе	Багратионовский пр. 7 к. 2	ЗАО	Филевский парк	120.0	СБЫТ-Р быстрое питание	СБЫТ-Р
520	Сезонное кафе	Багратионовский пр. 7 к. 2	ЗАО	Филевский парк	120.0	СБЫТ-Р быстрое питание	СБЫТ-Р
521	Сезонное кафе	ул. Остоженка 12/1 с. 1	ЦАО	Хамовники	40.0	ГЕНАЦВАЛЕ	ИНТЕР ПЛЮС 2000
522	Сезонное кафе	Берсеневская наб. 12 с. 1	ЦАО	Якиманка	55.0	KPK "Рай"	АльконЦентр
523	Сезонное кафе	Ярцевская ул. 34 к. 1	ЗАО	Кунцево	50.0	КОНТО	КОНТО
524	Сезонное кафе	ул. Симоновский Вал 2	ЦАО	Таганский	50.0	УК КС Сервис	Управлющая компания КС - сервис
525	Сезонное кафе	Павелецкая пл. 2 с. 1	ЦАО	Замоскворечье	50.0	КОФЕ ХАУС	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
526	Сезонное кафе	Павелецкая пл. 2 с. 2	ЦАО	Замоскворечье	50.0	Старбакс	КОФЕ СИРЕНА
527	Сезонное кафе	Кожевническая ул. 7 с. 1	ЦАО	Замоскворечье	50.0	Ресторан Дубинин	Солимар
528	Сезонное кафе	Комсомольский просп. 13	ЦАО	Хамовники	60.0	ПЕГАС	КЛУБ СОЮЗА ПИСАТЕЛЕЙ РОССИИ-ПЕГАС
529	Сезонное кафе	Павелецкая пл. 1	ЦАО	Замоскворечье	50.0	КОФЕ СИРЕНА	КОФЕ СИРЕНА
530	Сезонное кафе	Валовая ул. 21 к. 125	ЦАО	Замоскворечье	50.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
531	Сезонное кафе	Житная ул. 10	ЦАО	Якиманка	50.0	Житная 10	Житная 10
532	Сезонное кафе	Рязанский просп. 2 с. 1	ЮВАО	Нижегородский	10.0	-	СК "АЛЬЯНС-ТЕХНО "
533	Сезонное кафе	Валовая ул. 11/19	ЦАО	Замоскворечье	50.0	БАЛОВЕНЬ Т	БАЛОВЕНЬ
534	Сезонное кафе	ул. Большая Якиманка 58/2	ЦАО	Якиманка	100.0	ГИН-НО ТАКИ	КЛЕО-М
535	Сезонное кафе	ул. Большая Якиманка 58/2	ЦАО	Якиманка	100.0	"Галерея Алекс"	АСТЕРОИД
536	Сезонное кафе	Усачёва ул. 2 с. 1	ЦАО	Хамовники	100.0	Блэк Маркет	СИМВОЛ
537	Сезонное кафе	Усачёва ул. 2 с. 1	ЦАО	Хамовники	100.0	Москвич	Тейст Менеджмент Систем
538	Сезонное кафе	Валовая ул. 6	ЦАО	Замоскворечье	50.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
539	Сезонное кафе	Комсомольский просп. 7 с. 1	ЦАО	Хамовники	100.0	КАФЕ ГУРИЯ	КАФЕ ГУРИЯ
540	Сезонное кафе	Волгоградский просп. 4	ЦАО	Таганский	80.0	ДУРДИНЪ	СТОРМИНИКС
541	Сезонное кафе	3-й Крутицкий пер. 13	ЮВАО	Южнопортовый	50.0	МИЛКО-Т	МИЛКО -Т
542	Сезонное кафе	Кунцевская ул. 10	ЗАО	Кунцево	49.0	САНТА	САНТА
543	Сезонное кафе	3-й Крутицкий пер. 2 С. 1	ЦАО	Таганский	50.0	ЧЕРВОНА РУТА	АЛЬФА КОРПОРЭЙШЕН
544	Сезонное кафе	Нижегородская ул. 80 к. 1	ЮВАО	Нижегородский	10.0	-	СК "АЛЬЯНС-ТЕХНО "
545	Сезонное кафе	Комсомольский просп. 5/2	ЦАО	Хамовники	40.0	СЕЙДЖИ	Сей-Ко
546	Сезонное кафе	Кутузовский просп. 48	ЗАО	Фили-Давыдково	771.0	Ресторанный трест	Ресторанный трест
547	Сезонное кафе	ул. Коновалова 16А	ЮВАО	Рязанский	182.0	ИБРАГИМОВ	ИБРАГИМОВ
548	Сезонное кафе	ул. Большая Полянка 51А/9	ЦАО	Якиманка	377.0	БЕЛЛЗ	БЕЛЛЗ ТРЕЙД
549	Сезонное кафе	Пятницкая ул. 66 с. 2	ЦАО	Замоскворечье	50.0	Ресторан Мо Мо	ВИНО ЭКОС
550	Сезонное кафе	Большой Саввинский пер. 10А	ЦАО	Хамовники	100.0	NOONING	Ривэр плейс
551	Сезонное кафе	Воронцовская ул. 50	ЦАО	Таганский	50.0	АК Профиль	АК ПРОФИЛЬ
552	Сезонное кафе	Новокузнецкая ул. 40 с. 1	ЦАО	Замоскворечье	50.0	АЛЬТЕРНАТИВА	АЛЬТЕРНАТИВА
553	Сезонное кафе	Большой Саввинский пер. 12 с. 8	ЦАО	Хамовники	100.0	РК ГРУПП	Мезонкафе
554	Сезонное кафе	1-й Монетчиковский пер. 5 с. 1	ЦАО	Замоскворечье	50.0	РЕСТОРАННЫЙ СИНДИКАТ	РЕСТОРАННЫЙ СИНДИКАТ
555	Сезонное кафе	Нижегородская ул. 47	ЮВАО	Нижегородский	10.0	-	СК "АЛЬЯНС-ТЕХНО "
556	Сезонное кафе	Абельмановская ул.	ЦАО	Таганский	70.0	Крошка - Картошка	ФЛОРЕСТЕНА
557	Сезонное кафе	1-й Казанский просек 3 с. 1	ЮВАО	Рязанский	20.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
558	Сезонное кафе	ул. Зацепский Вал 2 С. 3А	ЦАО	Замоскворечье	50.0	СОНАТА	САЛОН КРАСОТЫ "СОНАТА"
559	Сезонное кафе	Большой Саввинский пер. 12 с. 2	ЦАО	Хамовники	100.0	РЕСТОРАН "BISTROT"	РЕСТОРАННЫЙ СИНДИКАТ
560	Сезонное кафе	Большой Саввинский пер. 12 с. 7	ЦАО	Хамовники	100.0	"ViAiPi" бар	БК
561	Сезонное кафе	Озерковская наб. 56	ЦАО	Замоскворечье	50.0	ПИЛЗНЕР	Медея
562	Сезонное кафе	Комсомольский просп. 4	ЦАО	Хамовники	100.0	Торговая галерея "Акрополь"	Эксплосервис
563	Сезонное кафе	Большой Саввинский пер. 12 с. 6	ЦАО	Хамовники	100.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
564	Сезонное кафе	Пятницкая ул. 56 с. 1	ЦАО	Замоскворечье	50.0	Ресторан Мама Тао	ООО Тао Сити
565	Сезонное кафе	Нижегородская ул. 29-33 с. 3	ЮВАО	Нижегородский	30.0	-	МОНА
566	Сезонное кафе	Комсомольский просп. 1	ЦАО	Хамовники	25.0	РЕСТОРАН КРЫМСКИЙ	ЗВЕЗДА
567	Сезонное кафе	ул. Большая Якиманка 39	ЦАО	Якиманка	60.0	Веритас	Эн-Тол
568	Сезонное кафе	Воронцовский пер. 5/7 с. 1	ЦАО	Таганский	65.0	ВОРОНЦОВСКИЙ БПК	ВОРОНЦОВСКИЙ БПК
569	Сезонное кафе	Воронцовская ул. 36 с. 1	ЦАО	Таганский	60.0	АНЕЙ-БАЗИ	ПТФ АНЕЙ
570	Сезонное кафе	ул. Большая Полянка 30	ЦАО	Якиманка	149.6	БРАВА	БРАВА
571	Сезонное кафе	Марксистская ул. 38 С. 1	ЦАО	Таганский	150.0	Тони пицца	Тони
572	Сезонное кафе	Молодогвардейская ул. 28 к. 1	ЗАО	Кунцево	20.0	Альфа Забава	Альфа Забава
573	Сезонное кафе	Воронцовская ул. 35Б к. 1	ЦАО	Таганский	150.0	СТАРИНА МЮЛЛЕР	СТАРИНА МЮЛЛЕР
574	Сезонное кафе	Новоспасский пер. 3 к. 2	ЦАО	Таганский	60.0	Сесто Сенсо	ГЛОРА-М
575	Сезонное кафе	Нижегородская ул. 58 к. 3	ЮВАО	Нижегородский	10.0	-	СК "АЛЬЯНС-ТЕХНО "
576	Сезонное кафе	ул. Крымский Вал 10	ЦАО	Якиманка	100.0	Третий рим	ТРЕТИЙ РИМ
577	Сезонное кафе	Пятницкая ул. 52 с. 1	ЦАО	Замоскворечье	50.0	Ресторан Вела Роза	ГРАЦИНТ
578	Сезонное кафе	Садовническая ул. 84 с. 7	ЦАО	Замоскворечье	50.0	МЕЧТА	МЕЧТА
579	Сезонное кафе	Фрунзенская наб. 2/1	ЦАО	Хамовники	40.0	АНЕКДОТ	ВИП БАНКЕТ
580	Сезонное кафе	Абельмановская ул. 17А	ЦАО	Таганский	40.0	"ПОБЕДА"	ПОБЕДА
581	Сезонное кафе	Вешняковская ул. 12А	ВАО	Вешняки	72.0	ТЮКУЛЬ	Тюкуль
582	Сезонное кафе	ул. Большая Полянка 30	ЦАО	Якиманка	30.0	КОФЕ ХАУС. ЭКСПРЕССО И КАПУЧИНО БАР	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
583	Сезонное кафе	Марксистская ул. 9	ЦАО	Таганский	50.0	ГОГИЕЛИ	ГОГИЕЛИ
