№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
1	Сезонное кафе	Литовский бульв. 22	ЮЗАО	Ясенево	45.0	ГЛОБУС	Глобус
2	Сезонное кафе	Каширское шоссе	ЮАО	Орехово-Борисово Северное	200.0	Макдональдс Москва	Макдональдс-Москва
3	Сезонное кафе	Чертановская ул. 40	ЮАО	Чертаново Центральное	100.0	Солнце востока	Солнце востока
4	Сезонное кафе	ул. Генерала Тюленева 41А	ЮЗАО	Тёплый Стан	100.0	АНВЛАГ	АНВЛАГ
5	Сезонное кафе	ул. Генерала Белова	ЮАО	Орехово-Борисово Северное	100.0	Универсам Фея-2002	УНИВЕРСАМ ФЕЯ - 2002
6	Сезонное кафе	ул. Генерала Белова	ЮАО	Орехово-Борисово Северное	120.0	Система питания	Система питания
7	Сезонное кафе	Чертановская ул.	ЮАО	Чертаново Центральное	72.0	Хижина	САРЕНГЕТИ
8	Сезонное кафе	Шипиловская ул.	ЮАО	Орехово-Борисово Северное	100.0	ПД Интер	ПИВНОЙ ДОМ ИНТЕР
9	Сезонное кафе	ул. Генерала Белова 15	ЮАО	Орехово-Борисово Северное	689.0	Ресторан "Тануки"	МЕДИЯ
10	Сезонное кафе	Профсоюзная ул. 154	ЮЗАО	Тёплый Стан	50.0	ПИТ. ЭЛ.	ПИТ. ЭЛ.
11	Сезонное кафе	Профсоюзная ул. 154	ЮЗАО	Тёплый Стан	50.0	ПИТ. ЭЛ.	ПИТ. ЭЛ.
12	Сезонное кафе	Профсоюзная ул. 152 к. 1	ЮЗАО	Тёплый Стан	20.0	"Ибис"	Ибис
13	Сезонное кафе	Кировоградская ул. 9 к. 4 с. 3	ЮАО	Чертаново Северное	50.0	МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
14	Сезонное кафе	Днепропетровская ул. 2	ЮАО	Чертаново Северное	210.0	ЧАЙХОНА №1	Аквилона
15	Сезонное кафе	ул. Маршала Захарова	ЮАО	Орехово-Борисово Северное	160.0	АЛГО	Алго
16	Сезонное кафе	Чертановская ул. 17	ЮАО	Чертаново Северное	150.0	ДОЛЬЧЕ ПИЦЦА	ЛУКС ЛАЙТ СИСТЕМС продакшн
17	Сезонное кафе	ул. Генерала Белова	ЮАО	Орехово-Борисово Северное	108.0	Тандем	ТАНДЕМ
18	Сезонное кафе	Профсоюзная ул. 142 к. 1	ЮЗАО	Тёплый Стан	60.0	"Хоум Бар"	Профи-Сервис
19	Сезонное кафе	Чертановская ул. 9 с. 4	ЮАО	Чертаново Северное	200.0	ЛОТ	ТОРГОВАЯ КОМПАНИЯ -ЛОТ
20	Сезонное кафе	ул. Академика Варги 8 к. 1	ЮЗАО	Тёплый Стан	40.0	ХОЛДИНГ ЦЕНТР	ТД ХОЛДИНГ-ЦЕНТР
21	Сезонное кафе	Профсоюзная ул. 126 к. 3	ЮЗАО	Тёплый Стан	80.0	МОНАРХ	ПАЛЬМИРА РТ
22	Сезонное кафе	Профсоюзная ул. 128 к. 2	ЮЗАО	Тёплый Стан	80.0	Кружка	Таганка
23	Сезонное кафе	Профсоюзная ул. 109 к. 2	ЮЗАО	Коньково	60.0	ЧЕРНАЯ КАРАКАТИЦА	ОСТ-М 2000
24	Сезонное кафе	Профсоюзная ул. 109 к. 2	ЮЗАО	Коньково	70.0	ПАПА ДЖОНС	Пи Джей Пицца № 6
25	Сезонное кафе	Профсоюзная ул. 122	ЮЗАО	Тёплый Стан	30.0	ТИМ	ФРЭНЧ
26	Сезонное кафе	Паромная ул. 9 к. 4	ЮАО	Братеево	50.0	КАФЕ "СКАЗКА"	Фирма "СКАЗКА"
27	Сезонное кафе	ул. Шолохова 5	ЗАО	Ново-Переделкино	150.0	БОК ПЕРЕДЕЛКИНО ОДИССЕЙ	БОК ПЕРЕДЕЛКИНО
28	Сезонное кафе	Пролетарский просп. 14/49 к. 2	ЮАО	Царицыно	96.60000000000001	ООО "Мособщепит"	Мособщепит
29	Сезонное кафе	Боровское шоссе 42 к. 1	ЗАО	Ново-Переделкино	147.8	ПКФ НТСП-КОММЕРЦ	ПКФ НТСП-КОММЕРЦ
30	Сезонное кафе	Боровское шоссе 51 с. 1	ЗАО	Ново-Переделкино	62.4	ФЭСТА	ФЭСТА
31	Сезонное кафе	Кантемировская ул. 47	ЮАО	Царицыно	42.0	ЛАНЧ "ТРАКТИР "ЕЛКИ-ПАЛКИ"	ЛАНЧ
32	Сезонное кафе	ул. Скульптора Мухиной 18	ЗАО	Ново-Переделкино	60.0	ОВАЦИЯ КОМПАНИ	ОВАЦИЯ КОМПАНИ
33	Сезонное кафе	Капотня, 2-й квартал 22 к. 1	ЮВАО	Капотня	62.0	КВАРТАЛ +"	КВАРТАЛ +
34	Сезонное кафе	Кантемировская ул. 47	ЮАО	Царицыно	51.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
35	Сезонное кафе	Кантемировская ул. 14	ЮАО	Москворечье-Сабурово	100.0	ООО "Оазис"	ШЕМС
36	Сезонное кафе	Боровское шоссе 36-А	ЗАО	Ново-Переделкино	60.0	ГАЛЕРЕЯ-АЛЕКС	Галерея - АЛЕКС
37	Сезонное кафе	Родниковая ул. 2 с. 2	ЗАО	Солнцево	230.0	Артемида	АРТЕМИДА
38	Сезонное кафе	Каширское шоссе 51 к. 3	ЮАО	Москворечье-Сабурово	100.0	КОМПАНИЯ РУС.ЭМ	КОМПАНИЯ "РУС.ЭМ"
39	Сезонное кафе	ул. Академика Бакулева 3	ЮЗАО	Тёплый Стан	40.0	ФГУП "МЗСС"	Московский завод по обработке специальных сплавов салон "Монарх"
40	Сезонное кафе	Новопеределкинская ул. 13А	ЗАО	Ново-Переделкино	50.0	МРН	МРН
41	Сезонное кафе	Севастопольский просп. 56А	ЮЗАО	Коньково	80.0	Ресторан "Ла Делициа"	Ресторан Ла Делициа
42	Сезонное кафе	Пролетарский просп. 19 к. 1	ЮАО	Москворечье-Сабурово	69.0	ВАРИАНТ	ВАРИАНТ
43	Сезонное кафе	Профсоюзная ул. 104	ЮЗАО	Коньково	50.0	ВАЛЕНТО	ВАЛЕНТО
44	Сезонное кафе	ул. Островитянова 11 к. 1	ЮЗАО	Коньково	90.0	Гамбери	Страховой брокер "Надежный"
45	Сезонное кафе	Капотня, 2-й квартал	ЮВАО	Капотня	200.0	-	СК "АЛЬЯНС-ТЕХНО "
46	Сезонное кафе	Боровское шоссе 31	ЗАО	Ново-Переделкино	157.20000000000002	АВРОРА	Ф.А.З.
47	Сезонное кафе	Боровское шоссе 31	ЗАО	Ново-Переделкино	156.20000000000002	АВРОРА	Ф.А.З.
48	Сезонное кафе	Батайский пр. 17А	ЮВАО	Марьино	80.0	ГЕОРГИЙ И КО"	ГЕОРГИЙ И КО
49	Сезонное кафе	Профсоюзная ул. 104	ЮЗАО	Коньково	20.0	Траттория Уно	Траттория Уно
50	Сезонное кафе	Алма-Атинская ул. 1	ЮАО	Братеево	120.0	ООО "Взлет"	ВЗЛЕТ
51	Сезонное кафе	Профсоюзная ул. 102 с. 1	ЮЗАО	Коньково	168.0	СЕРВИС СИТИ	СЕРВИС СИТИ
52	Сезонное кафе	ул. Миклухо-Маклая 47А	ЮЗАО	Коньково	48.0	Япоша	ОМЕГА
53	Сезонное кафе	ул. Скульптора Мухиной 4	ЗАО	Ново-Переделкино	60.0	БЕНЕФИТ СТАЙЛ	БЕНЕФИТ СТАЙЛ
54	Сезонное кафе	Профсоюзная ул. 102 с. 1	ЮЗАО	Коньково	240.0	СЕРВИС СИТИ	СЕРВИС СИТИ
55	Сезонное кафе	ул. Академика Волгина 29 к. 1	ЮЗАО	Коньково	30.0	Горка	ГОРКА
56	Сезонное кафе	Поречная ул. 5/14	ЮВАО	Марьино	80.0	УГРА	ЮМИКС МК
57	Сезонное кафе	ул. Островитянова 5	ЮЗАО	Обручевский	45.0	ДЕТСКОЕ КАФЕ "АНДЕРСОН"	Хани энд Пай
58	Сезонное кафе	Новочеркасский бульв. 32	ЮВАО	Марьино	80.0	Кафе "Веста"	Веста
59	Сезонное кафе	ул. Миклухо-Маклая 19	ЮЗАО	Обручевский	40.0	СИНДБАД	ФРЭНЧ
60	Сезонное кафе	Братиславская ул. 30	ЮВАО	Марьино	55.0	Ресторан "Английский паб"	Лэвиш
61	Сезонное кафе	ул. Миклухо-Маклая 17	ЮЗАО	Обручевский	40.0	СИТИ -КАФЕ	Олимп
62	Сезонное кафе	Братиславская ул. 30	ЮВАО	Марьино	55.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
63	Сезонное кафе	ул. Миклухо-Маклая 13	ЮЗАО	Обручевский	100.0	КАФЕ "МИРАЖ"	ИНАР-ИНКОМ
64	Сезонное кафе	ул. Миклухо-Маклая 13	ЮЗАО	Обручевский	30.0	КАФЕ ГАЛИЛЕО	БЕРНАР 100
65	Сезонное кафе	ул. Богданова 17 с. 1	ЗАО	Солнцево	389.0	Де Марко	НОК СТОН
66	Сезонное кафе	Артековская ул. 1	ЮАО	Нагорный	125.0	ЧЕРИ-БЕРИ	ЧЕРРИ
67	Сезонное кафе	Братиславская ул. 31 к. 1	ЮВАО	Марьино	50.0	ТЫСЯЧА И ОДНА НОЧЬ	КАФАРОВ
68	Сезонное кафе	ул. Миклухо-Маклая 18/1	ЮЗАО	Коньково	650.0	СИМ-СИМ	СИМ-СИМ
69	Сезонное кафе	ул. Маршала Голованова 11	ЮВАО	Марьино	75.0	ГРАНАТОВЫЙ САД	ГРАНАТ
70	Сезонное кафе	ул. Миклухо-Маклая 27А	ЮЗАО	Коньково	380.0	Ян Примус	СервисЛюкс
71	Сезонное кафе	Симферопольский бульв. 22 к. 2	ЮЗАО	Зюзино	117.0	КОЛБАСОФФ	ВИТА ЭКСПО
72	Сезонное кафе	Балаклавский просп. 48 к. 1	ЮЗАО	Зюзино	59.83	ТАНУКИ	Детали
73	Сезонное кафе	Балаклавский просп. 48 к. 1	ЮЗАО	Зюзино	62.39	Ерш	Детали
74	Сезонное кафе	ул. Миклухо-Маклая 10 к. 2	ЮЗАО	Обручевский	50.0	НАЯ	НАЯ
75	Сезонное кафе	Пролетарский просп. 2А	ЮАО	Москворечье-Сабурово	96.0	КАРО	КАРО
76	Сезонное кафе	Новочеркасский бульв. 41 с. 8	ЮВАО	Марьино	55.0	БЕЛЫЙ ЛЕБЕДЬ	БЕЛЫЙ ЛЕБЕДЬ
77	Сезонное кафе	ул. Маршала Голованова 19	ЮВАО	Марьино	80.0	КАМАЛ	КАМАЛ
78	Сезонное кафе	ул. Бутлерова 22	ЮЗАО	Коньково	215.0	ШАХРАЙ И ПАРТНЕРЫ	ШАХРАЙ И ПАРТНЕРЫ
79	Сезонное кафе	Люблинская ул. 165 к. 3	ЮВАО	Марьино	80.0	Кафе Макдоналдс	МОСКВА- МАКДОНАЛДС
80	Сезонное кафе	Люблинская ул. 165 к. 1	ЮВАО	Марьино	35.0	КАФЕ БЫСТРОГО ОБСЛУЖИВАНИЯ " ТРАКТИР "ЕЛКИ-ПАЛКИ"	ЛАНЧ
81	Сезонное кафе	ул. Академика Анохина 58 к. 1	ЗАО	Тропарево-Никулино	56.0	Кувшин	ГЕОЛАЙН
82	Сезонное кафе	Производственная ул. 2	ЗАО	Солнцево	1123.5	Александр и Ко	АЛЕКСАНДР И КО
83	Сезонное кафе	ул. Обручева 45	ЮЗАО	Черёмушки	350.0	Триада кафе "Веранда"	ТРИАДА
84	Сезонное кафе	ул. Обручева 55А	ЮЗАО	Черёмушки	50.0	МЕТЕХИ	МЕТЕХИ
85	Сезонное кафе	ул. Миклухо-Маклая 21 к. 3	ЮЗАО	Обручевский	20.0	КАФЕ - КАМПУС	БВМ-ТРЕЙД
86	Сезонное кафе	ул. Миклухо-Маклая 17	ЮЗАО	Обручевский	20.0	СИТИ -КАФЕ	Олимп
87	Сезонное кафе	ул. Бутлерова 12	ЮЗАО	Коньково	12.0	Круиз	МИКС
88	Сезонное кафе	1-я Рейсовая ул. 13	ЗАО	Внуково	118.5	ЗАО "Аэропит Внуково" КАФЕ "ЭКИПАЖ"	АЭРОПИТ -ВНУКОВО
89	Сезонное кафе	Южнобутовская ул. 69	ЮЗАО	Южное Бутово	32.0	ЗОЛОТОЙ ГУСЬ	СОФТ-ТУР
90	Сезонное кафе	ул. Горчакова 1	ЮЗАО	Южное Бутово	80.0	ВТА-РЕСУРС	ВТА-РЕСУРС
91	Сезонное кафе	Скобелевская ул. 20	ЮЗАО	Южное Бутово	100.0	ДОСУГ-ИНТЕРПРАЙЗ	ДОСУГ-ИНТЕРПРАЙЗ
92	Сезонное кафе	ул. Адмирала Лазарева 24	ЮЗАО	Южное Бутово	100.0	ДЖЕЙН	ДЖЕЙН
93	Сезонное кафе	ул. Адмирала Лазарева 24	ЮЗАО	Южное Бутово	100.0	АВЭМ	АВЭМ
94	Сезонное кафе	Венёвская ул. 4	ЮЗАО	Южное Бутово	130.0	ДЕТСКИЙ МИР	ДЕТСКИЙ МИР-ЦЕНТР МАГАЗИН 33
95	Сезонное кафе	ул. Грина 3 к. 2	ЮЗАО	Северное Бутово	75.0	МОЛНИЯ	Молния
96	Сезонное кафе	ул. Грина 5А	ЮЗАО	Северное Бутово	100.0	МОСКВА-МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
97	Сезонное кафе	ул. Грина 7	ЮЗАО	Северное Бутово	35.0	Девайс	Девайс
98	Сезонное кафе	Старокачаловская ул. 1Б	ЮЗАО	Северное Бутово	40.0	БИСТРО ПРОНТО	БИСТРО ПРОНТО
99	Сезонное кафе	Старокачаловская ул. 5	ЮЗАО	Северное Бутово	100.0	КВАДРАТ	ЕВРОМАРКЕТ
100	Сезонное кафе	Ратная ул. 16 к. 2 с. 1	ЮЗАО	Северное Бутово	40.0	КОПЕЙКА 569	КОПЕЙКА-МОСКВА
101	Сезонное кафе	Булатниковский пр. 14 к. 6	ЮАО	Бирюлево Западное	30.0	Виристон	ВИРИСТОН
102	Сезонное кафе	Варшавское шоссе 143	ЮАО	Чертаново Южное	80.0	Макдоналдс	Макдональдс-Москва
103	Сезонное кафе	Харьковская ул. 4 к. 3	ЮАО	Бирюлево Западное	15.0	Сусанна	Сюзанна
104	Сезонное кафе	Дорожная ул. 30 к. 1	ЮАО	Чертаново Южное	80.0	Бонжур 2	Дорожная 30
105	Сезонное кафе	ул. Академика Янгеля 3Б	ЮАО	Чертаново Южное	100.0	АЛИ БАБА И 40 РАЗБОЙНИКОВ	ПИКЕРИНГ
106	Сезонное кафе	Вильнюсская ул. 5	ЮЗАО	Ясенево	18.0	СИРКУС	ФРЭНЧ
107	Сезонное кафе	Ясеневая ул. 30	ЮАО	Орехово-Борисово Южное	50.0	ЦУНАМИ	Виктория
108	Сезонное кафе	Каширское шоссе 122	ЮАО	Орехово-Борисово Южное	60.0	ОМЕГА ИНТЕЛ	ОМЕГА ИНТЕЛ
109	Сезонное кафе	дер.Толстопальцево, Советская ул. 1 с. 30	ЗАО	Внуково	40.0	Ладога-СВ	Ладога-СВ
110	Сезонное кафе	ул. Красного Маяка 15	ЮАО	Чертаново Центральное	60.0	Талисман Востока	ЛИДЕР-ЗОД
111	Сезонное кафе	Ореховый бульв.	ЮАО	Орехово-Борисово Северное	35.0	Услуга Сервис	Услуга Сервис
112	Сезонное кафе	Ясногорская ул. 2	ЮЗАО	Ясенево	119.0	Территория Ясенево	Фирма Деоген
113	Сезонное кафе	Воронежская ул. 15	ЮАО	Орехово-Борисово Южное	200.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
114	Сезонное кафе	ул. Крупской 1	ЮЗАО	Ломоносовский	39.0	Юникс-Т	ЮНИКС-Т
115	Сезонное кафе	ул. Крупской 1	ЮЗАО	Ломоносовский	240.0	Шато Гурман	Шато Гурман
116	Сезонное кафе	ул. Коштоянца 1/83	ЗАО	Проспект Вернадского	187.4	Лаззат-кафе	УГОЛ
117	Сезонное кафе	ул. Кржижановского 15 к. 1	ЮЗАО	Академический	50.0	МОБИЛ МИБ	МОБИЛ МИБ
118	Сезонное кафе	ул. Дмитрия Ульянова 51	ЮЗАО	Котловка	250.0	Чайхона № 1	Чайхона №1
119	Сезонное кафе	ул. Коштоянца 2 с. 1	ЗАО	Проспект Вернадского	508.0	ЯКИТОРИЯ	ЛИРАН ЛИНК
120	Сезонное кафе	Совхозная ул. 55	ЮВАО	Люблино	50.0	КОЛЯДА	КОЛЯДА
121	Сезонное кафе	Нахимовский просп. 67	ЮЗАО	Черёмушки	100.0	Кельт ирландский паб "Конор мак Несса"	КЕЛЬТ
122	Сезонное кафе	Варшавское шоссе 34	ЮАО	Нагорный	300.0	ВАРШАВСКИЕ БАНИ	ВАРШАВСКИЕ БАНИ
123	Сезонное кафе	Привольная ул. 65/32	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Привольная, д. 65/32	Вояж
124	Сезонное кафе	Ставропольская ул. 38/2	ЮВАО	Люблино	50.0	ЗАО "НАМАНГАН"	НАМАНГАН
125	Сезонное кафе	ул. Дмитрия Ульянова 42	ЮЗАО	Котловка	112.0	КВАРТЕТ	КВАРТЕТ
126	Сезонное кафе	Коломенская ул. 7 с. 2	ЮАО	Нагатинский затон	60.0	Фортуна	Пантэкс
127	Сезонное кафе	Севастопольский просп. 18А	ЮЗАО	Котловка	126.0	АРАШ	АРАШ
128	Сезонное кафе	Профсоюзная ул. 16/10	ЮЗАО	Академический	58.0	ВАРИАНТ	ВАРИАНТ
129	Сезонное кафе	ул. Удальцова 40А	ЗАО	Проспект Вернадского	115.4	Леклер Кафе	СИТИ РЕСТОРАНТС ГРУПП
130	Сезонное кафе	ул. Удальцова 40А	ЗАО	Проспект Вернадского	210.5	ПЛАНЕТА СУШИ	РОСИНТЕР РЕСТОРАНТС
131	Сезонное кафе	Варшавское шоссе 26	ЮАО	Нагорный	43.0	РОСТИКС	РАШН КАРАМЕЛЬ РЕСТОРАНТС
132	Сезонное кафе	ул. Удальцова 40А	ЗАО	Проспект Вернадского	63.0	IL ПАТИО	РОСИНТЕР РЕСТОРАНТС
133	Сезонное кафе	Профсоюзная ул. 16/10	ЮЗАО	Академический	58.0	КОФЕ ХАУС	Кофе Хаус Эспрессо и Капучино Бар
134	Сезонное кафе	просп. Вернадского 21 к. 1	ЮЗАО	Ломоносовский	140.0	Асвит	Нота
135	Сезонное кафе	просп. Вернадского 21 к. 1	ЮЗАО	Ломоносовский	80.0	Асвит	Нота
136	Сезонное кафе	Варшавское шоссе 26	ЮАО	Нагорный	31.0	ЯКИТОРИЯ	ЦЕНТРТОРГФИНАНС
137	Сезонное кафе	Ленинский просп. 88	ЮЗАО	Ломоносовский	320.5	"НЬОККИ"	РДД
138	Сезонное кафе	просп. Андропова 27	ЮАО	Нагатинский затон	2.0	Автоматика	Г. Москвы "Объединенная дирекция по управлению имущественным комплексом киносетей"
139	Сезонное кафе	ул. Кравченко 6	ЮЗАО	Ломоносовский	100.0	4 папас	4 ПАПАС
140	Сезонное кафе	ул. Кравченко 8	ЮЗАО	Ломоносовский	9.0	4 папас	4 ПАПАС
141	Сезонное кафе	ул. Мичуринский Проспект, Олимпийская Деревня 3	ЗАО	Тропарево-Никулино	88.0	Урюк	ЖАСМИН
142	Сезонное кафе	Нагорная ул. 25 к. 1	ЮЗАО	Котловка	102.0	ФИРМА НАРА-Н	ФИРМА "НАРА-Н"
143	Сезонное кафе	просп. Вернадского 14	ЗАО	Проспект Вернадского	115.0	ЛОНДОН МОЛОДЕЖНО-ДОСУГОВЫЙ ЦЕНТР	СВС
144	Сезонное кафе	ул. Кржижановского 22 с. 1	ЮЗАО	Академический	180.0	Капучинофф	АБ УНО
145	Сезонное кафе	просп. Вернадского 14А	ЗАО	Проспект Вернадского	68.0	МАНГАЛ	ГРИЛЬ-СИТИ
146	Сезонное кафе	ул. Кравченко 12	ЮЗАО	Ломоносовский	193.0	Таверна Ла Манча	Гурман
147	Сезонное кафе	ул. Кравченко 12	ЮЗАО	Ломоносовский	100.0	Гурман	Гурман
148	Сезонное кафе	ул. Удальцова 75А	ЗАО	Проспект Вернадского	68.15	Супермаркет	АРИВА
149	Сезонное кафе	ул. Хлобыстова 20 к. 2 с. 2	ЮВАО	Выхино-Жулебино	50.0	-	СК "АЛЬЯНС-ТЕХНО "
150	Сезонное кафе	Рязанский просп. 97	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Рязанский проспект, д. 97, кор. 1	ЖАСМИН
151	Сезонное кафе	Шарикоподшипниковская ул. 38 с. 6	ЮВАО	Южнопортовый	50.0	АЛЬБАТРОС	ПОЛЯНА
152	Сезонное кафе	Аминьевское шоссе 20	ЗАО	Фили-Давыдково	295.0	Завен	Завен
153	Сезонное кафе	Университетский просп. 25	ЗАО	Раменки	75.0	БАРБАРИС "Навои"	БАРБАРИС
154	Сезонное кафе	ул. Хлобыстова 20 к. 2 с. 2	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Хлобыстова, д. 26	НОА ТЦ Выхино
155	Сезонное кафе	ул. Шухова 21	ЮАО	Даниловский	60.0	Русь	Фирма Русь
156	Сезонное кафе	Рязанский просп. 46 С. 1	ЮВАО	Рязанский	70.0	ФОРМУЛА УСПЕХА	УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ ПОЧТОВОЙ СВЯЗИ Г.МОСКВЫ-ФИЛИАЛ ФГУП "ПОЧТА РОССИИ" МОСКОВСКИЙ МЕЖРАЙОННЫЙ ПОЧТАМТ №3
157	Сезонное кафе	ул. Хлобыстова 20 к. 1	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Хлобыстова, д. 22	Бар на Ждановской
158	Сезонное кафе	ул. Хлобыстова 20 к. 2	ЮВАО	Выхино-Жулебино	50.0	Сезонное кафе, ул. Хлобыстова, д. 22	Бар на Ждановской
159	Сезонное кафе	Велозаводская ул. 2Б	ЮАО	Даниловский	82.0	НОЧНОЙ ДВОРИК	ТРИУМФ-ПАРК
160	Сезонное кафе	Рязанский просп. 46 к. 2	ЮВАО	Рязанский	25.0	БОЛЬШАЯ пОЛЯНКА	Крошка -картошка
161	Сезонное кафе	Рязанский просп. 46 к. 2	ЮВАО	Рязанский	50.0	БОЛЬШАЯ пОЛЯНКА	Крошка -картошка
162	Сезонное кафе	Рязанский просп. 75 к. 2	ЮВАО	Рязанский	40.0	КАФЕ "РОСТИКС"	ФАСТ ФУД СИТИ
163	Сезонное кафе	Рязанский просп. 32 к. 1	ЮВАО	Рязанский	100.0	кафе "Шашлычная"	Интерьер
164	Сезонное кафе	Рязанский просп. 75 с. 1	ЮВАО	Рязанский	10.0	МАЯ	Мая
165	Сезонное кафе	Рязанский просп. 34 к. 2	ЮВАО	Рязанский	83.0	"НЬОККИ"	РДД
166	Сезонное кафе	ул. Симоновский Вал 26 к. 2	ЮАО	Даниловский	15.0	КАФЕ ДЕЖАВЮ	ДЕЖАВЮ
167	Сезонное кафе	Можайское шоссе 31 к. 1	ЗАО	Можайский	121.0	Кофе Хаус	Кофе Хаус
168	Сезонное кафе	Мытная ул. 50	ЮАО	Даниловский	7.0	ДОБРЫНИНСКИЙ	КМКИ "ДОБРЫНИНСКИЙ"
169	Сезонное кафе	Рязанский просп. 69	ЮВАО	Рязанский	20.0	Евроазия	Евроазия
170	Сезонное кафе	Рязанский просп. 69	ЮВАО	Рязанский	20.0	-	КОМБИНАТ ПИТАНИЯ "АЛЬФ".
171	Сезонное кафе	ул. Шаболовка 30/12	ЮАО	Донской	45.0	"Галерея Алекс"	АСТЕРОИД
172	Сезонное кафе	Аминьевское шоссе 31	ЗАО	Можайский	150.0	Аква-Люкс	АКВА-ЛЮКС
173	Сезонное кафе	Можайское шоссе 34-А	ЗАО	Можайский	150.0	Джон Джолли	ДжонДжоли
174	Сезонное кафе	ул. Шаболовка 30/12	ЮАО	Донской	12.0	КОФЕ ХАУС ЭКСПРЕССО И КАПУЧИНО БАР	КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР
175	Сезонное кафе	Рязанский просп. 65 к. 2	ЮВАО	Рязанский	40.0	КОРЧМА	ТРАКТИР КИРПИЧИКИ
176	Сезонное кафе	Люсиновская ул. 53	ЮАО	Даниловский	32.0	КАФЕ ДОНИ	ДОНИ
177	Сезонное кафе	Грайвороновская ул. 12 к. 2	ЮВАО	Текстильщики	30.0	МОМЕНТ	МОМЕНТ
178	Сезонное кафе	ул. Паперника 9	ЮВАО	Рязанский	312.0	ПЛАЗА ИНЖИНИРИНГ	КОМПАНИЯ "КОЗЕРОГ"
179	Сезонное кафе	Можайское шоссе 11	ЗАО	Можайский	121.0	Тануки	ВЕНЕРА
180	Сезонное кафе	Рязанский просп. 24 к. 1	ЮВАО	Рязанский	64.0	Царица Востока	ДИНАРА
181	Сезонное кафе	Ломоносовский просп. 7 к. 1	ЮЗАО	Гагаринский	20.0	-	АВАНТАЖ-Т
182	Сезонное кафе	ул. Строителей 4 к. 7	ЮЗАО	Гагаринский	16.0	Бар "Токат"	ТЕОНОЕ
183	Сезонное кафе	Ленинский просп. 75/9	ЮЗАО	Гагаринский	20.0	-	СУШКОВА НАТАЛЬЯ ЛЕОНИДОВНА
184	Сезонное кафе	Новочерёмушкинская ул. 10А	ЮЗАО	Академический	250.0	ЛАО ДЖА	ЛАО ДЖА
185	Сезонное кафе	ул. Обручева 34/63 с. 1	ЮЗАО	Коньково	400.0	Сеть пивных баров	ОМЕГА
186	Сезонное кафе	Братиславская ул. 26	ЮВАО	Марьино	55.0	ресторан "Две палочки"	СЕРПУХОВСКАЯ" КАФЕ "ДВЕ ПАЛОЧКИ"
187	Сезонное кафе	ул. Миклухо-Маклая 3	ЮЗАО	Обручевский	20.0	КАФЕ "ДИОНИС"	САЛЛУМ М.А.
188	Сезонное кафе	Каширское шоссе 24 с. 3	ЮАО	Москворечье-Сабурово	96.0	ДЖОН СИЛЬВЕР	СИЛЬВЕР
189	Сезонное кафе	Попутная ул. 5	ЗАО	Солнцево	297.0	Юникос	Юникос
190	Сезонное кафе	Люблинская ул. 157	ЮВАО	Марьино	80.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
191	Сезонное кафе	Люблинская ул. 157	ЮВАО	Марьино	80.0	ЛЮКС	Люкс
192	Сезонное кафе	Каширское шоссе 27	ЮАО	Нагатино-Садовники	100.0	ресторан "Якитория"	Форум-Альянс
193	Сезонное кафе	Керченская ул. 1Б	ЮЗАО	Зюзино	120.0	ЖарКо	АЛЯЕВА О.М.
194	Сезонное кафе	Варшавское шоссе 83 с. 1	ЮАО	Нагорный	54.0	КРУЖКА	ВАРШАВКА
195	Сезонное кафе	ул. Обручева	ЮЗАО	Коньково	42.0	Патио	Столичные рестораны
196	Сезонное кафе	Ленинский просп. 146	ЗАО	Тропарево-Никулино	149.6	ТИМУР	ТИМУР
197	Сезонное кафе	ул. Перерва 52	ЮВАО	Марьино	80.0	ресторан "Якитория"	Форум-Альянс
198	Сезонное кафе	ул. Каховка 29А	ЮЗАО	Черёмушки	100.0	ЗАРЯ	КАФЕ "Кейк"
199	Сезонное кафе	Ленинский просп. 146	ЗАО	Тропарево-Никулино	92.0	РОДНИК	РОДНИК
200	Сезонное кафе	Болотниковская ул. 21 с. 2	ЮЗАО	Зюзино	80.0	ДААС	ДААС групп
201	Сезонное кафе	ул. Верхние Поля 48 с. 4	ЮВАО	Капотня	78.0	"Альянс Престиж"	Альянс Престиж
202	Сезонное кафе	просп. Вернадского 121 к. 1	ЗАО	Тропарево-Никулино	58.0	Ян Примус	ФРИГОЛД
