№ строки	Название	Адрес	Административный округ	Количество машино-мест	Дата начала строительства	Дата окончания
28	Гараж емкостью 380 машиноместа	Западное Дегунино,мкр. 10-А, кв.11, к. 59	САО	380.00000000000	Июнь 2012	Декабрь 2012
29	Гараж емкостью 189 машиноместа	Западное Дегунино,мкр. 10-А, кв.11, к. 60.	САО	189.00000000000	Июнь 2012	Декабрь 2012
30	Гараж емкостью 717 машиноместа	Инженерная ул., вл.3	СВАО	717.00000000000	Октябрь 2009	Объект введен в III кв.
31	Гараж емкостью 440 машиноместа	Академика Королёва ул., вл. 15	СВАО	440.00000000000	Ноябрь 2011	Ноябрь 2012
32	Гараж емкостью 100 машиноместа	Коненкова ул., вл.11	СВАО	100.00000000000	Май 2011	Октябрь 2012
33	Гараж емкостью 655 машиноместа	Корнейчука ул., вл. 42 (напротив)	СВАО	655.00000000000	Август 2010	Декабрь 2012
34	Гараж емкостью 254 машиноместа	МКАД 82 км	СВАО	254.00000000000	Март 2012	Сентябрь 2012
35	Гараж емкостью 170 машиноместа	Пестеля ул., вл. 6	СВАО	170.00000000000	Август 2010	Декабрь 2012
36	Гараж емкостью 460 машиноместа	Северный, мкр.9, к.1	СВАО	460.00000000000	Октябрь 2009	Декабрь 2012
37	Гараж емкостью 197 машиноместа	Северный, мкр.9, к.2	СВАО	197.00000000000	Октябрь 2009	Ноябрь 2012
38	Гараж емкостью 154 машиноместа	Малыгина ул., вл. 8	СВАО	154.00000000000	Апрель 2012	Декабрь 2012
39	Гараж емкостью 189 машиноместа	Полярная ул.,  54	СВАО	189.00000000000	Апрель 2012	Декабрь 2012
40	Гараж емкостью 482 машиноместа	Атарбекова ул., вл.4,	ВАО	482.00000000000	Октябрь 2010	Октябрь 2012
41	Гараж емкостью 190 машиноместа	Электродная ул., вл 3а	ВАО	190.00000000000	Июнь 2011	Ноябрь 2012
42	Гараж емкостью 369 машиноместа	Жебрунова ул., вл. 4-6, стр.1,2,3	ВАО	369.00000000000	Октябрь 2010	Объект введен в III кв.
43	Гараж емкостью 248 машиноместа	Щелковское шоссе,вл.  95-97 (Хабаровская улица, вл. 2)	ВАО	248.00000000000	Март 2012	Декабрь 2012
44	Гараж емкостью 113 машиноместа	10-я ул. Соколиной Горы,  вл. 6 стр. 1.	ВАО	113.00000000000	Апрель 2012	Декабрь 2012
45	Гараж емкостью 350 машиноместа	Красноярская ул., вл. 1	ВАО	350.00000000000	Июнь 2012	Декабрь 2012
46	Гараж емкостью 100 машиноместа	Щербаковская ул., вл. 32/7.	ВАО	100.00000000000	Март 2012	Декабрь 2012
47	Гараж емкостью 100 машиноместа	2-й Кабельный пр., вл. 2-Б.	ЮВАО	100.00000000000	Апрель 2012	Декабрь 2012
48	Гараж емкостью 281 машиноместа	Верхние Поля ул., вл. 35-37.	ЮВАО	281.00000000000	Июнь 2012	Декабрь 2012
49	Гараж емкостью 560 машиноместа	Краснодарская ул., вл. 70	ЮВАО	560.00000000000	Март 2012	Декабрь 2012
50	Гараж емкостью 517 машиноместа	Воронежская ул., напротив вл.20-24	ЮАО	517.00000000000	Март 2012	Объект введен в III кв.
51	Гараж емкостью 326 машиноместа	Севанская ул., вл.60	ЮАО	326.00000000000	Июль 2010	Объект введен в III кв.
52	Гараж емкостью 300 машиноместа	Маршала Захарова ул., 23	ЮАО	300.00000000000	Март 2010	Объект введен в I кв.
53	Гараж емкостью 91 машиноместа	Академика Янгеля ул.,  вл.14 корп..9	ЮАО	91.00000000000	Март 2012	Декабрь 2012
54	Гараж емкостью 91 машиноместа	Домодедовская ул., вл.28	ЮАО	91.00000000000	Февраль 2012	Объект введен в III кв.
55	Гараж емкостью 120 машиноместа	Железнодорожный проезд,  вл.7	ЮАО	120.00000000000	Декабрь 2011	Объект введен в III кв.
56	Гараж емкостью 371 машиноместа	Каширское шоссе, вл.94, к.3	ЮАО	371.00000000000	Март 2012	Декабрь 2012
57	Гараж емкостью 182 машиноместа	Москворечье ул., вл.4-5	ЮАО	182.00000000000	Декабрь 2011	Объект введен в III кв.
58	Гараж емкостью 328 машиноместа	Братеевская ул., вл.18 корп..3	ЮАО	328.00000000000	Февраль 2012	Ноябрь 2012
59	Гараж емкостью 397 машиноместа	Братеевская ул., вл.18-22	ЮАО	397.00000000000	Февраль 2012	Ноябрь 2012
60	Гараж емкостью 245 машиноместа	Нагатинская ул., вл.54	ЮАО	245.00000000000	Март 2012	Ноябрь 2012
61	Гараж емкостью 198 машиноместа	Нагатинская ул., вл.9	ЮАО	198.00000000000	Март 2012	Декабрь 2012
62	Гараж емкостью 100 машиноместа	Каширское шоссе, вл. 122	ЮАО	100.00000000000	Март 2012	Декабрь 2012
63	Гараж емкостью 132 машиноместа	Чертановская ул. вл. 60-А. стр. 2.	ЮАО	132.00000000000	Июнь 2012	Декабрь 2012
64	Гараж емкостью 220 машиноместа	Подольских курсантов ул.  вл. 2, корп. 1	ЮАО	220.00000000000	Май 2012	Декабрь 2012
65	Гараж емкостью 259 машиноместа	Куликовская улица, вл. 7	ЮЗАО	259.00000000000	Март 2012	Декабрь 2012
66	Гараж емкостью 165 машиноместа	между ул. Академика Волгина и пр.пр. 4989, корп .45	ЮЗАО	165.00000000000	Март 2012	Ноябрь 2012
67	Гараж емкостью 393 машиноместа	Академика Опарина ул., вл.6	ЮЗАО	393.00000000000	Март 2012	Декабрь 2012
68	Гараж емкостью 783 машиноместа	Поляны ул., напротив мкр.2	ЮЗАО	783.00000000000	Март 2012	Ноябрь 2012
69	Гараж емкостью 162 машиноместа	Проспект 60-летия Октября вл. 15-17	ЮЗАО	162.00000000000	Март 2012	Декабрь 2012
70	Гараж емкостью 225 машиноместа	Старобитцевская улица, мкр. 4Б стр 7	ЮЗАО	225.00000000000	Май 2011	Октябрь 2012
71	Гараж емкостью 787 машиноместа	Чечерский проезд, напротив мкр. 5	ЮЗАО	787.00000000000	Март 2012	Ноябрь 2012
72	Гараж емкостью 488 машиноместа	Щербинка, мкрн. Липки, зона проектируемого проезда	ЮЗАО	488.00000000000	Март 2011	Объект введен в II кв.
73	Гараж емкостью 430 машиноместа	Южное Бутово мкр.1, к.50	ЮЗАО	430.00000000000	Март 2012	Декабрь 2012
74	Гараж емкостью 290 машиноместа	Тарусская ул., вл. 22.	ЮЗАО	290.00000000000	Апрель 2012	Декабрь 2012
75	Гараж емкостью 60 машиноместа	Ленинский пр., вл.94А	ЗАО	60.00000000000	Январь 2010	Декабрь 2012
76	Гараж емкостью 298 машиноместа	Федосьино ул., напротив вл. 10	ЗАО	298.00000000000	Январь 2010	Объект введен в III кв.
77	Гараж емкостью 200 машиноместа	Авиаторов ул., между вл. 7Б и 9А	ЗАО	200.00000000000	Сентябрь 2010	Ноябрь 2012
78	Гараж емкостью 380 машиноместа	Барвихинская ул. вл 18	ЗАО	380.00000000000	Март 2011	Декабрь 2012
79	Гараж емкостью 121 машиноместа	Пересечение Боровского шоссе с ул. Интернациональной	ЗАО	121.00000000000	Январь 2011	Ноябрь 2012
80	Гараж емкостью 538 машиноместа	Боровское шоссе, корп. К-1 и Киевское направление МЖД	ЗАО	538.00000000000	Март 2012	Октябрь 2012
81	Гараж емкостью 312 машиноместа	Производственная ул., вл.25	ЗАО	312.00000000000	Май 2012	Декабрь 2012
82	Гараж емкостью 554 машиноместа	Боровское шоссе, корп. К-3 и Киевское направление МЖД	ЗАО	554.00000000000	Март 2012	Октябрь 2012
83	Гараж емкостью 345 машиноместа	Боровское шоссе и Киевское направление МЖД корп. К-.7	ЗАО	345.00000000000	Июль 2010	Октябрь 2012
84	Гараж емкостью 130 машиноместа	Шолохова ул., вл. 5	ЗАО	130.00000000000	Сентябрь 2010	Октябрь 2012
85	Гараж емкостью 177 машиноместа	Цветной б-р,вл. 17.	ЦАО	177.00000000000	Январь 2013	Ноябрь 2013
86	Гараж емкостью 600 машиноместа	Неманский проезд, вл. 10,  корп. 2.(стр. 1 - 2)	СЗАО	600.00000000000	Февраль 2013	Ноябрь 2013
87	Гараж емкостью 333 машиноместа	Новоорловская ул., вл.7 (К-3)	ЗАО	333.00000000000	Март 2012	Декабрь 2012
88	Гараж емкостью 159 машиноместа	Боровское ш (комунальная зона Внуково электроподстанция Ново-Внуковская)	ЗАО	159.00000000000	Май 2012	Декабрь 2012
89	Гараж емкостью 329 машиноместа	Коммунальная зона К-24 Новоорловская ул., вл.5	ЗАО	329.00000000000	Апрель 2012	Декабрь 2012
90	Гараж емкостью 970 машиноместа	Волоцкий пер., вл.15 (1,2 очереди)	СЗАО	970.00000000000	Май 2010	Сентябрь 2012
91	Гараж емкостью 110 машиноместа	Куркинское шоссе, вл. 15	СЗАО	110.00000000000	Апрель 2012	Декабрь 2012
92	Гараж емкостью 868 машиноместа	Новокуркинское шоссе, вл. 22 (2 корп.)	СЗАО	868.00000000000	Январь 2012	Сентябрь 2012
93	Гараж емкостью 868 машиноместа	Новокуркинское шоссе, вл. 22 (3 корп.)	СЗАО	868.00000000000	Январь 2012	Сентябрь 2012
94	Гараж емкостью 267 машиноместа	Летчика Полагушина ул.  (2 мкр.. корп. 244)	Зел.АО	267.00000000000	Март 2012	Объект введен в III кв.
95	Гараж емкостью 345 машиноместа	Александровка 623	Зел.АО	345.00000000000	Декабрь 2011	Ноябрь 2012
96	Гараж емкостью 88 машиноместа	Гиляровского ул., вл. 64.	ЦАО	88.00000000000	Февраль 2013	Ноябрь 2013
97	Гараж емкостью 332 машиноместа	М. Тишинский пер., вл. 13, стр. 1, вл. 15, стр. 2	ЦАО	332.00000000000	Январь 2013	Декабрь 2013
98	Гараж емкостью 99 машиноместа	М. Калитниковская ул., вл. 11	ЦАО	99.00000000000	Февраль 2013	Декабрь 2013
99	Гараж емкостью 120 машиноместа	Новый Арбат ул. вл. 17.	ЦАО	120.00000000000	Декабрь 2012	Октябрь 2013
100	Гараж емкостью 150 машиноместа	Мал.Сухаревский пер., вл. 4.	ЦАО	150.00000000000	Декабрь 2012	Октябрь 2013
101	Гараж емкостью 263 машиноместа	Берзарина ул,  вл. 19-А.	СЗАО	263.00000000000	Февраль 2013	Ноябрь 2013
102	Гараж емкостью 497 машиноместа	Барышиха ул., вл. 37, корп. 1	СЗАО	497.00000000000	Февраль 2013	Ноябрь 2013
103	Гараж емкостью 200 машиноместа	Мневники, вл.10, к.1	СЗАО	200.00000000000	Февраль 2013	Декабрь 2013
104	Гараж емкостью 140 машиноместа	Б. Волоколамский, вл. 12	СЗАО	140.00000000000	Февраль 2013	Ноябрь 2013
105	Гараж емкостью 100 машиноместа	1-й Самотечный пер., вл. 2-12	ЦАО	100.00000000000	Апрель 2013	Декабрь 2013
106	Гараж емкостью 94 машиноместа	Молодогвардейская ул. вл. 44	ЗАО	94.00000000000	Март 2013	Декабрь 2013
107	Гараж емкостью 205 машиноместа	Осенняя ул.,  вл. 25, возле ТЭЦ, на месте ГСК "Осень".	ЗАО	205.00000000000	Март 2013	Декабрь 2013
108	Гараж емкостью 96 машиноместа	Часовая ул., вл. 23, корп. 1.	САО	96.00000000000	Март 2013	Декабрь 2013
109	Гараж емкостью 299 машиноместа	Ивана Сусанина. вл. 2А	САО	299.00000000000	Март 2010	Ноябрь 2012
110	Гараж емкостью 409 машиноместа	Римского-Корсакова ул., вл.15	СВАО	409.00000000000	Июль 2009	Объект введен в I кв.
111	Гараж емкостью 340 машиноместа	Северный мкр., к.1, кварт.32	СВАО	340.00000000000	Март 2012	Декабрь 2012
112	Гараж емкостью 292 машиноместа	Кетчерская ул., вл.3-5	ВАО	292.00000000000	Январь 1900	Объект введен в II кв.
113	Гараж емкостью 182 машиноместа	3-я Гражданская улица, вл.17	ВАО	182.00000000000	Март 2012	Ноябрь 2012
114	Гараж емкостью 398 машиноместа	Новороссийская улица, вл. 23Б	ЮВАО	398.00000000000	Май 2012	Декабрь 2012
115	Гараж емкостью 42 машиноместа	Россошанская ул., вл.13,к.3	ЮАО	42.00000000000	Сентябрь 2011	Объект введен в II кв.
116	Гараж емкостью 130 машиноместа	Бирюлёвская ул., вл.37	ЮАО	130.00000000000	Апрель 2012	Декабрь 2012
117	Гараж емкостью 99 машиноместа	Южное Бутово.комплекс В, корп. 34	ЮЗАО	99.00000000000	Март 2012	Декабрь 2012
118	Гараж емкостью 541 машиноместа	Чечерский проезд, напротив мкр. 4	ЮЗАО	541.00000000000	Март 2012	Декабрь 2012
119	Гараж емкостью 442 машиноместа	Пересечение ул. Коштоянца и проезда Олимпийской деревни	ЗАО	442.00000000000	Июнь 2010	Ноябрь 2012
120	Гараж емкостью 402 машиноместа	Боровское шоссе и Киевское направление МЖД  корп. К-8	ЗАО	402.00000000000	Апрель 2010	Октябрь 2012
121	Гараж емкостью 868 машиноместа	Новокуркинское шоссе, вл. 22 (1 корп.)	СЗАО	868.00000000000	Январь 2012	Сентябрь 2012
122	Гараж емкостью 90 машиноместа	Гиляровского ул., д. 76.	ЦАО	90.00000000000	Январь 2013	Декабрь 2013
123	Гараж емкостью 96 машиноместа	Горлов тупик, вл. 10-12	ЦАО	96.00000000000	Декабрь 2012	Октябрь 2013
124	Гараж емкостью 266 машиноместа	Дмитровское ш., вл. 108А	САО	266.00000000000	Март 2013	Ноябрь 2013
125	Гараж емкостью 100 машиноместа	Вешняковская ул., вл. 29-Д.	ВАО	100.00000000000	Январь 2013	Декабрь 2013
126	Гараж емкостью 150 машиноместа	2-й Рощинский пр., вл. 12	ЮАО	150.00000000000	Март 2013	Декабрь 2013
127	Гараж емкостью 200 машиноместа	Дворникова ул., вл. 7-А	ЮВАО	200.00000000000	Февраль 2013	Декабрь 2013
128	Гараж емкостью 220 машиноместа	Северодвинская ул., вл. 19.	СВАО	220.00000000000	Март 2013	Ноябрь 2013
129	Гараж емкостью 259 машиноместа	Холмогорская ул., вл. 6. к. 3.	СВАО	259.00000000000	Январь 2013	Декабрь 2013
130	Гараж емкостью 428 машиноместа	Архитект. Власова ул. вл. 2	ЮЗАО	428.00000000000	Март 2013	Декабрь 2013
131	Гараж емкостью 198 машиноместа	Обручевский р-н, кв. 37-37Ц, кор. 16	ЮЗАО	198.00000000000	Март 2013	Декабрь 2013
132	Гараж емкостью 99 машиноместа	Дмитровское ш., вл. 98	САО	99.00000000000	Май 2013	Декабрь 2013
133	Гараж емкостью 95 машиноместа	Бескудниково, мкр. 2-3, корп. 88	САО	95.00000000000	Октябрь 2012	Декабрь 2013
134	Гараж емкостью 100 машиноместа	Прокатная ул., вл. 2-4	ВАО	100.00000000000	Март 2013	Декабрь 2013
135	Гараж емкостью 227 машиноместа	Кусковская ул., вл. 8-А	ВАО	227.00000000000	Январь 2013	Декабрь 2013
136	Гараж емкостью 350 машиноместа	Салтыковская ул. вл. 10.	ВАО	350.00000000000	Март 2013	Декабрь 2013
137	Гараж емкостью 100 машиноместа	Старый Гай ул., вл. 10	ВАО	100.00000000000	Март 2013	Декабрь 2013
138	Гараж емкостью 237 машиноместа	Западная улица, гараж №1,2,3	ВАО	237.00000000000	Июнь 2012	Сентябрь 2013
139	Гараж емкостью 98 машиноместа	Челябинская ул., вл. 9-11	ВАО	98.00000000000	Март 2013	Декабрь 2013
140	Гараж емкостью 100 машиноместа	Снайперская ул., вл. 4	ВАО	100.00000000000	Март 2013	Ноябрь 2013
141	Гараж емкостью 490 машиноместа	Кленовый  б-р  вл. 23	ЮАО	490.00000000000	Март 2013	Декабрь 2013
142	Гараж емкостью 200 машиноместа	Севастопольский пр-д, вл. 7, корп. 6	ЮАО	200.00000000000	Март 2013	Декабрь 2013
143	Гараж емкостью 90 машиноместа	Энтузиастов ш., вл. 13	ЮВАО	90.00000000000	Февраль 2013	Ноябрь 2013
144	Гараж емкостью 175 машиноместа	2-й Южнопортовый пр,   вл. 27.	ЮВАО	175.00000000000	Сентябрь 2012	Ноябрь 2013
145	Гараж емкостью 100 машиноместа	Юных Ленинцев ул., вл. 73	ЮВАО	100.00000000000	Март 2013	Декабрь 2013
146	Гараж емкостью 453 машиноместа	Цимлянская ул., вл. 7	ЮВАО	453.00000000000	Март 2013	Декабрь 2013
147	Гараж емкостью 400 машиноместа	Новохохловская  ул. вл. 18.	ЮВАО	400.00000000000	Октябрь 2012	Ноябрь 2013
148	Гараж емкостью 120 машиноместа	Золоторожский Вал, вл. 22 (р-н Лефортово)	ЮВАО	120.00000000000	Март 2013	Декабрь 2013
149	Гараж емкостью 215 машиноместа	Абрамцевская  ул., вл. 29, корп. 1	СВАО	215.00000000000	Март 2013	Октябрь 2013
150	Гараж емкостью 275 машиноместа	Алтуфьевское ш. вл. 34А	СВАО	275.00000000000	Март 2013	Ноябрь 2013
151	Гараж емкостью 99 машиноместа	Новоалексеевская ул., вл. 11	СВАО	99.00000000000	Март 2013	Октябрь 2013
152	Гараж емкостью 125 машиноместа	Костромская ул., вл. 18-20	СВАО	125.00000000000	Январь 2013	Август 2013
153	Гараж емкостью 240 машиноместа	Ленская ул., вл. 31.	СВАО	240.00000000000	Март 2012	Декабрь 2013
154	Гараж емкостью 127 машиноместа	Мусоргского ул.,вл. 1.	СВАО	127.00000000000	Март 2013	Сентябрь 2013
155	Гараж емкостью 188 машиноместа	Тайнинская ул.,  вл. 13-15	СВАО	188.00000000000	Октябрь 2012	Сентябрь 2013
156	Гараж емкостью 291 машиноместа	Яблочкова ул.,  вл. 49	СВАО	291.00000000000	Февраль 2013	Сентябрь 2013
157	Гараж емкостью 543 машиноместа	Бибиревская ул., вл. 4.	СВАО	543.00000000000	Январь 2013	Октябрь 2013
158	Гараж емкостью 350 машиноместа	Летчика Бабушкина ул., вл. 42. стр. 1 и 2.	СВАО	350.00000000000	Январь 2013	Декабрь 2013
159	Гараж емкостью 950 машиноместа	Огородный пр-д, 20	СВАО	950.00000000000	Январь 2013	Декабрь 2013
160	Гараж емкостью 98 машиноместа	Дежнева пр., вл. 9. (кор. 1.)	СВАО	98.00000000000	 -	Январь 1900
161	Гараж емкостью 85 машиноместа	Бутлерова ул. вл.12	ЮЗАО	85.00000000000	Август 2012	Март 2013
162	Гараж емкостью 90 машиноместа	Генерала Тюленева ул. вл.2	ЮЗАО	90.00000000000	Август 2012	Март 2013
163	Гараж емкостью 257 машиноместа	Севастопольский пр-т, вл.28	ЮЗАО	257.00000000000	Март 2013	Декабрь 2013
164	Гараж емкостью 263 машиноместа	Азовская ул., вл. 35 (1-я очередь)	ЮЗАО	263.00000000000	Март 2013	Декабрь 2013
165	Гараж емкостью 939 машиноместа	Голубинская ул., напротив вл. 23	ЮЗАО	939.00000000000	Февраль 2013	Декабрь 2013
166	Гараж емкостью 300 машиноместа	Между Академ. Волгина ул. и пр.пр. 4989, кор. 46	ЮЗАО	300.00000000000	Февраль 2013	Декабрь 2013
167	Гараж емкостью 436 машиноместа	Одоевского пр-д, напротив  вл. 7	ЮЗАО	436.00000000000	Февраль 2013	Декабрь 2013
168	Гараж емкостью 405 машиноместа	Старобитцевская ул., напротив вл. 19-А	ЮЗАО	405.00000000000	Март 2013	Декабрь 2013
169	Гараж емкостью 326 машиноместа	Ясногорская ул. вл.21	ЮЗАО	326.00000000000	Декабрь 2012	Ноябрь 2013
170	Гараж емкостью 298 машиноместа	Литовский б-р, вл. 1-5	ЮЗАО	298.00000000000	Март 2013	Декабрь 2013
171	Гараж емкостью 98 машиноместа	Северное Тушино мкр. 4 вл. 21 (Героев Панфиловцев, вл. 17, к.4)	СЗАО	98.00000000000	Февраль 2013	Ноябрь 2013
172	Гараж емкостью 141 машиноместа	Свободы ул., вл. 91, корп. 3	СЗАО	141.00000000000	Февраль 2013	Ноябрь 2013
