№ строки	Название	Адрес	Административный округ	Количество машино-мест	Дата начала строительства	Дата окончания
1	Гараж емкостью 113 машиноместа	Добровольческая ул., вл. 18	ЦАО	113.00000000000	Январь 2013	Декабрь 2013
2	Гараж емкостью 178 машиноместа	Достоевского ул., вл. 1/21	ЦАО	178.00000000000	Апрель 2013	Декабрь 2013
3	Гараж емкостью 100 машиноместа	Новолесная ул. вл. 13	ЦАО	100.00000000000	Январь 2013	Ноябрь 2013
4	Гараж емкостью 140 машиноместа	Котельническая наб., вл. 17/1	ЦАО	140.00000000000	Январь 2013	Декабрь 2013
5	Гараж емкостью 67 машиноместа	Фрунзенская наб., вл. 32	ЦАО	67.00000000000	Январь 2013	Ноябрь 2013
6	Гараж емкостью 98 машиноместа	Бакунинская ул.,вл. 60.	ЦАО	98.00000000000	Октябрь 2012	Август 2013
7	Гараж емкостью 208 машиноместа	Пантелеевская ул., вл. 20	ЦАО	208.00000000000	Октябрь 2012	Август 2013
8	Гараж емкостью 528 машиноместа	Можайский, кв. 95, К 34,35,39 1 -я очередь	ЗАО	528.00000000000	Март 2013	Август 2013
9	Гараж емкостью 120 машиноместа	Никулинская ул. мкр.2-А  (Ак. Анохина ул,  вл. 12)  напротив	ЗАО	120.00000000000	Март 2013	Декабрь 2013
10	Гараж емкостью 234 машиноместа	Веерная ул., вл. 3	ЗАО	234.00000000000	Март 2013	Декабрь 2013
11	Гараж емкостью 99 машиноместа	Инициативная ул. вл. 7	ЗАО	99.00000000000	Март 2013	Декабрь 2013
12	Гараж емкостью 100 машиноместа	Олеко Дундича ул., вл. 37 (напротив)	ЗАО	100.00000000000	Март 2013	Декабрь 2013
13	Гараж емкостью 484 машиноместа	Вернадского пр-т, около вл. 8.	ЗАО	484.00000000000	Март 2013	Декабрь 2013
14	Гараж емкостью 172 машиноместа	Петрозаводская ул., вл. 32, корп. 1	САО	172.00000000000	Март 2013	Декабрь 2013
15	Гараж емкостью 118 машиноместа	Выборгская ул. вл.12	САО	118.00000000000	Март 2013	Декабрь 2013
16	Гараж емкостью 300 машиноместа	Солнечногорский проезд, вл.17	САО	300.00000000000	Февраль 2013	Ноябрь 2013
17	Гараж емкостью 196 машиноместа	Бескудниково, мкр. 3,  корп.78	САО	196.00000000000	Март 2013	Декабрь 2013
18	Гараж емкостью 296 машиноместа	Бескудниково, мкр. 1,  корп.75	САО	296.00000000000	Октябрь 2012	Декабрь 2013
19	Гараж емкостью 386 машиноместа	Керамический пр-д пл.Бескудниково	САО	386.00000000000	Октябрь 2012	Ноябрь 2013
20	Гараж емкостью 124 машиноместа	Зорге ул., вл. 3-5	САО	124.00000000000	Март 2013	Декабрь 2013
21	Гараж емкостью 124 машиноместа	Краснопрудная ул., вл. 3/5	ЦАО	124.00000000000	Декабрь 2010	Объект введен в III кв.
22	Гараж емкостью 292 машиноместа	Пантелеевская ул., вл. 2	ЦАО	292.00000000000	Декабрь 2010	Декабрь 2012
23	Гараж емкостью 123 машиноместа	Башиловская ул. вл. 23,	САО	123.00000000000	Июнь 2011	Объект введен в I кв.
24	Гараж емкостью 274 машиноместа	Полины Осипенко ул., вл.16	САО	274.00000000000	Сентябрь 2010	Объект введен в III кв.
25	Гараж емкостью 457 машиноместа	Западное Дегунино, Пяловская улица, вл.10а, к.61	САО	457.00000000000	Май 2012	Декабрь 2012
26	Гараж емкостью 99 машиноместа	Бескудниково, мкр. 2-3,  корп. 87	САО	99.00000000000	Март 2012	Декабрь 2012
27	Гараж емкостью 98 машиноместа	Весенняя ул. вл. 6, к. 27.	САО	98.00000000000	Декабрь 2011	Декабрь 2012
