№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
11	25500510	77:08:0002002:74	ш Пятницкое    (г Москва, ш Пятницкое, вл 6, корпус 8)	4706.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
12	25500749	77:08:0009004:12	ул Авиационная    (г Москва, ул Авиационная, вл 71, корпус 3)	11616.0	Субъект РФ - город Москва	Нет	эксплуатации учебно-воспитательного комплекса №1875
13	25500686	77:08:0002007:66	пер Митинский 3-й    (г. Москва, 3-й Митинский пер., вл. 6)	4827.0	Субъект РФ - город Москва	Нет	эксплуатации поликлиники № 65
14	25500396	77:07:0014008:19	пр-кт Вернадского    (г Москва, пр-кт Вернадского, вл 87)	8776.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ КАНАЛИЗАЦИОННОЙ НАСОСНОЙ СТАНЦИИ
15	25523111	77:07:0014008:102	пр-кт Вернадского    (г Москва, пр-кт Вернадского, вл 101, корп 6)	15999.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
16	25500809	77:08:0010007:12	ул ГЕНЕРАЛА ГЛАГОЛЕВА    (г Москва , ул Генерала Глаголева, вл 10)	14757.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СПОРТИВНОЙ ШКОЛЫ С КРЫТЫМ КАТКОМ
17	25500041	77:07:0008003:33	ш МОЖАЙСКОЕ    (г Москва, ш Можайское, вл 4, корпус 2)	9665.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
18	25499999	77:07:0008001:80	ул Барвихинская    (г Москва, ул Барвихинская, вл 12)	10042.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
19	25500627	77:08:0002006:58	ул Митинская    (г Москва, ул Митинская, вл 52, корпус 3)	8193.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 2192
20	25497605	77:03:0006025:65	ул Саянская    (г Москва, ул Саянская, вл 13Б)	9464.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
21	25501078	77:08:0013001:27	ул 1-я Лыковская    (г. Москва, ул. 1-я Лыковская, вл. 2, корп. 1, стр. 1)	2786.0	Субъект РФ - город Москва	Да	эксплуатации канализационно-насосной станции
22	25501075	77:09:0001016:87	ул Флотская    (г Москва, ул Флотская, вл 54А)	24.89	Субъект РФ - город Москва	Нет	эксплуатации сооружений специального назначения
23	25501074	77:09:0001016:85	ул Флотская    (г Москва, ул Флотская, вл 54А)	36.49	Субъект РФ - город Москва	Нет	эксплуатации сооружений специального назначения
24	25497889	77:04:0001016:13	ул Авиамоторная    (г Москва, ул Авиамоторная, вл 30А, стр 1)	7380.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
25	25497563	77:03:0006006:14	пр-кт Зеленый    (г Москва, Зеленый проспект, вл 10/32, корпус 19)	2923.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
26	25500575	77:08:0002005:37	пер Митинский 3-й    (г Москва, пер 3-й Митинский, вл 1, корпус 2)	7228.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
27	25500559	77:08:0002004:61	ул Барышиха    (г Москва, ул Барышиха, вл 42, корпус 1)	5732.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы №1744
28	25500365	77:07:0015007:45	ул Авиаторов    (г Москва, ул Авиаторов, вл 11)	12527.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧИЛИЩА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
29	25500361	77:07:0014007:54	ул Академика Анохина    (г Москва, ул Академика Анохина, вл 22, корпус 2)	2700.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ НАРКОЛОГИЧЕСКОГО КЛИНИЧЕСКОГО ДИСПАНСЕРА № 5
