№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
680	25435882	77:01:0003044:1004	пер Васнецова    (г. Москва, пер. Васнецова, вл. 12, соор. 2)	67.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения зданий коммунального хозяйства, сбыта и заготовок (1.2.9)
681	25436018	77:05:0002002:1000	ул Велозаводская    (г. Москва, ул. Велозаводская, вл. 8)	4029.0	Субъект РФ - город Москва	Нет	эксплуатация здания колледжа с прилегающей территорией
682	25432595	77:04:0004019:131	ул Донецкая    (г Москва, ул Донецкая, вл 17)	9741.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ
683	25432455	77:03:0004007:143	ул Соколиной Горы 8-я    (г Москва, ул Соколиной Горы 8-я, вл 15А)	15705.0	Субъект РФ - город Москва	Нет	эксплуатации административно-складских строений
684	25438458	77:01:0003026:4	ул Большая Почтовая    (г Москва, ул Большая Почтовая, вл 35, стр 1)	4275.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательную деятельность без права коммерческого использования.
685	25436445	77:07:0010004:1000	ул Мосфильмовская    (г. Москва, ул. Мосфильмовская, вл. 17А)	3084.0	Субъект РФ - город Москва	Нет	земельные участки предназначенные для размещения объектов образования (1.2.7)
686	25436656	77:06:0012006:1008	ул Адмирала Лазарева    (г. Москва, ул.Адмирала Лазарева, вл.40, к.2)	9020.44	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
687	25436071	77:02:0018011:1011	пр-кт Мира    (г. Москва, пр. Мира, вл. 119, стр. 609)	468.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов бытового обслуживания (1.2.5)
688	25477499	77:05:0003005:214	ш Варшавское    (г. Москва, Варшавское шоссе, вл. 86, корп. 2)	4701.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.17)
689	25477500	77:05:0003005:216	пр-кт Балаклавский    (г Москва, пр-кт Балаклавский, вл 6)	15112.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
690	25476799	77:02:0008007:118	ул Пестеля    (г Москва, ул Пестеля, вл 8Д)	8593.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
691	25476776	77:02:0008005:164	ул Санникова    (г Москва, ул Санникова, вл 9, корпус 2)	11.97	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ здания мобилизационного назначения
692	25476511	77:01:0005001:117	б-р Новинский    (г Москва, б-р Новинский, вл 3, стр 2)	7069.05	Субъект РФ - город Москва	Нет	эксплуатации под учебно-воспитательные цели
693	25364494	77:04:0004011:21	ул СТАВРОПОЛЬСКАЯ    (г Москва, Ставропольская улица, дом 20)	17296.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
694	25347115	77:04:0004027:1015	б-р Перервинский    (г. Москва, Перервинский бул., вл. 20, к. 2)	8123.4800000000005	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
695	25363975	77:04:0001007:97	ул Волочаевская    (г Москва, ул Волочаевская, вл 14А)	681.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД БИБЛИОТЕКУ
696	25363947	77:03:0006021:49	ул Фрязевская    (г Москва, ул Фрязевская, вл 7)	15934.0	Субъект РФ - город Москва	Нет	объекты размещения учреждений начального и среднего общего образования (1.2.17)
697	25433378	77:07:0001002:164	ул Крылатские Холмы    (г Москва, улица Крылатские Холмы, вл 38)	1220.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ КОНЕЧНОЙ СТАНЦИИ АВТОБУСОВ
698	25433446	77:07:0008004:159	ш Сколковское    (г Москва, ш Сколковское, вл 6)	9140.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО ДОМА-ИНТЕРНАТА №24
699	25408694	77:04:0002002:21	ул Шатурская    (г. Москва, ул. Шатурская, вл. 1)	11124.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
700	25408719	77:04:0004024:61	ул БРАТИСЛАВСКАЯ    (г Москва, ул Братиславская, вл 9)	7567.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
701	25408682	77:04:0003009:36	ул Шоссейная    (г Москва, ул Шоссейная, д. 66)	600.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЧАСТИ ЗДАНИЯ ПОЧТОВОЙ СВЯЗИ
702	25408691	77:04:0002012:41	ул Ташкентская    (г Москва, ул Ташкентская, вл 22, корпус 4)	6947.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
703	25408610	77:04:0003007:27	ул Шоссейная    (г Москва, ул Шоссейная, вл 7)	18997.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ШКОЛЫ №1146
704	25347571	77:07:0016002:1022	ул Внуковская Б.    (г. Москва, ул. Большая Внуковская, вл. 6)	13119.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов культуры (1.2.7)
705	25346658	77:01:0003014:1002	пер Госпитальный    (г. Москва, Госпитальный пер., вл. 3)	5227.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7).
706	25347640	77:07:0015003:1037	ул Щорса    (г. Москва, ул. Щорса, вл. 6, к. 1)	19284.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
707	25453237	77:04:0004017:17	ул Верхние Поля    (г Москва, ул Верхние Поля, дом 3, стр 2)	1980.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНОГО ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
708	25452586	77:03:0006011:54	ул Владимирская 3-я    (г Москва, ул 3-я Владимирская, вл 26А)	11761.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
709	25451567	77:02:0015007:39	проезд Нансена    (г Москва, проезд Нансена, вл 14)	14461.0	Субъект РФ - город Москва	Нет	использования территории и эксплуатации зданий учебно-воспитательного комплекса
710	25452819	77:03:0009004:55	ул Новокосинская    (г Москва, ул Новокосинская, вл 40А, стр 1)	11527.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
711	25452556	77:03:0005018:44	ш Щелковское    (г Москва, Щелковское шоссе, вл 82, корпус 2)	2649.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
712	25363950	77:03:0006021:65	пр-кт Зеленый    (г Москва, пр-кт Зеленый, вл 74, стр 1)	8742.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧИЛИЩА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
713	25452087	77:03:0002004:54	ул Николая Химушина    (г Москва, ул Николая Химушина, вл 17, корпус 3)	621.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ КЛУБА ПОД КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКИЕ ЦЕЛИ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
714	25453616	77:05:0004004:13	ш Каширское    (г Москва, Каширское шоссе, вл 15)	3071.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ УЧИЛИЩА
715	25452547	77:03:0005008:42	ул 5-я Парковая    (г Москва, ул 5-я Парковая, вл 39)	3524.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
716	25452041	77:03:0002015:52	ул ЧУСОВСКАЯ    (г Москва, ул Чусовская, вл 7-А)	1491.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
717	25455920	77:08:0008001:28	ул ИСАКОВСКОГО    (г Москва, ул Исаковского, вл 29, корпус 2)	8717.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ НАЧАЛЬНОЙ ШКОЛЫ-ДЕТСКОГО САДА № 1764
718	25436199	77:04:0004024:1010	б-р Перервинский    (г. Москва, Перервинский бул., вл. 5, к. 3)	15226.07	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
719	25435929	77:02:0003004:1005	проезд Черского    (г. Москва, пр. Черского, вл. 13, стр. 4)	2175.33	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов торговли, бытового обслуживания (1.2.5); земельные участки, предназначенные для размещения административных и офисных зданий (1.2.7)
720	25436881	77:07:0015005:1231	ул Чоботовская    (г. Москва, ул. Чоботовская, вл. 19)	17398.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
721	25436576	77:07:0014007:1009	ул Академика Анохина    (г. Москва, ул. Академика Анохина, вл. 28, корп. 2)	10454.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
722	25439525	77:08:0009013:5	ул Щукинская    (г. Москва, ул. Щукинская, вл. 7)	8260.0	Субъект РФ - город Москва	Нет	новое капитальное строительство детского дома-интерната для детей инвалидов с физическими недостатками на 151 место (земельные участки, предназначенные для размещения объектов образования(1.2.7))
723	25439131	77:03:0010002:5	ул ВЕТЛУЖСКАЯ    (г Москва, ул Ветлужская, вл 4А)	11271.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
724	25410642	77:07:0008001:92	ул Толбухина    (г Москва, ул Толбухина, вл 7, корпус 3)	12194.0	Субъект РФ - город Москва	Нет	эксплуатации здания и спортивной площадки
725	25411205	77:07:0018000:47	ул Новорублевская 2-я    (г Москва, п  Рублево, ул Новорублевская 2-я, вл 15, корпус 3)	10701.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ДЕТСКОГО ЯСЛЕЙ-САДА
726	25409357	77:05:0007006:57	ул Чертановская    (г Москва, ул Чертановская, вл 44 А)	14270.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ  ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
727	25410416	77:06:0008011:64	б-р Литовский    (г Москва , б-р Литовский, вл 4)	979.0	Субъект РФ - город Москва	Да	земельные участки, предназначенные для размещения объектов торговли, общественного питания (1.2.5)
728	25408354	77:03:0007004:74	ул Молдагуловой    (г Москва, ул Молдагуловой, вл 30А)	7830.0	Субъект РФ - город Москва	Нет	эксплуатации здания и территории детского сада
729	25408346	77:03:0009004:81	ул Салтыковская    (г Москва, ул Салтыковская, вл 13А)	18054.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
730	25408345	77:03:0009004:79	ул Новокосинская    (г Москва, ул Новокосинская, вл 26)	7498.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ МУЗЫКАЛЬНОЙ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
731	25406312	77:01:0005012:38	пр-кт Комсомольский    (г Москва, пр-кт Комсомольский, вл 16/2, стр 1-2)	3600.0	Субъект РФ - город Москва	Да	эксплуатации зданий историко-культурного назначения
732	25452244	77:03:0004005:23	ул Большая Семеновская    (г Москва, ул Большая Семеновская, вл 52, стр 1)	378.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ
733	25451843	77:02:0021009:23	ш Старомарьинское    (г Москва, ш Старомарьинское, вл 5)	9731.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
734	25451540	77:02:0015006:61	ул Амундсена    (г. Москва, ул. Амундсена, д. 14, к. 1)	5260.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования, культуры, искусства (1.2.17)
735	25434103	77:09:0002007:141	проезд Керамический    (г Москва, проезд Керамический, вл 61, корпус 3)	7018.0	Субъект РФ - город Москва	Нет	эксплуатации плавательного бассейна
736	25434087	77:09:0001008:120	ул Петрозаводская    (г. Москва, ул. Петрозаводская, вл. 28А)	10496.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
737	25434062	77:09:0001008:104	ул Петрозаводская    (г Москва, ул Петрозаводская, вл 26)	2586.0	Субъект РФ - город Москва	Нет	эксплуатации поликлиники
738	25433706	77:07:0013006:185	ул Лобачевского    (г Москва, ул Лобачевского, вл 54)	10875.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
739	25433770	77:07:0015005:239	ул Наро-Фоминская    (г Москва, ул Наро-Фоминская, вл 21, стр 1, 2)	1773.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
740	25436723	77:07:0015003:1036	ул Богданова    (г. Москва, ул. Богданова, вл. 10, корп. 3)	4791.09	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
741	25433514	77:06:0006003:237	ул Миклухо-Маклая    (г Москва, ул Миклухо-Маклая, вл 29, корпус 3)	3626.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса поликлиники
742	25405883	77:01:0004023:12	ул Климашкина    (г Москва, ул Климашкина, вл 13б, стр 1)	7618.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательные цели и благоустройства территории
743	25405624	77:01:0003011:15	пер Денисовский    (г Москва, пер Денисовский, вл 15, стр 1)	7734.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательную деятельность без права коммерческого использования
744	25409107	77:05:0004003:97	ш Варшавское    (г Москва, ш Варшавское, вл 53, корпус 2)	4221.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада с прилегающим земельным участком
745	25409092	77:05:0001003:17	ул Дубининская    (г Москва, ул Дубининская, вл 71, стр 14)	850.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНО-ПРОИЗВОДСТВЕННОГО ЗДАНИЯ
746	25405819	77:01:0003009:43	ул Старая Басманная    (г Москва, ул Старая Басманная, вл 23/9)	2500.0	Субъект РФ - город Москва	Да	эксплуатации зданий историко-культурного назначения
747	25405130	77:01:0001048:80	пер Большой Афанасьевский    (г Москва, пер Большой Афанасьевский, вл 15, стр 9)	204.0	Субъект РФ - город Москва	Нет	эксплуатации здания и прилегающей территории для размещения экспозиции музея
748	25408900	77:04:0004021:22	кв-л Капотня 5-й    (г Москва, кв-л Капотня 5-й, вл 21)	9859.0	Субъект РФ - город Москва	Нет	эксплуатации дошкольного учреждения и прилегающей территории
749	25405541	77:01:0002026:65	ул Земляной Вал    (г Москва, ул Земляной Вал, вл 76/21, стр 1-1А)	6708.0	Субъект РФ - город Москва	Нет	эксплуатации здания под театральную деятельность
750	25477004	77:03:0007003:100	ул Снайперская    (г Москва, ул Снайперская, вл 11А, стр 1)	20887.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
751	25476681	77:02:0008002:101	ул Каргопольская    (г Москва, ул Каргопольская, вл 13, корпус 2)	20954.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы.
752	25476577	77:02:0007001:188	ш Алтуфьевское    (г. Москва, ш. Алтуфьевское, вл. 42 Б)	14308.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
753	25476667	77:02:0002011:140	ул Мурановская    (г. Москва, Мурановская улица, вл. 10В)	16525.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ здания школы
754	25452345	77:03:0003024:34	ул Знаменская    (г. Москва, ул. Знаменская, вл. 6)	7160.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
755	25452572	77:03:0006003:40	ул Плющева    (г Москва, ул Плющева, вл 13А, стр 1)	14868.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
756	25366729	77:08:0003007:10	б-р Яна Райниса    (г Москва, б-р Яна Райниса, вл 2, корпус 5)	9724.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
757	25363262	77:03:0005002:51	проезд ЩЕЛКОВСКИЙ    (г Москва, проезд Щелковский, вл 1А, стр 1)	4457.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА-ЯСЛЕЙ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
758	25364459	77:04:0004010:23	ул Краснодарская    (г Москва, ул Краснодарская, вл 9)	16319.0	Субъект РФ - город Москва	Нет	эксплуатации здания  школы
759	25363397	77:03:0003021:74	ул Большая Черкизовская    (г Москва, ул Большая Черкизовская, вл 15)	34570.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДВОРЦА ТВОРЧЕСТВА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
760	25436619	77:07:0001002:1021	ул Крылатские Холмы    (г. Москва, ул. Крылатские Холмы, вл. 23)	11894.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
761	25436527	77:05:0009003:1014	ул Медынская    (г. Москва, ул. Медынская, вл. 11А)	4123.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения административных  и офисных зданий, объектов социального обеспечения (1.2.7)
762	25436828	77:09:0002004:1001	ул Клязьминская    (г. Москва, ул. Клязьминская, вл. 38)	4668.39	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения административных и офисных зданий, объектов образования, науки, здравоохранения и социального обеспечения, физической культуры и спорта, культуры, искусства, религии (1.2.7).
763	25436896	77:08:0008012:1000	(г. Москва, территория природно-исторического парка "Москворецкий" СЗАО г.Москвы)	190920.0	Субъект РФ - город Москва	Нет	природоохранные и эколого-просветительские цели
764	25436912	77:08:0009021:1000	(г. Москва, территория природно-исторического парка "Москворецкий" СЗАО г. Москвы)	74320.0	Субъект РФ - город Москва	Нет	природоохранные и эколого-просветительские цели
765	25409110	77:05:0001015:73	пр-кт Севастопольский    (г Москва, пр-кт Севастопольский, вл 3 А)	2844.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
766	25408829	77:04:0004008:42	ул Летняя    (г Москва, ул Летняя, вл 1, стр 1)	6500.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ИСТОРИКО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ
767	25318842	77:03:0005024:13	ул Магнитогорская    (г Москва, Магнитогорская улица, вл 15)	15130.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
768	25408545	77:04:0002007:34	ул Институтская 3-я    (г Москва, ул 3-я  Институтская , вл 12, корпус 2)	3835.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД ДЕТСКИЙ САД-ЯСЛИ
769	25408313	77:03:0007003:60	ул Красный Казанец    (г Москва, ул Красный Казанец, вл 7-А, стр 1)	9194.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД РАЗМЕЩЕНИЕ ОВД Р-НА "ВЕШНЯКИ"
770	25408582	77:04:0002017:37	ул Федора Полетаева    (г Москва, ул Федора Полетаева, вл 2, корпус  7)	1032.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ КОЛЛЕДЖА-ЛИЦЕЯ
771	25408342	77:03:0009004:57	ул ГОРОДЕЦКАЯ    (г Москва, ул Городецкая, вл 9А)	9145.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
772	25477767	77:05:0011005:132	ул Генерала Белова    (г Москва, ул Генерала Белова, вл 19, корпус 3)	10346.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
773	25477765	77:05:0011005:128	проезд Борисовский    (г Москва, проезд Борисовский, вл 36, корпус 6)	10086.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
774	25477689	77:05:0010003:187	ул Донбасская    (г Москва, ул Донбасская, вл 5)	5000.0	Субъект РФ - город Москва	Нет	РАЗРАБОТКИ АКТА РАЗРЕШЕННОГО ИСПОЛЬЗОВАНИЯ МОСКОМАРХИТЕКТУРЫ, ПРОЕКТНОЙ ДОКУМЕНТАЦИИ И СТРОИТЕЛЬСТВА ФИЗКУЛЬТУРНО-ОЗДОРОВИТЕЛЬНОГО КОМПЛЕКСА ИЗ БЫСТРОВОЗВОДИМЫХ КОНСТРУКЦИЙ
775	25477751	77:05:0011005:113	проезд Борисовский    (г Москва, проезд Борисовский, вл 46, корпус 3)	9295.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
776	25477662	77:05:0012002:195	ул Мусы Джалиля    (г Москва, ул Мусы Джалиля, вл 29, корпус 2)	17672.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
777	25477659	77:05:0011003:100	ул ДОМОДЕДОВСКАЯ УЛИЦА    (г Москва, ул Домодедовская, вл 31, корпус 2)	11001.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
778	25477895	77:06:0004001:181	ул Новочеремушкинская    (г Москва, ул Новочеремушкинская, вл 24а)	877.0	Субъект РФ - город Москва	Да	эксплуатации служебного здания
779	25477669	77:05:0010003:136	ул Ряжская    (г Москва, ул Ряжская, вл 11)	9829.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
780	25452867	77:03:0007005:53	ул Косинская    (г Москва, ул Косинская, вл 10, стр 1)	28827.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы и прилегающей территории
781	25452875	77:04:0001007:63	ул Волочаевская    (г.Москва, ул.Волочаевская, вл.38)	18369.23	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения административных и офисных зданий, объектов культуры, искусства (1.2.7)
782	25452618	77:03:0005021:28	ул 16-я Парковая    (г. Москва, ул. 16-я Парковая, вл. 11)	11149.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
783	25453344	77:04:0004001:28	ул 1-я Текстильщиков    (г Москва, ул 1-я Текстильщиков, вл 9 Б, стр 1)	4127.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ № 88
784	25451342	77:02:0010004:18	ул Таймырская    (г Москва, ул Таймырская, вл 5, стр 1, 2, 3, 4)	21582.0	Субъект РФ - город Москва	Нет	эксплуатации зданий школы
785	25453091	77:04:0002010:20	б-р Самаркандский    (г Москва, б-р Самаркандский, дом 10, корп 3)	9760.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
786	25452832	77:03:0009004:66	ул Новокосинская    (г Москва, ул Новокосинская, вл 42А)	16728.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы и прилегающей территории
787	25451901	77:02:0024030:62	пер Октябрьский    (г Москва, пер Октябрьский, вл 11)	7015.0	Субъект РФ - город Москва	Нет	эксплуатации здания школы
788	25451529	77:02:0011003:42	ул Осташковская    (г Москва, ул Осташковская, вл 7)	5051.0	Субъект РФ - город Москва	Нет	эксплуатации здания дошкольного образовательного учреждения
789	25453542	77:05:0001013:60	ул Даниловский Вал    (г Москва, ул Даниловский Вал, вл 20)	532.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЙ ИСТОРИКО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ
790	25433489	77:06:0006003:110	ул Академика Волгина    (г Москва, ул Академика Волгина, вл 5 А)	9417.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права  изменения функционального назначения
791	25432909	77:04:0005001:117	ул Маршала Полубоярова    (г Москва, ул Маршала Полубоярова, вл 22)	13485.0	Субъект РФ - город Москва	Нет	эксплуатации здания и прилегающей территории средней школы
792	25433149	77:05:0008002:139	проезд Россошанский    (г Москва, проезд Россошанский, вл 5Б)	9547.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
793	25433138	77:05:0010004:138	ул Загорьевская    (г Москва, ул Загорьевская, вл 12, корпус 2)	8212.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СТРОЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
