№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
27	Государственное бюджетное образовательное учреждение города Москвы центр образования "Технологии обучения"	121151 г. Москва Резервный проезд, д. 10	Бюджетное	Общеобразовательное учреждение	Центр образования	232-30-07	http://home-edu.ru/
28	Государственное бюджетное образовательное учреждение города Москвы центр образования № 936	115682 г. Москва, Задонский пр. д.34,к.3	Бюджетное	Общеобразовательное учреждение	Центр образования	395-92-64	http://www.sch936.edusite.ru/
29	Государственное бюджетное образовательное учреждение города Москвы центр образования № 975	115408 Москва, ул. Алма-Атиинская д.9,к.3	Бюджетное	Общеобразовательное учреждение	Центр образования	341-86-83	http://sch975.edusite.ru/p1aa1.html
30	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1828 "Сабурово"	115211 Москва, Каширское ш. д.55-7	Бюджетное	Общеобразовательное учреждение	Центр образования	344-70-54	http://saburovo1828.msk.ru/
31	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1862	117452 г. Москва, ул. Черноморский бульвар д.6	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 610-77-66	http://opencenter.ru/
32	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1433	115573 г. Москва, Шипиловский пр-д, д.46 корп.3	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 390-02-28; (495) 390-34-50; (495) 393-01-02	http://sch1433.edusite.ru/
33	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1861 "Загорье"	115598 Москва, Загорьевский пр., 13	Бюджетное	Общеобразовательное учреждение	Центр образования	392-71-22	http://www.scnool1861.ru
34	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1440	121609 г.Москва, Осенний бульвар, д. 10, корпус 3	Бюджетное	Общеобразовательное учреждение	Центр образования	415-98-55	http://co1440.mskzapad.ru
35	Государственное бюджетное образовательное учреждение города Москвы Центр образования "Школа здоровья" № 449	105187, г. Москва, ул. Ткацкая, д. 47	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	(499) 369-74-12	http://school449.mitroclub.ru
36	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1467	119634 г.Москва, ул.Шолохова, д. 9	Бюджетное	Общеобразовательное учреждение	Центр образования	733-53-42	http://www.co1467.mskzapad.ru
37	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1476	105568, Москва, ул. Челябинская, д. 20	Бюджетное	Общеобразовательное учреждение	Центр образования	308-00-29	http://school1476.narod.ru
38	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 2006	117216, г.Москва, ул. Грина, дом 18, корпус 3, строение 1	Бюджетное	Общеобразовательное учреждение	Центр образования	714-86-63	http://www.school2006msk.ru
39	Государственное бюджетное образовательное учреждение города Москвы центр образования  № 656 имени А.С. Макаренко	127474, г. Москва, Бескудниковский бульвар, дом 29	Бюджетное	Общеобразовательное учреждение	Центр образования	488-04-12	http://makarenko.ucoz.ru/
40	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1450	117556 г. Москва, ул Фруктовая д.9	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 613-22-66	http://sch1450.edusite.ru
41	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1429 имени Героя Советского Союза Н.А.Боброва	105082 г.Москва, Переведеновский пер., д.11	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 267-87-53	http://www/school1429.ru
42	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1130	121609 г. Москва, ул. Осенняя, д.8, к.1,3	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 413-03-04; (495) 415-29-67	http://sch1130.mskzapad.ru
43	Государственное автономное образовательное учреждение города Москвы центр образования № 548 "Царицыно"	115569 г.Москва, ул. Маршала Захарова д.8, к.1	Автономное	Общеобразовательное учреждение	Центр образования	393-43-81	http://mhs548.ru/
44	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1455	119633 г.Москва, Боровское шоссе, д.18, корп.4	Бюджетное	Общеобразовательное учреждение	Центр образования	732-13-50	http://co1455.mskzapad.ru
45	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1448	119192 г.Москва, Мичуринский проспект, д. 5, корпус 1	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 641-16-27	http://co1448.mskzapad.ru
46	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 943	115580 Москва, ул. Мусы Джалиля, 29, корп.2	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	396-16-55	http://sch943.edusite.ru
47	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1483	105043, г. Москва, 7-я Парковая,  дом  1-а	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 367-79-54	http://cov1483.mskobr.ru
48	Государственное бюджетное образовательное учреждение города Москвы Центр образования №1080 "Экополис"	107392, г. Москва, ул. Знаменская, д.12/4	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 161-75-39	http://school1080.edusite.ru/
49	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 117	117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1	Бюджетное	Общеобразовательное учреждение	Центр образования	134-70-95	http://www.school117.ru
50	Государственное бюджетное образовательное учреждение города Москвы Центр образования "Школа здоровья" № 287 имени С. К. Годовикова	129085, г. Москва, ул. Годовикова, дом 16А	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	(495) 615-32-00; (495) 615-48-65	http://co287sv.mskobr.ru
51	Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1434	119607 г.Москва, ул Раменки д.15 к1	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 932-00-00; (495) 932-08-01	http://co1434.mskzapad.ru
52	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1085	109548, г. Москва, ул. Гурьянова, д. 15	Бюджетное	Общеобразовательное учреждение	Центр образования	353-68-50	http://school1085.ru
53	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 46	119421, г. Москва, ул.Обручева, дом 28А	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	936-62-71	http://school46msk.ru
54	Государственное бюджетное образовательное учреждение города Москвы центр образования № 170 имени А.П.Чехова	117485, г. Москва, Профсоюзная ул., дом 96 Б	Бюджетное	Общеобразовательное учреждение	Центр образования	335-50-77	http://center170.ru
55	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1317	119602 г.Москва, ул. Академика Анохина, д.4, корпус 5	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	735-66-11	http://школа 1317.рф
56	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1462	109451, г. Москва, Мячковский бульвар, дом 7, к. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	345-07-51	http://www.co1462.ru/
57	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1863	117042, г. Москва, улица Поляны, дом 31А	Бюджетное	Общеобразовательное учреждение	Центр образования	716-80-45	http://www.center1863.msk.ru
58	Государственное бюджетное образовательное учреждение города Москвы центр образования № 644 "Гармония"	125480, г. Москва, ул. Вилиса Лациса, д. 11, корп. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	495-12-46	http://co644.jimdo.com
59	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1927	111672, г. Москва, ул. Салтыковская, д, 13А	Бюджетное	Общеобразовательное учреждение	Центр образования	702-58-81	http://sch1927.ru
60	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 324 "Жар-птица"	119454 г.Москва, ул. Лобачевского, д. 54	Бюджетное	Общеобразовательное учреждение	Центр образования	431-19-87	http://s324.ru
61	Государственное бюджетное образовательное учреждение города Москвы центр образования № 429 "Соколиная гора"	105118, Москва, пр-т Буденного, д.15-а	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 366-12-51; (495) 365-09-03; (495) 918-24-11; (495) 365-40-82; (495) 365-30-33; (495) 779-09-99; (495) 779-09-98	http://school-429.ru
62	Государственное бюджетное образовательное учреждение города Москвы центр образования № 734 "Школа самоопределения"	105484, г. Москва, Сиреневый бульвар, 58А	Бюджетное	Общеобразовательное учреждение	Центр образования	461-43-90	http://734.msk.ru
63	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1492	117041, г.Москва, ул. Адмирала Лазарева, д.62, корп.2	Бюджетное	Общеобразовательное учреждение	Центр образования	714-03-36	http://1492co.mosuzedu.ru/
64	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1602	111625, г. Москва, ул. Златоустовская, д. 3	Бюджетное	Общеобразовательное учреждение	Центр образования	700-45-40	http://www.schoolco-1602.narod.ru
65	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1480	105064 г.Москва, Гороховский пер., д.10, стр.1	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 261-43-26	http://coc1480.mskobr.ru
66	Государственное бюджетное образовательное учреждение города Москвы центр образования № 166	127572 г. Москва, Алтуфьевское шоссе, дом 97, корпус 3	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 200-06-15; (499) 200-52-70	http://co166.svao.mskobr.ru
67	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1446	127549 г. Москва, Костромская улица, дом 14, корпус 1	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 902-22-27	http://www.co1446.svao.mskobr.ru
68	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1464	129626, г. Москва, улица Павла Корчагина, дом 1-а	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 682-44-38; (495) 686-19-87	http://co1464.svao.mskobr.ru
69	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1430	127572, г.Москва, ул.Новгородская, д.21А	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 200-14-00	http://co1430.svao.mskobr.ru/
