№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно - образовательный центр "Команда"	143513, Московская область, Истринский район, поселок Гидроузла им. Куйбышева, стр. 36	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 994-53-76; (496) 316-31-86; (496) 316-33-31	http://komanda-center.ru
2	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы "МАРТ"	119607, г.Москва, Мичуринский проспект, д. 29, корп. 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	932-20-38	http://cvr-mart.mskzapad.ru
3	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Доверие"	125167, г. Москва, улица Красноармейская, дом 12	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	612-80-30	http://soudo.ru/udo13
4	Государственное бюджетное образовательное учреждение Московский городской детский морской центр имени Петра Великого	125212 г.Москва, Ленинградское шоссе, 56а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	452-27-84	http://mkum.ru
5	Государственное бюджетное образовательное учреждение дополнительного профессионального образования (повышения квалификации) специалистов города Москвы методический центр Западного окружного управления образования Департамента образования города Москвы	119454 г.Москва, ул.Лобачевского, дом 66	Бюджетное	Структура управления образования	Центр (структуры управления образования)	432-97-25	http://www.omczo.org
6	Государственное бюджетное образовательное учреждение города Москвы центр педагогического мастерства	115419, Москва, 2-й Верхний Михайловский пр.д.9-а	Бюджетное	Структура управления образования	Центр (структуры управления образования)	737-73-70	http://www.pedagog-master.ru
7	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Лекотека"	125319, г. Москва, ул. Часовая, д. 5а	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 152-02-51; (499) 152-42-24	http://www.lekoteka.edu.ru/
8	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения "Раменки"	119607, г.Москва, Мичуринский проспект, д. 33, корп. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	932-93-20	http://www.ramenki.mskzapad.ru
9	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Благо"	121151 г.Москва, Кутузовский проспект, д. 24	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 243-64-83; (499) 243-50-27; (499) 243-04-23	http://blago.mskzapad.ru
10	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Исток"	105423 3-я Парковая улица, д. 50А	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 165-42-21; (499) 165-57-27; (499) 166-68-58	http://istokhelp.ru
11	Государственное бюджетное образовательное учреждение города Москвы центр диагностики и консультирования "Южный"	117638 Нахимовский проспект, д.6, стр.1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр диагностики и консультирования	(499) 794-29-45	http://cdik.ru
12	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "На Снежной"	129323, г. Москва, ул. Снежная, д. 9, стр. 1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 189-67-71	http://centrpsy.ru/
