key	code	regname	value
1053	6	Басманный район 	отс.
1053	8	Район Замоскворечье 	отс.
1053	5	Красносельский район 	отс.
1053	4	Мещанский район 	отс.
1053	2	Пресненский район 	отс.
1053	7	Таганский район 	отс.
1053	3	Тверской район 	отс.
1053	1	Район Хамовники 	отс.
1053	10	Район Якиманка 	отс.
1053	22	Район Аэропорт 	отс.
1053	24	Район Беговой 	отс.
1053	12	Бескудниковский район 	отс.
1053	20	Войковский район 	отс.
1053	18	Головинский район 	отс.
1053	11	Район Восточное Дегунино 	отс.
1053	14	Район Западное Дегунино 	отс.
1053	13	Дмитровский район 	отс.
1053	19	Район Коптево 	отс.
1053	17	Район Левобережный 	отс.
1053	27	Молжаниновский район 	отс.
1053	25	Савёловский район 	отс.
1053	21	Район Сокол 	отс.
1053	26	Тимирязевский район 	отс.
1053	16	Район Ховрино 	отс.
1053	23	Хорошёвский район 	отс.
1053	42	Алексеевский район 	отс.
1053	30	Алтуфьевский район 	отс.
1053	35	Бабушкинский район 	отс.
1053	29	Район Бибирево 	отс.
1053	38	Бутырский район 	отс.
1053	28	Район Лианозово 	отс.
1053	36	Лосиноостровский район 	отс.
1053	39	Район Марфино 	отс.
1053	40	Район Марьина роща 	отс.
1053	33	Район Северное Медведково 	отс.
1053	32	Район Южное Медведково 	отс.
1053	43	Останкинский район 	отс.
1053	31	Район Отрадное 	отс.
1053	41	Район Ростокино 	отс.
1053	34	Район Свиблово 	отс.
1053	44	Район Северный 	отс.
1053	37	Ярославский район 	отс.
1053	54	Район Богородское 	отс.
1053	49	Район Вешняки 	отс.
1053	61	Район Восточный 	отс.
1053	56	Район Гольяново 	отс.
1053	47	Район Ивановское 	отс.
1053	59	Район Восточное Измайлово 	отс.
1053	58	Район Измайлово 	отс.
1053	57	Район Северное Измайлово 	отс.
1053	51	Район Косино-Ухтомский 	отс.
1053	55	Район Метрогородок 	отс.
1053	46	Район Новогиреево 	отс.
1053	50	Район Новокосино 	отс.
1053	45	Район Перово 	отс.
1053	53	Район Преображенское 	отс.
1053	60	Район Соколиная гора 	отс.
1053	52	Район Сокольники 	отс.
1053	68	Район Выхино-Жулебино 	отс.
1053	62	Район Капотня 	отс.
1053	67	Район Кузьминки 	отс.
1053	71	Район Лефортово 	отс.
1053	64	Район Люблино 	отс.
1053	63	Район Марьино 	отс.
1053	74	Район Некрасовка 	отс.
1053	70	Нижегородский район 	отс.
1053	65	Район Печатники 	отс.
1053	69	Рязанский район 	отс.
1053	66	Район Текстильщики 	отс.
1053	72	Южнопортовый район 	отс.
1053	80	Район Бирюлёво Восточное 	отс.
1053	79	Район Бирюлёво Западное 	отс.
1053	78	Район Братеево 	отс.
1053	91	Даниловский район 	отс.
1053	90	Донской район 	отс.
1053	77	Район Зябликово 	отс.
1053	82	Район Москворечье-Сабурово 	отс.
1053	83	Район Нагатино-Садовники 	отс.
1053	84	Район Нагатинский затон 	отс.
1053	88	Нагорный район 	отс.
1053	75	Район Орехово-Борисово Северное 	отс.
1053	76	Район Орехово-Борисово Южное 	отс.
1053	81	Район Царицыно 	отс.
1053	85	Район Чертаново Северное 	отс.
1053	86	Район Чертаново Центральное 	отс.
1053	87	Район Чертаново Южное 	отс.
1053	101	Академический район 	отс.
1053	104	Район Северное Бутово 	отс.
1053	105	Район Южное Бутово 	отс.
1053	98	Гагаринский район 	отс.
1053	99	Район Зюзино	отс.
1053	96	Район Коньково 	отс.
1053	102	Район Котловка 	отс.
1053	97	Ломоносовский район 	отс.
1053	103	Обручевский район 	отс.
1053	95	Район Тёплый Стан 	отс.
1053	100	Район Черёмушки 	отс.
1053	94	Район Ясенево 	отс.
1053	122	Район Внуково 	отс.
1053	116	Район Дорогомилово 	отс.
1053	106	Район Крылатское 	отс.
1053	107	Район Кунцево 	отс.
1053	108	Можайский район 	отс.
1053	121	Район Ново-Переделкино 	отс.
1053	112	Район Очаково-Матвеевское 	отс.
1053	119	Район Проспект Вернадского 	отс.
1053	114	Район Раменки 	отс.
1053	120	Район Солнцево 	отс.
1053	113	Район Тропарёво-Никулино 	отс.
1053	111	Район Филёвский парк 	отс.
1053	109	Район Фили-Давыдково 	отс.
1053	130	Район Куркино 	отс.
1053	129	Район Митино 	отс.
1053	125	Район Покровское-Стрешнево 	отс.
1053	128	Район Строгино 	отс.
1053	93	Район Северное Тушино 	отс.
1053	92	Район Южное Тушино 	отс.
1053	127	Район Хорошёво-Мневники 	отс.
1053	126	Район Щукино 	отс.
1053	131	Район Крюково 	отс.
1053	132	Район Матушкино 	отс.
1053	134	Район Савёлки 	отс.
1053	135	Район Силино 	отс.
1053	137	Район Старое Крюково 	отс.
