Key	KBKFinancing_Id	ActualDate	Val	Id
4535	1547	20130101000000	 	62d16a4e9eb2455c8f492b6704e9b2cd
5003	1547	20150101000000	0,0	f2bea40b5fc34e45a36538805f4a15f2
6454	1547	20160101000000	0,0	d38e202e6e094a5c9b785f3c981fae4c
7684	1547	20140101000000	 	373c26914dfe4e3fa08e80ef5e949963
9934	1547	20120101000000	2238276,7	ab92f32cb3b844bcaf39bebc439c1266
11359	1547	20110101000000	0,0	5c934283f0b14a3f9c35e380ebf75150
3801	2044	20110101000000	 	8b34b63397174412a70317c608cf03f1
4309	2044	20150101000000	402433,1	2d7a90adb7fd49b9ac9e2533a337578d
5759	2044	20130101000000	349107,0	30587304e6c242829ee74cbffd63204e
6734	2044	20140101000000	379653,9	d4413ca514c5493e90c066d609189c18
8959	2044	20160101000000	426579,1	010e46fda3bd48248411a4f9ddeb96e0
10887	2044	20120101000000	411043,0	53315834d22f431aaeedd7daa4134d91
12457	3518	20120101000000	27,0	6f9078108d644241aab7b9a80c705caa
2981	1560	20150101000000	11906,5	0d2c6247890a426686c701d701feb25a
4266	1560	20110101000000	 	309da9ec4d4844c196e92417c543fdde
5805	1560	20120101000000	1423,9	c6e03b665f1847c38e664e24c4652986
7326	1560	20160101000000	12501,8	1c0a925650554804a89d7762ae1e59f5
8422	1560	20140101000000	11339,5	41efcc91d8bf4ba29e6196deb042f440
9904	1560	20130101000000	12339,5	f1816f00c147464ebad0bda26d5961b8
12504	3570	20120101000000	1138,6	055aa7169ab94eaa8b1bce0a585733ae
10347	935	20120101000000	1109,9	ccf895cf31464410ab90c9c15710b16e
4778	3212	20120101000000	666311,3	2d22334019a8476295a231be9432c750
8592	3212	20110101000000	 	41d97838e9ff4dfd8e0d9b10544dff54
8633	3212	20160101000000	962428,5	09d1fb2a63cd407099379c5346d963b0
9779	3212	20140101000000	777185,5	8e5075a2c5aa43bc99e7ba538504caca
10266	3212	20130101000000	719616,2	75e52f4340824b08938dc78903e476d1
11778	3212	20150101000000	891137,5	dbec78e8966343128191ef5819a14ac9
7190	2982	20120101000000	14,2	dac6f13f52e1442b8d9e7385179415f6
2845	1367	20120101000000	752,2	367656d88297490bb67d1ea263d2073a
4116	2936	20160101000000	56761,2	f4c358a60326408285c82037fbb4b84d
6614	2936	20140101000000	50678,0	151f2888422e49149b9463bea854f2d0
7829	2936	20150101000000	53616,4	36d9b1f551ce4188a18185636e57b991
8374	2936	20120101000000	44262,0	0bbab34b69c7489bbcb195a1c7f5426f
8818	2936	20130101000000	48024,1	09599858725344bf901da180027bbb31
11155	2936	20110101000000	 	fdde8a1a055a48058cfdde6467b3591d
23115	23116	20120101000000	3578,2	2e347861cbc64d1096c2fa3e68f8871e
3462	1552	20140101000000	108353,1	def2882963724b198ac70efa55c89219
3984	1552	20110101000000	 	e2deedf29ed1454ba9fe1cb5ad43cfb9
4991	1552	20160101000000	147490,0	ae893860079448cd946537e491dadc78
9178	1552	20120101000000	124964,5	b1bfc0753074420cb799aabc24d817cf
9582	1552	20150101000000	138457,9	9c0064322fc04e748c7fb57816e13fb9
11013	1552	20130101000000	101069,3	bd6a05aeca514fd687dadb008b3aa440
3330	3014	20150101000000	62999,3	c0bb2d4178d648f89bbe0b461db17b57
4366	3014	20160101000000	54366,1	b62925ffd61a40de8a0127222783230c
5555	3014	20110101000000	 	e21f05c16cdd433d968b4760116340d5
8197	3014	20140101000000	69313,6	226d51a776df4f8b8bc19019148a8614
8897	3014	20120101000000	165085,8	20848353094448618053a3869e593f28
11322	3014	20130101000000	65440,0	0329eca506454c4eab59e21539535c9d
8787	1684	20120101000000	392,5	5c9f0531ea464c97b272a0b897a1c109
7820	2844	20120101000000	369,6	a9815cf461c74380a7f68516530f972a
3171	1501	20140101000000	885633,4	93c7208c1e7f458b851106e52350153b
4561	1501	20150101000000	1011519,9	83eca4c70c99423088c32c13d33a0e61
5313	1501	20130101000000	819807,6	111ddf62e6a349ce8ea44119460592df
5726	1501	20160101000000	1092441,5	3727d26fe9634bb899fb4bdd2d27a5e6
5809	1501	20110101000000	 	cc4d833c667f46688c6c4e5c3e37c784
7886	1501	20120101000000	773667,7	ce8f1e2cc8fe46ecade3870b1399ea56
11441	2782	20120101000000	980,0	07c3a74017964a10bf16e5b1480cfd69
7721	3200	20120101000000	246,3	1fb2ac333b014b7c8e1a8227128ecf19
4179	2832	20120101000000	2054,5	cee7989efd1242ed803d21bc4045511f
4208	1708	20120101000000	2735,5	aae8b2ed8d2a4bfa8cbf2283e9f5863b
9214	2703	20140101000000	50950,6	26b42fab727c44549d97ab7e1bf2dc86
9605	2703	20160101000000	59428,7	c8c0b73b2cc74ee79a27b5dee4e803c2
10072	2703	20120101000000	50105,2	520276d00cfd4f55aa07c260c3c02b24
11416	2703	20150101000000	55026,6	89ff080184094dea8236e51e59819d17
11505	2703	20110101000000	 	17d3a41c904a4bec9f1de77a4aa2d802
12399	2703	20130101000000	47176,4	49518e95fa6d4f5db969fffa9006d89c
10142	2624	20120101000000	1724,7	ec490eb7bd1543af888ac424c8678205
4261	2528	20150101000000	394425,2	a71523791dbe43b6ae9924009dad22ba
6227	2528	20160101000000	413340,5	db91ddc87b3a4886a4405937a567c368
9645	2528	20130101000000	321478,7	5c55c26598b74a859d29b6fb5cbd4e0c
10433	2528	20110101000000	 	3e104b72f76b4097a2ffcc7377c3c0bd
11996	2528	20120101000000	305817,0	ad78045246bb4dbf8bbbf485ad1837f1
12301	2528	20140101000000	336277,3	42c547a225004328bb59fca570e30bcf
9444	3107	20120101000000	2308,3	4404d685bd9c40779b09b17fc219576b
5878	3032	20110101000000	 	c9c16e6093214d168d0b5029b16ce26b
7131	3032	20130101000000	921917,2	b94e3d2cf13a4ee0bc6a71c95921d1af
8236	3032	20120101000000	838591,9	bfb5a4ef7a06460981f4917eeddc0903
9380	3032	20150101000000	1130366,0	163e2360fe5946a69b1eaf85a73bfa2a
9470	3032	20160101000000	1220795,3	6601a3db40eb492bbc47b242fd038ee9
10226	3032	20140101000000	995670,5	0fbf6821bb4f4e2b96dac63f4db28be4
3344	3340	20110101000000	 	421f3d2768d54b12b8690ba2d3160b79
3834	3340	20140101000000	195415,5	aab4a3f0d97a4cb89a3c18b7f81f3370
5864	3340	20130101000000	184214,4	40799c266c6540eb85b24fab3a191fb0
8495	3340	20160101000000	299937,1	bb08b6a7b4414028a7c598aacc053172
8719	3340	20120101000000	269829,3	39ff7cd88530453981f59e7c1f09c5bb
11817	3340	20150101000000	282166,7	d1a1a089a5a6432e9e69f045caf45681
3322	1800	20160101000000	1266769,5	11a475e9068d4a9f82250b1ec455ad68
4508	1800	20130101000000	954212,9	76de2c56d37341feaa092ab6ba88e3bc
4902	1800	20140101000000	1029419,4	fc96dc2f163f42b39be8353fe2e67d8f
8549	1800	20120101000000	884480,4	e212bb2aded946dd8c179a14fd53a06a
